,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_Coxsackievirus_B6,HLA-A02:07,Q9QL88|POLG_CXB6S,34,155,7.996,159.588,0.4207978107567625,0.5862787237559927
1,Human_Coxsackievirus_B6,HLA-A02:03,Q9QL88|POLG_CXB6S,35,155,9.419,153.91200000000003,0.4956846647721293,0.5654267923072684
2,Human_Coxsackievirus_B6,HLA-A66:01,Q9QL88|POLG_CXB6S,44,198,9.711999999999998,192.467,0.5111040943058625,0.7070663654231185
3,Human_Coxsackievirus_B6,HLA-A31:08,Q9QL88|POLG_CXB6S,48,226,13.027000000000001,216.78300000000002,0.6855594147984424,0.7963960985286823
4,Human_Coxsackievirus_B6,HLA-A02:36,Q9QL88|POLG_CXB6S,28,169,6.8500000000000005,149.63099999999997,0.36048836964530057,0.54969967487739
5,Human_Coxsackievirus_B6,HLA-A68:03,Q9QL88|POLG_CXB6S,54,172,12.465,190.17399999999998,0.6559835806757184,0.6986425671828216
6,Human_Coxsackievirus_B6,HLA-A26:01,Q9QL88|POLG_CXB6S,54,215,13.587000000000002,216.77899999999997,0.7150299968424377,0.7963814037214597
7,Human_Coxsackievirus_B6,HLA-A33:01,Q9QL88|POLG_CXB6S,66,173,16.788999999999998,201.91899999999998,0.883538574886854,0.7417901948898806
8,Human_Coxsackievirus_B6,HLA-A29:01,Q9QL88|POLG_CXB6S,70,233,16.635999999999996,258.671,0.8754867908641194,0.9502801197626787
9,Human_Coxsackievirus_B6,HLA-A24:07,Q9QL88|POLG_CXB6S,47,212,10.636999999999999,204.44599999999997,0.5597831807178192,0.7510736393526936
10,Human_Coxsackievirus_B6,HLA-A02:13,Q9QL88|POLG_CXB6S,38,164,8.348,155.728,0.43932217661298817,0.5720982347862823
11,Human_Coxsackievirus_B6,HLA-B15:02,Q9QL88|POLG_CXB6S,76,256,19.002,272.20500000000004,1.0,1.0
12,Human_Coxsackievirus_B6,HLA-B46:01,Q9QL88|POLG_CXB6S,61,217,14.167000000000002,222.60000000000002,0.7455530996737186,0.8177660219319998
13,Human_Coxsackievirus_B6,HLA-B38:02,Q9QL88|POLG_CXB6S,57,196,15.758000000000001,208.95599999999996,0.8292811283022841,0.7676420344960597
14,Human_Coxsackievirus_B6,HLA-B54:01,Q9QL88|POLG_CXB6S,58,223,15.579999999999998,221.16299999999995,0.8199136932954425,0.8124869124373172
15,Human_Coxsackievirus_B6,HLA-B13:02,Q9QL88|POLG_CXB6S,45,198,11.034,193.91299999999995,0.5806757183454374,0.7123785382340513
16,Human_Coxsackievirus_B6,HLA-B14:05,Q9QL88|POLG_CXB6S,53,198,14.091,206.10699999999997,0.7415535206820335,0.7571756580518357
17,Human_Coxsackievirus_B6,HLA-B45:01,Q9QL88|POLG_CXB6S,44,177,9.517999999999999,169.033,0.5008946426691927,0.6209768373101154
18,Human_Coxsackievirus_B6,HLA-B55:02,Q9QL88|POLG_CXB6S,51,212,14.033999999999999,216.427,0.7385538364382697,0.79508826068588
19,Human_Coxsackievirus_B6,HLA-B07:05,Q9QL88|POLG_CXB6S,50,181,10.376999999999999,183.63399999999996,0.546100410483107,0.6746165573740377
20,Human_Coxsackievirus_B6,HLA-B35:14,Q9QL88|POLG_CXB6S,66,235,17.746000000000002,244.62,0.9339016945584677,0.8986609356918498
21,Human_Coxsackievirus_B6,HLA-B39:05,Q9QL88|POLG_CXB6S,65,220,17.198999999999998,231.207,0.9051152510262077,0.8493855733730091
22,Human_Coxsackievirus_B6,HLA-C14:03,Q9QL88|POLG_CXB6S,63,249,13.137000000000004,246.666,0.691348279128513,0.9061773295861574
23,Human_Coxsackievirus_B6,HLA-C05:09,Q9QL88|POLG_CXB6S,52,165,11.704000000000002,170.48700000000002,0.6159351647195034,0.6263183997354934
24,Human_Coxsackievirus_B6,HLA-C06:03,Q9QL88|POLG_CXB6S,41,210,9.69,205.48399999999998,0.5099463214398484,0.7548869418269317
25,Human_Coxsackievirus_B6,HLA-A01:01,Q9QL88|POLG_CXB6S,45,227,11.247,218.705,0.5918850647300284,0.8034569533990925
26,Human_Coxsackievirus_B6,HLA-A02:01,Q9QL88|POLG_CXB6S,25,151,6.803,143.91299999999998,0.35801494579517945,0.5286934479528296
27,Human_Coxsackievirus_B6,HLA-A02:02,Q9QL88|POLG_CXB6S,28,150,7.248,136.485,0.38143353331228297,0.5014051909406513
28,Human_Coxsackievirus_B6,HLA-A02:06,Q9QL88|POLG_CXB6S,45,178,9.468,174.192,0.4982633407009789,0.639929464925332
29,Human_Coxsackievirus_B6,HLA-A02:11,Q9QL88|POLG_CXB6S,29,156,7.3500000000000005,143.571,0.3868013893274393,0.527437041935306
30,Human_Coxsackievirus_B6,HLA-A03:01,Q9QL88|POLG_CXB6S,49,184,11.667,179.143,0.613988001263025,0.6581179625649785
31,Human_Coxsackievirus_B6,HLA-A03:02,Q9QL88|POLG_CXB6S,42,175,11.047,176.293,0.581359856857173,0.6476479124189489
32,Human_Coxsackievirus_B6,HLA-A11:01,Q9QL88|POLG_CXB6S,44,177,10.557999999999998,176.457,0.5556257236080412,0.6482503995150712
33,Human_Coxsackievirus_B6,HLA-A23:01,Q9QL88|POLG_CXB6S,45,207,9.626,196.215,0.5065782549205347,0.7208353997905989
34,Human_Coxsackievirus_B6,HLA-A24:02,Q9QL88|POLG_CXB6S,48,211,10.777,202.51200000000003,0.567150826228818,0.7439687000606161
35,Human_Coxsackievirus_B6,HLA-A25:01,Q9QL88|POLG_CXB6S,51,216,11.839,211.58300000000003,0.6230396800336807,0.7772928491394353
36,Human_Coxsackievirus_B6,HLA-A29:02,Q9QL88|POLG_CXB6S,70,233,16.635999999999996,258.671,0.8754867908641194,0.9502801197626787
37,Human_Coxsackievirus_B6,HLA-A30:01,Q9QL88|POLG_CXB6S,50,211,13.923,215.512,0.732712346068835,0.7917268235337337
38,Human_Coxsackievirus_B6,HLA-A30:02,Q9QL88|POLG_CXB6S,61,240,14.499000000000002,247.205,0.7630249447426588,0.9081574548593889
39,Human_Coxsackievirus_B6,HLA-A31:01,Q9QL88|POLG_CXB6S,45,175,11.18,175.82099999999994,0.5883591200926218,0.6459139251666939
40,Human_Coxsackievirus_B6,HLA-A32:01,Q9QL88|POLG_CXB6S,45,191,11.023,185.97999999999996,0.5800968319124303,0.6832350618100327
41,Human_Coxsackievirus_B6,HLA-A33:03,Q9QL88|POLG_CXB6S,65,167,15.648,204.13099999999997,0.8234922639722135,0.7499164232839218
42,Human_Coxsackievirus_B6,HLA-A68:01,Q9QL88|POLG_CXB6S,52,178,12.576999999999998,189.866,0.6618776970845174,0.6975110670266894
43,Human_Coxsackievirus_B6,HLA-A68:02,Q9QL88|POLG_CXB6S,42,207,11.115,195.77299999999997,0.5849384275339439,0.7192116235925128
44,Human_Coxsackievirus_B6,HLA-A74:01,Q9QL88|POLG_CXB6S,50,181,11.802,180.09999999999997,0.6210925165772024,0.661633695192961
45,Human_Coxsackievirus_B6,HLA-B07:02,Q9QL88|POLG_CXB6S,45,184,9.771,180.03900000000002,0.514209030628355,0.6614095993828181
46,Human_Coxsackievirus_B6,HLA-B08:01,Q9QL88|POLG_CXB6S,59,205,13.995000000000001,213.957,0.7365014209030629,0.7860142172259876
47,Human_Coxsackievirus_B6,HLA-B14:02,Q9QL88|POLG_CXB6S,56,202,14.078999999999999,204.35399999999998,0.7409220082096621,0.7507356587865761
48,Human_Coxsackievirus_B6,HLA-B15:01,Q9QL88|POLG_CXB6S,65,249,16.057,261.59299999999996,0.8450163140722029,0.9610146764387132
