,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Rotavirus_B,DRB1_1402,Q45UF0|NSP5_ROTJ1,1,43,0.18999999999999995,87.79,0.0065995137200416795,0.19791690150370855
1,Rotavirus_B,DRB1_1402,Q45UF1|NSP4_ROTJ1,0,72,0.0,121.83999999999997,0.0,0.2804400865442157
2,Rotavirus_B,DRB1_1402,Q45UF2|VP7_ROTJ1,0,44,0.0,71.87999999999997,0.0,0.14870288385948938
3,Rotavirus_B,DRB1_1402,Q45UF4|NSP2_ROTJ1,11,114,4.1899999999999995,249.47999999999996,0.06874487284659556,0.4335465035451132
4,Rotavirus_B,DRB1_1402,Q45UF5|VP6_ROTJ1,23,131,10.680000000000001,300.19,0.1517907902217169,0.3974342000741407
5,Rotavirus_B,DRB1_1402,Q45UF6|NSP1N_ROTJ1,23,114,8.350000000000001,296.48,0.1445386879002943,0.5508016422984748
6,Rotavirus_B,DRB1_1402,Q45UF7|VP3_ROTJ1,37,305,12.940000000000001,671.49,0.1805497418724711,0.5601912103313644
7,Rotavirus_B,DRB1_1402,Q45UF8|VP4_ROTJ1,39,261,18.489999999999995,565.57,0.17710727969348652,0.39746581022390265
8,Rotavirus_B,DRB1_1402,Q45UF9|VP2_ROTJ1,144,425,78.41,1240.52,0.8563783311489733,0.7315680839771186
9,Rotavirus_B,DRB1_1402,Q45UG0|RDRP_ROTJ1,47,453,22.299999999999997,928.4499999999998,0.1463158585394659,0.40794491897781987
10,Rotavirus_B,DRB1_1402,Q5Y9A9|NSP3_ROTJ1,3,43,0.3999999999999999,96.42999999999999,0.020314880650076177,0.2208152049461873
11,Rotavirus_B,DRB1_1406,Q45UF0|NSP5_ROTJ1,20,62,8.01,190.76999999999998,0.2782216047238624,0.4300786798025114
12,Rotavirus_B,DRB1_1406,Q45UF1|NSP4_ROTJ1,3,79,0.8399999999999999,136.61,0.029967891544773452,0.31443631174331355
13,Rotavirus_B,DRB1_1406,Q45UF2|VP7_ROTJ1,13,73,5.08,195.18,0.1406033766952671,0.40378170383549183
14,Rotavirus_B,DRB1_1406,Q45UF4|NSP2_ROTJ1,25,101,12.72,277.19,0.20869565217391303,0.48170095926595297
15,Rotavirus_B,DRB1_1406,Q45UF5|VP6_ROTJ1,4,105,1.1600000000000001,175.90999999999997,0.01648664013644116,0.23289466716093835
16,Rotavirus_B,DRB1_1406,Q45UF6|NSP1N_ROTJ1,17,73,6.57,161.28000000000003,0.11372684784490221,0.2996265814554035
17,Rotavirus_B,DRB1_1406,Q45UF7|VP3_ROTJ1,30,305,12.370000000000001,698.6399999999999,0.17259662341286455,0.5828411252377614
18,Rotavirus_B,DRB1_1406,Q45UF8|VP4_ROTJ1,5,161,2.42,249.43000000000006,0.02318007662835249,0.1752920010682109
19,Rotavirus_B,DRB1_1406,Q45UF9|VP2_ROTJ1,129,428,64.57,1196.19,0.705220620358235,0.7054254879990565
20,Rotavirus_B,DRB1_1406,Q45UG0|RDRP_ROTJ1,116,569,59.510000000000005,1414.8600000000001,0.39045994357325636,0.6216650848887483
21,Rotavirus_B,DRB1_1406,Q5Y9A9|NSP3_ROTJ1,4,45,1.62,97.74000000000001,0.08227526663280854,0.22381497595603392
22,Rotavirus_B,DRB1_1405,Q45UF0|NSP5_ROTJ1,15,59,5.23,172.86,0.18166029871483155,0.3897017381698492
23,Rotavirus_B,DRB1_1405,Q45UF1|NSP4_ROTJ1,0,52,0.0,79.42000000000002,0.0,0.1828016388160015
24,Rotavirus_B,DRB1_1405,Q45UF2|VP7_ROTJ1,0,53,0.0,90.85999999999999,0.0,0.1879680582564442
25,Rotavirus_B,DRB1_1405,Q45UF4|NSP2_ROTJ1,43,147,17.17,401.97999999999996,0.2817063166529943,0.6985611010704851
26,Rotavirus_B,DRB1_1405,Q45UF5|VP6_ROTJ1,0,72,0.0,128.15,0.0,0.1696631891118996
27,Rotavirus_B,DRB1_1405,Q45UF6|NSP1N_ROTJ1,0,24,0.0,19.680000000000007,0.0,0.03656157690378436
28,Rotavirus_B,DRB1_1405,Q45UF7|VP3_ROTJ1,35,329,9.780000000000005,800.81,0.13645876935956477,0.6680765508726265
29,Rotavirus_B,DRB1_1405,Q45UF8|VP4_ROTJ1,30,262,7.570000000000004,544.83,0.07250957854406133,0.3828903537745794
30,Rotavirus_B,DRB1_1405,Q45UF9|VP2_ROTJ1,144,471,67.8,1362.31,0.7404980340760157,0.8033909299994102
31,Rotavirus_B,DRB1_1405,Q45UG0|RDRP_ROTJ1,120,596,58.32,1596.11,0.3826520569516436,0.7013032092516432
32,Rotavirus_B,DRB1_1405,Q5Y9A9|NSP3_ROTJ1,0,49,0.0,74.50000000000003,0.0,0.17059766430043516
33,Rotavirus_B,DRB1_1602,Q45UF0|NSP5_ROTJ1,0,1,0.0,0.23000000000000043,0.0,0.0005185201884708173
