,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Borna,HLA-A02:07,P0C795|MATRX_BDVV,9,24,2.235,28.846,0.8274713069233617,1.0
1,Borna,HLA-A02:07,P0C797-2|NCAP_BDVV,10,34,1.295,33.364,0.2597793380140421,0.5249791512595786
2,Borna,HLA-A02:07,P0C797|NCAP_BDVV,10,34,1.295,33.364,0.2458705145243972,0.5249791512595786
3,Borna,HLA-A02:07,P0C799-2|PHOSP_BDVV,4,15,0.99,14.977999999999998,0.34055727554179566,0.5268749120585338
4,Borna,HLA-A02:07,P0C799|PHOSP_BDVV,5,19,0.998,18.647,0.23306865950490424,0.3841969712578551
5,Borna,HLA-A02:07,P0DOF0|X_BDVV,1,2,0.306,3.1479999999999997,0.20987654320987653,0.17442375886524822
6,Borna,HLA-A02:07,P52638|VGLG_BDVV,9,43,2.19,41.321999999999996,0.24458342640160818,0.4653902466493974
7,Borna,HLA-A02:07,P52639|L_BDVV,73,251,19.982,258.942,1.0,0.9981381902283899
8,Borna,HLA-A02:03,P0C795|MATRX_BDVV,5,12,1.121,14.273,0.4150314698259904,0.49479997226651873
9,Borna,HLA-A02:03,P0C797-2|NCAP_BDVV,6,34,1.705,35.511,0.34202607823470416,0.5587619781914308
10,Borna,HLA-A02:03,P0C797|NCAP_BDVV,6,34,1.705,35.511,0.3237136890070249,0.5587619781914308
11,Borna,HLA-A02:03,P0C799-2|PHOSP_BDVV,6,18,1.441,18.603,0.4957000343997248,0.6543900379907134
12,Borna,HLA-A02:03,P0C799|PHOSP_BDVV,7,20,1.647,21.126,0.38463334890238204,0.4352735139589987
13,Borna,HLA-A02:03,P0DOF0|X_BDVV,1,1,0.374,1.874,0.25651577503429357,0.10383421985815604
14,Borna,HLA-A02:03,P52638|VGLG_BDVV,7,39,1.9980000000000002,39.78399999999999,0.2231404958677686,0.4480684761797499
15,Borna,HLA-A02:03,P52639|L_BDVV,64,216,17.865,232.189,0.8940546491842658,0.8950139732099838
16,Borna,HLA-A66:01,P0C795|MATRX_BDVV,7,13,1.964,17.28,0.7271380970011107,0.5990431948970395
17,Borna,HLA-A66:01,P0C797-2|NCAP_BDVV,15,47,3.7830000000000004,50.962999999999994,0.7588766298896692,0.8018976287508064
18,Borna,HLA-A66:01,P0C797|NCAP_BDVV,15,48,3.7830000000000004,51.798,0.7182456806531233,0.8150362689408841
