,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_papillomavirus_type_16,DRB1_1402,P03101|VL1_HPV16,40,157,17.46,423.98999999999995,0.3161897863093082,0.6234413598400188
1,Human_papillomavirus_type_16,DRB1_1402,P03107|VL2_HPV16,27,130,6.319999999999997,377.60999999999996,0.07567049808429115,0.2953631713154889
2,Human_papillomavirus_type_16,DRB1_1402,P03114|VE1_HPV16,0,83,0.0,136.82999999999998,0.0,0.19703078651038214
3,Human_papillomavirus_type_16,DRB1_1402,P03120|VE2_HPV16,21,67,9.109999999999998,204.66,0.387329931972789,0.40374827382126655
4,Human_papillomavirus_type_16,DRB1_1402,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
5,Human_papillomavirus_type_16,DRB1_1402,P03129|VE7_HPV16,0,0,0.0,0.0,0.0,0.0
6,Human_papillomavirus_type_16,DRB1_1402,P06922|VE4_HPV16,0,0,0.0,0.0,0.0,0.0
7,Human_papillomavirus_type_16,DRB1_1402,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
8,Human_papillomavirus_type_16,DRB1_1402,P0DKA0|VE8E2_HPV16,8,28,2.75,85.81,0.17696267696267698,0.45272765643136015
9,Human_papillomavirus_type_16,DRB1_1406,P03101|VL1_HPV16,0,33,0.0,46.83,0.0,0.06885954593577227
10,Human_papillomavirus_type_16,DRB1_1406,P03107|VL2_HPV16,29,102,14.81,269.25,0.1773227969348659,0.21060494657634968
11,Human_papillomavirus_type_16,DRB1_1406,P03114|VE1_HPV16,9,118,2.299999999999999,243.47000000000003,0.04576203740549142,0.3505889468075915
12,Human_papillomavirus_type_16,DRB1_1406,P03120|VE2_HPV16,0,13,0.0,10.200000000000003,0.0,0.02012231209311502
13,Human_papillomavirus_type_16,DRB1_1406,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
14,Human_papillomavirus_type_16,DRB1_1406,P03129|VE7_HPV16,0,0,0.0,0.0,0.0,0.0
15,Human_papillomavirus_type_16,DRB1_1406,P06922|VE4_HPV16,0,0,0.0,0.0,0.0,0.0
16,Human_papillomavirus_type_16,DRB1_1406,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
17,Human_papillomavirus_type_16,DRB1_1406,P0DKA0|VE8E2_HPV16,0,5,0.0,3.1099999999999994,0.0,0.016408146037775666
18,Human_papillomavirus_type_16,DRB1_1405,P03101|VL1_HPV16,0,15,0.0,17.86,0.0,0.0262616162804376
19,Human_papillomavirus_type_16,DRB1_1405,P03107|VL2_HPV16,20,88,9.169999999999998,238.01999999999998,0.10979406130268198,0.186177119346714
20,Human_papillomavirus_type_16,DRB1_1405,P03114|VE1_HPV16,5,85,0.21999999999999975,161.0,0.004377238360525264,0.23183480690032543
21,Human_papillomavirus_type_16,DRB1_1405,P03120|VE2_HPV16,0,29,0.0,42.70000000000003,0.0,0.08423752219372664
22,Human_papillomavirus_type_16,DRB1_1405,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
23,Human_papillomavirus_type_16,DRB1_1405,P03129|VE7_HPV16,0,0,0.0,0.0,0.0,0.0
24,Human_papillomavirus_type_16,DRB1_1405,P06922|VE4_HPV16,0,0,0.0,0.0,0.0,0.0
25,Human_papillomavirus_type_16,DRB1_1405,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
26,Human_papillomavirus_type_16,DRB1_1405,P0DKA0|VE8E2_HPV16,0,2,0.0,1.0700000000000003,0.0,0.005645246385987128
27,Human_papillomavirus_type_16,DRB1_1602,P03101|VL1_HPV16,90,208,50.37,680.0799999999999,0.9121695038029699,1.0
28,Human_papillomavirus_type_16,DRB1_1602,P03107|VL2_HPV16,11,165,3.1899999999999995,338.90000000000003,0.03819444444444444,0.26508455485506
29,Human_papillomavirus_type_16,DRB1_1602,P03114|VE1_HPV16,0,59,0.0,78.28999999999999,0.0,0.11273507473432594
30,Human_papillomavirus_type_16,DRB1_1602,P03120|VE2_HPV16,0,44,0.0,61.879999999999995,0.0,0.12207536003156441
31,Human_papillomavirus_type_16,DRB1_1602,P03126|VE6_HPV16,0,9,0.0,14.760000000000002,0.0,0.07577780059554369
32,Human_papillomavirus_type_16,DRB1_1602,P03129|VE7_HPV16,0,2,0.0,0.8499999999999996,0.0,0.0038480691747023394
33,Human_papillomavirus_type_16,DRB1_1602,P06922|VE4_HPV16,0,0,0.0,0.0,0.0,0.0
34,Human_papillomavirus_type_16,DRB1_1602,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
35,Human_papillomavirus_type_16,DRB1_1602,P0DKA0|VE8E2_HPV16,0,0,0.0,0.0,0.0,0.0
36,Human_papillomavirus_type_16,DRB1_1201,P03101|VL1_HPV16,7,78,1.2599999999999998,180.38,0.02281781963056863,0.26523350194094814
37,Human_papillomavirus_type_16,DRB1_1201,P03107|VL2_HPV16,16,108,6.290000000000001,273.05,0.07531130268199235,0.21357727265616444
38,Human_papillomavirus_type_16,DRB1_1201,P03114|VE1_HPV16,15,152,3.460000000000001,348.34000000000003,0.06884202148826105,0.501598364196642
39,Human_papillomavirus_type_16,DRB1_1201,P03120|VE2_HPV16,0,31,0.0,40.46000000000001,0.0,0.0798185046360229
40,Human_papillomavirus_type_16,DRB1_1201,P03126|VE6_HPV16,0,6,0.0,5.109999999999999,0.0,0.026234726357942287
41,Human_papillomavirus_type_16,DRB1_1201,P03129|VE7_HPV16,3,26,0.2599999999999998,63.120000000000005,0.013238289205702636,0.2857530897731903
42,Human_papillomavirus_type_16,DRB1_1201,P06922|VE4_HPV16,0,0,0.0,0.0,0.0,0.0
43,Human_papillomavirus_type_16,DRB1_1201,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
44,Human_papillomavirus_type_16,DRB1_1201,P0DKA0|VE8E2_HPV16,0,12,0.0,12.090000000000003,0.0,0.06378600823045269
45,Human_papillomavirus_type_16,DRB1_0411,P03101|VL1_HPV16,1,80,0.19999999999999996,142.89999999999998,0.0036218761318362906,0.21012233854840606
46,Human_papillomavirus_type_16,DRB1_0411,P03107|VL2_HPV16,37,155,18.8,363.06999999999994,0.22509578544061304,0.2839901131048292
47,Human_papillomavirus_type_16,DRB1_0411,P03114|VE1_HPV16,2,132,0.5,271.63,0.00994826900119379,0.3911384384989776
48,Human_papillomavirus_type_16,DRB1_0411,P03120|VE2_HPV16,0,49,0.0,87.55000000000001,0.0,0.17271651213257055
49,Human_papillomavirus_type_16,DRB1_0411,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
50,Human_papillomavirus_type_16,DRB1_0411,P03129|VE7_HPV16,0,6,0.0,3.6199999999999974,0.0,0.016388247544026426
51,Human_papillomavirus_type_16,DRB1_0411,P06922|VE4_HPV16,0,0,0.0,0.0,0.0,0.0
52,Human_papillomavirus_type_16,DRB1_0411,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
53,Human_papillomavirus_type_16,DRB1_0411,P0DKA0|VE8E2_HPV16,0,18,0.0,29.930000000000007,0.0,0.1579086208715839
54,Human_papillomavirus_type_16,DRB1_0405,P03101|VL1_HPV16,1,108,0.08999999999999997,209.61,0.0016298442593263305,0.3082137395600518
55,Human_papillomavirus_type_16,DRB1_0405,P03107|VL2_HPV16,58,164,38.79,461.81,0.4644396551724138,0.36122365971559534
56,Human_papillomavirus_type_16,DRB1_0405,P03114|VE1_HPV16,45,143,20.34,404.94,0.40469558296856345,0.5831005385479365
57,Human_papillomavirus_type_16,DRB1_0405,P03120|VE2_HPV16,22,64,8.58,199.51999999999998,0.36479591836734687,0.39360820674689284
58,Human_papillomavirus_type_16,DRB1_0405,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
59,Human_papillomavirus_type_16,DRB1_0405,P03129|VE7_HPV16,20,35,9.0,127.44,0.45824847250509165,0.5769387477930191
60,Human_papillomavirus_type_16,DRB1_0405,P06922|VE4_HPV16,0,11,0.0,8.21,0.0,0.1264828223694346
61,Human_papillomavirus_type_16,DRB1_0405,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
62,Human_papillomavirus_type_16,DRB1_0405,P0DKA0|VE8E2_HPV16,0,1,0.0,0.0,0.0,0.0
63,Human_papillomavirus_type_16,DRB1_0406,P03101|VL1_HPV16,18,100,5.979999999999997,244.67,0.10829409634190505,0.3597664980590519
64,Human_papillomavirus_type_16,DRB1_0406,P03107|VL2_HPV16,24,166,7.34,347.61,0.08788314176245211,0.27189743910642494
65,Human_papillomavirus_type_16,DRB1_0406,P03114|VE1_HPV16,34,159,13.3,393.23,0.2646239554317549,0.5662385162572359
66,Human_papillomavirus_type_16,DRB1_0406,P03120|VE2_HPV16,0,24,0.0,45.43000000000001,0.0,0.08962319984217797
67,Human_papillomavirus_type_16,DRB1_0406,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
68,Human_papillomavirus_type_16,DRB1_0406,P03129|VE7_HPV16,0,3,0.0,1.0300000000000011,0.0,0.004662954411698136
69,Human_papillomavirus_type_16,DRB1_0406,P06922|VE4_HPV16,0,1,0.0,0.6200000000000001,0.0,0.009551686951163148
70,Human_papillomavirus_type_16,DRB1_0406,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
71,Human_papillomavirus_type_16,DRB1_0406,P0DKA0|VE8E2_HPV16,0,19,0.0,43.36000000000001,0.0,0.2287643769125251
72,Human_papillomavirus_type_16,HLA-DQA10301-DQB10401,P03101|VL1_HPV16,22,132,7.77,328.75,0.1407098877218399,0.48339901188095524
73,Human_papillomavirus_type_16,HLA-DQA10301-DQB10401,P03107|VL2_HPV16,7,118,2.2800000000000002,242.74999999999994,0.02729885057471265,0.18987688312500972
74,Human_papillomavirus_type_16,HLA-DQA10301-DQB10401,P03114|VE1_HPV16,22,134,10.220000000000002,339.28,0.20334261838440115,0.48855225642945593
75,Human_papillomavirus_type_16,HLA-DQA10301-DQB10401,P03120|VE2_HPV16,38,140,20.290000000000003,400.81999999999994,0.8626700680272109,0.7907279542316038
76,Human_papillomavirus_type_16,HLA-DQA10301-DQB10401,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
77,Human_papillomavirus_type_16,HLA-DQA10301-DQB10401,P03129|VE7_HPV16,0,0,0.0,0.0,0.0,0.0
78,Human_papillomavirus_type_16,HLA-DQA10301-DQB10401,P06922|VE4_HPV16,3,21,0.43999999999999995,47.38,0.8148148148148147,0.7299337544292096
79,Human_papillomavirus_type_16,HLA-DQA10301-DQB10401,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
80,Human_papillomavirus_type_16,HLA-DQA10301-DQB10401,P0DKA0|VE8E2_HPV16,9,34,4.369999999999999,105.08,0.2812097812097812,0.554394850691147
81,Human_papillomavirus_type_16,HLA-DQA10303-DQB10401,P03101|VL1_HPV16,22,132,7.77,328.75,0.1407098877218399,0.48339901188095524
82,Human_papillomavirus_type_16,HLA-DQA10303-DQB10401,P03107|VL2_HPV16,7,118,2.2800000000000002,242.74999999999994,0.02729885057471265,0.18987688312500972
83,Human_papillomavirus_type_16,HLA-DQA10303-DQB10401,P03114|VE1_HPV16,22,134,10.220000000000002,339.28,0.20334261838440115,0.48855225642945593
84,Human_papillomavirus_type_16,HLA-DQA10303-DQB10401,P03120|VE2_HPV16,38,140,20.290000000000003,400.81999999999994,0.8626700680272109,0.7907279542316038
85,Human_papillomavirus_type_16,HLA-DQA10303-DQB10401,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
86,Human_papillomavirus_type_16,HLA-DQA10303-DQB10401,P03129|VE7_HPV16,0,0,0.0,0.0,0.0,0.0
87,Human_papillomavirus_type_16,HLA-DQA10303-DQB10401,P06922|VE4_HPV16,3,21,0.43999999999999995,47.38,0.8148148148148147,0.7299337544292096
88,Human_papillomavirus_type_16,HLA-DQA10303-DQB10401,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
89,Human_papillomavirus_type_16,HLA-DQA10303-DQB10401,P0DKA0|VE8E2_HPV16,9,34,4.369999999999999,105.08,0.2812097812097812,0.554394850691147
90,Human_papillomavirus_type_16,DRB1_0101,P03101|VL1_HPV16,84,208,55.22,636.11,1.0,0.9353458416656865
91,Human_papillomavirus_type_16,DRB1_0101,P03107|VL2_HPV16,0,41,0.0,45.93000000000001,0.0,0.035926036012077035
92,Human_papillomavirus_type_16,DRB1_0101,P03114|VE1_HPV16,0,71,0.0,90.85000000000002,0.0,0.1308210696080408
93,Human_papillomavirus_type_16,DRB1_0101,P03120|VE2_HPV16,0,31,0.0,39.879999999999995,0.0,0.07867429473268889
94,Human_papillomavirus_type_16,DRB1_0101,P03126|VE6_HPV16,0,7,0.0,8.940000000000001,0.0,0.04589793613307321
95,Human_papillomavirus_type_16,DRB1_0101,P03129|VE7_HPV16,0,0,0.0,0.0,0.0,0.0
96,Human_papillomavirus_type_16,DRB1_0101,P06922|VE4_HPV16,0,0,0.0,0.0,0.0,0.0
97,Human_papillomavirus_type_16,DRB1_0101,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
98,Human_papillomavirus_type_16,DRB1_0101,P0DKA0|VE8E2_HPV16,0,17,0.0,29.409999999999997,0.0,0.15516513664661813
99,Human_papillomavirus_type_16,DRB1_0102,P03101|VL1_HPV16,18,128,4.809999999999999,318.83000000000004,0.08710612097066278,0.4688124926479239
100,Human_papillomavirus_type_16,DRB1_0102,P03107|VL2_HPV16,0,51,0.0,95.05000000000001,0.0,0.0743472615490512
101,Human_papillomavirus_type_16,DRB1_0102,P03114|VE1_HPV16,3,72,0.69,145.99,0.013728611221647431,0.21022089105204045
102,Human_papillomavirus_type_16,DRB1_0102,P03120|VE2_HPV16,2,29,0.33999999999999986,73.21,0.014455782312925162,0.1444269086604853
103,Human_papillomavirus_type_16,DRB1_0102,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
104,Human_papillomavirus_type_16,DRB1_0102,P03129|VE7_HPV16,0,1,0.0,0.11000000000000032,0.0,0.0004979854226085397
105,Human_papillomavirus_type_16,DRB1_0102,P06922|VE4_HPV16,0,0,0.0,0.0,0.0,0.0
106,Human_papillomavirus_type_16,DRB1_0102,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
107,Human_papillomavirus_type_16,DRB1_0102,P0DKA0|VE8E2_HPV16,2,25,0.33999999999999986,71.47,0.02187902187902187,0.37707080299672896
108,Human_papillomavirus_type_16,DRB1_0301,P03101|VL1_HPV16,13,81,4.460000000000001,191.92000000000002,0.0807678377399493,0.2822020938713093
109,Human_papillomavirus_type_16,DRB1_0301,P03107|VL2_HPV16,49,162,24.91,495.39,0.29825191570881227,0.3874896359682743
110,Human_papillomavirus_type_16,DRB1_0301,P03114|VE1_HPV16,25,96,16.14,259.71000000000004,0.3211301233585356,0.37397402298188526
111,Human_papillomavirus_type_16,DRB1_0301,P03120|VE2_HPV16,0,96,0.0,197.69,0.0,0.3899980272243046
112,Human_papillomavirus_type_16,DRB1_0301,P03126|VE6_HPV16,0,2,0.0,1.2599999999999998,0.0,0.006468836636204947
113,Human_papillomavirus_type_16,DRB1_0301,P03129|VE7_HPV16,0,0,0.0,0.0,0.0,0.0
114,Human_papillomavirus_type_16,DRB1_0301,P06922|VE4_HPV16,0,7,0.0,6.869999999999997,0.0,0.1058388537975658
115,Human_papillomavirus_type_16,DRB1_0301,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
116,Human_papillomavirus_type_16,DRB1_0301,P0DKA0|VE8E2_HPV16,0,70,0.0,138.41,0.0,0.730241637649045
117,Human_papillomavirus_type_16,DRB1_0302,P03101|VL1_HPV16,1,63,0.10999999999999999,107.03,0.00199203187250996,0.1573785437007411
118,Human_papillomavirus_type_16,DRB1_0302,P03107|VL2_HPV16,8,126,1.9600000000000009,236.69999999999993,0.02346743295019158,0.18514462712951513
119,Human_papillomavirus_type_16,DRB1_0302,P03114|VE1_HPV16,36,173,13.160000000000004,469.8,0.26183844011142066,0.676496846470639
120,Human_papillomavirus_type_16,DRB1_0302,P03120|VE2_HPV16,21,96,6.5,232.0,0.276360544217687,0.4576839613335964
121,Human_papillomavirus_type_16,DRB1_0302,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
122,Human_papillomavirus_type_16,DRB1_0302,P03129|VE7_HPV16,0,0,0.0,0.0,0.0,0.0
123,Human_papillomavirus_type_16,DRB1_0302,P06922|VE4_HPV16,0,0,0.0,0.0,0.0,0.0
124,Human_papillomavirus_type_16,DRB1_0302,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
125,Human_papillomavirus_type_16,DRB1_0302,P0DKA0|VE8E2_HPV16,0,26,0.0,33.49000000000001,0.0,0.17669093595019528
126,Human_papillomavirus_type_16,DRB1_0401,P03101|VL1_HPV16,21,133,6.01,287.47999999999996,0.10883737776168055,0.42271497470885777
127,Human_papillomavirus_type_16,DRB1_0401,P03107|VL2_HPV16,46,260,21.230000000000004,637.55,0.25419061302682,0.4986859189962924
128,Human_papillomavirus_type_16,DRB1_0401,P03114|VE1_HPV16,37,217,9.969999999999999,523.6300000000001,0.19836848388380418,0.7540103101690523
129,Human_papillomavirus_type_16,DRB1_0401,P03120|VE2_HPV16,0,35,0.0,37.97999999999999,0.0,0.07492602091142235
130,Human_papillomavirus_type_16,DRB1_0401,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
131,Human_papillomavirus_type_16,DRB1_0401,P03129|VE7_HPV16,0,0,0.0,0.0,0.0,0.0
132,Human_papillomavirus_type_16,DRB1_0401,P06922|VE4_HPV16,0,19,0.0,37.34,0.0,0.5752580496071483
133,Human_papillomavirus_type_16,DRB1_0401,P06927|VE5_HPV16,0,0,0.0,0.0,0.0,0.0
134,Human_papillomavirus_type_16,DRB1_0401,P0DKA0|VE8E2_HPV16,0,20,0.0,26.129999999999995,0.0,0.13786008230452673
135,Human_papillomavirus_type_16,DRB1_0402,P03101|VL1_HPV16,8,73,2.3999999999999995,160.17,0.043462513582035484,0.23551640983413716
136,Human_papillomavirus_type_16,DRB1_0402,P03107|VL2_HPV16,14,100,4.539999999999999,205.42000000000002,0.054358237547892714,0.16067769034619778
137,Human_papillomavirus_type_16,DRB1_0402,P03114|VE1_HPV16,62,177,34.83,517.37,0.6929964186231594,0.7449961120870893
138,Human_papillomavirus_type_16,DRB1_0402,P03120|VE2_HPV16,0,76,0.0,109.75999999999993,0.0,0.21653186032748065
139,Human_papillomavirus_type_16,DRB1_0402,P03126|VE6_HPV16,0,0,0.0,0.0,0.0,0.0
