,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Hepatitis_A_virus,HLA-A02:07,P08617|POLG_HAVHM,55,211,14.411999999999999,206.973,0.7382062183066127,0.7442020178775609
1,Hepatitis_A_virus,HLA-A02:03,P08617|POLG_HAVHM,54,185,14.093000000000002,184.707,0.7218665164165344,0.6641413233422264
2,Hepatitis_A_virus,HLA-A66:01,P08617|POLG_HAVHM,60,225,15.161,225.841,0.7765712236848845,0.812044701093796
3,Hepatitis_A_virus,HLA-A31:08,P08617|POLG_HAVHM,73,271,19.503000000000004,270.92099999999994,0.9989755672796191,0.9741365051741369
4,Hepatitis_A_virus,HLA-A02:36,P08617|POLG_HAVHM,49,189,13.175,201.144,0.6748450545510424,0.7232429866889116
5,Hepatitis_A_virus,HLA-A68:03,P08617|POLG_HAVHM,46,197,10.945000000000002,188.04400000000004,0.560620806228551,0.676140000143826
6,Hepatitis_A_virus,HLA-A26:01,P08617|POLG_HAVHM,54,245,13.805000000000001,235.746,0.7071146852430468,0.84765959282884
7,Hepatitis_A_virus,HLA-A33:01,P08617|POLG_HAVHM,46,193,12.127000000000002,196.618,0.6211647800030734,0.7069690846199759
8,Hepatitis_A_virus,HLA-A29:01,P08617|POLG_HAVHM,65,260,18.858,253.724,0.9659376120473289,0.9123021494782714
9,Hepatitis_A_virus,HLA-A24:07,P08617|POLG_HAVHM,53,258,13.139,260.449,0.6730010756543564,0.9364828811206914
10,Hepatitis_A_virus,HLA-A02:13,P08617|POLG_HAVHM,48,194,14.246,196.784,0.7297034267274497,0.7075659621594022
11,Hepatitis_A_virus,HLA-B15:02,P08617|POLG_HAVHM,58,255,14.611999999999998,242.281,0.7484505455104236,0.8711571513839648
12,Hepatitis_A_virus,HLA-B46:01,P08617|POLG_HAVHM,70,237,18.035,250.42499999999998,0.923782205603647,0.900440107294131
13,Hepatitis_A_virus,HLA-B38:02,P08617|POLG_HAVHM,60,234,17.538,235.28500000000003,0.898325052502177,0.8460019991801923
14,Hepatitis_A_virus,HLA-B54:01,P08617|POLG_HAVHM,34,175,9.332,160.16899999999998,0.4780003073298162,0.5759113169419733
15,Hepatitis_A_virus,HLA-B13:02,P08617|POLG_HAVHM,57,225,15.036000000000001,235.66199999999998,0.7701685191825027,0.8473575584112988
16,Hepatitis_A_virus,HLA-B14:05,P08617|POLG_HAVHM,63,210,12.549000000000007,213.279,0.6427803104031147,0.7668761730801037
17,Hepatitis_A_virus,HLA-B45:01,P08617|POLG_HAVHM,42,177,9.104999999999999,168.64200000000002,0.4663729959534907,0.6063772409875088
18,Hepatitis_A_virus,HLA-B55:02,P08617|POLG_HAVHM,33,176,8.271,161.02499999999998,0.4236541515135994,0.5789891914826293
19,Hepatitis_A_virus,HLA-B07:05,P08617|POLG_HAVHM,43,175,11.373,178.483,0.5825436664447062,0.641762011261569
20,Hepatitis_A_virus,HLA-B35:14,P08617|POLG_HAVHM,53,238,13.019,235.04899999999998,0.6668544793320699,0.845153426292815
21,Hepatitis_A_virus,HLA-B39:05,P08617|POLG_HAVHM,60,228,17.544,235.61000000000004,0.8986323823182912,0.8471705847242498
22,Hepatitis_A_virus,HLA-C14:03,P08617|POLG_HAVHM,79,269,19.523,278.11400000000003,1.0,1.0
23,Hepatitis_A_virus,HLA-C05:09,P08617|POLG_HAVHM,79,246,18.703,259.813,0.9579982584643754,0.9341960491021666
24,Hepatitis_A_virus,HLA-C06:03,P08617|POLG_HAVHM,48,240,14.274000000000001,227.612,0.7311376325359833,0.8184125933969522
