,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Rabies_virus,DRB1_1402,P06025|NCAP_RABVP,72,200,43.07,578.7099999999999,0.5664869130606339,0.7579202409796344
1,Rabies_virus,DRB1_1402,P06747-2|PHOSP_RABVP,0,23,0.0,35.43000000000001,0.0,0.05798311076197959
2,Rabies_virus,DRB1_1402,P06747-3|PHOSP_RABVP,0,16,0.0,28.879999999999995,0.0,0.047263681592039794
3,Rabies_virus,DRB1_1402,P06747-4|PHOSP_RABVP,0,16,0.0,28.879999999999995,0.0,0.047263681592039794
4,Rabies_virus,DRB1_1402,P06747-5|PHOSP_RABVP,0,16,0.0,28.879999999999995,0.0,0.047263681592039794
5,Rabies_virus,DRB1_1402,P06747|PHOSP_RABVP,8,38,3.9699999999999998,88.09,0.09153792944431635,0.1278890824622532
6,Rabies_virus,DRB1_1402,P08667|GLYCO_RABVP,19,103,8.3,257.73999999999995,0.2133676092544987,0.47762355688156694
7,Rabies_virus,DRB1_1402,P08671|MATRX_RABVP,17,40,8.38,126.97,0.15200435334663523,0.2606277069606093
8,Rabies_virus,DRB1_1402,P11213|L_RABVP,118,485,68.78,1262.6599999999999,0.6048720429161902,0.5117453472537448
9,Rabies_virus,DRB1_1406,P06025|NCAP_RABVP,21,160,8.079999999999998,331.13,0.10627383927397077,0.4336716652478554
10,Rabies_virus,DRB1_1406,P06747-2|PHOSP_RABVP,3,94,0.5099999999999998,212.52999999999997,0.01388510754151919,0.3478168368682901
11,Rabies_virus,DRB1_1406,P06747-3|PHOSP_RABVP,2,66,0.25,153.53,0.007692307692307693,0.2512601466352448
12,Rabies_virus,DRB1_1406,P06747-4|PHOSP_RABVP,2,66,0.25,153.53,0.007692307692307693,0.2512601466352448
13,Rabies_virus,DRB1_1406,P06747-5|PHOSP_RABVP,2,66,0.25,153.53,0.007692307692307693,0.2512601466352448
14,Rabies_virus,DRB1_1406,P06747|PHOSP_RABVP,11,111,4.789999999999999,271.39,0.11044500807009452,0.3940040650406504
15,Rabies_virus,DRB1_1406,P08667|GLYCO_RABVP,9,58,3.3099999999999996,146.97,0.0850899742930591,0.27235327909864165
16,Rabies_virus,DRB1_1406,P08671|MATRX_RABVP,0,0,0.0,0.0,0.0,0.0
17,Rabies_virus,DRB1_1406,P11213|L_RABVP,73,497,39.29,1121.26,0.34552809779263033,0.45443713118474804
18,Rabies_virus,DRB1_1405,P06025|NCAP_RABVP,50,189,26.7,540.1,0.35117716690779954,0.7073538078711282
19,Rabies_virus,DRB1_1405,P06747-2|PHOSP_RABVP,5,81,0.9699999999999998,169.58,0.026408930029948267,0.2775268394867767
20,Rabies_virus,DRB1_1405,P06747-3|PHOSP_RABVP,0,61,0.0,108.23000000000002,0.0,0.17712424718512704
21,Rabies_virus,DRB1_1405,P06747-4|PHOSP_RABVP,0,61,0.0,108.23000000000002,0.0,0.17712424718512704
22,Rabies_virus,DRB1_1405,P06747-5|PHOSP_RABVP,0,61,0.0,108.23000000000002,0.0,0.17712424718512704
23,Rabies_virus,DRB1_1405,P06747|PHOSP_RABVP,5,90,0.9699999999999998,183.14,0.022365690569518096,0.26588269454123115
24,Rabies_virus,DRB1_1405,P08667|GLYCO_RABVP,0,61,0.0,92.23000000000002,0.0,0.1709134036284121
