,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Rift_Valley,DRB1_1402,P21401-3|GP_RVFVZ,6,21,1.7800000000000002,62.87,0.055816870492317344,0.23445832556404997
1,Rift_Valley,DRB1_1402,P21401-5|GP_RVFVZ,6,21,1.7800000000000002,62.87,0.055816870492317344,0.27023425746830004
2,Rift_Valley,DRB1_1402,P21401|GP_RVFVZ,21,231,5.839999999999998,529.81,0.12274064733081123,0.5676312716286146
3,Rift_Valley,DRB1_1402,P21698|NSS_RVFVZ,10,69,3.54,163.15,0.1471933471933472,0.5009210930303962
4,Rift_Valley,DRB1_1402,P21700|NCAP_RVFVZ,0,13,0.0,12.259999999999991,0.0,0.028352720797391345
5,Rift_Valley,DRB1_1406,P21401-3|GP_RVFVZ,0,14,0.0,15.75,0.0,0.058735782211448824
6,Rift_Valley,DRB1_1406,P21401-5|GP_RVFVZ,0,14,0.0,15.75,0.0,0.0676982591876209
7,Rift_Valley,DRB1_1406,P21401|GP_RVFVZ,13,127,4.68,259.5,0.09836065573770492,0.278024791883176
8,Rift_Valley,DRB1_1406,P21698|NSS_RVFVZ,0,22,0.0,26.060000000000002,0.0,0.08001228124040531
9,Rift_Valley,DRB1_1406,P21700|NCAP_RVFVZ,1,38,0.21999999999999997,84.63,0.006614552014431749,0.1957170278208182
10,Rift_Valley,DRB1_1405,P21401-3|GP_RVFVZ,0,17,0.0,28.230000000000004,0.0,0.10527689725899686
11,Rift_Valley,DRB1_1405,P21401-5|GP_RVFVZ,0,17,0.0,28.230000000000004,0.0,0.12134107027724052
12,Rift_Valley,DRB1_1405,P21401|GP_RVFVZ,39,217,14.849999999999998,572.74,0.3121059268600252,0.6136258932684788
13,Rift_Valley,DRB1_1405,P21698|NSS_RVFVZ,0,37,0.0,42.650000000000006,0.0,0.130948725821308
14,Rift_Valley,DRB1_1405,P21700|NCAP_RVFVZ,0,51,0.0,87.08000000000001,0.0,0.2013829467403622
15,Rift_Valley,DRB1_1602,P21401-3|GP_RVFVZ,33,45,25.79,174.69,0.8087174662903731,0.6514637329852695
16,Rift_Valley,DRB1_1602,P21401-5|GP_RVFVZ,33,44,25.79,174.42000000000002,0.8087174662903731,0.7497098646034818
17,Rift_Valley,DRB1_1602,P21401|GP_RVFVZ,55,275,31.029999999999998,702.42,0.6521647751155948,0.7525632921563796
18,Rift_Valley,DRB1_1602,P21698|NSS_RVFVZ,19,103,8.860000000000001,259.84999999999997,0.3683991683991684,0.7978200798280627
19,Rift_Valley,DRB1_1602,P21700|NCAP_RVFVZ,23,119,7.030000000000001,305.43000000000006,0.2113650030066146,0.7063435165699222
20,Rift_Valley,DRB1_1201,P21401-3|GP_RVFVZ,7,76,2.5,170.41999999999996,0.07839448102853559,0.6355398098079432
21,Rift_Valley,DRB1_1201,P21401-5|GP_RVFVZ,7,76,2.5,170.41999999999996,0.07839448102853559,0.7325166559209111
22,Rift_Valley,DRB1_1201,P21401|GP_RVFVZ,7,128,2.5,250.57,0.052543085329970575,0.2684573106056548
23,Rift_Valley,DRB1_1201,P21698|NSS_RVFVZ,0,16,0.0,15.439999999999998,0.0,0.047405587964384405
24,Rift_Valley,DRB1_1201,P21700|NCAP_RVFVZ,18,41,6.8100000000000005,129.74,0.20475045099218284,0.30003931453944177
25,Rift_Valley,DRB1_0411,P21401-3|GP_RVFVZ,15,38,5.549999999999999,118.37000000000002,0.17403574788334897,0.44143203430915545
26,Rift_Valley,DRB1_0411,P21401-5|GP_RVFVZ,15,38,5.549999999999999,118.37000000000002,0.17403574788334897,0.5087900279389642
27,Rift_Valley,DRB1_0411,P21401|GP_RVFVZ,31,184,11.5,434.68000000000006,0.24169819251786465,0.46571027566774176
28,Rift_Valley,DRB1_0411,P21698|NSS_RVFVZ,6,46,1.0,107.75,0.041580041580041575,0.3308259134172552
29,Rift_Valley,DRB1_0411,P21700|NCAP_RVFVZ,0,63,0.0,97.13999999999996,0.0,0.2246479036099997
30,Rift_Valley,DRB1_0405,P21401-3|GP_RVFVZ,3,43,0.16999999999999993,95.21000000000001,0.005330824709940418,0.3550624650382249
31,Rift_Valley,DRB1_0405,P21401-5|GP_RVFVZ,3,43,0.16999999999999993,95.21000000000001,0.005330824709940418,0.40924134966688164
32,Rift_Valley,DRB1_0405,P21401|GP_RVFVZ,34,307,13.5,660.1999999999999,0.2837326607818411,0.7073293549181997
33,Rift_Valley,DRB1_0405,P21698|NSS_RVFVZ,33,73,18.67,243.24,0.7762993762993764,0.7468222290451337
34,Rift_Valley,DRB1_0405,P21700|NCAP_RVFVZ,0,59,0.0,102.29999999999998,0.0,0.23658102264054945
35,Rift_Valley,DRB1_0406,P21401-3|GP_RVFVZ,26,45,18.15,156.9,0.5691439322671683,0.5851202685064331
36,Rift_Valley,DRB1_0406,P21401-5|GP_RVFVZ,26,45,18.15,156.9,0.5691439322671683,0.6744036105738235
37,Rift_Valley,DRB1_0406,P21401|GP_RVFVZ,36,226,20.949999999999996,469.38,0.44031105506515333,0.5028873865669563
