,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Borna,DRB1_1402,P0C795|MATRX_BDVV,30,70,13.530000000000001,213.85,0.23014118047286955,0.3562385473929701
1,Borna,DRB1_1402,P0C797-2|NCAP_BDVV,11,130,2.0600000000000005,309.27,0.03198261139574601,0.4963886748844376
2,Borna,DRB1_1402,P0C797|NCAP_BDVV,11,130,2.0600000000000005,309.27,0.03198261139574601,0.4963886748844376
3,Borna,DRB1_1402,P0C799-2|PHOSP_BDVV,0,26,0.0,38.730000000000004,0.0,0.11421746438998497
4,Borna,DRB1_1402,P0C799|PHOSP_BDVV,0,34,0.0,47.040000000000006,0.0,0.10512436587927683
5,Borna,DRB1_1402,P0DOF0|X_BDVV,0,1,0.0,0.9000000000000004,0.0,0.005319463325255632
6,Borna,DRB1_1402,P52638|VGLG_BDVV,0,70,0.0,129.49,0.0,0.2518770667185373
7,Borna,DRB1_1402,P52639|L_BDVV,111,354,63.52,949.27,0.6654793085385019,0.5396860591382261
8,Borna,DRB1_1406,P0C795|MATRX_BDVV,0,1,0.0,0.54,0.0,0.0008995502248875562
9,Borna,DRB1_1406,P0C797-2|NCAP_BDVV,11,114,3.8100000000000005,268.33,0.05915230554261762,0.43067860811504877
10,Borna,DRB1_1406,P0C797|NCAP_BDVV,11,114,3.8100000000000005,268.33,0.05915230554261762,0.43067860811504877
11,Borna,DRB1_1406,P0C799-2|PHOSP_BDVV,7,51,2.96,112.99000000000001,0.08309938236945535,0.3332153705505913
12,Borna,DRB1_1406,P0C799|PHOSP_BDVV,7,60,2.96,120.32999999999998,0.07700312174817898,0.2689118823608286
13,Borna,DRB1_1406,P0DOF0|X_BDVV,0,16,0.0,36.93,0.0,0.218275311779656
14,Borna,DRB1_1406,P52638|VGLG_BDVV,10,74,3.2699999999999996,189.63,0.07826711345141214,0.368858198794009
15,Borna,DRB1_1406,P52639|L_BDVV,69,369,36.830000000000005,884.5,0.38585646935568363,0.5028625357461638
16,Borna,DRB1_1405,P0C795|MATRX_BDVV,0,6,0.0,1.3800000000000026,0.0,0.0022988505747126475
17,Borna,DRB1_1405,P0C797-2|NCAP_BDVV,47,151,15.830000000000002,458.86,0.24576929048284432,0.7364856189008732
18,Borna,DRB1_1405,P0C797|NCAP_BDVV,47,151,15.830000000000002,458.86,0.24576929048284432,0.7364856189008732
19,Borna,DRB1_1405,P0C799-2|PHOSP_BDVV,0,20,0.0,23.579999999999984,0.0,0.0695390604264354
20,Borna,DRB1_1405,P0C799|PHOSP_BDVV,0,20,0.0,23.579999999999984,0.0,0.052696270141015
21,Borna,DRB1_1405,P0DOF0|X_BDVV,4,27,0.4299999999999997,68.07,0.03015427769985973,0.4023287428335008
22,Borna,DRB1_1405,P52638|VGLG_BDVV,0,22,0.0,42.92,0.0,0.0834857031705894
23,Borna,DRB1_1405,P52639|L_BDVV,43,387,19.860000000000003,828.1799999999998,0.20806705081194346,0.4708430693660349
24,Borna,DRB1_1602,P0C795|MATRX_BDVV,20,85,10.82,214.10999999999999,0.18404490559618983,0.35667166416791596
25,Borna,DRB1_1602,P0C797-2|NCAP_BDVV,1,78,0.0,130.93,0.0,0.21014702105803804
26,Borna,DRB1_1602,P0C797|NCAP_BDVV,1,78,0.0,130.93,0.0,0.21014702105803804
27,Borna,DRB1_1602,P0C799-2|PHOSP_BDVV,24,51,17.759999999999998,172.01,0.49859629421673207,0.5072694564864785
28,Borna,DRB1_1602,P0C799|PHOSP_BDVV,24,51,17.759999999999998,172.01,0.4620187304890739,0.38440565847989805
29,Borna,DRB1_1602,P0DOF0|X_BDVV,0,0,0.0,0.0,0.0,0.0
30,Borna,DRB1_1602,P52638|VGLG_BDVV,0,57,0.0,104.29999999999998,0.0,0.20287881735070998
31,Borna,DRB1_1602,P52639|L_BDVV,56,452,33.56,1033.88,0.35159769512833944,0.5877891672778337
32,Borna,DRB1_1201,P0C795|MATRX_BDVV,0,6,0.0,4.550000000000001,0.0,0.007579543561552557
33,Borna,DRB1_1201,P0C797-2|NCAP_BDVV,0,17,0.0,18.019999999999996,0.0,0.028922701592193113
34,Borna,DRB1_1201,P0C797|NCAP_BDVV,0,17,0.0,18.019999999999996,0.0,0.028922701592193113
35,Borna,DRB1_1201,P0C799-2|PHOSP_BDVV,3,88,0.20000000000000018,175.79000000000002,0.005614823133071312,0.5184169394556017
36,Borna,DRB1_1201,P0C799|PHOSP_BDVV,3,88,0.20000000000000018,175.79000000000002,0.00520291363163372,0.3928531521666257
