,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Epstein-Barr_virus_B95-8,HLA-A02:07,A0A1P7U110|A0A1P7U110_EBVB9,3,11,1.004,11.261,0.32241490044958254,0.39170058088977006
1,Epstein-Barr_virus_B95-8,HLA-A02:07,A0A1P7U1U3|A0A1P7U1U3_EBVB9,2,7,0.397,6.8309999999999995,0.19919719016557952,0.2272228320526893
2,Epstein-Barr_virus_B95-8,HLA-A02:07,P03177|KITH_EBVB9,12,47,2.7859999999999996,47.67100000000001,0.4546344647519581,0.6679885097736988
3,Epstein-Barr_virus_B95-8,HLA-A02:07,P03179|MTP_EBVB9,34,123,7.662000000000001,118.69399999999999,0.531234833252444,0.593547161130947
4,Epstein-Barr_virus_B95-8,HLA-A02:07,P03180|IL10H_EBVB9,0,15,0.0,15.277000000000001,0.0,0.5626473187978787
5,Epstein-Barr_virus_B95-8,HLA-A02:07,P03181|BHLF1_EBVB9,9,11,1.2570000000000001,16.698,0.059036257749389455,0.059970693444813164
6,Epstein-Barr_virus_B95-8,HLA-A02:07,P03182|EAR_EBVB9,6,24,1.361,23.805,0.4390322580645161,0.7609564300099095
7,Epstein-Barr_virus_B95-8,HLA-A02:07,P03184|UL32_EBVB9,17,69,4.388,62.52599999999998,0.679572556914976,0.8654956189527011
8,Epstein-Barr_virus_B95-8,HLA-A02:07,P03185|NEC2_EBVB9,6,28,1.62,25.235,0.37674418604651166,0.5994488918450247
9,Epstein-Barr_virus_B95-8,HLA-A02:07,P03186|LTP_EBVB9,86,303,21.830000000000002,322.406,0.27899902867951537,0.3423993848820316
10,Epstein-Barr_virus_B95-8,HLA-A02:07,P03187|TRX1_EBVB9,11,43,3.335,39.547,0.6550775879002161,0.7455368083702515
11,Epstein-Barr_virus_B95-8,HLA-A02:07,P03188|GB_EBVB9,19,69,4.7250000000000005,69.228,0.5603652751423152,0.6210627360564113
12,Epstein-Barr_virus_B95-8,HLA-A02:07,P03189|ITP_EBVB9,25,114,5.843,115.161,0.31953406978015964,0.4332846726313651
13,Epstein-Barr_virus_B95-8,HLA-A02:07,P03190|RIR1_EBVB9,15,64,3.4800000000000004,60.878,0.3483483483483484,0.47919962846640063
14,Epstein-Barr_virus_B95-8,HLA-A02:07,P03191|EAD_EBVB9,5,24,1.681,25.705,0.2538891406132004,0.26909749484417367
15,Epstein-Barr_virus_B95-8,HLA-A02:07,P03192|BMRF2_EBVB9,9,51,1.8139999999999996,48.07300000000001,0.3855472901168968,0.7773016848300618
16,Epstein-Barr_virus_B95-8,HLA-A02:07,P03193|PRIM_EBVB9,18,91,4.878,93.54499999999999,0.44941956882255396,0.658739771558948
17,Epstein-Barr_virus_B95-8,HLA-A02:07,P03195|DUT_EBVB9,4,24,0.889,24.23,0.1536732929991357,0.3942209133950507
18,Epstein-Barr_virus_B95-8,HLA-A02:07,P03196|GN_EBVB9,2,10,0.41500000000000004,8.460999999999999,0.16287284144427003,0.3239528294662684
19,Epstein-Barr_virus_B95-8,HLA-A02:07,P03197|BLRF2_EBVB9,2,5,0.17300000000000004,4.361,0.04146692233940556,0.11270481211557346
20,Epstein-Barr_virus_B95-8,HLA-A02:07,P03198|DPOL_EBVB9,25,104,7.1209999999999996,98.628,0.7537842701386683,0.7888409888905774
21,Epstein-Barr_virus_B95-8,HLA-A02:07,P03199|BLLF2_EBVB9,2,7,0.484,8.155999999999999,0.10273827212905966,0.14062796351535423
22,Epstein-Barr_virus_B95-8,HLA-A02:07,P03200-2|GP350_EBVB9,14,43,3.191,48.117000000000004,0.301835035944003,0.35167590007454946
23,Epstein-Barr_virus_B95-8,HLA-A02:07,P03200|GP350_EBVB9,14,45,3.191,48.70400000000001,0.17259844223279966,0.18664326472425438
24,Epstein-Barr_virus_B95-8,HLA-A02:07,P03203|EBNA4_EBVB9,13,53,2.455,51.975,0.13298304533882238,0.175051867219917
25,Epstein-Barr_virus_B95-8,HLA-A02:07,P03204|EBNA6_EBVB9,14,53,3.0949999999999998,49.556999999999995,0.13579921898995215,0.15463705210735382
26,Epstein-Barr_virus_B95-8,HLA-A02:07,P03205|GP42_EBVB9,8,27,2.634,28.665,0.7044664348756351,0.6037406011078582
27,Epstein-Barr_virus_B95-8,HLA-A02:07,P03206|BZLF1_EBVB9,7,25,1.592,27.512,0.29492404594294186,0.4321573309038359
28,Epstein-Barr_virus_B95-8,HLA-A02:07,P03207|BRRF1_EBVB9,10,41,2.634,44.506,0.4046082949308755,0.6459225287723322
