,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Poliovirus_type_1,DRB1_1402,P03300|POLG_POL1M,187,774,72.65,2019.75,0.44625307125307123,0.7771407683872333
1,Poliovirus_type_1,DRB1_1402,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
2,Poliovirus_type_1,DRB1_1406,P03300|POLG_POL1M,200,705,104.38,1902.3799999999999,0.6411547911547911,0.7319802227822775
3,Poliovirus_type_1,DRB1_1406,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
4,Poliovirus_type_1,DRB1_1405,P03300|POLG_POL1M,174,622,95.53999999999999,1663.1299999999999,0.5868550368550368,0.6399238153869832
5,Poliovirus_type_1,DRB1_1405,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
6,Poliovirus_type_1,DRB1_1602,P03300|POLG_POL1M,128,756,45.46000000000001,1908.71,0.27923832923832925,0.7344158217741781
7,Poliovirus_type_1,DRB1_1602,P0DTB3|ORF2P_POL1M,0,23,0.0,54.33,0.0,0.6205596801827528
8,Poliovirus_type_1,DRB1_1201,P03300|POLG_POL1M,182,643,100.88000000000001,1782.52,0.6196560196560197,0.6858615979530195
9,Poliovirus_type_1,DRB1_1201,P0DTB3|ORF2P_POL1M,0,5,0.0,4.59,0.0,0.05242718446601942
10,Poliovirus_type_1,DRB1_0411,P03300|POLG_POL1M,241,875,116.72,2332.29,0.7169533169533169,0.8973970257219263
11,Poliovirus_type_1,DRB1_0411,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
12,Poliovirus_type_1,DRB1_0405,P03300|POLG_POL1M,175,831,73.22,2166.03,0.4497542997542997,0.833425037034187
13,Poliovirus_type_1,DRB1_0405,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
14,Poliovirus_type_1,DRB1_0406,P03300|POLG_POL1M,208,950,116.02,2484.7,0.7126535626535626,0.9560399392062179
15,Poliovirus_type_1,DRB1_0406,P0DTB3|ORF2P_POL1M,0,9,0.0,6.530000000000001,0.0,0.07458595088520847
16,Poliovirus_type_1,HLA-DQA10301-DQB10401,P03300|POLG_POL1M,82,608,34.830000000000005,1425.21,0.21394348894348897,0.5483791531195291
17,Poliovirus_type_1,HLA-DQA10301-DQB10401,P0DTB3|ORF2P_POL1M,0,14,0.0,23.11,0.0,0.26396344945745287
18,Poliovirus_type_1,HLA-DQA10303-DQB10401,P03300|POLG_POL1M,82,608,34.830000000000005,1425.21,0.21394348894348897,0.5483791531195291
19,Poliovirus_type_1,HLA-DQA10303-DQB10401,P0DTB3|ORF2P_POL1M,0,14,0.0,23.11,0.0,0.26396344945745287
20,Poliovirus_type_1,DRB1_0101,P03300|POLG_POL1M,90,556,51.809999999999995,1267.46,0.3182432432432432,0.48768156370842075
21,Poliovirus_type_1,DRB1_0101,P0DTB3|ORF2P_POL1M,0,8,0.0,5.319999999999993,0.0,0.06076527698458016
22,Poliovirus_type_1,DRB1_0102,P03300|POLG_POL1M,83,517,38.84,1232.46,0.23857493857493858,0.47421458665999733
23,Poliovirus_type_1,DRB1_0102,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
24,Poliovirus_type_1,DRB1_0301,P03300|POLG_POL1M,94,513,51.64000000000001,1218.81,0.3171990171990172,0.4689624656111122
25,Poliovirus_type_1,DRB1_0301,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
26,Poliovirus_type_1,DRB1_0302,P03300|POLG_POL1M,160,662,78.06,1709.95,0.47948402948402946,0.6579387829700457
27,Poliovirus_type_1,DRB1_0302,P0DTB3|ORF2P_POL1M,0,1,0.0,0.04999999999999982,0.0,0.0005711022272986844
28,Poliovirus_type_1,DRB1_0401,P03300|POLG_POL1M,228,811,147.36,2157.31,0.9051597051597052,0.8300698358952654
29,Poliovirus_type_1,DRB1_0401,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
30,Poliovirus_type_1,DRB1_0402,P03300|POLG_POL1M,240,916,135.85000000000002,2437.58,0.8344594594594595,0.9379095403913119
31,Poliovirus_type_1,DRB1_0402,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
32,Poliovirus_type_1,DRB1_0403,P03300|POLG_POL1M,208,950,116.02,2484.7,0.7126535626535626,0.9560399392062179
33,Poliovirus_type_1,DRB1_0403,P0DTB3|ORF2P_POL1M,0,9,0.0,6.530000000000001,0.0,0.07458595088520847
34,Poliovirus_type_1,DRB1_0404,P03300|POLG_POL1M,196,850,126.17,2166.18,0.7749999999999999,0.8334827526501087
35,Poliovirus_type_1,DRB1_0404,P0DTB3|ORF2P_POL1M,0,19,0.0,17.99000000000001,0.0,0.20548258138206751
36,Poliovirus_type_1,DRB1_0407,P03300|POLG_POL1M,269,918,162.8,2556.17,1.0,0.9835395063390986
37,Poliovirus_type_1,DRB1_0407,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
38,Poliovirus_type_1,DRB1_0701,P03300|POLG_POL1M,201,799,94.45999999999998,2092.12,0.5802211302211301,0.8049866292156448
39,Poliovirus_type_1,DRB1_0701,P0DTB3|ORF2P_POL1M,5,25,0.33000000000000007,65.78,0.18750000000000006,0.751342090234152
40,Poliovirus_type_1,DRB1_0802,P03300|POLG_POL1M,114,558,41.67,1398.03,0.25595823095823095,0.5379210835144963
41,Poliovirus_type_1,DRB1_0802,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
42,Poliovirus_type_1,DRB1_0804,P03300|POLG_POL1M,121,577,54.07000000000001,1420.44,0.33212530712530713,0.5465437965332154
43,Poliovirus_type_1,DRB1_0804,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
44,Poliovirus_type_1,DRB1_1001,P03300|POLG_POL1M,147,647,81.38,1568.8799999999999,0.4998771498771498,0.603659170049443
45,Poliovirus_type_1,DRB1_1001,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
46,Poliovirus_type_1,DRB1_1101,P03300|POLG_POL1M,126,593,56.71000000000002,1480.3899999999999,0.34834152334152346,0.5696108043633006
47,Poliovirus_type_1,DRB1_1101,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
48,Poliovirus_type_1,DRB1_1102,P03300|POLG_POL1M,201,691,100.51,1945.37,0.6173832923832924,0.7485215183054695
49,Poliovirus_type_1,DRB1_1102,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
50,Poliovirus_type_1,DRB1_1104,P03300|POLG_POL1M,107,618,53.400000000000006,1433.9100000000003,0.32800982800982803,0.5517266588429944
51,Poliovirus_type_1,DRB1_1104,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
52,Poliovirus_type_1,DRB1_1202,P03300|POLG_POL1M,159,650,91.50999999999999,1703.6799999999998,0.562100737100737,0.6555262702245137
53,Poliovirus_type_1,DRB1_1202,P0DTB3|ORF2P_POL1M,0,5,0.0,3.780000000000001,0.0,0.043175328383780714
54,Poliovirus_type_1,DRB1_1301,P03300|POLG_POL1M,201,691,100.51,1945.37,0.6173832923832924,0.7485215183054695
55,Poliovirus_type_1,DRB1_1301,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
56,Poliovirus_type_1,DRB1_1302,P03300|POLG_POL1M,236,895,136.81,2433.24,0.8403562653562653,0.9362396352373074
57,Poliovirus_type_1,DRB1_1302,P0DTB3|ORF2P_POL1M,7,29,1.7599999999999998,87.55,1.0,1.0
58,Poliovirus_type_1,DRB1_1401,P03300|POLG_POL1M,123,620,72.66,1499.5900000000001,0.44631449631449627,0.5769984032012929
59,Poliovirus_type_1,DRB1_1401,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
60,Poliovirus_type_1,DRB1_1404,P03300|POLG_POL1M,113,680,59.260000000000005,1721.5900000000001,0.364004914004914,0.6624175147655785
61,Poliovirus_type_1,DRB1_1404,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
62,Poliovirus_type_1,DRB1_1501,P03300|POLG_POL1M,203,948,84.66,2370.64,0.5200245700245699,0.9121529848592701
63,Poliovirus_type_1,DRB1_1501,P0DTB3|ORF2P_POL1M,0,0,0.0,0.0,0.0,0.0
