,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Lassa_virus,DRB1_1402,O09705|L_LASSJ,107,523,50.18999999999999,1295.15,0.350513304001676,0.42462959866494876
1,Lassa_virus,DRB1_1402,O73557|Z_LASSJ,0,27,0.0,48.81000000000002,0.0,0.28989725010393785
2,Lassa_virus,DRB1_1402,P08669|GLYC_LASSJ,3,118,0.33999999999999986,233.95999999999998,0.010562286424355386,0.3802805454870536
3,Lassa_virus,DRB1_1402,P13699|NCAP_LASSJ,15,143,3.3599999999999994,337.93,0.039538714991762765,0.44566507530398547
4,Lassa_virus,DRB1_1406,O09705|L_LASSJ,59,490,21.180000000000007,1101.5100000000002,0.14791535721768284,0.36114253115502276
5,Lassa_virus,DRB1_1406,O73557|Z_LASSJ,0,23,0.0,33.55999999999999,0.0,0.1993229197600522
6,Lassa_virus,DRB1_1406,P08669|GLYC_LASSJ,15,84,7.0600000000000005,204.41000000000003,0.219322771046909,0.3322497277440957
7,Lassa_virus,DRB1_1406,P13699|NCAP_LASSJ,54,194,24.140000000000004,540.89,0.28406683925629567,0.7133305198744494
8,Lassa_virus,DRB1_1405,O09705|L_LASSJ,103,601,45.23000000000001,1515.94,0.31587401354843225,0.4970181012239064
9,Lassa_virus,DRB1_1405,O73557|Z_LASSJ,0,16,0.0,24.730000000000004,0.0,0.146878897665855
10,Lassa_virus,DRB1_1405,P08669|GLYC_LASSJ,29,72,16.250000000000004,223.45,0.504815159987574,0.3631975033727224
11,Lassa_virus,DRB1_1405,P13699|NCAP_LASSJ,23,176,7.309999999999997,437.28,0.08602024005648386,0.5766887347347875
12,Lassa_virus,DRB1_1602,O09705|L_LASSJ,82,651,24.450000000000003,1539.56,0.17075214749633358,0.5047621857859
13,Lassa_virus,DRB1_1602,O73557|Z_LASSJ,0,5,0.0,1.9599999999999973,0.0,0.011641028686820676
14,Lassa_virus,DRB1_1602,P08669|GLYC_LASSJ,42,151,20.99,411.37,0.6520658589624106,0.6686442468670253
15,Lassa_virus,DRB1_1602,P13699|NCAP_LASSJ,7,111,2.0199999999999996,237.2299999999999,0.023770298893857376,0.3128610239231924
16,Lassa_virus,DRB1_1201,O09705|L_LASSJ,82,579,36.27,1280.2499999999998,0.2532998114393463,0.4197444648811338
17,Lassa_virus,DRB1_1201,O73557|Z_LASSJ,0,0,0.0,0.0,0.0,0.0
18,Lassa_virus,DRB1_1201,P08669|GLYC_LASSJ,37,139,15.840000000000003,386.41999999999996,0.4920782851817336,0.628090307689807
19,Lassa_virus,DRB1_1201,P13699|NCAP_LASSJ,22,128,11.729999999999999,270.34,0.1380324782301718,0.35652678500778096
20,Lassa_virus,DRB1_0411,O09705|L_LASSJ,115,611,54.010000000000005,1569.5899999999997,0.3771911446330051,0.5146078614589172
21,Lassa_virus,DRB1_0411,O73557|Z_LASSJ,0,24,0.0,31.700000000000003,0.0,0.18827582110827346
22,Lassa_virus,DRB1_0411,P08669|GLYC_LASSJ,0,45,0.0,60.390000000000015,0.0,0.09815841230109067
23,Lassa_virus,DRB1_0411,P13699|NCAP_LASSJ,30,222,7.4999999999999964,527.93,0.08825606024947043,0.696238757154538
24,Lassa_virus,DRB1_0405,O09705|L_LASSJ,114,508,41.84,1308.6100000000001,0.2921991759201062,0.4290426121367707
25,Lassa_virus,DRB1_0405,O73557|Z_LASSJ,0,1,0.0,0.2400000000000002,0.0,0.0014254320841004943
26,Lassa_virus,DRB1_0405,P08669|GLYC_LASSJ,20,130,5.74,309.64,0.17831624728176454,0.5032914519773093
