,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_astrovirus_1,HLA-A02:07,O12792|CAPSD_HASV1,8,59,2.162,55.606,0.25701378982406087,0.5280521157790777
1,Human_astrovirus_1,HLA-A02:07,P0C6K4|NS1A_HASV1,24,79,6.368,87.37399999999998,0.5768638463628952,0.6614682302352164
2,Human_astrovirus_1,HLA-A02:07,Q67726|NS1AB_HASV1,42,125,10.202,140.10399999999998,0.6758529314342498,0.7013862119717851
3,Human_astrovirus_1,HLA-A02:03,O12792|CAPSD_HASV1,10,44,2.5429999999999997,41.041999999999994,0.3023062291963861,0.3897477778621894
4,Human_astrovirus_1,HLA-A02:03,P0C6K4|NS1A_HASV1,22,83,6.331,81.664,0.5735120934867289,0.6182404554435956
5,Human_astrovirus_1,HLA-A02:03,Q67726|NS1AB_HASV1,29,113,8.067,112.47300000000001,0.5344153693275919,0.5630603795687675
6,Human_astrovirus_1,HLA-A66:01,O12792|CAPSD_HASV1,19,71,3.458,64.61800000000001,0.41107941036614365,0.613632910430753
7,Human_astrovirus_1,HLA-A66:01,P0C6K4|NS1A_HASV1,25,95,5.4,89.96600000000001,0.4891747440891386,0.6810910660075251
8,Human_astrovirus_1,HLA-A66:01,Q67726|NS1AB_HASV1,38,150,8.435,140.34900000000002,0.5587943027492548,0.7026127267174962
9,Human_astrovirus_1,HLA-A31:08,O12792|CAPSD_HASV1,6,56,1.865,43.61,0.22170708511650025,0.4141343158854364
10,Human_astrovirus_1,HLA-A31:08,P0C6K4|NS1A_HASV1,28,91,6.838000000000001,105.57700000000001,0.6194401666817647,0.7992747424124278
11,Human_astrovirus_1,HLA-A31:08,Q67726|NS1AB_HASV1,53,166,13.544,188.59200000000004,0.8972507452798941,0.9441259956045719
12,Human_astrovirus_1,HLA-A02:36,O12792|CAPSD_HASV1,6,49,1.756,38.25699999999999,0.2087494056110319,0.3633005393907163
13,Human_astrovirus_1,HLA-A02:36,P0C6K4|NS1A_HASV1,22,79,5.433000000000001,76.88,0.49216414530301666,0.5820229992959398
14,Human_astrovirus_1,HLA-A02:36,Q67726|NS1AB_HASV1,33,115,8.486,116.837,0.5621729049354092,0.5849073605903291
15,Human_astrovirus_1,HLA-A68:03,O12792|CAPSD_HASV1,14,67,3.757,65.021,0.4466238706609606,0.6174599255488871
