,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Hepatitis_C,HLA-A02:07,P0C045|F_HCV77,0,6,0.0,4.965999999999999,0.0,0.09880817366043891
1,Hepatitis_C,HLA-A02:07,P27958|POLG_HCV77,61,266,14.494,262.67199999999997,0.5997186362131744,0.7712920739603184
2,Hepatitis_C,HLA-A02:03,P0C045|F_HCV77,1,6,0.328,6.918,0.08686440677966102,0.13764698859905689
3,Hepatitis_C,HLA-A02:03,P27958|POLG_HCV77,72,255,16.810000000000002,262.362,0.6955478318437605,0.7703818111880105
4,Hepatitis_C,HLA-A66:01,P0C045|F_HCV77,7,21,1.4180000000000001,22.763,0.37552966101694923,0.4529139059670905
5,Hepatitis_C,HLA-A66:01,P27958|POLG_HCV77,58,263,12.004999999999999,257.052,0.49673121482952665,0.7547898907978308
6,Hepatitis_C,HLA-A31:08,P0C045|F_HCV77,1,4,0.069,3.319,0.018273305084745766,0.06603792355598002
7,Hepatitis_C,HLA-A31:08,P27958|POLG_HCV77,59,265,14.448999999999998,253.59500000000003,0.5978566699768288,0.7446389927208342
8,Hepatitis_C,HLA-A02:36,P0C045|F_HCV77,1,8,0.10399999999999998,6.2219999999999995,0.027542372881355928,0.12379872261684473
9,Hepatitis_C,HLA-A02:36,P27958|POLG_HCV77,76,260,16.672000000000004,274.966,0.6898378020523007,0.8073913337111414
10,Hepatitis_C,HLA-A68:03,P0C045|F_HCV77,9,30,2.108,31.071,0.5582627118644068,0.6182176326628067
11,Hepatitis_C,HLA-A68:03,P27958|POLG_HCV77,69,259,14.611,261.05,0.604559748427673,0.7665293442290809
12,Hepatitis_C,HLA-A26:01,P0C045|F_HCV77,1,10,0.236,6.216999999999999,0.0625,0.12369923794743228
13,Hepatitis_C,HLA-A26:01,P27958|POLG_HCV77,53,236,11.561,224.37599999999998,0.4783598146309169,0.6588423219335156
14,Hepatitis_C,HLA-A33:01,P0C045|F_HCV77,8,26,1.564,27.455,0.41419491525423735,0.5462703197437274
15,Hepatitis_C,HLA-A33:01,P27958|POLG_HCV77,59,251,15.106,250.50400000000002,0.6250413770274743,0.735562791981466
16,Hepatitis_C,HLA-A29:01,P0C045|F_HCV77,0,3,0.0,3.1719999999999997,0.0,0.06311307427525417
17,Hepatitis_C,HLA-A29:01,P27958|POLG_HCV77,53,232,12.983999999999998,229.21599999999998,0.5372393247269116,0.6730541665076154
18,Hepatitis_C,HLA-A24:07,P0C045|F_HCV77,1,3,0.368,3.019,0.09745762711864407,0.06006884339123341
19,Hepatitis_C,HLA-A24:07,P27958|POLG_HCV77,47,229,9.425999999999998,213.324,0.39001986097318764,0.6263899859349721
20,Hepatitis_C,HLA-A02:13,P0C045|F_HCV77,1,7,0.311,7.931,0.08236228813559322,0.15780258262201793
21,Hepatitis_C,HLA-A02:13,P27958|POLG_HCV77,73,252,17.455000000000002,269.61400000000003,0.7222360145647138,0.7916760873969716
22,Hepatitis_C,HLA-B15:02,P0C045|F_HCV77,1,6,0.12,5.833,0.03177966101694915,0.11605881533655664
23,Hepatitis_C,HLA-B15:02,P27958|POLG_HCV77,55,238,13.557000000000002,226.743,0.5609483614697122,0.6657926186498161
24,Hepatitis_C,HLA-B46:01,P0C045|F_HCV77,3,10,0.949,12.432,0.2513241525423729,0.24735868202709962
25,Hepatitis_C,HLA-B46:01,P27958|POLG_HCV77,55,246,12.335,244.88300000000004,0.510385633896061,0.7190576724874547
26,Hepatitis_C,HLA-B38:02,P0C045|F_HCV77,1,11,0.10999999999999999,11.440999999999999,0.02913135593220339,0.22764082054955329
27,Hepatitis_C,HLA-B38:02,P27958|POLG_HCV77,50,200,12.104999999999999,203.981,0.5008689175769613,0.598955840510217
28,Hepatitis_C,HLA-B54:01,P0C045|F_HCV77,7,26,1.879,28.15,0.49761652542372886,0.5600986887920572
29,Hepatitis_C,HLA-B54:01,P27958|POLG_HCV77,68,313,18.762999999999998,302.394,0.7763571665011585,0.8879290347397383
30,Hepatitis_C,HLA-B13:02,P0C045|F_HCV77,0,9,0.0,6.090999999999999,0.0,0.12119222427823871
31,Hepatitis_C,HLA-B13:02,P27958|POLG_HCV77,60,218,14.857999999999999,217.212,0.6147798742138364,0.6378064428986291
32,Hepatitis_C,HLA-B14:05,P0C045|F_HCV77,4,15,0.6560000000000001,12.014,0.17372881355932207,0.23904176366421934
33,Hepatitis_C,HLA-B14:05,P27958|POLG_HCV77,43,201,8.831999999999999,184.877,0.36544190665342596,0.5428601630838529
34,Hepatitis_C,HLA-B45:01,P0C045|F_HCV77,3,4,0.539,5.9399999999999995,0.14274364406779663,0.11818778726198292
35,Hepatitis_C,HLA-B45:01,P27958|POLG_HCV77,54,190,13.684000000000003,197.524,0.5662032439589542,0.5799959478624975
36,Hepatitis_C,HLA-B55:02,P0C045|F_HCV77,12,39,3.278,43.035000000000004,0.8681144067796611,0.8562645496329017
37,Hepatitis_C,HLA-B55:02,P27958|POLG_HCV77,77,337,16.938,328.456,0.7008440913604767,0.9644557069071328
38,Hepatitis_C,HLA-B07:05,P0C045|F_HCV77,13,44,3.776,46.491,1.0,0.9250283531307826
39,Hepatitis_C,HLA-B07:05,P27958|POLG_HCV77,68,313,17.046,316.059,0.7053128103277061,0.9280540050093817
40,Hepatitis_C,HLA-B35:14,P0C045|F_HCV77,4,13,0.7130000000000001,13.395,0.18882415254237292,0.26651942935593625
41,Hepatitis_C,HLA-B35:14,P27958|POLG_HCV77,49,249,11.434000000000001,243.68,0.473104932141675,0.7155252656645946
42,Hepatitis_C,HLA-B39:05,P0C045|F_HCV77,1,14,0.069,10.925,0.018273305084745766,0.21737400266618914
43,Hepatitis_C,HLA-B39:05,P27958|POLG_HCV77,58,203,13.306,209.84300000000002,0.5505627275736511,0.6161686159014098
44,Hepatitis_C,HLA-C14:03,P0C045|F_HCV77,2,5,0.56,5.065,0.14830508474576273,0.10077797011480531
45,Hepatitis_C,HLA-C14:03,P27958|POLG_HCV77,51,234,11.248,208.913,0.46540880503144655,0.6134378275844856
46,Hepatitis_C,HLA-C05:09,P0C045|F_HCV77,0,2,0.0,1.376,0.0,0.027378181022304462
47,Hepatitis_C,HLA-C05:09,P27958|POLG_HCV77,34,191,7.582000000000001,169.49999999999994,0.31372062231049325,0.4977081932458501
48,Hepatitis_C,HLA-C06:03,P0C045|F_HCV77,5,12,1.1960000000000002,14.056999999999999,0.31673728813559326,0.27969119958614375
49,Hepatitis_C,HLA-C06:03,P27958|POLG_HCV77,60,272,14.341000000000001,260.265,0.5933879510095995,0.7642243239830749
50,Hepatitis_C,HLA-A01:01,P0C045|F_HCV77,1,4,0.16799999999999998,4.916,0.04449152542372881,0.09781332696631449
51,Hepatitis_C,HLA-A01:01,P27958|POLG_HCV77,46,229,10.058,220.00799999999998,0.4161701423369745,0.6460164258385429
52,Hepatitis_C,HLA-A02:01,P0C045|F_HCV77,1,7,0.192,6.144,0.05084745762711865,0.12224676177401063
53,Hepatitis_C,HLA-A02:01,P27958|POLG_HCV77,72,261,15.346,275.043,0.6349718636213175,0.8076174312384566
54,Hepatitis_C,HLA-A02:02,P0C045|F_HCV77,1,7,0.24,6.981999999999999,0.0635593220338983,0.13892039236753614
55,Hepatitis_C,HLA-A02:02,P27958|POLG_HCV77,66,252,15.779,261.46299999999997,0.6528881165177094,0.767742049148317
56,Hepatitis_C,HLA-A02:06,P0C045|F_HCV77,0,8,0.0,6.263,0.0,0.12461449690602677
57,Hepatitis_C,HLA-A02:06,P27958|POLG_HCV77,67,272,14.518000000000004,269.937,0.600711684872559,0.7926245224790861
58,Hepatitis_C,HLA-A02:11,P0C045|F_HCV77,1,7,0.066,6.068,0.017478813559322036,0.12073459479894147
59,Hepatitis_C,HLA-A02:11,P27958|POLG_HCV77,75,258,17.076999999999998,278.589,0.7065954981794107,0.8180296628210512
60,Hepatitis_C,HLA-A03:01,P0C045|F_HCV77,3,12,0.953,11.948,0.2523834745762712,0.2377285660279751
61,Hepatitis_C,HLA-A03:01,P27958|POLG_HCV77,52,206,13.911,206.944,0.5755958291956306,0.6076561908145678
62,Hepatitis_C,HLA-A03:02,P0C045|F_HCV77,3,17,1.009,16.221,0.2672139830508474,0.3227481645078493
63,Hepatitis_C,HLA-A03:02,P27958|POLG_HCV77,55,214,13.214,210.178,0.5467560410460113,0.6171522869618071
64,Hepatitis_C,HLA-A11:01,P0C045|F_HCV77,4,17,1.315,15.594999999999999,0.3482521186440678,0.3102926838974114
65,Hepatitis_C,HLA-A11:01,P27958|POLG_HCV77,55,220,13.993,216.48499999999996,0.578988745448527,0.6356717298809904
