,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,HPV4,HLA-A02:07,P0DOD0|VE8E2_HPV04,0,6,0.0,5.227,0.0,0.1542934734480621
1,HPV4,HLA-A02:07,Q07846|VE1_HPV04,12,51,3.086,49.475,0.48423034677545895,0.6072191266354108
2,HPV4,HLA-A02:07,Q07849|VE2_HPV04,3,21,0.5549999999999999,17.663,0.12483130904183536,0.3005700672168808
3,HPV4,HLA-A02:07,Q07852|VE4_HPV04,0,5,0.0,4.892,0.0,0.15365769387819206
4,HPV4,HLA-A02:07,Q07854|VE6_HPV04,7,16,1.6380000000000001,21.092,0.5374015748031497,0.6606941486029317
5,HPV4,HLA-A02:07,Q07857|VE7_HPV04,2,5,0.30699999999999994,5.085,0.16183447548761198,0.22954001715343295
6,HPV4,HLA-A02:07,Q07860|VL1_HPV04,17,51,4.719,54.290000000000006,0.744674136026511,0.722787304292257
7,HPV4,HLA-A02:07,Q07862|VL2_HPV04,13,48,3.937,47.772,0.4862294677040878,0.5458222410109342
8,HPV4,HLA-A02:03,P0DOD0|VE8E2_HPV04,1,7,0.197,6.764,0.06228264306038571,0.19966348850252383
9,HPV4,HLA-A02:03,Q07846|VE1_HPV04,14,41,3.38,44.344,0.5303624666562058,0.5442450722894523
10,HPV4,HLA-A02:03,Q07849|VE2_HPV04,6,26,1.45,22.13,0.32613585245164195,0.37658470177826936
11,HPV4,HLA-A02:03,Q07852|VE4_HPV04,2,4,0.40900000000000003,4.893,0.12311860325105359,0.15368910387285234
12,HPV4,HLA-A02:03,Q07854|VE6_HPV04,1,9,0.47,9.383,0.1541994750656168,0.2939168024057135
13,HPV4,HLA-A02:03,Q07857|VE7_HPV04,0,6,0.0,5.834999999999999,0.0,0.2633954769105764
14,HPV4,HLA-A02:03,Q07860|VL1_HPV04,7,35,1.8760000000000001,31.549999999999997,0.2960391352374941,0.42003940781765897
15,HPV4,HLA-A02:03,Q07862|VL2_HPV04,7,27,1.1110000000000002,23.53,0.13721131283191307,0.26884361824891745
16,HPV4,HLA-A66:01,P0DOD0|VE8E2_HPV04,9,28,1.7100000000000004,29.958999999999996,0.5406259879860893,0.8843463116568762
17,HPV4,HLA-A66:01,Q07846|VE1_HPV04,13,51,2.651,48.040000000000006,0.4159736387886395,0.589607010481357
18,HPV4,HLA-A66:01,Q07849|VE2_HPV04,15,43,3.0360000000000005,46.67699999999999,0.6828609986504725,0.794299327831192
19,HPV4,HLA-A66:01,Q07852|VE4_HPV04,3,8,0.6519999999999999,9.125,0.19626730885009028,0.2866162012752458
20,HPV4,HLA-A66:01,Q07854|VE6_HPV04,2,10,0.36,10.023,0.11811023622047244,0.31396441548678106
21,HPV4,HLA-A66:01,Q07857|VE7_HPV04,2,3,0.677,3.921,0.3568792830785451,0.17699634361034622
22,HPV4,HLA-A66:01,Q07860|VL1_HPV04,8,35,1.6360000000000001,38.038,0.25816632475934986,0.5064170838214932
23,HPV4,HLA-A66:01,Q07862|VL2_HPV04,22,52,5.865,57.970000000000006,0.7243423490181548,0.6623401848656926
24,HPV4,HLA-A31:08,P0DOD0|VE8E2_HPV04,2,15,0.6930000000000001,14.678,0.21909579513120456,0.43327331227676597
25,HPV4,HLA-A31:08,Q07846|VE1_HPV04,20,74,5.605,76.193,0.8794916052094776,0.9351358648960454
26,HPV4,HLA-A31:08,Q07849|VE2_HPV04,8,42,2.4269999999999996,42.969,0.5458839406207827,0.7312005445418192
27,HPV4,HLA-A31:08,Q07852|VE4_HPV04,0,2,0.0,2.042,0.0,0.06413920909633444
28,HPV4,HLA-A31:08,Q07854|VE6_HPV04,4,15,0.712,13.511,0.23359580052493437,0.42322390677859906
29,HPV4,HLA-A31:08,Q07857|VE7_HPV04,0,2,0.0,1.29,0.0,0.058231390782286827
30,HPV4,HLA-A31:08,Q07860|VL1_HPV04,15,73,3.944,67.293,0.6223765188575036,0.8959021195015445
31,HPV4,HLA-A31:08,Q07862|VL2_HPV04,6,21,1.3719999999999999,21.320999999999998,0.1694454736322094,0.24360453823566375
32,HPV4,HLA-A02:36,P0DOD0|VE8E2_HPV04,0,7,0.0,5.282,0.0,0.15591699383062255
33,HPV4,HLA-A02:36,Q07846|VE1_HPV04,11,45,2.3009999999999997,46.30099999999999,0.36105444845441703,0.568263825818012
34,HPV4,HLA-A02:36,Q07849|VE2_HPV04,5,25,0.8330000000000002,23.503999999999998,0.1873594242015295,0.3999659661363056
35,HPV4,HLA-A02:36,Q07852|VE4_HPV04,0,4,0.0,3.5999999999999996,0.0,0.11307598077708325
36,HPV4,HLA-A02:36,Q07854|VE6_HPV04,4,13,0.855,14.184,0.28051181102362205,0.44430522490915914
37,HPV4,HLA-A02:36,Q07857|VE7_HPV04,2,8,0.469,7.7620000000000005,0.24723247232472323,0.3503814381799305
38,HPV4,HLA-A02:36,Q07860|VL1_HPV04,10,37,2.65,43.291000000000004,0.41817894902950925,0.5763526467142401
39,HPV4,HLA-A02:36,Q07862|VL2_HPV04,4,31,0.6930000000000001,27.722999999999992,0.08558725453871804,0.31675102544474015
40,HPV4,HLA-A68:03,P0DOD0|VE8E2_HPV04,9,33,2.701,33.693999999999996,0.8539361365791969,0.9945981049089351
41,HPV4,HLA-A68:03,Q07846|VE1_HPV04,9,53,1.8260000000000005,45.208,0.28652126157225805,0.5548491617369105
42,HPV4,HLA-A68:03,Q07849|VE2_HPV04,13,49,3.8320000000000003,51.436,0.8618983355825462,0.8752829064919595
43,HPV4,HLA-A68:03,Q07852|VE4_HPV04,3,8,0.766,9.646,0.23058398555087298,0.3029808084932626
44,HPV4,HLA-A68:03,Q07854|VE6_HPV04,1,8,0.07900000000000001,4.27,0.02591863517060368,0.1337551685252474
45,HPV4,HLA-A68:03,Q07857|VE7_HPV04,1,4,0.05199999999999999,3.357,0.027411702688455452,0.15153703787297435
46,HPV4,HLA-A68:03,Q07860|VL1_HPV04,5,45,0.7230000000000001,38.659000000000006,0.11409184156540952,0.5146847374587284
47,HPV4,HLA-A68:03,Q07862|VL2_HPV04,23,51,6.289999999999999,60.217999999999996,0.776830925033963,0.6880248620362648
48,HPV4,HLA-A26:01,P0DOD0|VE8E2_HPV04,5,16,1.374,17.143,0.4343977236800506,0.5060365439678838
49,HPV4,HLA-A26:01,Q07846|VE1_HPV04,14,54,3.3299999999999996,59.730000000000004,0.5225168680370311,0.7330813225656005
50,HPV4,HLA-A26:01,Q07849|VE2_HPV04,10,29,3.0620000000000003,31.693,0.6887089518668467,0.5393176210329278
51,HPV4,HLA-A26:01,Q07852|VE4_HPV04,1,3,0.020000000000000018,2.688,0.006020469596628542,0.08443006564688885
52,HPV4,HLA-A26:01,Q07854|VE6_HPV04,6,21,1.331,20.219,0.4366797900262467,0.6333479513845381
53,HPV4,HLA-A26:01,Q07857|VE7_HPV04,3,8,0.757,9.623,0.39905113336847653,0.4343881189906559
54,HPV4,HLA-A26:01,Q07860|VL1_HPV04,10,47,2.726,45.291,0.43017200568092157,0.6029795505378635
55,HPV4,HLA-A26:01,Q07862|VL2_HPV04,9,47,2.446,41.925999999999995,0.3020871927874521,0.4790283696856826
56,HPV4,HLA-A33:01,P0DOD0|VE8E2_HPV04,2,21,0.611,20.348000000000003,0.19317104015175465,0.6006435044425422
57,HPV4,HLA-A33:01,Q07846|VE1_HPV04,14,55,3.269,49.803000000000004,0.5129452377216381,0.6112447531849088
