,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_respiratory_syncytial_virus,DRB1_1402,O36632|SH_HRSVB,0,12,0.0,22.909999999999997,0.0,0.19258574310692667
1,Human_respiratory_syncytial_virus,DRB1_1402,O36633-2|GLYC_HRSVB,11,74,3.0300000000000002,187.76999999999998,0.0614106201864613,0.22443344807802637
2,Human_respiratory_syncytial_virus,DRB1_1402,O36633|GLYC_HRSVB,11,74,3.0300000000000002,187.76999999999998,0.0614106201864613,0.22443344807802637
3,Human_respiratory_syncytial_virus,DRB1_1402,O36634|FUS_HRSVB,22,157,12.26,332.49,0.18227772821885224,0.3839908532360142
4,Human_respiratory_syncytial_virus,DRB1_1402,O36635|L_HRSVB,127,648,63.279999999999994,1556.99,0.5063615267664239,0.5522572818977626
5,Human_respiratory_syncytial_virus,DRB1_1402,O42038|NS2_HRSVB,0,26,0.0,43.10000000000001,0.0,0.1094408613071962
6,Human_respiratory_syncytial_virus,DRB1_1402,O42047|M22_HRSVB,3,45,0.6600000000000001,118.14000000000001,0.017694369973190353,0.33893734220794136
7,Human_respiratory_syncytial_virus,DRB1_1402,O42049|MATRX_HRSVB,8,136,1.3800000000000008,290.63,0.02181818181818183,0.3671842427764652
8,Human_respiratory_syncytial_virus,DRB1_1402,O42050|M21_HRSVB,45,102,25.409999999999997,315.23999999999995,0.6280276816608995,0.6192590264408909
9,Human_respiratory_syncytial_virus,DRB1_1402,O42053|NCAP_HRSVB,68,235,36.3,636.8699999999999,0.614109287768567,0.7988134509012003
10,Human_respiratory_syncytial_virus,DRB1_1402,O42062|PHOSP_HRSVB,9,58,3.33,124.89999999999998,0.06754563894523327,0.21000420344682635
11,Human_respiratory_syncytial_virus,DRB1_1402,O42083|NS1_HRSVB,0,25,0.0,55.11,0.0,0.1822722010914503
12,Human_respiratory_syncytial_virus,DRB1_1406,O36632|SH_HRSVB,6,25,2.62,76.08000000000001,0.3096926713947991,0.6395427034297243
13,Human_respiratory_syncytial_virus,DRB1_1406,O36633-2|GLYC_HRSVB,12,46,4.319999999999999,118.40999999999998,0.08755573571139035,0.14153040734366035
14,Human_respiratory_syncytial_virus,DRB1_1406,O36633|GLYC_HRSVB,12,46,4.319999999999999,118.40999999999998,0.08755573571139035,0.14153040734366035
15,Human_respiratory_syncytial_virus,DRB1_1406,O36634|FUS_HRSVB,54,223,29.86,570.71,0.44394885518881955,0.6591098073636069
16,Human_respiratory_syncytial_virus,DRB1_1406,O36635|L_HRSVB,88,693,51.86,1456.4800000000002,0.41497959510282467,0.5166068413660032
17,Human_respiratory_syncytial_virus,DRB1_1406,O42038|NS2_HRSVB,13,42,5.030000000000001,117.47000000000001,0.13320974576271188,0.298283479762328
18,Human_respiratory_syncytial_virus,DRB1_1406,O42047|M22_HRSVB,26,55,9.780000000000001,198.45999999999998,0.26219839142091156,0.5693711269221942
19,Human_respiratory_syncytial_virus,DRB1_1406,O42049|MATRX_HRSVB,19,122,8.649999999999999,287.28999999999996,0.1367588932806324,0.36296446033530844
20,Human_respiratory_syncytial_virus,DRB1_1406,O42050|M21_HRSVB,58,150,40.46,491.01,1.0,0.9645424900797548
21,Human_respiratory_syncytial_virus,DRB1_1406,O42053|NCAP_HRSVB,44,191,23.729999999999997,485.01000000000005,0.40145491456606325,0.6083384549776112
22,Human_respiratory_syncytial_virus,DRB1_1406,O42062|PHOSP_HRSVB,16,70,7.199999999999999,161.47999999999996,0.1460446247464503,0.27150903741067667
23,Human_respiratory_syncytial_virus,DRB1_1406,O42083|NS1_HRSVB,1,24,0.4,52.55,0.011940298507462687,0.1738051926575161
24,Human_respiratory_syncytial_virus,DRB1_1405,O36632|SH_HRSVB,4,23,1.0500000000000003,66.05,0.124113475177305,0.5552286482851378
25,Human_respiratory_syncytial_virus,DRB1_1405,O36633-2|GLYC_HRSVB,24,85,14.379999999999999,238.73999999999998,0.2914471017430077,0.28535570854847964
26,Human_respiratory_syncytial_virus,DRB1_1405,O36633|GLYC_HRSVB,24,85,14.379999999999999,238.73999999999998,0.2914471017430077,0.28535570854847964
27,Human_respiratory_syncytial_virus,DRB1_1405,O36634|FUS_HRSVB,72,218,41.25,632.27,0.613291703835861,0.7302051092530142
28,Human_respiratory_syncytial_virus,DRB1_1405,O36635|L_HRSVB,82,484,49.900000000000006,1045.0700000000002,0.39929583099943994,0.37068158279301394
29,Human_respiratory_syncytial_virus,DRB1_1405,O42038|NS2_HRSVB,21,67,10.99,209.51000000000002,0.2910487288135593,0.5319943121222894
30,Human_respiratory_syncytial_virus,DRB1_1405,O42047|M22_HRSVB,29,64,19.93,224.4,0.5343163538873995,0.6437915997245812
31,Human_respiratory_syncytial_virus,DRB1_1405,O42049|MATRX_HRSVB,41,158,21.75,436.79999999999995,0.3438735177865613,0.5518565779333173
32,Human_respiratory_syncytial_virus,DRB1_1405,O42050|M21_HRSVB,60,159,39.099999999999994,509.06,0.9663865546218485,1.0
33,Human_respiratory_syncytial_virus,DRB1_1405,O42053|NCAP_HRSVB,30,186,12.080000000000002,463.40999999999997,0.20436474369818985,0.5812460019817627
34,Human_respiratory_syncytial_virus,DRB1_1405,O42062|PHOSP_HRSVB,16,104,2.620000000000001,271.48,0.05314401622718055,0.4564606977721732
35,Human_respiratory_syncytial_virus,DRB1_1405,O42083|NS1_HRSVB,4,28,0.5900000000000003,69.95,0.017611940298507472,0.2313543906069125
36,Human_respiratory_syncytial_virus,DRB1_1602,O36632|SH_HRSVB,0,0,0.0,0.0,0.0,0.0
37,Human_respiratory_syncytial_virus,DRB1_1602,O36633-2|GLYC_HRSVB,25,36,12.6,140.02,0.25537089582488853,0.16735991585389176
38,Human_respiratory_syncytial_virus,DRB1_1602,O36633|GLYC_HRSVB,25,36,12.6,140.02,0.25537089582488853,0.16735991585389176
39,Human_respiratory_syncytial_virus,DRB1_1602,O36634|FUS_HRSVB,2,153,0.25,295.03999999999996,0.0037169194171870357,0.34074005635884874
40,Human_respiratory_syncytial_virus,DRB1_1602,O36635|L_HRSVB,138,875,66.31,2114.59,0.5306073457629832,0.750035469545848
41,Human_respiratory_syncytial_virus,DRB1_1602,O42038|NS2_HRSVB,19,73,8.209999999999999,202.66,0.21742584745762705,0.5146005789446956
42,Human_respiratory_syncytial_virus,DRB1_1602,O42047|M22_HRSVB,0,4,0.0,2.09,0.0,0.005996098232728942
43,Human_respiratory_syncytial_virus,DRB1_1602,O42049|MATRX_HRSVB,24,141,14.48,334.40999999999997,0.22893280632411067,0.4224962413614483
44,Human_respiratory_syncytial_virus,DRB1_1602,O42050|M21_HRSVB,0,44,0.0,60.21000000000001,0.0,0.11827682395002555
45,Human_respiratory_syncytial_virus,DRB1_1602,O42053|NCAP_HRSVB,33,124,26.85,335.21000000000004,0.45423786161394014,0.4204472763304778
46,Human_respiratory_syncytial_virus,DRB1_1602,O42062|PHOSP_HRSVB,13,66,4.800000000000001,142.92999999999998,0.09736308316430023,0.24031946195880619
47,Human_respiratory_syncytial_virus,DRB1_1602,O42083|NS1_HRSVB,16,36,6.960000000000001,112.96,0.20776119402985077,0.37360674714734576
48,Human_respiratory_syncytial_virus,DRB1_1201,O36632|SH_HRSVB,0,28,0.0,56.599999999999994,0.0,0.4757901815736381
49,Human_respiratory_syncytial_virus,DRB1_1201,O36633-2|GLYC_HRSVB,0,0,0.0,0.0,0.0,0.0
50,Human_respiratory_syncytial_virus,DRB1_1201,O36633|GLYC_HRSVB,0,4,0.0,4.640000000000001,0.0,0.005545993497800728
51,Human_respiratory_syncytial_virus,DRB1_1201,O36634|FUS_HRSVB,47,250,24.450000000000003,642.51,0.36351471900089216,0.7420312283457291
