,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Epstein-Barr_virus_B95-8,DRB1_1402,A0A1P7U110|A0A1P7U110_EBVB9,5,43,0.8499999999999996,101.06,0.03010981225646474,0.3459537176502807
1,Epstein-Barr_virus_B95-8,DRB1_1402,A0A1P7U1U3|A0A1P7U1U3_EBVB9,7,21,1.5,63.839999999999996,0.14970059880239522,0.2387077475321568
2,Epstein-Barr_virus_B95-8,DRB1_1402,P03177|KITH_EBVB9,26,113,16.22,303.27,0.32459475685411243,0.4558257680514639
3,Epstein-Barr_virus_B95-8,DRB1_1402,P03179|MTP_EBVB9,20,316,3.6099999999999994,637.14,0.03595617529880477,0.5193977288475491
4,Epstein-Barr_virus_B95-8,DRB1_1402,P03180|IL10H_EBVB9,0,9,0.0,10.14,0.0,0.03791362871564779
5,Epstein-Barr_virus_B95-8,DRB1_1402,P03181|BHLF1_EBVB9,0,8,0.0,6.079999999999998,0.0,0.002287365316318545
6,Epstein-Barr_virus_B95-8,DRB1_1402,P03182|EAR_EBVB9,4,24,0.29000000000000004,57.37,0.008633521881512354,0.15595183080979694
7,Epstein-Barr_virus_B95-8,DRB1_1402,P03184|UL32_EBVB9,14,117,4.65,257.69000000000005,0.09255573248407645,0.36327623881017845
8,Epstein-Barr_virus_B95-8,DRB1_1402,P03185|NEC2_EBVB9,19,81,5.75,242.69,0.1077788191190253,0.43744479893292953
9,Epstein-Barr_virus_B95-8,DRB1_1402,P03186|LTP_EBVB9,134,578,64.33,1469.3200000000002,0.13019631653511435,0.23930176236923925
10,Epstein-Barr_virus_B95-8,DRB1_1402,P03187|TRX1_EBVB9,18,107,4.5600000000000005,242.0900000000001,0.08934169278996865,0.4538194769894087
11,Epstein-Barr_virus_B95-8,DRB1_1402,P03188|GB_EBVB9,28,200,13.160000000000002,463.71000000000004,0.1482315836900203,0.326344903302086
12,Epstein-Barr_virus_B95-8,DRB1_1402,P03189|ITP_EBVB9,61,240,27.89,620.69,0.167437113525845,0.26161303239130895
13,Epstein-Barr_virus_B95-8,DRB1_1402,P03190|RIR1_EBVB9,30,154,9.93,389.31999999999994,0.11088777219430485,0.2886203573281933
14,Epstein-Barr_virus_B95-8,DRB1_1402,P03191|EAD_EBVB9,0,63,0.0,112.14000000000001,0.0,0.1835922791047953
15,Epstein-Barr_virus_B95-8,DRB1_1402,P03192|BMRF2_EBVB9,0,22,0.0,43.7,0.0,0.08684592301118862
16,Epstein-Barr_virus_B95-8,DRB1_1402,P03193|PRIM_EBVB9,52,193,30.11,537.8499999999999,0.4893547862831139,0.5268700286038948
17,Epstein-Barr_virus_B95-8,DRB1_1402,P03195|DUT_EBVB9,0,33,0.0,35.41999999999999,0.0,0.10896785109983077
18,Epstein-Barr_virus_B95-8,DRB1_1402,P03196|GN_EBVB9,0,0,0.0,0.0,0.0,0.0
19,Epstein-Barr_virus_B95-8,DRB1_1402,P03197|BLRF2_EBVB9,0,4,0.0,2.6199999999999974,0.0,0.007481866468673246
20,Epstein-Barr_virus_B95-8,DRB1_1402,P03198|DPOL_EBVB9,56,238,25.729999999999997,598.0699999999999,0.2851285460992907,0.46779037935080164
21,Epstein-Barr_virus_B95-8,DRB1_1402,P03199|BLLF2_EBVB9,8,41,2.2300000000000004,106.24,0.0877607241243605,0.41654577533816894
22,Epstein-Barr_virus_B95-8,DRB1_1402,P03200-2|GP350_EBVB9,8,79,3.4699999999999998,161.39999999999995,0.024393673110720562,0.08556025000132525
23,Epstein-Barr_virus_B95-8,DRB1_1402,P03200|GP350_EBVB9,8,84,3.4699999999999998,167.82999999999998,0.021009929765076284,0.06191458200371125
24,Epstein-Barr_virus_B95-8,DRB1_1402,P03203|EBNA4_EBVB9,45,186,17.919999999999998,504.35,0.13388121031004854,0.3400601434813097
25,Epstein-Barr_virus_B95-8,DRB1_1402,P03204|EBNA6_EBVB9,20,89,11.299999999999999,210.98999999999998,0.1316709391750175,0.17574445046020573
26,Epstein-Barr_virus_B95-8,DRB1_1402,P03205|GP42_EBVB9,2,48,0.1499999999999999,110.52000000000001,0.005539143279172818,0.37159572321968937
27,Epstein-Barr_virus_B95-8,DRB1_1402,P03206|BZLF1_EBVB9,0,42,0.0,58.29000000000002,0.0,0.10806251274540707
28,Epstein-Barr_virus_B95-8,DRB1_1402,P03207|BRRF1_EBVB9,13,41,6.55,127.66000000000001,0.1871963418119463,0.2737605078057986
29,Epstein-Barr_virus_B95-8,DRB1_1402,P03208|BILF1_EBVB9,0,1,0.0,0.21999999999999975,0.0,0.0007399932727884283
30,Epstein-Barr_virus_B95-8,DRB1_1402,P03209|BRLF1_EBVB9,71,197,34.53,594.42,0.5532767184746035,0.7542922403400799
31,Epstein-Barr_virus_B95-8,DRB1_1402,P03210|BRRF2_EBVB9,0,39,0.0,60.150000000000006,0.0,0.08391110863105619
32,Epstein-Barr_virus_B95-8,DRB1_1402,P03211|EBNA1_EBVB9,0,7,0.0,11.23,0.0,0.012807937956204381
33,Epstein-Barr_virus_B95-8,DRB1_1402,P03212|GL_EBVB9,0,5,0.0,6.810000000000002,0.0,0.04029585798816569
34,Epstein-Barr_virus_B95-8,DRB1_1402,P03213|PORTL_EBVB9,16,138,7.33,313.87,0.10581781434964632,0.30695131730788033
35,Epstein-Barr_virus_B95-8,DRB1_1402,P03214|HELI_EBVB9,31,154,17.35,355.66999999999996,0.3047602318636923,0.37761309707078317
36,Epstein-Barr_virus_B95-8,DRB1_1402,P03215|GM_EBVB9,0,0,0.0,0.0,0.0,0.0
37,Epstein-Barr_virus_B95-8,DRB1_1402,P03217|AN_EBVB9,61,166,36.31999999999999,503.90000000000003,0.7122965287311236,0.6454463942615603
38,Epstein-Barr_virus_B95-8,DRB1_1402,P03218|BILF2_EBVB9,16,47,5.75,148.9,0.36300505050505044,0.4714412360688956
39,Epstein-Barr_virus_B95-8,DRB1_1402,P03219|TRM3_EBVB9,50,243,19.130000000000003,635.31,0.312275546849494,0.7176130395002879
40,Epstein-Barr_virus_B95-8,DRB1_1402,P03220|UL95_EBVB9,8,49,1.6600000000000001,121.11,0.06021037359448676,0.3211785297549592
41,Epstein-Barr_virus_B95-8,DRB1_1402,P03222|CVC1_EBVB9,11,103,5.590000000000001,221.12999999999994,0.15215024496461624,0.3089141276560077
42,Epstein-Barr_virus_B95-8,DRB1_1402,P03224|BDLF3_EBVB9,0,15,0.0,26.690000000000005,0.0,0.025321619672877695
43,Epstein-Barr_virus_B95-8,DRB1_1402,P03225|BDLF2_EBVB9,13,105,4.050000000000001,261.98,0.08218344155844157,0.41054330622287
44,Epstein-Barr_virus_B95-8,DRB1_1402,P03226|MCP_EBVB9,94,478,46.87,1201.0,0.30799053752135624,0.5700750923227357
45,Epstein-Barr_virus_B95-8,DRB1_1402,P03227|DNBI_EBVB9,70,266,40.08,701.71,0.33244857332448574,0.41946725966309195
46,Epstein-Barr_virus_B95-8,DRB1_1402,P03228|BARF1_EBVB9,0,4,0.0,2.4399999999999977,0.0,0.008739568036104437
47,Epstein-Barr_virus_B95-8,DRB1_1402,P03230|LMP1_EBVB9,0,0,0.0,0.0,0.0,0.0
48,Epstein-Barr_virus_B95-8,DRB1_1402,P03231|GH_EBVB9,16,99,6.719999999999999,236.48000000000002,0.15924170616113742,0.2765168788952421
49,Epstein-Barr_virus_B95-8,DRB1_1402,P03232|UL24_EBVB9,0,28,0.0,41.80999999999999,0.0,0.1446762863766912
50,Epstein-Barr_virus_B95-8,DRB1_1402,P03233|CVC2_EBVB9,55,172,33.37,488.23999999999995,0.7092454835281615,0.6783277991580643
51,Epstein-Barr_virus_B95-8,DRB1_1402,P03234-2|SCAF_EBVB9,5,101,0.8799999999999999,218.35999999999996,0.012566043124375266,0.2755261696865694
52,Epstein-Barr_virus_B95-8,DRB1_1402,P03234|SCAF_EBVB9,7,135,1.13,290.19000000000005,0.015949188426252647,0.30800500976479583
53,Epstein-Barr_virus_B95-8,DRB1_1402,P0C725|LF2_EBVB9,3,154,0.79,253.38,0.013146946247295725,0.23352349704616462
54,Epstein-Barr_virus_B95-8,DRB1_1402,P0C727|LF3_EBVB9,3,44,0.25,107.93,0.0007159016064832049,0.02286817270735604
55,Epstein-Barr_virus_B95-8,DRB1_1402,P0C739|BNL2A_EBVB9,0,0,0.0,0.0,,0.0
56,Epstein-Barr_virus_B95-8,DRB1_1402,P0CAP6|RIR2_EBVB9,1,38,0.050000000000000044,68.78000000000002,0.0012215978499877848,0.11519587318069911
57,Epstein-Barr_virus_B95-8,DRB1_1402,P0CK47|NEC1_EBVB9,16,51,8.399999999999999,137.35000000000002,0.23307436182019975,0.30277312406313384
58,Epstein-Barr_virus_B95-8,DRB1_1402,P0CK49|TEG7_EBVB9,0,18,0.0,26.370000000000005,0.0,0.07379319994403247
59,Epstein-Barr_virus_B95-8,DRB1_1402,P0CK51|CEP3_EBVB9,0,8,0.0,7.329999999999998,0.0,0.026151485960968987
60,Epstein-Barr_virus_B95-8,DRB1_1402,P0CK53|CEP2_EBVB9,3,54,0.7399999999999998,114.78,0.019561194818926774,0.1690128401460714
