,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Tick-borne_encephalitis_virus_strain_Neudoerfl,DRB1_1402,P14336|POLG_TBEVW,50,497,17.619999999999997,1054.54,0.1142375518672199,0.32083508272332867
1,Tick-borne_encephalitis_virus_strain_Neudoerfl,DRB1_1406,P14336|POLG_TBEVW,67,577,28.729999999999997,1204.23,0.18626815352697093,0.36637702853179027
2,Tick-borne_encephalitis_virus_strain_Neudoerfl,DRB1_1405,P14336|POLG_TBEVW,92,601,37.150000000000006,1438.77,0.2408584024896266,0.43773388583633016
3,Tick-borne_encephalitis_virus_strain_Neudoerfl,DRB1_1602,P14336|POLG_TBEVW,66,709,31.039999999999992,1558.8399999999997,0.20124481327800822,0.47426419135588366
4,Tick-borne_encephalitis_virus_strain_Neudoerfl,DRB1_1201,P14336|POLG_TBEVW,141,653,58.14999999999999,1653.54,0.37700985477178417,0.5030758839743708
5,Tick-borne_encephalitis_virus_strain_Neudoerfl,DRB1_0411,P14336|POLG_TBEVW,97,545,38.08,1279.89,0.24688796680497924,0.38939595845274827
6,Tick-borne_encephalitis_virus_strain_Neudoerfl,DRB1_0405,P14336|POLG_TBEVW,84,535,39.519999999999996,1223.92,0.25622406639004147,0.37236754835922437
7,Tick-borne_encephalitis_virus_strain_Neudoerfl,DRB1_0406,P14336|POLG_TBEVW,113,675,63.279999999999994,1605.74,0.4102697095435684,0.48853312888288525
8,Tick-borne_encephalitis_virus_strain_Neudoerfl,HLA-DQA10301-DQB10401,P14336|POLG_TBEVW,282,1248,154.24,3286.8599999999997,1.0,1.0
9,Tick-borne_encephalitis_virus_strain_Neudoerfl,HLA-DQA10303-DQB10401,P14336|POLG_TBEVW,282,1248,154.24,3286.8599999999997,1.0,1.0
10,Tick-borne_encephalitis_virus_strain_Neudoerfl,DRB1_0101,P14336|POLG_TBEVW,113,762,62.339999999999996,1725.0700000000002,0.40417531120331945,0.5248382955160854
