,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,TTMV,DRB1_1402,Q9QU29|ORF3_TTVB1,20,39,11.84,124.26000000000002,0.3971821536397182,0.3750339540639242
1,TTMV,DRB1_1402,Q9QU30|CAPSD_TTVB1,3,91,0.2999999999999998,191.68,0.006093845216331501,0.19583763294747492
2,TTMV,DRB1_1402,Q9QU31|ORF2_TTVB1,0,5,0.0,7.68,0.0,0.04675799086757991
3,TTMV,DRB1_1406,Q9QU29|ORF3_TTVB1,0,4,0.0,2.6900000000000013,0.0,0.008118793951649416
4,TTMV,DRB1_1406,Q9QU30|CAPSD_TTVB1,19,137,6.09,317.91999999999996,0.12370505789152954,0.3248158402893427
5,TTMV,DRB1_1406,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
6,TTMV,DRB1_1405,Q9QU29|ORF3_TTVB1,0,5,0.0,4.919999999999998,0.0,0.014849243956176613
7,TTMV,DRB1_1405,Q9QU30|CAPSD_TTVB1,3,137,0.33000000000000007,258.67,0.006703229737964656,0.26428067881116096
8,TTMV,DRB1_1405,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
9,TTMV,DRB1_1602,Q9QU29|ORF3_TTVB1,0,10,0.0,13.649999999999999,0.0,0.04119759756134367
10,TTMV,DRB1_1602,Q9QU30|CAPSD_TTVB1,31,130,14.450000000000003,316.98,0.29352021125330086,0.3238554512296045
11,TTMV,DRB1_1602,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
12,TTMV,DRB1_1201,Q9QU29|ORF3_TTVB1,0,2,0.0,0.6499999999999986,0.0,0.00196179036006398
13,TTMV,DRB1_1201,Q9QU30|CAPSD_TTVB1,4,145,0.8700000000000001,306.09,0.017672151127361365,0.31272924180348805
14,TTMV,DRB1_1201,Q9QU31|ORF2_TTVB1,3,22,0.69,67.00999999999999,0.03525804803270311,0.4079756468797564
15,TTMV,DRB1_0411,Q9QU29|ORF3_TTVB1,0,11,0.0,5.960000000000001,0.0,0.017988108532278998
16,TTMV,DRB1_0411,Q9QU30|CAPSD_TTVB1,25,134,14.11,317.23,0.28661385334145845,0.3241108738518753
17,TTMV,DRB1_0411,Q9QU31|ORF2_TTVB1,1,19,0.0,42.22000000000001,0.0,0.2570471841704719
18,TTMV,DRB1_0405,Q9QU29|ORF3_TTVB1,4,28,0.54,83.89,0.018114726601811473,0.2531916820088733
19,TTMV,DRB1_0405,Q9QU30|CAPSD_TTVB1,65,205,35.84,553.1899999999999,0.7280113751777372,0.5651889616559559
20,TTMV,DRB1_0405,Q9QU31|ORF2_TTVB1,0,18,0.0,29.25,0.0,0.1780821917808219
21,TTMV,DRB1_0406,Q9QU29|ORF3_TTVB1,2,30,0.24,65.16,0.008050989600805098,0.1966619382488757
22,TTMV,DRB1_0406,Q9QU30|CAPSD_TTVB1,26,91,11.02,237.16000000000003,0.22384724761324393,0.24230411639098054
23,TTMV,DRB1_0406,Q9QU31|ORF2_TTVB1,0,6,0.0,9.009999999999998,0.0,0.05485540334855402
24,TTMV,HLA-DQA10301-DQB10401,Q9QU29|ORF3_TTVB1,0,19,0.0,19.210000000000008,0.0,0.057978450487429466
25,TTMV,HLA-DQA10301-DQB10401,Q9QU30|CAPSD_TTVB1,17,116,5.619999999999999,248.06999999999994,0.11415803371927684,0.2534507596268786
26,TTMV,HLA-DQA10301-DQB10401,Q9QU31|ORF2_TTVB1,5,21,1.2199999999999998,52.160000000000004,0.06234031681144608,0.3175646879756469
27,TTMV,HLA-DQA10303-DQB10401,Q9QU29|ORF3_TTVB1,0,19,0.0,19.210000000000008,0.0,0.057978450487429466
28,TTMV,HLA-DQA10303-DQB10401,Q9QU30|CAPSD_TTVB1,17,116,5.619999999999999,248.06999999999994,0.11415803371927684,0.2534507596268786
29,TTMV,HLA-DQA10303-DQB10401,Q9QU31|ORF2_TTVB1,5,21,1.2199999999999998,52.160000000000004,0.06234031681144608,0.3175646879756469
30,TTMV,DRB1_0101,Q9QU29|ORF3_TTVB1,1,23,0.030000000000000027,57.19,0.0010063737001006381,0.1726073702954758
31,TTMV,DRB1_0101,Q9QU30|CAPSD_TTVB1,10,68,3.37,143.70000000000002,0.06845419459679057,0.1468169232812612
32,TTMV,DRB1_0101,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
33,TTMV,DRB1_0102,Q9QU29|ORF3_TTVB1,0,0,0.0,0.0,0.0,0.0
34,TTMV,DRB1_0102,Q9QU30|CAPSD_TTVB1,25,83,10.27,232.28000000000003,0.20861263457241516,0.23731826680425436
35,TTMV,DRB1_0102,Q9QU31|ORF2_TTVB1,0,1,0.0,0.5,0.0,0.0030441400304414
36,TTMV,DRB1_0301,Q9QU29|ORF3_TTVB1,0,6,0.0,3.0100000000000016,0.0,0.009084598436603994
37,TTMV,DRB1_0301,Q9QU30|CAPSD_TTVB1,0,51,0.0,54.12999999999997,0.0,0.05530410617407559
38,TTMV,DRB1_0301,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
39,TTMV,DRB1_0302,Q9QU29|ORF3_TTVB1,0,19,0.0,34.8,0.0,0.10503123773881023
40,TTMV,DRB1_0302,Q9QU30|CAPSD_TTVB1,0,49,0.0,73.73000000000002,0.0,0.0753292397601071
41,TTMV,DRB1_0302,Q9QU31|ORF2_TTVB1,0,1,0.0,0.7699999999999996,0.0,0.004687975646879754
42,TTMV,DRB1_0401,Q9QU29|ORF3_TTVB1,6,25,1.2700000000000005,76.08000000000001,0.04260315330426033,0.2296200162979507
43,TTMV,DRB1_0401,Q9QU30|CAPSD_TTVB1,6,174,1.0999999999999996,337.06999999999994,0.022344099126548844,0.3443812131552867
44,TTMV,DRB1_0401,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
45,TTMV,DRB1_0402,Q9QU29|ORF3_TTVB1,21,66,11.29,185.03,0.37873196913787316,0.5584462620348293
46,TTMV,DRB1_0402,Q9QU30|CAPSD_TTVB1,7,86,2.3899999999999997,182.28,0.048547633556774314,0.18623374235009246
47,TTMV,DRB1_0402,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
48,TTMV,DRB1_0403,Q9QU29|ORF3_TTVB1,2,30,0.24,65.16,0.008050989600805098,0.1966619382488757
49,TTMV,DRB1_0403,Q9QU30|CAPSD_TTVB1,26,91,11.02,237.16000000000003,0.22384724761324393,0.24230411639098054
50,TTMV,DRB1_0403,Q9QU31|ORF2_TTVB1,0,6,0.0,9.009999999999998,0.0,0.05485540334855402
51,TTMV,DRB1_0404,Q9QU29|ORF3_TTVB1,0,16,0.0,15.870000000000005,0.0,0.047897866175716064
52,TTMV,DRB1_0404,Q9QU30|CAPSD_TTVB1,21,118,10.459999999999999,288.55,0.21247206987609177,0.29480879062496806
53,TTMV,DRB1_0404,Q9QU31|ORF2_TTVB1,0,4,0.0,3.3200000000000003,0.0,0.0202130898021309
54,TTMV,DRB1_0407,Q9QU29|ORF3_TTVB1,10,40,3.8499999999999996,109.88,0.1291512915129151,0.33163311502127785
55,TTMV,DRB1_0407,Q9QU30|CAPSD_TTVB1,3,182,0.33999999999999986,399.06000000000006,0.006906357911842369,0.40771580657355666
56,TTMV,DRB1_0407,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
57,TTMV,DRB1_0701,Q9QU29|ORF3_TTVB1,0,9,0.0,6.309999999999995,0.0,0.01904445718769805
58,TTMV,DRB1_0701,Q9QU30|CAPSD_TTVB1,27,249,7.430000000000003,559.6999999999999,0.15092423319114368,0.5718401667398878
59,TTMV,DRB1_0701,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
60,TTMV,DRB1_0802,Q9QU29|ORF3_TTVB1,43,98,26.840000000000003,331.33000000000004,0.9003690036900369,1.0
61,TTMV,DRB1_0802,Q9QU30|CAPSD_TTVB1,18,152,5.949999999999999,317.9200000000001,0.12086126345724149,0.32481584028934285
62,TTMV,DRB1_0802,Q9QU31|ORF2_TTVB1,6,24,2.2399999999999998,70.19,0.11446090955544198,0.4273363774733638
63,TTMV,DRB1_0804,Q9QU29|ORF3_TTVB1,6,28,1.0699999999999994,77.28,0.035893995303589374,0.23324178311653032
64,TTMV,DRB1_0804,Q9QU30|CAPSD_TTVB1,13,124,3.469999999999999,293.5699999999999,0.07048547633556772,0.2999376768801658
65,TTMV,DRB1_0804,Q9QU31|ORF2_TTVB1,7,25,2.0,80.19,0.10219724067450178,0.4882191780821918
66,TTMV,DRB1_1001,Q9QU29|ORF3_TTVB1,35,41,29.810000000000002,184.69,1.0,0.557420094769565
67,TTMV,DRB1_1001,Q9QU30|CAPSD_TTVB1,1,70,0.050000000000000044,121.22000000000003,0.001015640869388585,0.12384932108667003
68,TTMV,DRB1_1001,Q9QU31|ORF2_TTVB1,0,0,0.0,0.0,0.0,0.0
69,TTMV,DRB1_1101,Q9QU29|ORF3_TTVB1,31,92,20.93,286.92,0.7021133847702112,0.8659644463223976
70,TTMV,DRB1_1101,Q9QU30|CAPSD_TTVB1,12,167,3.3599999999999994,332.97999999999996,0.06825106642291284,0.34020249905493627
71,TTMV,DRB1_1101,Q9QU31|ORF2_TTVB1,14,32,5.959999999999999,114.50999999999999,0.3045477772100153,0.6971689497716894
72,TTMV,DRB1_1102,Q9QU29|ORF3_TTVB1,0,13,0.0,15.89,0.0,0.04795822895602571
73,TTMV,DRB1_1102,Q9QU30|CAPSD_TTVB1,95,302,39.78,890.8399999999999,0.8080438756855576,0.9101627552949109
74,TTMV,DRB1_1102,Q9QU31|ORF2_TTVB1,0,13,0.0,17.370000000000005,0.0,0.10575342465753428
75,TTMV,DRB1_1104,Q9QU29|ORF3_TTVB1,2,25,0.2400000000000002,73.49,0.008050989600805105,0.22180303624784953
76,TTMV,DRB1_1104,Q9QU30|CAPSD_TTVB1,17,133,6.75,348.44,0.13711151736745886,0.35599783401616314
77,TTMV,DRB1_1104,Q9QU31|ORF2_TTVB1,13,31,3.7600000000000016,101.37,0.19213081246806343,0.6171689497716896
78,TTMV,DRB1_1202,Q9QU29|ORF3_TTVB1,0,11,0.0,12.32,0.0,0.037183472670751214
79,TTMV,DRB1_1202,Q9QU30|CAPSD_TTVB1,3,119,0.31000000000000005,250.95,0.0062969733902092226,0.25639322823543836
