,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Sapporo_virus,HLA-A02:07,Q672H9|VP2_SVSAP,6,13,1.5670000000000002,18.307000000000002,0.5546902654867257,0.6553427599785216
1,Sapporo_virus,HLA-A02:07,Q672I0|VP3_SVSAP,5,14,1.468,17.368000000000002,0.2500851788756388,0.2417359110331678
2,Sapporo_virus,HLA-A02:07,Q672I1-2|POLG_SVSAP,7,37,1.237,35.574000000000005,0.19307007960043704,0.4838354301258076
3,Sapporo_virus,HLA-A02:07,Q672I1|POLG_SVSAP,38,180,8.150999999999998,170.66799999999995,0.37624630723781377,0.5772558463609487
4,Sapporo_virus,HLA-A02:03,Q672H9|VP2_SVSAP,7,16,1.467,18.939,0.5192920353982301,0.6779667084302846
5,Sapporo_virus,HLA-A02:03,Q672I0|VP3_SVSAP,6,20,1.357,19.897,0.23117546848381598,0.2769357106072627
6,Sapporo_virus,HLA-A02:03,Q672I1-2|POLG_SVSAP,11,43,2.1229999999999998,48.204,0.3313563290151397,0.6556137368242094
7,Sapporo_virus,HLA-A02:03,Q672I1|POLG_SVSAP,62,210,14.153000000000002,218.82799999999997,0.6532957902511078,0.7401489579034952
8,Sapporo_virus,HLA-A66:01,Q672H9|VP2_SVSAP,8,20,1.827,21.724999999999998,0.6467256637168141,0.7776982280293538
9,Sapporo_virus,HLA-A66:01,Q672I0|VP3_SVSAP,1,11,0.04299999999999998,8.576,0.00732538330494037,0.11936476122872218
10,Sapporo_virus,HLA-A66:01,Q672I1-2|POLG_SVSAP,3,43,0.506,33.891000000000005,0.0789761198688934,0.460945256715403
11,Sapporo_virus,HLA-A66:01,Q672I1|POLG_SVSAP,58,254,13.238999999999999,254.76800000000003,0.6111059822747414,0.8617099717913508
12,Sapporo_virus,HLA-A31:08,Q672H9|VP2_SVSAP,2,12,0.749,9.361999999999997,0.2651327433628318,0.33513513513513504
13,Sapporo_virus,HLA-A31:08,Q672I0|VP3_SVSAP,5,16,1.456,17.948999999999998,0.2480408858603066,0.2498225395632386
14,Sapporo_virus,HLA-A31:08,Q672I1-2|POLG_SVSAP,9,44,2.346,43.00899999999999,0.366162010301233,0.5849574974498468
15,Sapporo_virus,HLA-A31:08,Q672I1|POLG_SVSAP,39,212,8.909,189.86099999999993,0.4112352289512555,0.6421729454023958
16,Sapporo_virus,HLA-A02:36,Q672H9|VP2_SVSAP,6,15,1.712,18.061,0.6060176991150442,0.6465366028279936
17,Sapporo_virus,HLA-A02:36,Q672I0|VP3_SVSAP,5,16,1.572,15.139,0.26780238500851783,0.21071165114757753
18,Sapporo_virus,HLA-A02:36,Q672I1-2|POLG_SVSAP,4,38,0.962,31.934000000000005,0.15014827532386452,0.4343284597075825
19,Sapporo_virus,HLA-A02:36,Q672I1|POLG_SVSAP,34,189,9.508000000000001,185.133,0.43888478581979323,0.626181279468568
20,Sapporo_virus,HLA-A68:03,Q672H9|VP2_SVSAP,9,23,1.827,23.872,0.6467256637168141,0.8545552174691248
21,Sapporo_virus,HLA-A68:03,Q672I0|VP3_SVSAP,3,13,0.16100000000000003,12.393,0.027427597955706984,0.17249154453213084
22,Sapporo_virus,HLA-A68:03,Q672I1-2|POLG_SVSAP,7,34,1.535,36.403000000000006,0.23958170750741375,0.49511050663039785
23,Sapporo_virus,HLA-A68:03,Q672I1|POLG_SVSAP,66,214,16.36,230.36199999999997,0.7551698670605612,0.779160775771679
24,Sapporo_virus,HLA-A26:01,Q672H9|VP2_SVSAP,4,11,0.9790000000000001,12.649,0.3465486725663717,0.4528011455163773
25,Sapporo_virus,HLA-A26:01,Q672I0|VP3_SVSAP,1,12,0.129,8.221000000000002,0.021976149914821122,0.11442370593065826
26,Sapporo_virus,HLA-A26:01,Q672I1-2|POLG_SVSAP,10,52,1.7999999999999998,47.006,0.28094271890120176,0.6393199591975518
27,Sapporo_virus,HLA-A26:01,Q672I1|POLG_SVSAP,67,255,16.578,259.039,0.7652326440177252,0.8761559119781906
28,Sapporo_virus,HLA-A33:01,Q672H9|VP2_SVSAP,4,15,0.9060000000000001,16.467,0.3207079646017699,0.5894755682835153
29,Sapporo_virus,HLA-A33:01,Q672I0|VP3_SVSAP,4,18,1.1320000000000001,19.086,0.1928449744463373,0.2656478349826716
30,Sapporo_virus,HLA-A33:01,Q672I1-2|POLG_SVSAP,6,36,1.386,30.075000000000003,0.21632589355392537,0.40904454267256035
31,Sapporo_virus,HLA-A33:01,Q672I1|POLG_SVSAP,62,216,15.655000000000001,225.481,0.7226274002954209,0.7626516130341547
32,Sapporo_virus,HLA-A29:01,Q672H9|VP2_SVSAP,0,4,0.0,1.4309999999999992,0.0,0.05122606049758365
33,Sapporo_virus,HLA-A29:01,Q672I0|VP3_SVSAP,3,11,0.2370000000000001,9.807,0.04037478705281091,0.13649839241721998
34,Sapporo_virus,HLA-A29:01,Q672I1-2|POLG_SVSAP,12,41,2.69,43.08299999999999,0.41985328546901823,0.5859639578374701
35,Sapporo_virus,HLA-A29:01,Q672I1|POLG_SVSAP,49,182,12.094000000000001,193.46099999999998,0.5582533234859676,0.6543493407834834
36,Sapporo_virus,HLA-A24:07,Q672H9|VP2_SVSAP,2,9,0.388,8.082,0.13734513274336282,0.2893144800429569
37,Sapporo_virus,HLA-A24:07,Q672I0|VP3_SVSAP,5,25,1.287,20.926,0.21925042589437815,0.29125781173883397
38,Sapporo_virus,HLA-A24:07,Q672I1-2|POLG_SVSAP,9,45,2.718,42.057,0.4242235055408147,0.5720095205712342
39,Sapporo_virus,HLA-A24:07,Q672I1|POLG_SVSAP,36,200,7.8210000000000015,175.438,0.36101366322008865,0.5933895702408897
40,Sapporo_virus,HLA-A02:13,Q672H9|VP2_SVSAP,6,20,2.069,20.948999999999998,0.7323893805309734,0.7499194558797208
41,Sapporo_virus,HLA-A02:13,Q672I0|VP3_SVSAP,5,20,1.086,20.62,0.18500851788756387,0.28699876125655915
42,Sapporo_virus,HLA-A02:13,Q672I1-2|POLG_SVSAP,9,45,1.5780000000000003,45.431,0.24629311690338695,0.6178986739204352
43,Sapporo_virus,HLA-A02:13,Q672I1|POLG_SVSAP,52,209,11.316,207.267,0.5223412112259971,0.7010458170699534
44,Sapporo_virus,HLA-B15:02,Q672H9|VP2_SVSAP,5,11,0.7630000000000001,10.689999999999998,0.27008849557522124,0.38267406479327004
45,Sapporo_virus,HLA-B15:02,Q672I0|VP3_SVSAP,1,24,0.246,18.720000000000002,0.04190800681431004,0.26055367656269585
46,Sapporo_virus,HLA-B15:02,Q672I1-2|POLG_SVSAP,15,69,3.067,64.481,0.4786951771499922,0.876994219653179
47,Sapporo_virus,HLA-B15:02,Q672I1|POLG_SVSAP,68,264,16.680000000000003,264.979,0.7699409158050222,0.8962469643569848
48,Sapporo_virus,HLA-B46:01,Q672H9|VP2_SVSAP,4,12,0.986,12.555,0.34902654867256633,0.44943619115804545
49,Sapporo_virus,HLA-B46:01,Q672I0|VP3_SVSAP,3,20,0.4870000000000001,21.103,0.08296422487223169,0.29372138015505184
50,Sapporo_virus,HLA-B46:01,Q672I1-2|POLG_SVSAP,15,50,3.718,56.591,0.5803027938192602,0.7696837810268615
51,Sapporo_virus,HLA-B46:01,Q672I1|POLG_SVSAP,73,265,16.856,279.53,0.7780649926144757,0.9454632780209298
52,Sapporo_virus,HLA-B38:02,Q672H9|VP2_SVSAP,7,14,2.016,17.881,0.7136283185840707,0.640093073205656
53,Sapporo_virus,HLA-B38:02,Q672I0|VP3_SVSAP,4,24,0.9449999999999998,17.444,0.16098807495741052,0.2427937144209223
54,Sapporo_virus,HLA-B38:02,Q672I1-2|POLG_SVSAP,9,44,3.0380000000000003,45.254999999999995,0.47416887778991734,0.6155049302958177
55,Sapporo_virus,HLA-B38:02,Q672I1|POLG_SVSAP,50,192,13.562999999999999,200.82,0.626061669128508,0.6792399223416561
56,Sapporo_virus,HLA-B54:01,Q672H9|VP2_SVSAP,8,18,1.6349999999999998,21.308,0.5787610619469026,0.7627707177376052
57,Sapporo_virus,HLA-B54:01,Q672I0|VP3_SVSAP,9,28,2.2609999999999997,29.532999999999998,0.38517887563884146,0.41105404540203494
58,Sapporo_virus,HLA-B54:01,Q672I1-2|POLG_SVSAP,18,83,3.1109999999999998,73.525,0.48556266583424373,1.0
59,Sapporo_virus,HLA-B54:01,Q672I1|POLG_SVSAP,57,262,14.272,249.93600000000004,0.6587887740029542,0.8453665433242914
60,Sapporo_virus,HLA-B13:02,Q672H9|VP2_SVSAP,10,21,2.825,27.935,1.0,1.0
61,Sapporo_virus,HLA-B13:02,Q672I0|VP3_SVSAP,6,21,1.716,25.165999999999997,0.2923339011925042,0.35027210600303427
62,Sapporo_virus,HLA-B13:02,Q672I1-2|POLG_SVSAP,9,47,2.6630000000000003,46.441,0.4156391446855003,0.6316354981298877
63,Sapporo_virus,HLA-B13:02,Q672I1|POLG_SVSAP,55,224,14.237,222.948,0.6571731905465288,0.7540841659507398
64,Sapporo_virus,HLA-B14:05,Q672H9|VP2_SVSAP,6,15,1.0290000000000001,17.599000000000004,0.3642477876106195,0.6299982101306606
65,Sapporo_virus,HLA-B14:05,Q672I0|VP3_SVSAP,12,31,2.488,32.088,0.42385008517887557,0.44661572508246705
66,Sapporo_virus,HLA-B14:05,Q672I1-2|POLG_SVSAP,8,46,2.362,44.737,0.36865927891368816,0.6084597075824549
67,Sapporo_virus,HLA-B14:05,Q672I1|POLG_SVSAP,46,210,12.152,203.1,0.5609305760709009,0.6869516394163447
68,Sapporo_virus,HLA-B45:01,Q672H9|VP2_SVSAP,1,8,0.28600000000000003,7.824999999999999,0.10123893805309735,0.2801145516377304
69,Sapporo_virus,HLA-B45:01,Q672I0|VP3_SVSAP,0,0,0.0,0.0,0.0,0.0
70,Sapporo_virus,HLA-B45:01,Q672I1-2|POLG_SVSAP,6,26,1.0990000000000002,25.981,0.17153113781801158,0.3533628017681061
71,Sapporo_virus,HLA-B45:01,Q672I1|POLG_SVSAP,36,164,7.863999999999999,157.02100000000002,0.36299852289512546,0.531097160870477
72,Sapporo_virus,HLA-B55:02,Q672H9|VP2_SVSAP,8,23,2.362,27.31,0.8361061946902655,0.9776266332557724
73,Sapporo_virus,HLA-B55:02,Q672I0|VP3_SVSAP,11,34,3.6100000000000003,40.822,0.614991482112436,0.5681796038804684
74,Sapporo_virus,HLA-B55:02,Q672I1-2|POLG_SVSAP,17,84,3.476000000000001,72.819,0.5425316060558765,0.9903978238694321
75,Sapporo_virus,HLA-B55:02,Q672I1|POLG_SVSAP,69,268,15.114000000000004,261.99899999999997,0.697655096011817,0.8861676148470846
76,Sapporo_virus,HLA-B07:05,Q672H9|VP2_SVSAP,6,27,1.916,25.535999999999998,0.6782300884955752,0.9141220690889564
77,Sapporo_virus,HLA-B07:05,Q672I0|VP3_SVSAP,22,58,5.312,68.272,0.9049403747870527,0.9502414853786522
78,Sapporo_virus,HLA-B07:05,Q672I1-2|POLG_SVSAP,17,63,3.4749999999999996,61.480999999999995,0.5423755267675979,0.8361917715062902
79,Sapporo_virus,HLA-B07:05,Q672I1|POLG_SVSAP,58,249,15.05,245.046,0.6947008862629247,0.8288269395983142
80,Sapporo_virus,HLA-B35:14,Q672H9|VP2_SVSAP,1,9,0.28,8.546000000000001,0.09911504424778761,0.30592446751387153
81,Sapporo_virus,HLA-B35:14,Q672I0|VP3_SVSAP,4,22,0.944,21.298,0.16081771720613283,0.2964354809525798
