,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Lassa_virus,HLA-A02:07,O09705|L_LASSJ,58,221,12.083000000000002,218.55,0.5198778074176061,0.7654160143732206
1,Lassa_virus,HLA-A02:07,O73557|Z_LASSJ,1,9,0.33499999999999996,6.036999999999999,0.10099487488694602,0.18301148937460213
2,Lassa_virus,HLA-A02:07,P08669|GLYC_LASSJ,10,49,2.284,48.778,0.454165838138795,0.6842673774286315
3,Lassa_virus,HLA-A02:07,P13699|NCAP_LASSJ,5,46,0.9690000000000001,39.18,0.17884828349944631,0.6361422308816367
4,Lassa_virus,HLA-A02:03,O09705|L_LASSJ,59,216,15.912999999999998,234.488,0.6846656914207038,0.8212348221384019
5,Lassa_virus,HLA-A02:03,O73557|Z_LASSJ,1,5,0.462,6.388,0.139282484172445,0.19365204474489953
6,Lassa_virus,HLA-A02:03,P08669|GLYC_LASSJ,14,52,3.557,52.174,0.7072976734937364,0.7319071333380094
7,Lassa_virus,HLA-A02:03,P13699|NCAP_LASSJ,13,47,2.864,48.007,0.5286083425618309,0.7794609514531581
8,Lassa_virus,HLA-A66:01,O09705|L_LASSJ,40,208,11.016,198.49200000000002,0.4739695379055159,0.6951679502400792
9,Lassa_virus,HLA-A66:01,O73557|Z_LASSJ,0,1,0.0,0.355,0.0,0.01076181526055719
10,Lassa_virus,HLA-A66:01,P08669|GLYC_LASSJ,11,47,1.7249999999999996,44.638,0.34301053887452776,0.6261906431928176
11,Lassa_virus,HLA-A66:01,P13699|NCAP_LASSJ,13,45,2.396,44.49700000000001,0.4422296050203027,0.7224711803864267
12,Lassa_virus,HLA-A31:08,O09705|L_LASSJ,68,259,17.942999999999998,256.72900000000004,0.7720075724980637,0.8991282907985476
13,Lassa_virus,HLA-A31:08,O73557|Z_LASSJ,0,1,0.0,0.16999999999999993,0.0,0.00515354533604147
14,Lassa_virus,HLA-A31:08,P08669|GLYC_LASSJ,16,61,3.678,61.27599999999999,0.7313581228872541,0.8595917794767481
15,Lassa_virus,HLA-A31:08,P13699|NCAP_LASSJ,7,26,0.6300000000000003,23.816999999999997,0.11627906976744191,0.386702386751096
16,Lassa_virus,HLA-A02:36,O09705|L_LASSJ,67,214,17.105,232.24800000000002,0.7359521555804147,0.8133897895499965
17,Lassa_virus,HLA-A02:36,O73557|Z_LASSJ,1,6,0.455,5.934,0.1371721435031655,0.17988904720041232
18,Lassa_virus,HLA-A02:36,P08669|GLYC_LASSJ,12,54,3.176,52.40500000000001,0.6315370849075365,0.7351476467700079
19,Lassa_virus,HLA-A02:36,P13699|NCAP_LASSJ,8,58,1.5789999999999997,49.016999999999996,0.29143595422665186,0.795859717486605
20,Lassa_virus,HLA-A68:03,O09705|L_LASSJ,42,204,9.714999999999998,196.62900000000002,0.41799328801307967,0.6886432646542759
21,Lassa_virus,HLA-A68:03,O73557|Z_LASSJ,0,2,0.0,1.6079999999999997,0.0,0.048746475884439325
22,Lassa_virus,HLA-A68:03,P08669|GLYC_LASSJ,6,33,1.4020000000000001,28.653999999999996,0.27878305826208,0.4019639475345444
23,Lassa_virus,HLA-A68:03,P13699|NCAP_LASSJ,8,53,1.8979999999999997,45.812,0.35031376891842003,0.7438220490339341
24,Lassa_virus,HLA-A26:01,O09705|L_LASSJ,50,211,13.099000000000002,209.663,0.563591773513467,0.7342915480280602
25,Lassa_virus,HLA-A26:01,O73557|Z_LASSJ,0,5,0.0,2.673,0.0,0.08103192166611091
26,Lassa_virus,HLA-A26:01,P08669|GLYC_LASSJ,17,52,3.9130000000000003,59.519999999999996,0.7780870948498709,0.8349582661148909
27,Lassa_virus,HLA-A26:01,P13699|NCAP_LASSJ,4,46,1.567,37.433,0.2892211148025101,0.6077772365643774
28,Lassa_virus,HLA-A33:01,O09705|L_LASSJ,60,199,15.745,206.101,0.6774373978143017,0.7218165453138189
29,Lassa_virus,HLA-A33:01,O73557|Z_LASSJ,1,2,0.04099999999999998,2.018,0.012360566777208315,0.061175614636068756
30,Lassa_virus,HLA-A33:01,P08669|GLYC_LASSJ,14,36,3.1510000000000002,41.066,0.6265659176774708,0.5760819246685839
31,Lassa_virus,HLA-A33:01,P13699|NCAP_LASSJ,12,48,3.195,44.18000000000001,0.5897009966777408,0.7173242409482061
32,Lassa_virus,HLA-A29:01,O09705|L_LASSJ,60,233,14.283999999999999,236.655,0.614577058772911,0.828824190718346
33,Lassa_virus,HLA-A29:01,O73557|Z_LASSJ,1,1,0.04099999999999998,1.541,0.012360566777208315,0.04671537272258769
34,Lassa_virus,HLA-A29:01,P08669|GLYC_LASSJ,9,59,3.109,60.07,0.6182143567309606,0.8426737742863155
35,Lassa_virus,HLA-A29:01,P13699|NCAP_LASSJ,10,27,1.7599999999999993,26.532000000000004,0.3248431155407898,0.4307842182172432
36,Lassa_virus,HLA-A24:07,O09705|L_LASSJ,59,243,15.135,253.464,0.6511918079339127,0.8876934553516083
37,Lassa_virus,HLA-A24:07,O73557|Z_LASSJ,0,4,0.0,1.5059999999999993,0.0,0.04565434868281443
38,Lassa_virus,HLA-A24:07,P08669|GLYC_LASSJ,12,54,3.0849999999999995,56.657000000000004,0.6134420361900974,0.7947955390334573
39,Lassa_virus,HLA-A24:07,P13699|NCAP_LASSJ,4,24,0.889,22.909000000000002,0.1640826873385013,0.3719597337230071
40,Lassa_virus,HLA-A02:13,O09705|L_LASSJ,61,233,15.306,229.68900000000002,0.6585491782118578,0.8044275402670815
41,Lassa_virus,HLA-A02:13,O73557|Z_LASSJ,1,6,0.45,6.62,0.13566475731082303,0.20068511837996791
42,Lassa_virus,HLA-A02:13,P08669|GLYC_LASSJ,13,54,2.723,49.11800000000001,0.5414595346987473,0.6890369642982396
43,Lassa_virus,HLA-A02:13,P13699|NCAP_LASSJ,10,53,2.75,50.433,0.5075673680324843,0.8188504627374575
44,Lassa_virus,HLA-B15:02,O09705|L_LASSJ,55,209,14.080999999999998,208.755,0.605842870665175,0.7311115080324029
45,Lassa_virus,HLA-B15:02,O73557|Z_LASSJ,0,4,0.0,3.939,0.0,0.1194106769333374
46,Lassa_virus,HLA-B15:02,P08669|GLYC_LASSJ,14,57,4.069,58.962999999999994,0.8091071783654804,0.8271445605667391
47,Lassa_virus,HLA-B15:02,P13699|NCAP_LASSJ,10,44,1.8899999999999997,42.20700000000001,0.34883720930232553,0.685289819775938
48,Lassa_virus,HLA-B46:01,O09705|L_LASSJ,57,233,12.942,229.49599999999998,0.5568367610360554,0.8037516066556697
