,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Colorado_tick_fever,HLA-A02:07,O55265|VP9P_CTFVL,9,44,2.23,39.384,0.3088214928680238,0.5009730967372639
1,Colorado_tick_fever,HLA-A02:07,O93214|VP9_CTFVL,2,27,0.251,18.363,0.06640211640211639,0.3893353122018446
2,Colorado_tick_fever,HLA-A02:07,Q66262|VP12_CTFVL,4,15,1.1600000000000001,13.322999999999997,0.26502170436371947,0.2903626536483305
3,Colorado_tick_fever,HLA-A02:07,Q96713|VP11_CTFVL,1,19,0.457,18.231,0.13105821623171782,0.4580653266331659
4,Colorado_tick_fever,HLA-A02:07,Q9DSQ0|RDRP_CTFVL,30,139,8.016000000000002,139.364,0.5500960746637388,0.7091990697627081
5,Colorado_tick_fever,HLA-A02:07,Q9ENK7|VP10_CTFVL,22,74,4.582,76.708,0.5944473274519979,0.7731024682274921
6,Colorado_tick_fever,HLA-A02:07,Q9ENK8|VP8_CTFVL,16,57,4.067,58.113,0.5292816241540865,0.5546668448330168
7,Colorado_tick_fever,HLA-A02:07,Q9ENK9|VP7_CTFVL,16,69,3.838,63.432,0.3730922523573442,0.584987964918429
8,Colorado_tick_fever,HLA-A02:07,Q9ENL0|VP6_CTFVL,20,69,5.818,76.19800000000001,0.6941064185158672,0.6806005877256448
9,Colorado_tick_fever,HLA-A02:07,Q9ENL1|VP5_CTFVL,25,73,5.359000000000001,74.283,0.7371389270976618,0.7661121481832902
10,Colorado_tick_fever,HLA-A02:07,Q9ENL2|VP4_CTFVL,12,88,3.366,77.359,0.34165651644336176,0.6459556275520001
11,Colorado_tick_fever,HLA-A02:07,Q9ENL3|VP3_CTFVL,16,66,3.601,61.83800000000001,0.2482934565262359,0.3544415530819759
12,Colorado_tick_fever,HLA-A02:07,Q9ENL4|VP2_CTFVL,41,131,10.548,142.198,0.7771883289124668,0.7752082515591608
13,Colorado_tick_fever,HLA-A02:03,O55265|VP9P_CTFVL,13,49,2.7590000000000003,47.084,0.3820800443151918,0.5989187814030401
14,Colorado_tick_fever,HLA-A02:03,O93214|VP9_CTFVL,6,27,1.1920000000000002,23.953000000000003,0.31534391534391537,0.5078554012509277
15,Colorado_tick_fever,HLA-A02:03,Q66262|VP12_CTFVL,2,22,0.891,20.162000000000003,0.203564084989719,0.4394124313486183
16,Colorado_tick_fever,HLA-A02:03,Q96713|VP11_CTFVL,7,34,2.043,33.254000000000005,0.5858904502437625,0.835527638190955
17,Colorado_tick_fever,HLA-A02:03,Q9DSQ0|RDRP_CTFVL,36,115,7.712,120.49400000000001,0.5292341476804832,0.6131729335552062
18,Colorado_tick_fever,HLA-A02:03,Q9ENK7|VP10_CTFVL,17,75,4.472,72.367,0.5801764400622731,0.7293516493484242
19,Colorado_tick_fever,HLA-A02:03,Q9ENK8|VP8_CTFVL,17,73,4.606,73.80699999999999,0.5994273815720979,0.7044602036823165
20,Colorado_tick_fever,HLA-A02:03,Q9ENK9|VP7_CTFVL,17,51,3.628,55.242,0.35267813745504034,0.5094574529894036
21,Colorado_tick_fever,HLA-A02:03,Q9ENL0|VP6_CTFVL,22,82,4.889,82.051,0.5832736816988785,0.7328795876988488
22,Colorado_tick_fever,HLA-A02:03,Q9ENL1|VP5_CTFVL,17,55,3.1639999999999997,54.962,0.43521320495185695,0.5668464640422438
23,Colorado_tick_fever,HLA-A02:03,Q9ENL2|VP4_CTFVL,27,90,7.351000000000001,96.751,0.7461429151441332,0.8078808273282174
24,Colorado_tick_fever,HLA-A02:03,Q9ENL3|VP3_CTFVL,21,81,4.73,84.013,0.32613941943046265,0.481543681863515
25,Colorado_tick_fever,HLA-A02:03,Q9ENL4|VP2_CTFVL,32,125,8.727,127.11500000000001,0.6430150309460654,0.6929815953595883
26,Colorado_tick_fever,HLA-A66:01,O55265|VP9P_CTFVL,15,52,3.0229999999999997,56.798,0.4186400775515856,0.7224829867073713
27,Colorado_tick_fever,HLA-A66:01,O93214|VP9_CTFVL,9,28,2.408,30.980000000000004,0.637037037037037,0.6568429979857946
28,Colorado_tick_fever,HLA-A66:01,Q66262|VP12_CTFVL,7,21,1.4689999999999999,24.065,0.3356180031985378,0.5244747624444251
29,Colorado_tick_fever,HLA-A66:01,Q96713|VP11_CTFVL,7,21,1.0779999999999998,21.943,0.3091482649842271,0.5513316582914574
30,Colorado_tick_fever,HLA-A66:01,Q9DSQ0|RDRP_CTFVL,37,158,8.227999999999998,152.50900000000001,0.5646445237441667,0.7760916802792748
31,Colorado_tick_fever,HLA-A66:01,Q9ENK7|VP10_CTFVL,14,67,4.156000000000001,61.881,0.5391800726517905,0.6236683766541357
32,Colorado_tick_fever,HLA-A66:01,Q9ENK8|VP8_CTFVL,7,55,1.2839999999999998,43.318,0.16710046850598645,0.41345410466636756
33,Colorado_tick_fever,HLA-A66:01,Q9ENK9|VP7_CTFVL,14,65,2.9819999999999993,64.59,0.289880431612715,0.595667370634401
34,Colorado_tick_fever,HLA-A66:01,Q9ENL0|VP6_CTFVL,24,75,5.777,80.376,0.689214984490575,0.717918486561805
35,Colorado_tick_fever,HLA-A66:01,Q9ENL1|VP5_CTFVL,16,69,3.939,67.643,0.5418156808803302,0.6976310062808758
36,Colorado_tick_fever,HLA-A66:01,Q9ENL2|VP4_CTFVL,37,109,8.41,119.75900000000001,0.8536337799431587,1.0
37,Colorado_tick_fever,HLA-A66:01,Q9ENL3|VP3_CTFVL,22,108,3.936000000000001,100.01100000000001,0.2713921257670827,0.5732406314124242
38,Colorado_tick_fever,HLA-A66:01,Q9ENL4|VP2_CTFVL,37,118,10.353,126.026,0.7628205128205128,0.687044790440054
39,Colorado_tick_fever,HLA-A31:08,O55265|VP9P_CTFVL,23,67,4.840000000000002,75.847,0.6702672760005541,0.9647904343954714
40,Colorado_tick_fever,HLA-A31:08,O93214|VP9_CTFVL,13,39,2.907,43.486,0.769047619047619,0.9219972437188593
41,Colorado_tick_fever,HLA-A31:08,Q66262|VP12_CTFVL,4,15,1.479,13.977,0.33790267306374233,0.30461598814401536
42,Colorado_tick_fever,HLA-A31:08,Q96713|VP11_CTFVL,8,29,2.2489999999999997,28.389000000000003,0.644967020361342,0.7132914572864323
43,Colorado_tick_fever,HLA-A31:08,Q9DSQ0|RDRP_CTFVL,39,148,9.969999999999999,149.371,0.6841888553390063,0.7601229460228285
44,Colorado_tick_fever,HLA-A31:08,Q9ENK7|VP10_CTFVL,21,92,5.2620000000000005,93.172,0.6826673585884796,0.9390350832988984
45,Colorado_tick_fever,HLA-A31:08,Q9ENK8|VP8_CTFVL,26,70,5.462000000000001,76.88000000000001,0.7108276939094224,0.7337908390680629
