,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Merkel_cell_polyomavirus,HLA-A02:07,B0G0V7|B0G0V7_9POLY,4,13,0.593,12.061,0.18002428658166364,0.31362300751488675
1,Merkel_cell_polyomavirus,HLA-A02:07,B0G0W4|B0G0W4_9POLY,6,33,1.154,26.017000000000003,0.3448894202032277,0.5456928917507394
2,Merkel_cell_polyomavirus,HLA-A02:07,B0G0W5|B0G0W5_9POLY,5,26,1.093,20.961,0.3892450142450142,0.5087744848175927
3,Merkel_cell_polyomavirus,HLA-A02:07,E2GHQ3|E2GHQ3_9POLY,12,59,3.114,50.345,0.3730234786775276,0.4996328053669961
4,Merkel_cell_polyomavirus,HLA-A02:07,E2GHQ5|E2GHQ5_9POLY,4,29,0.9140000000000001,28.882000000000005,0.15728790225434525,0.41770193072528744
5,Merkel_cell_polyomavirus,HLA-A02:07,T1WUL6|T1WUL6_9POLY,3,19,0.5529999999999999,13.778000000000002,0.06404169079328315,0.12458180371448724
6,Merkel_cell_polyomavirus,HLA-A02:03,B0G0V7|B0G0V7_9POLY,0,6,0.0,2.960000000000001,0.0,0.07696908235171752
7,Merkel_cell_polyomavirus,HLA-A02:03,B0G0W4|B0G0W4_9POLY,11,39,1.6840000000000002,35.645,0.5032875074716079,0.7476351280491642
8,Merkel_cell_polyomavirus,HLA-A02:03,B0G0W5|B0G0W5_9POLY,8,29,1.024,24.610999999999997,0.36467236467236464,0.597368868176412
9,Merkel_cell_polyomavirus,HLA-A02:03,E2GHQ3|E2GHQ3_9POLY,6,44,1.48,41.85300000000001,0.1772879731672257,0.4153566750029773
10,Merkel_cell_polyomavirus,HLA-A02:03,E2GHQ5|E2GHQ5_9POLY,7,37,1.81,35.001,0.3114782309413182,0.5061971219900209
11,Merkel_cell_polyomavirus,HLA-A02:03,T1WUL6|T1WUL6_9POLY,7,10,1.218,14.062000000000001,0.14105385060799072,0.1271497549595819
12,Merkel_cell_polyomavirus,HLA-A66:01,B0G0V7|B0G0V7_9POLY,3,11,0.591,8.235,0.17941712204007287,0.21413526796161944
13,Merkel_cell_polyomavirus,HLA-A66:01,B0G0W4|B0G0W4_9POLY,8,19,2.3080000000000003,23.225,0.6897788404064555,0.487132160161084
14,Merkel_cell_polyomavirus,HLA-A66:01,B0G0W5|B0G0W5_9POLY,8,18,2.3080000000000003,22.541,0.8219373219373219,0.5471249302167529
15,Merkel_cell_polyomavirus,HLA-A66:01,E2GHQ3|E2GHQ3_9POLY,21,70,4.621999999999999,71.238,0.5536655486344034,0.7069786828629272
16,Merkel_cell_polyomavirus,HLA-A66:01,E2GHQ5|E2GHQ5_9POLY,7,41,1.8639999999999999,36.693999999999996,0.32077095164343483,0.5306819003543277
