,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Hepatitis_E,DRB1_1402,Q81862|POLN_HEVCH,95,497,49.870000000000005,1219.8600000000001,0.3122143617354286,0.3903277209284467
1,Hepatitis_E,DRB1_1402,Q81870|ORF3_HEVCH,0,1,0.0,0.8799999999999999,0.0,0.0034641577766405533
2,Hepatitis_E,DRB1_1402,Q81871-2|CAPSD_HEVCH,39,224,17.049999999999997,542.2,0.21238166417538606,0.433087847660431
3,Hepatitis_E,DRB1_1402,Q81871|CAPSD_HEVCH,39,225,17.049999999999997,542.51,0.21238166417538606,0.4328410605008896
4,Hepatitis_E,DRB1_1406,Q81862|POLN_HEVCH,41,336,13.700000000000003,777.03,0.08576973643022603,0.24863209630042046
5,Hepatitis_E,DRB1_1406,Q81870|ORF3_HEVCH,0,14,0.0,23.260000000000005,0.0,0.09156398850529467
6,Hepatitis_E,DRB1_1406,Q81871-2|CAPSD_HEVCH,29,124,15.34,330.73999999999995,0.19108121574489284,0.2641819895522149
7,Hepatitis_E,DRB1_1406,Q81871|CAPSD_HEVCH,34,146,16.700000000000003,395.48999999999995,0.20802192326856003,0.31554130065343833
8,Hepatitis_E,DRB1_1405,Q81862|POLN_HEVCH,83,425,31.130000000000003,1060.23,0.1948913792024041,0.33924971681993593
9,Hepatitis_E,DRB1_1405,Q81870|ORF3_HEVCH,0,7,0.0,4.560000000000002,0.0,0.01795063575168288
10,Hepatitis_E,DRB1_1405,Q81871-2|CAPSD_HEVCH,29,72,23.38,214.4,0.291230692575984,0.171254213460709
11,Hepatitis_E,DRB1_1405,Q81871|CAPSD_HEVCH,34,102,24.43,290.39,0.30430991529646234,0.23168737084819327
12,Hepatitis_E,DRB1_1602,Q81862|POLN_HEVCH,127,489,62.74000000000001,1264.57,0.3927878294622176,0.40463391377247043
13,Hepatitis_E,DRB1_1602,Q81870|ORF3_HEVCH,0,0,0.0,0.0,0.0,0.0
14,Hepatitis_E,DRB1_1602,Q81871-2|CAPSD_HEVCH,69,257,31.07,663.82,0.38702042850024904,0.5302330782625365
