,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Semliki_virus,DRB1_1402,P03315|POLS_SFV,9,132,1.459999999999999,274.79999999999995,0.01344754536243897,0.2007656565066191
1,Semliki_virus,DRB1_1402,P08411|POLN_SFV,150,538,71.77,1445.33,0.4847686592367443,0.4926057838141817
2,Semliki_virus,DRB1_1406,P03315|POLS_SFV,1,133,0.18000000000000005,208.40000000000003,0.001657916551533573,0.15225459540021627
3,Semliki_virus,DRB1_1406,P08411|POLN_SFV,157,686,96.22,1737.4499999999998,0.6499155690645052,0.5921678226342427
4,Semliki_virus,DRB1_1405,P03315|POLS_SFV,31,178,11.810000000000002,395.98999999999995,0.10877774707561944,0.2893056489085011
5,Semliki_virus,DRB1_1405,P08411|POLN_SFV,147,715,60.72999999999999,1778.19,0.41019925700776755,0.6060530665803241
6,Semliki_virus,DRB1_1602,P03315|POLS_SFV,58,373,24.489999999999995,960.6699999999998,0.22556875748365104,0.7018542330284344
7,Semliki_virus,DRB1_1602,P08411|POLN_SFV,144,697,66.20000000000002,1720.62,0.447146234380277,0.5864317240674153
8,Semliki_virus,DRB1_1201,P03315|POLS_SFV,18,114,5.629999999999999,254.69,0.051855945472966736,0.18607352640346006
9,Semliki_virus,DRB1_1201,P08411|POLN_SFV,140,642,72.67000000000002,1512.6799999999998,0.4908476865923675,0.5155604028561203
10,Semliki_virus,DRB1_0411,P03315|POLS_SFV,96,231,67.03999999999999,718.88,0.6174818089711706,0.5252052953037786
11,Semliki_virus,DRB1_0411,P08411|POLN_SFV,154,775,67.97,1966.32,0.45910165484633564,0.6701726282783182
12,Semliki_virus,DRB1_0405,P03315|POLS_SFV,61,193,36.61,527.66,0.3372018052869116,0.3855022063765744
13,Semliki_virus,DRB1_0405,P08411|POLN_SFV,65,609,17.799999999999997,1453.0999999999997,0.12022965214454573,0.49525400044307344
14,Semliki_virus,DRB1_0406,P03315|POLS_SFV,45,246,20.65,584.57,0.19019987105093486,0.427079984803764
15,Semliki_virus,DRB1_0406,P08411|POLN_SFV,256,829,132.25,2363.59,0.8932792975346167,0.8055725021727647
16,Semliki_virus,HLA-DQA10301-DQB10401,P03315|POLS_SFV,120,464,71.77,1236.64,0.6610481716864695,0.9034746778105731
17,Semliki_virus,HLA-DQA10301-DQB10401,P08411|POLN_SFV,110,567,46.6,1384.9999999999998,0.31475852752448497,0.4720437620354117
18,Semliki_virus,HLA-DQA10303-DQB10401,P03315|POLS_SFV,120,464,71.77,1236.64,0.6610481716864695,0.9034746778105731
19,Semliki_virus,HLA-DQA10303-DQB10401,P08411|POLN_SFV,110,567,46.6,1384.9999999999998,0.31475852752448497,0.4720437620354117
20,Semliki_virus,DRB1_0101,P03315|POLS_SFV,57,334,20.36,831.9499999999999,0.18752878327346412,0.6078129109559016
21,Semliki_virus,DRB1_0101,P08411|POLN_SFV,243,800,129.99,2201.9700000000003,0.8780141843971632,0.7504882329885313
22,Semliki_virus,DRB1_0102,P03315|POLS_SFV,32,254,12.739999999999998,575.55,0.11734364925854285,0.4204900786112978
23,Semliki_virus,DRB1_0102,P08411|POLN_SFV,177,911,84.57000000000001,2165.6,0.571225937183384,0.7380923978800633
24,Semliki_virus,DRB1_0301,P03315|POLS_SFV,24,176,8.120000000000001,415.26000000000005,0.07479045776918118,0.30338408486513346
25,Semliki_virus,DRB1_0301,P08411|POLN_SFV,185,767,110.1,1982.8600000000001,0.7436676798378925,0.6758098873570662
26,Semliki_virus,DRB1_0302,P03315|POLS_SFV,19,206,7.649999999999999,374.41999999999996,0.07046145344017683,0.2735468599316169
27,Semliki_virus,DRB1_0302,P08411|POLN_SFV,164,660,99.2,1766.59,0.6700439040864572,0.6020994870571393
28,Semliki_virus,DRB1_0401,P03315|POLS_SFV,4,264,1.23,419.61,0.011329096435479413,0.30656214383821856
29,Semliki_virus,DRB1_0401,P08411|POLN_SFV,237,777,144.66000000000003,2074.9700000000003,0.9771023302938198,0.7072033537260783
30,Semliki_virus,DRB1_0402,P03315|POLS_SFV,66,365,25.059999999999995,913.4399999999999,0.23081882656350736,0.6673485490516964
31,Semliki_virus,DRB1_0402,P08411|POLN_SFV,170,817,87.03999999999999,2067.84,0.5879094900371495,0.7047732656226036
32,Semliki_virus,DRB1_0403,P03315|POLS_SFV,45,246,20.65,584.57,0.19019987105093486,0.427079984803764
33,Semliki_virus,DRB1_0403,P08411|POLN_SFV,256,831,132.25,2363.59,0.8932792975346167,0.8055725021727647
34,Semliki_virus,DRB1_0404,P03315|POLS_SFV,22,225,6.809999999999999,450.87,0.06272450953302015,0.32940033314825096
35,Semliki_virus,DRB1_0404,P08411|POLN_SFV,218,863,133.82999999999998,2297.43,0.9039513677811548,0.7830234658577733
36,Semliki_virus,DRB1_0407,P03315|POLS_SFV,25,271,8.32,579.1600000000001,0.07663258727088514,0.4231275022648237
37,Semliki_virus,DRB1_0407,P08411|POLN_SFV,188,774,109.53,2011.3,0.7398176291793312,0.6855029737052879
38,Semliki_virus,DRB1_0701,P03315|POLS_SFV,172,421,108.57000000000001,1291.6399999999999,1.0,0.9436570326426839
39,Semliki_virus,DRB1_0701,P08411|POLN_SFV,142,853,69.55000000000001,1952.4299999999998,0.4697737250928741,0.6654385576251256
40,Semliki_virus,DRB1_0802,P03315|POLS_SFV,39,258,15.640000000000004,598.4599999999999,0.14405452703325047,0.4372278558695461
