,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Colorado_tick_fever,DRB1_1402,O55265|VP9P_CTFVL,4,81,0.6699999999999999,143.92000000000002,0.013199369582348306,0.18911460934009622
1,Colorado_tick_fever,DRB1_1402,O93214|VP9_CTFVL,3,39,0.43999999999999995,67.36000000000001,0.012215435868961688,0.1481025460621785
2,Colorado_tick_fever,DRB1_1402,Q66262|VP12_CTFVL,5,67,0.9500000000000002,169.87,0.0260702524698134,0.3106165886483324
3,Colorado_tick_fever,DRB1_1402,Q96713|VP11_CTFVL,1,72,0.09999999999999998,136.11,0.0026631158455392807,0.24098369363148675
4,Colorado_tick_fever,DRB1_1402,Q9DSQ0|RDRP_CTFVL,98,332,49.190000000000005,909.6599999999999,0.42306699922593966,0.5380979704349574
5,Colorado_tick_fever,DRB1_1402,Q9ENK7|VP10_CTFVL,46,149,27.05,390.7,0.33407434852414475,0.39619522780972083
6,Colorado_tick_fever,DRB1_1402,Q9ENK8|VP8_CTFVL,42,213,16.2,542.52,0.13190034196384953,0.3927348540238455
7,Colorado_tick_fever,DRB1_1402,Q9ENK9|VP7_CTFVL,56,212,33.160000000000004,576.9499999999999,0.41075188901275866,0.5065764057176974
8,Colorado_tick_fever,DRB1_1402,Q9ENL0|VP6_CTFVL,54,246,17.67,640.06,0.21680981595092028,0.6415612533327987
9,Colorado_tick_fever,DRB1_1402,Q9ENL1|VP5_CTFVL,18,137,6.140000000000001,324.41999999999996,0.07483241925655088,0.3180369974609585
10,Colorado_tick_fever,DRB1_1402,Q9ENL2|VP4_CTFVL,38,223,12.069999999999997,538.38,0.23834913112164294,0.47121326168011624
11,Colorado_tick_fever,DRB1_1402,Q9ENL3|VP3_CTFVL,71,319,32.529999999999994,830.3,0.36694867456288766,0.6498497276313319
12,Colorado_tick_fever,DRB1_1402,Q9ENL4|VP2_CTFVL,59,309,19.0,754.25,0.16827561774864938,0.5167971935017506
13,Colorado_tick_fever,DRB1_1406,O55265|VP9P_CTFVL,4,60,0.7000000000000002,120.20999999999998,0.013790386130811667,0.15795905495256365
14,Colorado_tick_fever,DRB1_1406,O93214|VP9_CTFVL,1,30,0.020000000000000018,52.39,0.0005552470849528046,0.11518842619058091
15,Colorado_tick_fever,DRB1_1406,Q66262|VP12_CTFVL,0,10,0.0,15.46,0.0,0.028269455822118206
16,Colorado_tick_fever,DRB1_1406,Q96713|VP11_CTFVL,15,84,6.629999999999999,206.50000000000003,0.1765645805592543,0.36560967404968053
17,Colorado_tick_fever,DRB1_1406,Q9DSQ0|RDRP_CTFVL,40,308,24.91,689.2099999999999,0.21424271093145264,0.40769353627011967
18,Colorado_tick_fever,DRB1_1406,Q9ENK7|VP10_CTFVL,11,185,2.92,375.80999999999995,0.03606273928615537,0.38109579872836236
19,Colorado_tick_fever,DRB1_1406,Q9ENK8|VP8_CTFVL,51,270,22.42,641.28,0.18254355968083374,0.4642280601423204
20,Colorado_tick_fever,DRB1_1406,Q9ENK9|VP7_CTFVL,43,134,24.35,380.9699999999999,0.3016226929270408,0.33450110631124214
21,Colorado_tick_fever,DRB1_1406,Q9ENL0|VP6_CTFVL,47,267,22.56,657.0699999999999,0.27680981595092025,0.6586111500912133
22,Colorado_tick_fever,DRB1_1406,Q9ENL1|VP5_CTFVL,33,200,16.529999999999998,464.39,0.2014625228519195,0.4552530708676855
