,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Japanese_encephalitis_virus,HLA-A02:07,P0DOH8|POLS_JAEVJ,18,70,3.4399999999999995,69.09100000000001,0.2901484480431849,0.44662146001538494
1,Japanese_encephalitis_virus,HLA-A02:07,P32886|POLG_JAEVJ,74,278,15.764,271.36299999999994,0.4599002246404294,0.6048703831665291
2,Japanese_encephalitis_virus,HLA-A02:03,P0DOH8|POLS_JAEVJ,19,83,5.4479999999999995,77.506,0.45951417004048584,0.5010181192912597
3,Japanese_encephalitis_virus,HLA-A02:03,P32886|POLG_JAEVJ,72,300,18.006,291.77000000000004,0.5253085159144616,0.6503577558344293
4,Japanese_encephalitis_virus,HLA-A66:01,P0DOH8|POLS_JAEVJ,17,100,3.8290000000000006,90.491,0.32295883940620795,0.5849563986373362
5,Japanese_encephalitis_virus,HLA-A66:01,P32886|POLG_JAEVJ,62,326,12.665,307.595,0.36948974531026635,0.6856318124066604
6,Japanese_encephalitis_virus,HLA-A31:08,P0DOH8|POLS_JAEVJ,26,112,6.045000000000001,112.296,0.5098684210526317,0.7259093582939553
7,Japanese_encephalitis_virus,HLA-A31:08,P32886|POLG_JAEVJ,68,303,16.116,310.091,0.47016950141494296,0.691195417158906
8,Japanese_encephalitis_virus,HLA-A02:36,P0DOH8|POLS_JAEVJ,15,68,4.487,68.19699999999999,0.37845816464237525,0.4408424209907108
9,Japanese_encephalitis_virus,HLA-A02:36,P32886|POLG_JAEVJ,70,280,17.845,277.447,0.5206114887533915,0.6184316697501282
10,Japanese_encephalitis_virus,HLA-A68:03,P0DOH8|POLS_JAEVJ,27,96,5.901999999999999,102.561,0.49780701754385964,0.6629798897199041
11,Japanese_encephalitis_virus,HLA-A68:03,P32886|POLG_JAEVJ,87,338,19.148,350.348,0.5586253172681389,0.7809286048636962
12,Japanese_encephalitis_virus,HLA-A26:01,P0DOH8|POLS_JAEVJ,16,79,3.5250000000000004,79.62199999999999,0.29731781376518224,0.5146964711662152
13,Japanese_encephalitis_virus,HLA-A26:01,P32886|POLG_JAEVJ,51,271,12.368,257.64,0.3608250430317706,0.5742817020707487
14,Japanese_encephalitis_virus,HLA-A33:01,P0DOH8|POLS_JAEVJ,26,97,6.04,94.861,0.5094466936572201,0.6132051688138749
15,Japanese_encephalitis_virus,HLA-A33:01,P32886|POLG_JAEVJ,91,347,20.930000000000003,341.288,0.6106135309391137,0.760733789537035
16,Japanese_encephalitis_virus,HLA-A29:01,P0DOH8|POLS_JAEVJ,16,62,3.519,58.974000000000004,0.2968117408906883,0.3812226481444372
17,Japanese_encephalitis_virus,HLA-A29:01,P32886|POLG_JAEVJ,54,208,12.197000000000001,203.374,0.3558362750532427,0.4533223368923166
18,Japanese_encephalitis_virus,HLA-A24:07,P0DOH8|POLS_JAEVJ,16,83,3.7859999999999996,78.61000000000001,0.319331983805668,0.50815465070428
19,Japanese_encephalitis_virus,HLA-A24:07,P32886|POLG_JAEVJ,55,243,12.933,230.62,0.3773083992181346,0.5140538974210374
20,Japanese_encephalitis_virus,HLA-A02:13,P0DOH8|POLS_JAEVJ,20,69,5.691000000000001,71.53999999999999,0.48001012145749,0.4624524069632895
21,Japanese_encephalitis_virus,HLA-A02:13,P32886|POLG_JAEVJ,73,304,18.503999999999998,296.33399999999995,0.5398372086238585,0.6605309497804426
22,Japanese_encephalitis_virus,HLA-B15:02,P0DOH8|POLS_JAEVJ,24,90,6.568,95.36099999999999,0.5539811066126856,0.6164372935480326
23,Japanese_encephalitis_virus,HLA-B15:02,P32886|POLG_JAEVJ,68,270,16.616,270.976,0.4847565422878315,0.6040077569489334
24,Japanese_encephalitis_virus,HLA-B46:01,P0DOH8|POLS_JAEVJ,29,95,7.795,101.64099999999999,0.6574730094466937,0.6570327802090538
25,Japanese_encephalitis_virus,HLA-B46:01,P32886|POLG_JAEVJ,76,290,18.884,293.924,0.5509233596872538,0.6551590397432182
26,Japanese_encephalitis_virus,HLA-B38:02,P0DOH8|POLS_JAEVJ,27,90,5.605999999999999,96.066,0.47284075573549256,0.6209945894231951
27,Japanese_encephalitis_virus,HLA-B38:02,P32886|POLG_JAEVJ,64,259,13.983999999999998,262.599,0.4079703591329462,0.5853353543008716
28,Japanese_encephalitis_virus,HLA-B54:01,P0DOH8|POLS_JAEVJ,26,82,6.8020000000000005,83.26299999999999,0.5737179487179489,0.5382328034803519
29,Japanese_encephalitis_virus,HLA-B54:01,P32886|POLG_JAEVJ,69,287,17.134000000000004,276.37299999999993,0.4998687166321441,0.6160377148206762
30,Japanese_encephalitis_virus,HLA-B13:02,P0DOH8|POLS_JAEVJ,16,80,3.46,79.00200000000001,0.29183535762483137,0.5106886364958597
31,Japanese_encephalitis_virus,HLA-B13:02,P32886|POLG_JAEVJ,54,265,12.102,265.2,0.3530647372873939,0.5911330049261083
32,Japanese_encephalitis_virus,HLA-B14:05,P0DOH8|POLS_JAEVJ,31,96,6.909000000000001,102.76400000000001,0.5827429149797573,0.6642921323619722
33,Japanese_encephalitis_virus,HLA-B14:05,P32886|POLG_JAEVJ,79,278,19.053,287.693,0.5558537795022902,0.6412700889374318
34,Japanese_encephalitis_virus,HLA-B45:01,P0DOH8|POLS_JAEVJ,29,96,6.797000000000001,98.886,0.5732962213225372,0.6392237729238447
35,Japanese_encephalitis_virus,HLA-B45:01,P32886|POLG_JAEVJ,71,291,15.796,300.076,0.46083379525629425,0.6688718988921829
36,Japanese_encephalitis_virus,HLA-B55:02,P0DOH8|POLS_JAEVJ,21,89,6.45,87.755,0.5440283400809718,0.567270212092025
37,Japanese_encephalitis_virus,HLA-B55:02,P32886|POLG_JAEVJ,61,276,16.517,267.872,0.48186830819499954,0.5970889151416535
38,Japanese_encephalitis_virus,HLA-B07:05,P0DOH8|POLS_JAEVJ,26,96,7.176999999999999,105.122,0.6053475033738192,0.67953483260826
39,Japanese_encephalitis_virus,HLA-B07:05,P32886|POLG_JAEVJ,79,291,21.297,300.89200000000005,0.6213204189398138,0.670690769676571
40,Japanese_encephalitis_virus,HLA-B35:14,P0DOH8|POLS_JAEVJ,20,83,4.8340000000000005,82.91500000000002,0.40772604588394074,0.5359832446653783
41,Japanese_encephalitis_virus,HLA-B35:14,P32886|POLG_JAEVJ,59,282,14.775,271.85299999999995,0.43104705779385594,0.6059625972404876
42,Japanese_encephalitis_virus,HLA-B39:05,P0DOH8|POLS_JAEVJ,26,103,6.7669999999999995,103.51999999999998,0.5707658569500675,0.6691791049600185
43,Japanese_encephalitis_virus,HLA-B39:05,P32886|POLG_JAEVJ,70,271,17.144000000000002,272.997,0.5001604574496018,0.6085125827519337
44,Japanese_encephalitis_virus,HLA-C14:03,P0DOH8|POLS_JAEVJ,22,81,4.814,82.248,0.40603913630229427,0.5316715902700118
