,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,H1N1,HLA-A02:07,P03428|PB2_I34A1,11,53,2.964,45.23599999999999,0.29472009545590133,0.3739346796392583
1,H1N1,HLA-A02:07,P03431|RDRP_I34A1,10,41,2.468,36.9,0.25132382892057026,0.3127701774907186
2,H1N1,HLA-A02:07,P03433|PA_I34A1,15,50,3.01,49.785,0.2874057099207486,0.4006228423822514
3,H1N1,HLA-A02:07,P03452|HEMA_I34A1,10,37,2.1390000000000002,35.717,0.3458926261319535,0.5265974699967564
4,H1N1,HLA-A02:07,P03466|NCAP_I34A1,2,20,0.41400000000000003,15.900999999999996,0.07686594875603417,0.16633367155873088
5,H1N1,HLA-A02:07,P03468|NRAM_I34A1,2,15,0.33299999999999996,10.902999999999999,0.06787607011822257,0.17728455284552844
6,H1N1,HLA-A02:07,P03485|M1_I34A1,3,15,0.654,13.759,0.20572507077697388,0.3657654783741393
7,H1N1,HLA-A02:07,P03496|NS1_I34A1,6,21,0.9239999999999999,21.834,0.35039817974971554,0.6556362981202328
8,H1N1,HLA-A02:07,P03508|NEP_I34A1,4,13,0.8260000000000001,12.722999999999999,0.4021421616358325,0.4447668321331189
9,H1N1,HLA-A02:07,P06821|M2_I34A1,2,10,0.22999999999999998,7.0440000000000005,0.148005148005148,0.5375868121804167
10,H1N1,HLA-A02:07,P0C0U1|PB1F2_I34A1,1,3,0.07100000000000001,3.1900000000000004,0.027821316614420066,0.11243083212913686
11,H1N1,HLA-A02:07,P0CK64|PAX_I34A1,2,11,0.44100000000000006,10.678,0.10465116279069768,0.23273757628596342
12,H1N1,HLA-A02:07,P0DOG6|PB2S1_I34A1,10,43,2.901,39.725,0.3458099892716653,0.44023449620993843
13,H1N1,HLA-A02:03,P03428|PB2_I34A1,13,53,3.1460000000000004,53.32599999999999,0.31281694342249183,0.4408091061641854
14,H1N1,HLA-A02:03,P03431|RDRP_I34A1,12,47,4.058,49.096999999999994,0.4132382892057026,0.416153859194087
15,H1N1,HLA-A02:03,P03433|PA_I34A1,11,55,3.33,54.288,0.3179604697794329,0.4368587499698235
16,H1N1,HLA-A02:03,P03452|HEMA_I34A1,13,41,3.334,41.331,0.5391332470892626,0.6093680889334474
17,H1N1,HLA-A02:03,P03466|NCAP_I34A1,4,25,0.601,25.923,0.11158559227627181,0.27116959737230245
18,H1N1,HLA-A02:03,P03468|NRAM_I34A1,3,16,0.7729999999999999,16.615,0.15756216877293105,0.27016260162601624
19,H1N1,HLA-A02:03,P03485|M1_I34A1,7,21,1.795,22.348999999999997,0.5646429694872601,0.5941196799319455
20,H1N1,HLA-A02:03,P03496|NS1_I34A1,10,26,1.7800000000000002,30.23,0.6750094804702315,0.9077532880908051
21,H1N1,HLA-A02:03,P03508|NEP_I34A1,5,14,0.9440000000000002,15.495999999999999,0.45959104186952293,0.5417045375096133
22,H1N1,HLA-A02:03,P06821|M2_I34A1,3,5,0.492,6.373,0.3166023166023166,0.4863771655346104
23,H1N1,HLA-A02:03,P0C0U1|PB1F2_I34A1,2,5,0.14200000000000002,4.016,0.05564263322884013,0.14154301624784124
24,H1N1,HLA-A02:03,P0CK64|PAX_I34A1,2,14,0.725,8.977,0.1720455624110109,0.19566259808195294
25,H1N1,HLA-A02:03,P0DOG6|PB2S1_I34A1,10,39,2.4600000000000004,40.754,0.29324114912385274,0.4516379272130857
26,H1N1,HLA-A66:01,P03428|PB2_I34A1,22,87,5.260000000000001,83.30600000000001,0.5230187928805807,0.6886330007522341
27,H1N1,HLA-A66:01,P03431|RDRP_I34A1,23,89,5.879999999999999,86.31299999999999,0.5987780040733196,0.7316025021614199
28,H1N1,HLA-A66:01,P03433|PA_I34A1,18,59,4.227,63.285,0.4036092810083071,0.5092581416121478
29,H1N1,HLA-A66:01,P03452|HEMA_I34A1,11,47,2.746,44.51199999999999,0.44404915912031045,0.6562675080352667
30,H1N1,HLA-A66:01,P03466|NCAP_I34A1,10,40,1.472,38.087,0.2733011511325659,0.39841208406121537
31,H1N1,HLA-A66:01,P03468|NRAM_I34A1,6,23,2.257,22.658000000000005,0.46004891969017525,0.36842276422764236
32,H1N1,HLA-A66:01,P03485|M1_I34A1,9,24,2.532,27.720000000000002,0.7964768795218622,0.736900869287822
33,H1N1,HLA-A66:01,P03496|NS1_I34A1,5,23,1.149,21.532000000000004,0.43572241183162685,0.6465677737072848
34,H1N1,HLA-A66:01,P03508|NEP_I34A1,3,14,0.516,16.490000000000002,0.25121713729308665,0.5764524924840944
35,H1N1,HLA-A66:01,P06821|M2_I34A1,0,4,0.0,3.4670000000000005,0.0,0.26459589407006034
36,H1N1,HLA-A66:01,P0C0U1|PB1F2_I34A1,2,8,0.352,7.51,0.13793103448275862,0.2646882599654601
37,H1N1,HLA-A66:01,P0CK64|PAX_I34A1,9,20,1.133,24.065,0.2688656858092074,0.5245204882301657
38,H1N1,HLA-A66:01,P0DOG6|PB2S1_I34A1,17,59,3.6899999999999995,61.053000000000004,0.43986172368577897,0.6765924908018973
39,H1N1,HLA-A31:08,P03428|PB2_I34A1,21,71,6.1370000000000005,79.242,0.610221736104206,0.6550387276499716
40,H1N1,HLA-A31:08,P03431|RDRP_I34A1,21,85,4.841000000000001,91.525,0.4929735234215887,0.7757802302124126
41,H1N1,HLA-A31:08,P03433|PA_I34A1,11,62,2.5010000000000003,60.071000000000005,0.23880454502052903,0.4833948933362303
42,H1N1,HLA-A31:08,P03452|HEMA_I34A1,12,46,2.491,47.584,0.4028137128072445,0.7015598737947101
43,H1N1,HLA-A31:08,P03466|NCAP_I34A1,8,41,2.276,41.489000000000004,0.4225770516152989,0.43399897486322797
44,H1N1,HLA-A31:08,P03468|NRAM_I34A1,3,25,0.262,20.901,0.053403995108030976,0.3398536585365854
45,H1N1,HLA-A31:08,P03485|M1_I34A1,0,10,0.0,7.758000000000001,0.0,0.20623654198899433
46,H1N1,HLA-A31:08,P03496|NS1_I34A1,2,8,0.591,9.172,0.2241183162684869,0.2754188937601345
47,H1N1,HLA-A31:08,P03508|NEP_I34A1,4,13,0.8460000000000001,14.232000000000001,0.41187925998052577,0.49751800321610856
48,H1N1,HLA-A31:08,P06821|M2_I34A1,1,8,0.04999999999999999,7.245000000000001,0.03217503217503217,0.5529268106540488
49,H1N1,HLA-A31:08,P0C0U1|PB1F2_I34A1,6,13,1.867,15.801,0.7315830721003135,0.5569026891763296
50,H1N1,HLA-A31:08,P0CK64|PAX_I34A1,6,24,1.573,24.171,0.37327954437588984,0.5268308631211858
51,H1N1,HLA-A31:08,P0DOG6|PB2S1_I34A1,14,33,3.634,40.169,0.4331863154130409,0.44515492708010107
52,H1N1,HLA-A02:36,P03428|PB2_I34A1,10,57,2.0100000000000002,53.586,0.19986079347718008,0.4429583460772239
