,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Mumps_virus,HLA-A02:07,P11235|HN_MUMPM,15,48,3.093,47.736,0.463996399639964,0.6076684148887417
1,Mumps_virus,HLA-A02:07,P11236|FUS_MUMPM,26,74,5.894,79.315,0.7242565740968299,0.7381778923562314
2,Mumps_virus,HLA-A02:07,P16595|PHOSP_MUMPM,5,36,1.964,27.791000000000004,0.39934932899552666,0.4925299069561366
3,Mumps_virus,HLA-A02:07,P21186|NCAP_MUMPM,16,50,3.502,52.812000000000005,0.5237027067444295,0.6483818690762658
4,Mumps_virus,HLA-A02:07,P22112|SH_MUMPM,6,10,1.071,12.588999999999999,0.6748582230623819,0.5541664832504292
5,Mumps_virus,HLA-A02:07,P30928|V_MUMPM,2,16,0.681,11.308999999999997,0.22371879106438897,0.35835604284175154
6,Mumps_virus,HLA-A02:07,P30929|L_MUMPM,78,308,17.927,310.657,0.7919335601007201,0.9543378153790386
7,Mumps_virus,HLA-A02:07,Q9JG20|MATRX_MUMPM,7,27,1.736,24.459000000000003,0.3289747962857684,0.3881888014220417
8,Mumps_virus,HLA-A02:03,P11235|HN_MUMPM,15,61,3.308,61.43800000000001,0.4962496249624962,0.7820917561993992
9,Mumps_virus,HLA-A02:03,P11236|FUS_MUMPM,28,83,6.551000000000001,86.007,0.8049889407716887,0.8004597615568606
10,Mumps_virus,HLA-A02:03,P16595|PHOSP_MUMPM,13,35,2.9439999999999995,40.327,0.5986173241154941,0.7147009304386354
11,Mumps_virus,HLA-A02:03,P21186|NCAP_MUMPM,13,45,2.4459999999999997,44.961999999999996,0.3657843577089876,0.5520060894760104
12,Mumps_virus,HLA-A02:03,P22112|SH_MUMPM,1,7,0.21999999999999997,4.4190000000000005,0.13862633900441082,0.19452392481401598
13,Mumps_virus,HLA-A02:03,P30928|V_MUMPM,6,15,1.3980000000000001,17.659,0.45926412614980294,0.5595728499904935
14,Mumps_virus,HLA-A02:03,P30929|L_MUMPM,68,278,19.576999999999998,289.275,0.8648230772628882,0.8886523450099993
15,Mumps_virus,HLA-A02:03,Q9JG20|MATRX_MUMPM,6,31,1.6320000000000001,29.186000000000007,0.30926662876634453,0.4632110208227528
16,Mumps_virus,HLA-A66:01,P11235|HN_MUMPM,9,51,1.197,45.392,0.17956795679567958,0.5778298284026682
17,Mumps_virus,HLA-A66:01,P11236|FUS_MUMPM,5,36,1.158,32.26400000000001,0.14229540427623497,0.30027827673178414
18,Mumps_virus,HLA-A66:01,P16595|PHOSP_MUMPM,10,38,2.606,36.944,0.5298901992679952,0.6547452370403191
19,Mumps_virus,HLA-A66:01,P21186|NCAP_MUMPM,14,57,3.6599999999999997,53.327999999999996,0.5473306415432929,0.6547168884741934
20,Mumps_virus,HLA-A66:01,P22112|SH_MUMPM,1,11,0.255,9.219000000000001,0.16068052930056712,0.405819430382533
