,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,SARS-CoV-2_2,DRB1_1402,A0A663DJA2|ORF10_SARS2,0,0,0.0,0.0,0.0,0.0
1,SARS-CoV-2_2,DRB1_1402,P0DTC1|R1A_SARS2,238,1129,121.60000000000001,2820.75,0.4902435091114337,0.5916685020293867
2,SARS-CoV-2_2,DRB1_1402,P0DTC2|SPIKE_SARS2,43,328,16.450000000000003,680.1899999999999,0.13145277289435833,0.33683277457821
3,SARS-CoV-2_2,DRB1_1402,P0DTC3|AP3A_SARS2,2,40,0.08999999999999986,79.34,0.002654084340902384,0.16055203674848736
4,SARS-CoV-2_2,DRB1_1402,P0DTC4|VEMP_SARS2,0,16,0.0,31.89,0.0,0.23725913250502195
5,SARS-CoV-2_2,DRB1_1402,P0DTC5|VME1_SARS2,0,56,0.0,87.78000000000003,0.0,0.21424910302409025
6,SARS-CoV-2_2,DRB1_1402,P0DTC6|NS6_SARS2,3,31,0.5899999999999999,73.67,0.03949129852744309,0.3634973108994918
7,SARS-CoV-2_2,DRB1_1402,P0DTC7|NS7A_SARS2,0,6,0.0,4.079999999999998,0.0,0.01738537583091869
8,SARS-CoV-2_2,DRB1_1402,P0DTC8|NS8_SARS2,0,6,0.0,7.789999999999999,0.0,0.036488828516558144
9,SARS-CoV-2_2,DRB1_1402,P0DTC9|NCAP_SARS2,19,105,6.549999999999999,281.92999999999995,0.17300581088219755,0.5930000210335906
10,SARS-CoV-2_2,DRB1_1402,P0DTD2|ORF9B_SARS2,0,5,0.0,8.77,0.0,0.030360728380530357
11,SARS-CoV-2_2,DRB1_1402,P0DTD3|ORF9C_SARS2,0,0,0.0,0.0,0.0,0.0
12,SARS-CoV-2_2,DRB1_1402,P0DTD8|NS7B_SARS2,0,0,0.0,0.0,,
13,SARS-CoV-2_2,DRB1_1402,P0DTF1|ORF3B_SARS2,0,0,0.0,0.0,,
14,SARS-CoV-2_2,DRB1_1402,P0DTG0|ORF3D_SARS2,0,0,0.0,0.0,0.0,0.0
15,SARS-CoV-2_2,DRB1_1402,P0DTG1|ORF3C_SARS2,1,20,0.08999999999999997,39.379999999999995,0.008159564823209427,0.2611405835543766
16,SARS-CoV-2_2,DRB1_1406,A0A663DJA2|ORF10_SARS2,0,0,0.0,0.0,0.0,0.0
17,SARS-CoV-2_2,DRB1_1406,P0DTC1|R1A_SARS2,161,990,80.61,2317.6099999999997,0.32498790517658444,0.4861319992868303
18,SARS-CoV-2_2,DRB1_1406,P0DTC2|SPIKE_SARS2,18,281,3.6900000000000013,546.04,0.029486974588460932,0.2704011647196898
19,SARS-CoV-2_2,DRB1_1406,P0DTC3|AP3A_SARS2,0,25,0.0,41.64,0.0,0.08426250075884817
20,SARS-CoV-2_2,DRB1_1406,P0DTC4|VEMP_SARS2,0,0,0.0,0.0,0.0,0.0
21,SARS-CoV-2_2,DRB1_1406,P0DTC5|VME1_SARS2,0,47,0.0,77.60000000000002,0.0,0.18940226013521763
22,SARS-CoV-2_2,DRB1_1406,P0DTC6|NS6_SARS2,18,47,6.539999999999999,148.95999999999998,0.43775100401606415,0.7349879113830363
23,SARS-CoV-2_2,DRB1_1406,P0DTC7|NS7A_SARS2,0,3,0.0,1.2199999999999989,0.0,0.00519856826316686
24,SARS-CoV-2_2,DRB1_1406,P0DTC8|NS8_SARS2,0,13,0.0,18.089999999999996,0.0,0.0847346479928802
25,SARS-CoV-2_2,DRB1_1406,P0DTC9|NCAP_SARS2,16,73,7.529999999999999,193.88,0.19889064976228207,0.40779925541089124
26,SARS-CoV-2_2,DRB1_1406,P0DTD2|ORF9B_SARS2,0,24,0.0,36.14,0.0,0.1251125112511251
27,SARS-CoV-2_2,DRB1_1406,P0DTD3|ORF9C_SARS2,0,0,0.0,0.0,0.0,0.0
28,SARS-CoV-2_2,DRB1_1406,P0DTD8|NS7B_SARS2,0,0,0.0,0.0,,
29,SARS-CoV-2_2,DRB1_1406,P0DTF1|ORF3B_SARS2,0,0,0.0,0.0,,
30,SARS-CoV-2_2,DRB1_1406,P0DTG0|ORF3D_SARS2,0,0,0.0,0.0,0.0,0.0
31,SARS-CoV-2_2,DRB1_1406,P0DTG1|ORF3C_SARS2,0,0,0.0,0.0,0.0,0.0
32,SARS-CoV-2_2,DRB1_1405,A0A663DJA2|ORF10_SARS2,0,0,0.0,0.0,0.0,0.0
33,SARS-CoV-2_2,DRB1_1405,P0DTC1|R1A_SARS2,170,986,96.43,2275.17,0.38876794065473314,0.47722996570493653
34,SARS-CoV-2_2,DRB1_1405,P0DTC2|SPIKE_SARS2,26,401,5.900000000000002,814.97,0.0471471951414416,0.40357636292507065
35,SARS-CoV-2_2,DRB1_1405,P0DTC3|AP3A_SARS2,9,27,2.2799999999999994,87.06,0.06723680330286048,0.17617419106785115
36,SARS-CoV-2_2,DRB1_1405,P0DTC4|VEMP_SARS2,0,0,0.0,0.0,0.0,0.0
37,SARS-CoV-2_2,DRB1_1405,P0DTC5|VME1_SARS2,0,70,0.0,110.41,0.0,0.26948329306094554
38,SARS-CoV-2_2,DRB1_1405,P0DTC6|NS6_SARS2,7,43,2.25,115.40999999999998,0.1506024096385542,0.5694478709231755
39,SARS-CoV-2_2,DRB1_1405,P0DTC7|NS7A_SARS2,0,1,0.0,0.21999999999999975,0.0,0.000937446735980909
40,SARS-CoV-2_2,DRB1_1405,P0DTC8|NS8_SARS2,0,3,0.0,1.1600000000000001,0.0,0.0054335097662654
41,SARS-CoV-2_2,DRB1_1405,P0DTC9|NCAP_SARS2,5,63,1.0700000000000003,147.67,0.028262017960908617,0.3106030330437709
42,SARS-CoV-2_2,DRB1_1405,P0DTD2|ORF9B_SARS2,0,18,0.0,23.72,0.0,0.08211590389808211
43,SARS-CoV-2_2,DRB1_1405,P0DTD3|ORF9C_SARS2,0,1,0.0,0.15000000000000036,0.0,0.0010665529010238934
44,SARS-CoV-2_2,DRB1_1405,P0DTD8|NS7B_SARS2,0,0,0.0,0.0,,
45,SARS-CoV-2_2,DRB1_1405,P0DTF1|ORF3B_SARS2,0,0,0.0,0.0,,
46,SARS-CoV-2_2,DRB1_1405,P0DTG0|ORF3D_SARS2,0,0,0.0,0.0,0.0,0.0
47,SARS-CoV-2_2,DRB1_1405,P0DTG1|ORF3C_SARS2,0,0,0.0,0.0,0.0,0.0
48,SARS-CoV-2_2,DRB1_1602,A0A663DJA2|ORF10_SARS2,0,2,0.0,1.9299999999999997,0.0,0.025989765688122807
