,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Crimean_Congo,HLA-A02:07,P0DTL3|NSS_CCHFI,3,20,0.5790000000000001,15.099,0.13341013824884795,0.2761944830613888
1,Crimean_Congo,HLA-A02:07,P89522|NCAP_CCHFI,12,30,3.53,33.91199999999999,0.5414110429447853,0.5018646776771443
2,Crimean_Congo,HLA-A02:07,Q8JSZ3|GP_CCHFI,29,128,7.904,120.45600000000002,0.5966633954857704,0.700647390371159
3,Crimean_Congo,HLA-A02:03,P0DTL3|NSS_CCHFI,3,25,0.583,20.083000000000002,0.13433179723502303,0.36736299114655746
4,Crimean_Congo,HLA-A02:03,P89522|NCAP_CCHFI,8,34,1.807,31.18200000000001,0.2771472392638037,0.46146332800568296
5,Crimean_Congo,HLA-A02:03,Q8JSZ3|GP_CCHFI,19,111,5.369,99.914,0.4052993130520118,0.5811622780230455
6,Crimean_Congo,HLA-A66:01,P0DTL3|NSS_CCHFI,4,14,1.071,15.074,0.2467741935483871,0.27573717714202095
7,Crimean_Congo,HLA-A66:01,P89522|NCAP_CCHFI,12,47,3.351,49.193999999999996,0.5139570552147239,0.7280234416622269
8,Crimean_Congo,HLA-A66:01,Q8JSZ3|GP_CCHFI,39,139,10.309999999999999,144.619,0.7782894240205329,0.8411945021259765
9,Crimean_Congo,HLA-A31:08,P0DTL3|NSS_CCHFI,8,17,1.6580000000000004,18.502,0.38202764976958536,0.33844296480573643
10,Crimean_Congo,HLA-A31:08,P89522|NCAP_CCHFI,9,46,2.329,45.815000000000005,0.35720858895705526,0.6780175220505535
11,Crimean_Congo,HLA-A31:08,Q8JSZ3|GP_CCHFI,30,109,6.708,110.64800000000001,0.506378802747792,0.6435979316081224
12,Crimean_Congo,HLA-A02:36,P0DTL3|NSS_CCHFI,1,20,0.07700000000000001,16.076000000000004,0.01774193548387097,0.29406599839028325
13,Crimean_Congo,HLA-A02:36,P89522|NCAP_CCHFI,6,22,1.839,21.388000000000005,0.2820552147239264,0.3165216361806666
14,Crimean_Congo,HLA-A02:36,Q8JSZ3|GP_CCHFI,30,114,6.41,113.69500000000001,0.4838831433532121,0.6613211882201709
15,Crimean_Congo,HLA-A68:03,P0DTL3|NSS_CCHFI,5,19,1.1019999999999999,18.57,0.2539170506912442,0.33968683690641693
16,Crimean_Congo,HLA-A68:03,P89522|NCAP_CCHFI,6,30,1.468,29.198000000000004,0.22515337423312884,0.4321020541052507
17,Crimean_Congo,HLA-A68:03,Q8JSZ3|GP_CCHFI,33,132,6.891000000000002,129.454,0.5201932513021817,0.7529853828211795
18,Crimean_Congo,HLA-A26:01,P0DTL3|NSS_CCHFI,5,11,1.475,12.383000000000001,0.3398617511520738,0.22651276798126876
19,Crimean_Congo,HLA-A26:01,P89522|NCAP_CCHFI,22,56,5.987,66.15899999999999,0.9182515337423314,0.9790889717634521
20,Crimean_Congo,HLA-A26:01,Q8JSZ3|GP_CCHFI,28,108,7.849,105.488,0.592511512040462,0.613584146206688
21,Crimean_Congo,HLA-A33:01,P0DTL3|NSS_CCHFI,2,19,0.405,17.86,0.09331797235023043,0.3266993487963708
22,Crimean_Congo,HLA-A33:01,P89522|NCAP_CCHFI,8,27,2.3760000000000003,28.519000000000002,0.3644171779141105,0.4220535132895282
23,Crimean_Congo,HLA-A33:01,Q8JSZ3|GP_CCHFI,25,125,5.505999999999999,113.06700000000001,0.4156412772703253,0.6576683476713142
24,Crimean_Congo,HLA-A29:01,P0DTL3|NSS_CCHFI,3,15,0.728,13.66,0.16774193548387098,0.24987195434257703
25,Crimean_Congo,HLA-A29:01,P89522|NCAP_CCHFI,11,39,2.604,39.293,0.3993865030674847,0.5814982537145563
26,Crimean_Congo,HLA-A29:01,Q8JSZ3|GP_CCHFI,24,121,5.837999999999999,108.588,0.4407035555220049,0.6316156839478597
27,Crimean_Congo,HLA-A24:07,P0DTL3|NSS_CCHFI,8,29,2.5010000000000003,28.814,0.5762672811059909,0.527072510426575
28,Crimean_Congo,HLA-A24:07,P89522|NCAP_CCHFI,8,44,1.947,39.22699999999999,0.29861963190184054,0.5805215177884329
29,Crimean_Congo,HLA-A24:07,Q8JSZ3|GP_CCHFI,30,126,6.885999999999999,123.435,0.5198158073526081,0.7179751164779172
30,Crimean_Congo,HLA-A02:13,P0DTL3|NSS_CCHFI,2,29,0.483,22.683,0.11129032258064517,0.4149228067608107
31,Crimean_Congo,HLA-A02:13,P89522|NCAP_CCHFI,8,31,1.807,28.756999999999998,0.2771472392638037,0.42557568223524533
32,Crimean_Congo,HLA-A02:13,Q8JSZ3|GP_CCHFI,22,114,5.146,104.649,0.3884653129010342,0.608703997766416
33,Crimean_Congo,HLA-B15:02,P0DTL3|NSS_CCHFI,6,18,1.457,18.176,0.33571428571428574,0.33247969561718005
34,Crimean_Congo,HLA-B15:02,P89522|NCAP_CCHFI,15,46,4.162,49.940999999999995,0.6383435582822086,0.7390783164624399
35,Crimean_Congo,HLA-B15:02,Q8JSZ3|GP_CCHFI,26,113,7.001,118.74199999999999,0.5284970181927984,0.6906776949878142
36,Crimean_Congo,HLA-B46:01,P0DTL3|NSS_CCHFI,2,24,0.831,19.13,0.1914746543778802,0.34993048950025607
37,Crimean_Congo,HLA-B46:01,P89522|NCAP_CCHFI,14,52,2.6659999999999995,50.20100000000001,0.40889570552147236,0.7429260640501983
38,Crimean_Congo,HLA-B46:01,Q8JSZ3|GP_CCHFI,26,107,6.228000000000001,105.81500000000001,0.4701441835887371,0.6154861826071278
39,Crimean_Congo,HLA-B38:02,P0DTL3|NSS_CCHFI,0,8,0.0,6.535,0.0,0.11953976732274824
40,Crimean_Congo,HLA-B38:02,P89522|NCAP_CCHFI,9,35,2.758,34.13300000000001,0.4230061349693252,0.5051352631267391
41,Crimean_Congo,HLA-B38:02,Q8JSZ3|GP_CCHFI,48,150,13.247,162.852,1.0,0.9472490271694558
42,Crimean_Congo,HLA-B54:01,P0DTL3|NSS_CCHFI,13,32,3.517,38.485,0.81036866359447,0.7039767322748226
43,Crimean_Congo,HLA-B54:01,P89522|NCAP_CCHFI,2,33,0.906,24.836,0.13895705521472393,0.36754868880601427
44,Crimean_Congo,HLA-B54:01,Q8JSZ3|GP_CCHFI,22,129,5.846999999999999,113.102,0.44138295463123717,0.6578719295490371
45,Crimean_Congo,HLA-B13:02,P0DTL3|NSS_CCHFI,0,11,0.0,9.998,0.0,0.18288578327357868
46,Crimean_Congo,HLA-B13:02,P89522|NCAP_CCHFI,6,34,1.1340000000000001,32.126999999999995,0.17392638036809818,0.47544841058426557
47,Crimean_Congo,HLA-B13:02,Q8JSZ3|GP_CCHFI,23,130,6.351,123.596,0.4794293047482449,0.7189115931154426
48,Crimean_Congo,HLA-B14:05,P0DTL3|NSS_CCHFI,6,21,1.427,21.65,0.32880184331797235,0.3960269261725324
49,Crimean_Congo,HLA-B14:05,P89522|NCAP_CCHFI,12,40,2.8489999999999998,41.914,0.43696319018404906,0.6202865092049962
50,Crimean_Congo,HLA-B14:05,Q8JSZ3|GP_CCHFI,44,161,11.298000000000002,155.536,0.8528723484562544,0.9046945981002903
51,Crimean_Congo,HLA-B45:01,P0DTL3|NSS_CCHFI,0,0,0.0,0.0,0.0,0.0
52,Crimean_Congo,HLA-B45:01,P89522|NCAP_CCHFI,12,42,2.489,44.04,0.38174846625766873,0.6517492452495116
53,Crimean_Congo,HLA-B45:01,Q8JSZ3|GP_CCHFI,33,145,7.901999999999999,138.02800000000002,0.5965124179059409,0.8028571262382143
54,Crimean_Congo,HLA-B55:02,P0DTL3|NSS_CCHFI,15,36,4.34,44.929,1.0,0.821851906051072
55,Crimean_Congo,HLA-B55:02,P89522|NCAP_CCHFI,2,24,0.846,19.223000000000003,0.12975460122699387,0.28448173799798737
56,Crimean_Congo,HLA-B55:02,Q8JSZ3|GP_CCHFI,24,143,6.5200000000000005,130.777,0.4921869102438288,0.7606807777991054
57,Crimean_Congo,HLA-B07:05,P0DTL3|NSS_CCHFI,14,50,3.923,54.273999999999994,0.9039170506912443,0.9927928587107631
58,Crimean_Congo,HLA-B07:05,P89522|NCAP_CCHFI,7,32,1.4690000000000003,30.789,0.22530674846625773,0.4556473095364944
59,Crimean_Congo,HLA-B07:05,Q8JSZ3|GP_CCHFI,35,140,8.74,141.121,0.6597720238544577,0.8208479476038414
60,Crimean_Congo,HLA-B35:14,P0DTL3|NSS_CCHFI,9,27,2.25,29.865,0.5184331797235023,0.5462976512767981
61,Crimean_Congo,HLA-B35:14,P89522|NCAP_CCHFI,16,47,4.083,50.114000000000004,0.6262269938650308,0.7416385485112177
62,Crimean_Congo,HLA-B35:14,Q8JSZ3|GP_CCHFI,32,110,6.629000000000001,120.95200000000003,0.5004151883445309,0.7035324364097465
63,Crimean_Congo,HLA-B39:05,P0DTL3|NSS_CCHFI,0,9,0.0,6.033999999999999,0.0,0.11037535669861709
64,Crimean_Congo,HLA-B39:05,P89522|NCAP_CCHFI,8,44,2.61,39.306,0.4003067484662577,0.5816906410939442
65,Crimean_Congo,HLA-B39:05,Q8JSZ3|GP_CCHFI,42,156,11.366,160.808,0.8580055861704536,0.9353598455104379
66,Crimean_Congo,HLA-C14:03,P0DTL3|NSS_CCHFI,8,30,2.265,30.418,0.521889400921659,0.5564132582132143
67,Crimean_Congo,HLA-C14:03,P89522|NCAP_CCHFI,10,38,3.442,38.171,0.5279141104294479,0.5648937429704611
68,Crimean_Congo,HLA-C14:03,Q8JSZ3|GP_CCHFI,29,124,8.061,116.50799999999998,0.6085151355023779,0.6776833545640147
69,Crimean_Congo,HLA-C05:09,P0DTL3|NSS_CCHFI,1,12,0.064,9.955,0.014746543778801843,0.18209921709226604
70,Crimean_Congo,HLA-C05:09,P89522|NCAP_CCHFI,10,36,3.199,35.803,0.4906441717791411,0.5298496418634937
71,Crimean_Congo,HLA-C05:09,Q8JSZ3|GP_CCHFI,33,133,8.883,132.938,0.6705669208122593,0.7732505045922254
72,Crimean_Congo,HLA-C06:03,P0DTL3|NSS_CCHFI,5,19,1.258,17.325000000000003,0.28986175115207374,0.31691300212189955
