,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Poliovirus_type_1,HLA-A02:07,P03300|POLG_POL1M,49,186,11.633000000000001,191.15700000000004,0.5017901048181858,0.6298667492619151
1,Poliovirus_type_1,HLA-A02:07,P0DTB3|ORF2P_POL1M,4,7,0.9159999999999999,9.141,0.4481409001956947,0.5316080255888339
2,Poliovirus_type_1,HLA-A02:03,P03300|POLG_POL1M,46,173,10.783999999999999,172.195,0.4651684423931329,0.5673865194010966
3,Poliovirus_type_1,HLA-A02:03,P0DTB3|ORF2P_POL1M,3,10,1.0899999999999999,10.662,0.5332681017612524,0.6200639720849085
4,Poliovirus_type_1,HLA-A66:01,P03300|POLG_POL1M,70,243,16.601,241.95499999999996,0.7160850623301557,0.7972473376212569
5,Poliovirus_type_1,HLA-A66:01,P0DTB3|ORF2P_POL1M,5,9,1.452,11.027000000000001,0.7103718199608611,0.6412910729863333
6,Poliovirus_type_1,HLA-A31:08,P03300|POLG_POL1M,56,227,12.67,224.83099999999996,0.5465211577448993,0.7408233603964572
7,Poliovirus_type_1,HLA-A31:08,P0DTB3|ORF2P_POL1M,3,7,0.28600000000000003,6.460000000000001,0.13992172211350296,0.37569060773480667
8,Poliovirus_type_1,HLA-A02:36,P03300|POLG_POL1M,45,164,10.371,166.223,0.44735366432299534,0.5477086408688319
9,Poliovirus_type_1,HLA-A02:36,P0DTB3|ORF2P_POL1M,3,6,1.124,8.65,0.5499021526418787,0.5030532131433556
10,Poliovirus_type_1,HLA-A68:03,P03300|POLG_POL1M,61,206,15.429,214.678,0.6655307768623561,0.7073689898776888
11,Poliovirus_type_1,HLA-A68:03,P0DTB3|ORF2P_POL1M,3,9,1.127,8.953000000000001,0.5513698630136986,0.5206746147135796
12,Poliovirus_type_1,HLA-A26:01,P03300|POLG_POL1M,68,238,15.611,252.018,0.6733813570288574,0.8304051560522988
13,Poliovirus_type_1,HLA-A26:01,P0DTB3|ORF2P_POL1M,3,8,0.909,9.2,0.44471624266144816,0.5350392555975574
14,Poliovirus_type_1,HLA-A33:01,P03300|POLG_POL1M,55,194,15.681000000000001,210.793,0.6764008109390502,0.6945678247574865
15,Poliovirus_type_1,HLA-A33:01,P0DTB3|ORF2P_POL1M,3,5,0.5589999999999999,5.737,0.2734833659491193,0.3336435010177377
16,Poliovirus_type_1,HLA-A29:01,P03300|POLG_POL1M,86,271,23.183,293.613,1.0,0.9674616459299875
17,Poliovirus_type_1,HLA-A29:01,P0DTB3|ORF2P_POL1M,2,7,0.782,6.183,0.38258317025440314,0.3595812736260541
18,Poliovirus_type_1,HLA-A24:07,P03300|POLG_POL1M,53,213,11.649000000000001,206.655,0.5024802657119442,0.6809330187684522
