,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_rhinovirus_14_[B],DRB1_1402,P03303|POLG_HRV14,78,628,25.85000000000001,1444.31,0.1958630095469011,0.5677743227678168
1,Human_rhinovirus_14_[B],DRB1_1406,P03303|POLG_HRV14,69,508,27.559999999999995,1166.25,0.20881951810880434,0.4584658445402762
2,Human_rhinovirus_14_[B],DRB1_1405,P03303|POLG_HRV14,66,422,36.5,963.47,0.27655705409910597,0.37875077148057446
3,Human_rhinovirus_14_[B],DRB1_1602,P03303|POLG_HRV14,99,673,30.629999999999995,1553.2000000000003,0.23208061827549628,0.6105801927030715
4,Human_rhinovirus_14_[B],DRB1_1201,P03303|POLG_HRV14,77,530,37.13999999999999,1232.3899999999999,0.28140627367782994,0.4844662140647296
5,Human_rhinovirus_14_[B],DRB1_0411,P03303|POLG_HRV14,136,648,62.030000000000015,1622.54,0.4699954538566451,0.6378385178138304
6,Human_rhinovirus_14_[B],DRB1_0405,P03303|POLG_HRV14,127,536,72.1,1367.01,0.5462948931656312,0.5373868331361226
7,Human_rhinovirus_14_[B],DRB1_0406,P03303|POLG_HRV14,175,782,97.72,2047.2399999999998,0.7404152144264283,0.8047928107838241
8,Human_rhinovirus_14_[B],HLA-DQA10301-DQB10401,P03303|POLG_HRV14,91,490,43.779999999999994,1203.97,0.33171692680709197,0.47329399601385325
9,Human_rhinovirus_14_[B],HLA-DQA10303-DQB10401,P03303|POLG_HRV14,91,490,43.779999999999994,1203.97,0.33171692680709197,0.47329399601385325
10,Human_rhinovirus_14_[B],DRB1_0101,P03303|POLG_HRV14,61,473,25.369999999999997,1070.5500000000002,0.192226094862858,0.420845110287325
11,Human_rhinovirus_14_[B],DRB1_0102,P03303|POLG_HRV14,59,507,21.179999999999993,1126.6799999999998,0.16047886043339896,0.44291043749336617
