,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,SARS,HLA-A02:07,P0C6X7|R1AB_SARS,169,682,46.929,678.835,0.7889746305542946,0.7356683204262062
1,SARS,HLA-A02:07,P59594|SPIKE_SARS,25,100,5.885,96.853,0.45468593061886725,0.5225580542127072
2,SARS,HLA-A02:07,P59595|NCAP_SARS,6,19,1.331,18.286,0.20123979437556697,0.265383722280274
3,SARS,HLA-A02:07,P59596|VME1_SARS,2,18,0.41900000000000004,14.137000000000004,0.11648596052265779,0.31766397770936794
4,SARS,HLA-A02:07,P59632|AP3A_SARS,11,29,2.9459999999999997,34.834,0.7726199842643587,0.7640543089644886
5,SARS,HLA-A02:07,P59633|NS3B_SARS,2,12,0.368,9.654,0.08185053380782918,0.21620532115022842
6,SARS,HLA-A02:07,P59634|NS6_SARS,2,12,0.775,11.533000000000001,0.297390636991558,0.5608344680023343
7,SARS,HLA-A02:07,P59635|NS7A_SARS,1,11,0.10199999999999998,9.165000000000001,0.06014150943396225,0.4678168546781686
8,SARS,HLA-A02:07,P59636|ORF9B_SARS,9,27,2.724,29.836,0.9445214979195561,1.0
9,SARS,HLA-A02:07,P59637|VEMP_SARS,4,12,0.903,15.208,0.5145299145299145,0.7798574432080406
10,SARS,HLA-A02:07,Q7TFA0|NS8A_SARS,0,2,0.0,1.2759999999999998,0.0,0.2380152956537959
11,SARS,HLA-A02:07,Q7TFA1|NS7B_SARS,1,8,0.06,7.228999999999999,0.07246376811594202,1.0
12,SARS,HLA-A02:07,Q7TLC7|Y14_SARS,4,11,1.404,13.169,0.520964749536178,0.6123692164612882
13,SARS,HLA-A02:07,Q80H93|NS8B_SARS,1,6,0.08500000000000002,3.571999999999999,0.07798165137614682,0.25154929577464785
14,SARS,HLA-A02:03,P0C6X7|R1AB_SARS,176,662,41.72599999999999,664.1210000000001,0.7015013197491634,0.7197224371603889
15,SARS,HLA-A02:03,P59594|SPIKE_SARS,30,101,8.094999999999999,104.985,0.6254345978521206,0.5664332268646409
16,SARS,HLA-A02:03,P59595|NCAP_SARS,3,19,1.131,16.534,0.17100090716661628,0.23995704168117962
17,SARS,HLA-A02:03,P59596|VME1_SARS,1,14,0.13,9.601999999999997,0.036141228801779265,0.2157607352313326
18,SARS,HLA-A02:03,P59632|AP3A_SARS,7,33,2.575,29.470000000000006,0.6753212693417258,0.6463995086749578
19,SARS,HLA-A02:03,P59633|NS3B_SARS,2,22,0.603,15.358000000000004,0.13411921708185054,0.34394875929409663
20,SARS,HLA-A02:03,P59634|NS6_SARS,2,6,0.681,8.739,0.2613200306983884,0.42496595992997477
21,SARS,HLA-A02:03,P59635|NS7A_SARS,1,7,0.447,6.397000000000001,0.263561320754717,0.32652748711142876
22,SARS,HLA-A02:03,P59636|ORF9B_SARS,4,14,1.462,14.978,0.5069348127600554,0.5020109934307548
23,SARS,HLA-A02:03,P59637|VEMP_SARS,3,10,0.9610000000000001,9.504000000000001,0.5475783475783476,0.4873596225834573
24,SARS,HLA-A02:03,Q7TFA0|NS8A_SARS,0,2,0.0,2.268,0.0,0.4230554001119194
25,SARS,HLA-A02:03,Q7TFA1|NS7B_SARS,0,3,0.0,2.0249999999999995,0.0,0.2801217319131276
26,SARS,HLA-A02:03,Q7TLC7|Y14_SARS,4,18,1.2269999999999999,18.075,0.45528756957328376,0.8405022087886538
27,SARS,HLA-A02:03,Q80H93|NS8B_SARS,2,4,0.812,5.705,0.7449541284403671,0.4017605633802817
28,SARS,HLA-A66:01,P0C6X7|R1AB_SARS,189,696,46.251,706.962,0.7775760326827053,0.7661501648340932
29,SARS,HLA-A66:01,P59594|SPIKE_SARS,32,138,7.7989999999999995,135.382,0.6025650931005175,0.730436377762431
30,SARS,HLA-A66:01,P59595|NCAP_SARS,13,34,2.6180000000000003,39.981,0.39582703356516485,0.5802420759317312
31,SARS,HLA-A66:01,P59596|VME1_SARS,4,19,0.929,18.502,0.25827078120656105,0.4157472529941801
32,SARS,HLA-A66:01,P59632|AP3A_SARS,3,17,0.524,13.407999999999998,0.13742460005245216,0.2940931324164856
33,SARS,HLA-A66:01,P59633|NS3B_SARS,6,19,1.483,16.641,0.3298487544483986,0.3726820747110991
34,SARS,HLA-A66:01,P59634|NS6_SARS,2,5,0.499,5.216,0.19148119723714505,0.2536471503598522
35,SARS,HLA-A66:01,P59635|NS7A_SARS,2,9,0.31699999999999995,7.5120000000000005,0.18691037735849053,0.38344137614210605
36,SARS,HLA-A66:01,P59636|ORF9B_SARS,3,12,0.706,11.176,0.24479889042995834,0.37458104303525946
37,SARS,HLA-A66:01,P59637|VEMP_SARS,2,7,0.33899999999999997,8.967,0.19316239316239314,0.45982257320137426
38,SARS,HLA-A66:01,Q7TFA0|NS8A_SARS,0,0,0.0,0.0,0.0,0.0
39,SARS,HLA-A66:01,Q7TFA1|NS7B_SARS,0,0,0.0,0.0,0.0,0.0
40,SARS,HLA-A66:01,Q7TLC7|Y14_SARS,2,5,0.55,5.974,0.20408163265306123,0.277795861427575
41,SARS,HLA-A66:01,Q80H93|NS8B_SARS,1,2,0.181,2.2910000000000004,0.16605504587155964,0.16133802816901413
42,SARS,HLA-A31:08,P0C6X7|R1AB_SARS,212,773,47.653,803.3520000000001,0.8011465846236612,0.8706101137257709
43,SARS,HLA-A31:08,P59594|SPIKE_SARS,45,168,10.808,167.733,0.8350459707950242,0.9049820873618785
44,SARS,HLA-A31:08,P59595|NCAP_SARS,8,30,2.0,31.129,0.3023888720895071,0.4517734819458958
45,SARS,HLA-A31:08,P59596|VME1_SARS,12,45,2.428,43.806000000000004,0.6750069502363081,0.984338134507786
46,SARS,HLA-A31:08,P59632|AP3A_SARS,5,30,1.191,29.104,0.31235247836349334,0.6383716084314885
47,SARS,HLA-A31:08,P59633|NS3B_SARS,4,21,1.182,20.142,0.26290035587188615,0.4510884170921795
48,SARS,HLA-A31:08,P59634|NS6_SARS,0,9,0.0,5.321,0.0,0.2587531608636452
49,SARS,HLA-A31:08,P59635|NS7A_SARS,0,6,0.0,4.973,0.0,0.2538410494614874
