,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_papillomavirus_type_16,HLA-A02:07,P03101|VL1_HPV16,12,39,3.405,42.604,0.45363709032773775,0.546058112559439
1,Human_papillomavirus_type_16,HLA-A02:07,P03107|VL2_HPV16,17,58,3.449,60.934999999999995,0.45651886168100597,0.5497514457646537
2,Human_papillomavirus_type_16,HLA-A02:07,P03114|VE1_HPV16,8,42,2.219,43.606,0.3506083109495971,0.556930661455739
3,Human_papillomavirus_type_16,HLA-A02:07,P03120|VE2_HPV16,2,22,0.613,19.773,0.07920920015505878,0.23415517976410405
4,Human_papillomavirus_type_16,HLA-A02:07,P03126|VE6_HPV16,1,8,0.416,6.587,0.16262705238467554,0.2221735024284943
5,Human_papillomavirus_type_16,HLA-A02:07,P03129|VE7_HPV16,1,5,0.02100000000000002,6.249,0.013734466971877057,0.3583758674083845
6,Human_papillomavirus_type_16,HLA-A02:07,P06922|VE4_HPV16,0,2,0.0,1.0019999999999998,0.0,0.040683746802549825
7,Human_papillomavirus_type_16,HLA-A02:07,P06927|VE5_HPV16,5,15,0.9119999999999999,15.347000000000001,0.5692883895131086,0.7736942932042751
8,Human_papillomavirus_type_16,HLA-A02:07,P0DKA0|VE8E2_HPV16,0,7,0.0,4.894,0.0,0.13993252130153827
9,Human_papillomavirus_type_16,HLA-A02:03,P03101|VL1_HPV16,10,32,2.6559999999999997,36.358000000000004,0.35385025313082863,0.46600274285128357
10,Human_papillomavirus_type_16,HLA-A02:03,P03107|VL2_HPV16,8,29,2.874,29.080000000000002,0.38041032428855065,0.262357791791846
11,Human_papillomavirus_type_16,HLA-A02:03,P03114|VE1_HPV16,13,45,2.992,44.965,0.47274450940116924,0.574287648313473
12,Human_papillomavirus_type_16,HLA-A02:03,P03120|VE2_HPV16,6,25,1.0050000000000001,23.703,0.12986173924279623,0.2806948983942021
13,Human_papillomavirus_type_16,HLA-A02:03,P03126|VE6_HPV16,1,3,0.0040000000000000036,3.885,0.0015637216575449585,0.13103750674581757
14,Human_papillomavirus_type_16,HLA-A02:03,P03129|VE7_HPV16,2,4,0.278,5.29,0.18181818181818185,0.30337787463439814
15,Human_papillomavirus_type_16,HLA-A02:03,P06922|VE4_HPV16,0,3,0.0,1.3929999999999998,0.0,0.05655934061472247
16,Human_papillomavirus_type_16,HLA-A02:03,P06927|VE5_HPV16,2,6,0.31600000000000006,5.951,0.19725343320848945,0.3000100826779592
17,Human_papillomavirus_type_16,HLA-A02:03,P0DKA0|VE8E2_HPV16,2,13,0.16100000000000003,9.605999999999998,0.03974327326586029,0.27466117687424935
18,Human_papillomavirus_type_16,HLA-A66:01,P03101|VL1_HPV16,16,56,3.841,57.178999999999995,0.5117239541699974,0.7328667922738747
19,Human_papillomavirus_type_16,HLA-A66:01,P03107|VL2_HPV16,9,39,2.742,35.017,0.36293845135671743,0.3159210039606283
20,Human_papillomavirus_type_16,HLA-A66:01,P03114|VE1_HPV16,17,57,3.2909999999999995,67.332,0.5199873597724759,0.8599563201655234
21,Human_papillomavirus_type_16,HLA-A66:01,P03120|VE2_HPV16,15,45,4.215,50.904,0.5446440108541154,0.6028136990194687
22,Human_papillomavirus_type_16,HLA-A66:01,P03126|VE6_HPV16,2,9,0.21100000000000008,8.543,0.08248631743549652,0.2881475984889368
23,Human_papillomavirus_type_16,HLA-A66:01,P03129|VE7_HPV16,0,5,0.0,2.1720000000000006,0.0,0.12456271147559791
24,Human_papillomavirus_type_16,HLA-A66:01,P06922|VE4_HPV16,3,8,0.874,7.908000000000001,0.3781912591951536,0.3210848999147347
25,Human_papillomavirus_type_16,HLA-A66:01,P06927|VE5_HPV16,0,6,0.0,2.9979999999999993,0.0,0.15113934260939701
26,Human_papillomavirus_type_16,HLA-A66:01,P0DKA0|VE8E2_HPV16,9,25,2.537,29.134999999999998,0.626265119723525,0.833047406644936
27,Human_papillomavirus_type_16,HLA-A31:08,P03101|VL1_HPV16,13,62,3.1610000000000005,60.995999999999995,0.4211297628563816,0.7817895182066364
28,Human_papillomavirus_type_16,HLA-A31:08,P03107|VL2_HPV16,8,42,1.811,43.161,0.2397088021178028,0.3893956207540531
29,Human_papillomavirus_type_16,HLA-A31:08,P03114|VE1_HPV16,13,65,3.089,67.42,0.48807078527413494,0.8610802457309985
30,Human_papillomavirus_type_16,HLA-A31:08,P03120|VE2_HPV16,16,49,4.624,50.1,0.5974932161778006,0.5932925962768226
31,Human_papillomavirus_type_16,HLA-A31:08,P03126|VE6_HPV16,3,18,1.133,18.271,0.4429241594996091,0.6162641662169455
32,Human_papillomavirus_type_16,HLA-A31:08,P03129|VE7_HPV16,1,1,0.15699999999999997,1.657,0.10268149117069979,0.09502781441761772
33,Human_papillomavirus_type_16,HLA-A31:08,P06922|VE4_HPV16,0,4,0.0,3.3150000000000004,0.0,0.13459742579885503
34,Human_papillomavirus_type_16,HLA-A31:08,P06927|VE5_HPV16,0,13,0.0,11.647999999999998,0.0,0.5872151643476505
35,Human_papillomavirus_type_16,HLA-A31:08,P0DKA0|VE8E2_HPV16,7,19,1.733,21.241,0.42779560602320416,0.6073368788242693
36,Human_papillomavirus_type_16,HLA-A02:36,P03101|VL1_HPV16,14,31,2.9320000000000004,31.701999999999998,0.39062083666400216,0.4063265018392483
37,Human_papillomavirus_type_16,HLA-A02:36,P03107|VL2_HPV16,8,30,2.447,30.797,0.3238914626075447,0.27784844958093124
38,Human_papillomavirus_type_16,HLA-A02:36,P03114|VE1_HPV16,6,40,1.506,38.53,0.23795228314109654,0.49210059133810996
39,Human_papillomavirus_type_16,HLA-A02:36,P03120|VE2_HPV16,6,24,1.374,22.872,0.17754231812895724,0.2708540571266165
40,Human_papillomavirus_type_16,HLA-A02:36,P03126|VE6_HPV16,0,7,0.0,4.313999999999998,0.0,0.14550728548300046
41,Human_papillomavirus_type_16,HLA-A02:36,P03129|VE7_HPV16,2,9,0.526,7.834999999999999,0.3440156965336822,0.4493318804840282
42,Human_papillomavirus_type_16,HLA-A02:36,P06922|VE4_HPV16,0,5,0.0,2.755000000000001,0.0,0.11186000243615253
43,Human_papillomavirus_type_16,HLA-A02:36,P06927|VE5_HPV16,1,15,0.323,9.681999999999995,0.20162297128589265,0.48810244000806585
44,Human_papillomavirus_type_16,HLA-A02:36,P0DKA0|VE8E2_HPV16,0,4,0.0,2.9190000000000005,0.0,0.08346200034311203
45,Human_papillomavirus_type_16,HLA-A68:03,P03101|VL1_HPV16,16,51,3.76,54.535000000000004,0.5009325872635225,0.6989784801527793
46,Human_papillomavirus_type_16,HLA-A68:03,P03107|VL2_HPV16,5,25,1.1840000000000002,22.200000000000003,0.156717405691595,0.20028689744769534
47,Human_papillomavirus_type_16,HLA-A68:03,P03114|VE1_HPV16,11,55,2.2039999999999997,54.305000000000014,0.34823826828882914,0.6935770208309386
