,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Semliki_virus,HLA-A02:07,P03315|POLS_SFV,15,70,2.8309999999999995,62.354,0.1918151636289721,0.3128618879890819
1,Semliki_virus,HLA-A02:07,P08411|POLN_SFV,47,203,10.305,183.257,0.4572277930606088,0.5872454832693503
2,Semliki_virus,HLA-A02:03,P03315|POLS_SFV,20,62,5.407,64.01400000000001,0.3663527339250627,0.3211909564379685
3,Semliki_virus,HLA-A02:03,P08411|POLN_SFV,62,202,15.914000000000003,216.45999999999998,0.7060963705741417,0.6936442117271567
4,Semliki_virus,HLA-A66:01,P03315|POLS_SFV,24,109,6.16,109.49100000000001,0.4173724507080426,0.5493723093596652
5,Semliki_virus,HLA-A66:01,P08411|POLN_SFV,61,240,12.854999999999997,237.22999999999996,0.5703700417073386,0.7602014984201856
6,Semliki_virus,HLA-A31:08,P03315|POLS_SFV,26,100,6.195,108.567,0.4197438850870655,0.5447361290905258
7,Semliki_virus,HLA-A31:08,P08411|POLN_SFV,35,191,7.078000000000001,185.84699999999998,0.3140473866359039,0.595545116034634
8,Semliki_virus,HLA-A02:36,P03315|POLS_SFV,12,62,3.1329999999999996,60.007000000000005,0.21227725455654173,0.3010857894050235
9,Semliki_virus,HLA-A02:36,P08411|POLN_SFV,47,185,11.920999999999998,190.91299999999998,0.5289289200461442,0.6117790695438726
10,Semliki_virus,HLA-A68:03,P03315|POLS_SFV,13,94,3.1350000000000002,78.49799999999999,0.21241276509248594,0.39386458741006103
11,Semliki_virus,HLA-A68:03,P08411|POLN_SFV,56,258,11.93,251.63800000000003,0.5293282456296035,0.8063718107299191
12,Semliki_virus,HLA-A26:01,P03315|POLS_SFV,32,123,8.206,127.91600000000001,0.555999728978928,0.6418199516311929
13,Semliki_virus,HLA-A26:01,P08411|POLN_SFV,60,207,15.265999999999996,217.33400000000006,0.67734492856509,0.6964449372240133
14,Semliki_virus,HLA-A33:01,P03315|POLS_SFV,24,87,5.43,90.59800000000001,0.3679111050884206,0.45457647188688527
15,Semliki_virus,HLA-A33:01,P08411|POLN_SFV,62,224,14.98,232.99400000000003,0.6646552489129471,0.7466272727855363
16,Semliki_virus,HLA-A29:01,P03315|POLS_SFV,32,124,5.734,124.876,0.3885087065519344,0.62656671784528
17,Semliki_virus,HLA-A29:01,P08411|POLN_SFV,51,196,14.252999999999997,198.973,0.6323986156713106,0.6376072703501228
18,Semliki_virus,HLA-A24:07,P03315|POLS_SFV,25,97,6.835,97.616,0.4631072565891998,0.48978936488344316
19,Semliki_virus,HLA-A24:07,P08411|POLN_SFV,42,171,8.263000000000002,163.49200000000002,0.3666252551246785,0.5239087104485648
20,Semliki_virus,HLA-A02:13,P03315|POLS_SFV,17,64,4.151,60.87100000000001,0.28125211735212413,0.3054209190073356
21,Semliki_virus,HLA-A02:13,P08411|POLN_SFV,66,207,16.387,218.65899999999996,0.7270831484603781,0.70069088834911
22,Semliki_virus,HLA-B15:02,P03315|POLS_SFV,36,142,10.668,153.955,0.7228131987262009,0.7724709235230955
23,Semliki_virus,HLA-B15:02,P08411|POLN_SFV,61,238,16.035999999999998,254.73600000000002,0.7115094507054752,0.816299325134108
24,Semliki_virus,HLA-B46:01,P03315|POLS_SFV,46,142,11.251999999999999,155.68,0.7623822752218984,0.7811261301943784
25,Semliki_virus,HLA-B46:01,P08411|POLN_SFV,66,244,18.038000000000004,253.1,0.8003372082704768,0.8110567771788939
26,Semliki_virus,HLA-B38:02,P03315|POLS_SFV,27,113,6.8340000000000005,109.441,0.46303950132122773,0.5491214338039758
27,Semliki_virus,HLA-B38:02,P08411|POLN_SFV,63,226,16.067,227.524,0.7128849054929454,0.72909870474457
28,Semliki_virus,HLA-B54:01,P03315|POLS_SFV,52,179,14.11,190.547,0.9560268310861169,0.9560716901987937
29,Semliki_virus,HLA-B54:01,P08411|POLN_SFV,84,286,20.816999999999997,286.169,0.9236400745407756,0.9170261037870678
30,Semliki_virus,HLA-B13:02,P03315|POLS_SFV,26,108,6.718,105.16399999999999,0.4551798902364659,0.5276615387703083
31,Semliki_virus,HLA-B13:02,P08411|POLN_SFV,39,211,9.257000000000001,191.65099999999995,0.4107285473422665,0.6141439842082661
32,Semliki_virus,HLA-B14:05,P03315|POLS_SFV,27,108,4.675000000000001,98.229,0.3167558777694966,0.49286509919619464
33,Semliki_virus,HLA-B14:05,P08411|POLN_SFV,73,234,19.734,255.767,0.8755878959978705,0.8196031557831456
34,Semliki_virus,HLA-B45:01,P03315|POLS_SFV,13,82,3.848,78.39800000000001,0.2607222711565824,0.3933628362986824
35,Semliki_virus,HLA-B45:01,P08411|POLN_SFV,69,273,18.384,275.895,0.8156890584790134,0.884103158987637
36,Semliki_virus,HLA-B55:02,P03315|POLS_SFV,57,194,14.759,199.30200000000002,1.0,1.0
37,Semliki_virus,HLA-B55:02,P08411|POLN_SFV,89,314,22.157,312.062,0.9830952169669005,1.0
38,Semliki_virus,HLA-B07:05,P03315|POLS_SFV,41,166,10.945,161.898,0.7415814079544685,0.8123250142999066
39,Semliki_virus,HLA-B07:05,P08411|POLN_SFV,81,275,22.193,300.084,0.9846925193007368,0.9616166018291237
40,Semliki_virus,HLA-B35:14,P03315|POLS_SFV,48,161,13.321000000000002,176.29,0.9025679246561421,0.8845370342495308
41,Semliki_virus,HLA-B35:14,P08411|POLN_SFV,61,258,17.533,260.448,0.7779306060874969,0.8346033800975446
42,Semliki_virus,HLA-B39:05,P03315|POLS_SFV,37,133,9.275,134.342,0.6284301104410868,0.6740624780483889
43,Semliki_virus,HLA-B39:05,P08411|POLN_SFV,66,253,18.067,250.26700000000002,0.8016239240394003,0.8019784529997245
44,Semliki_virus,HLA-C14:03,P03315|POLS_SFV,30,122,6.846,119.54200000000002,0.4638525645368927,0.5998033135643396
45,Semliki_virus,HLA-C14:03,P08411|POLN_SFV,46,216,10.323999999999998,201.92100000000002,0.45807081373680003,0.6470541110420366
46,Semliki_virus,HLA-C05:09,P03315|POLS_SFV,22,111,5.197999999999999,105.255,0.35219188291889686,0.5281181322816629
47,Semliki_virus,HLA-C05:09,P08411|POLN_SFV,63,255,14.557000000000002,249.09300000000007,0.645886946490372,0.798216380078318
48,Semliki_virus,HLA-C06:03,P03315|POLS_SFV,35,131,9.01,133.14499999999998,0.6104749644284843,0.6680565172451856
49,Semliki_virus,HLA-C06:03,P08411|POLN_SFV,62,261,16.424,264.549,0.7287248203034875,0.8477449993911466
50,Semliki_virus,HLA-A01:01,P03315|POLS_SFV,24,121,6.852,116.703,0.46425909614472527,0.5855585995122978
51,Semliki_virus,HLA-A01:01,P08411|POLN_SFV,75,270,20.470999999999997,271.15999999999997,0.9082882243322389,0.8689298921368188
52,Semliki_virus,HLA-A02:01,P03315|POLS_SFV,15,63,3.232,58.53800000000001,0.2189850260857782,0.2937150655788703
53,Semliki_virus,HLA-A02:01,P08411|POLN_SFV,47,193,11.831999999999999,191.407,0.5249800337208271,0.6133620883029655
54,Semliki_virus,HLA-A02:02,P03315|POLS_SFV,14,62,4.04,56.566,0.2737312826072227,0.28382053366248206
55,Semliki_virus,HLA-A02:02,P08411|POLN_SFV,51,187,11.719,195.701,0.5199662791729524,0.6271221744396946
56,Semliki_virus,HLA-A02:06,P03315|POLS_SFV,22,100,5.226,92.24000000000001,0.3540890304221153,0.46281522513572365
57,Semliki_virus,HLA-A02:06,P08411|POLN_SFV,52,214,11.67,205.51800000000003,0.5177921732185643,0.6585806666623941
