,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Norwalk_virus,DRB1_1402,Q83883|POLG_NVN68,124,407,62.089999999999996,1120.3200000000002,0.4856092601282653,0.6216816123590518
1,Norwalk_virus,DRB1_1402,Q83884|CAPSD_NVN68,0,100,0.0,178.00000000000006,0.0,0.1919096084181474
2,Norwalk_virus,DRB1_1402,Q83885|VP2_NVN68,1,54,0.21999999999999997,105.60000000000002,0.00453327838450443,0.1407812291694441
3,Norwalk_virus,DRB1_1406,Q83883|POLG_NVN68,96,495,50.410000000000004,1218.82,0.39425934615986236,0.6763406730000888
4,Norwalk_virus,DRB1_1406,Q83884|CAPSD_NVN68,13,74,3.130000000000001,170.64000000000001,0.058989822842065595,0.1839744695532172
5,Norwalk_virus,DRB1_1406,Q83885|VP2_NVN68,0,4,0.0,3.3299999999999983,0.0,0.004439408078922808
6,Norwalk_virus,DRB1_1405,Q83883|POLG_NVN68,106,581,49.22,1435.1299999999999,0.3849522915689035,0.796374189825091
7,Norwalk_virus,DRB1_1405,Q83884|CAPSD_NVN68,18,70,5.640000000000001,156.65000000000003,0.10629476064832266,0.16889123684664487
8,Norwalk_virus,DRB1_1405,Q83885|VP2_NVN68,0,26,0.0,31.960000000000008,0.0,0.04260765231302494
9,Norwalk_virus,DRB1_1602,Q83883|POLG_NVN68,60,406,29.520000000000003,925.44,0.23087752229000472,0.5135399094379828
10,Norwalk_virus,DRB1_1602,Q83884|CAPSD_NVN68,8,154,1.12,345.86,0.02110817941952507,0.3728868380196654
11,Norwalk_virus,DRB1_1602,Q83885|VP2_NVN68,32,106,16.19,281.46000000000004,0.33360807747784876,0.3752299693374217
12,Norwalk_virus,DRB1_1201,Q83883|POLG_NVN68,86,432,38.45000000000001,1124.08,0.30071953699358683,0.6237680902068721
13,Norwalk_virus,DRB1_1201,Q83884|CAPSD_NVN68,12,96,2.9499999999999993,231.57999999999998,0.05559743686392761,0.24967655683974468
14,Norwalk_virus,DRB1_1201,Q83885|VP2_NVN68,0,9,0.0,8.599999999999994,0.0,0.011465137981602445
15,Norwalk_virus,DRB1_0411,Q83883|POLG_NVN68,149,439,81.34,1252.22,0.6361645549820116,0.6948748113291309
16,Norwalk_virus,DRB1_0411,Q83884|CAPSD_NVN68,43,247,22.36,585.52,0.421409724839804,0.6312747973089529
17,Norwalk_virus,DRB1_0411,Q83885|VP2_NVN68,2,53,0.16999999999999993,111.85,0.0035029878425716036,0.1491134515397947
