,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Kemerovo_virus,HLA-A02:07,M4MBJ1|M4MBJ1_9REOV,13,43,3.345,45.646,0.35449342941924544,0.40847263485699964
1,Kemerovo_virus,HLA-A02:07,M4MBJ4|M4MBJ4_9REOV,3,9,0.09299999999999997,8.306000000000001,0.027612826603325407,0.25038434871733045
2,Kemerovo_virus,HLA-A02:07,M4MBL5|M4MBL5_9REOV,26,87,6.202999999999999,88.52099999999999,0.3498392645648863,0.40312679314710403
3,Kemerovo_virus,HLA-A02:07,M4MBL8|M4MBL8_9REOV,5,27,0.8719999999999999,27.375000000000004,0.10445615716339243,0.2599394186852526
4,Kemerovo_virus,HLA-A02:07,M4MDF2|M4MDF2_9REOV,14,47,3.733,46.333000000000006,0.3259408015367153,0.29685988326274854
5,Kemerovo_virus,HLA-A02:07,M4MDF6|M4MDF6_9REOV,4,27,1.221,25.811999999999998,0.19325735992402662,0.3676713577573927
6,Kemerovo_virus,HLA-A02:07,M4MF09|M4MF09_9REOV,5,24,0.8740000000000001,20.357999999999997,0.14515861152632456,0.205524259494821
7,Kemerovo_virus,HLA-A02:07,M4MF13|M4MF13_9REOV,2,11,0.47,10.716000000000001,0.136986301369863,0.2115487118744448
8,Kemerovo_virus,HLA-A02:07,M4MJR0|M4MJR0_9REOV,28,133,7.952,132.3,0.5159950684575951,0.6929640318669174
9,Kemerovo_virus,HLA-A02:07,M4MJR4|M4MJR4_9REOV,11,30,2.2799999999999994,30.430999999999997,0.4688463911165946,0.5307670841036731
10,Kemerovo_virus,HLA-A02:03,M4MBJ1|M4MBJ1_9REOV,18,54,4.2410000000000005,61.603,0.4494489190334888,0.5512671367720227
11,Kemerovo_virus,HLA-A02:03,M4MBJ4|M4MBJ4_9REOV,4,22,0.5740000000000001,16.828000000000003,0.17042755344418054,0.5072800168811987
12,Kemerovo_virus,HLA-A02:03,M4MBL5|M4MBL5_9REOV,25,99,7.243,100.20700000000001,0.4084935987817946,0.4563451221844744
13,Kemerovo_virus,HLA-A02:03,M4MBL8|M4MBL8_9REOV,15,47,4.1930000000000005,48.596000000000004,0.5022759942501199,0.4614435064996725
14,Kemerovo_virus,HLA-A02:03,M4MDF2|M4MDF2_9REOV,11,46,2.5730000000000004,42.732000000000006,0.22465729503186943,0.27378793800495915
15,Kemerovo_virus,HLA-A02:03,M4MDF6|M4MDF6_9REOV,6,26,0.9410000000000003,27.915,0.14893953782842678,0.39762691584525095
16,Kemerovo_virus,HLA-A02:03,M4MF09|M4MF09_9REOV,7,29,1.5459999999999998,25.967,0.25676797874107293,0.2621499384174289
17,Kemerovo_virus,HLA-A02:03,M4MF13|M4MF13_9REOV,2,15,0.735,13.779999999999998,0.2142232585252113,0.2720363241535879
18,Kemerovo_virus,HLA-A02:03,M4MJR0|M4MJR0_9REOV,28,98,7.15,108.516,0.46395431834403994,0.5683876408319759
19,Kemerovo_virus,HLA-A02:03,M4MJR4|M4MJR4_9REOV,3,22,0.7130000000000001,19.961999999999996,0.14661731441497022,0.3481703701119754
20,Kemerovo_virus,HLA-A66:01,M4MBJ1|M4MBJ1_9REOV,11,47,2.928,48.328,0.3103009749894023,0.4324730643948885
21,Kemerovo_virus,HLA-A66:01,M4MBJ4|M4MBJ4_9REOV,5,22,1.317,21.240000000000002,0.3910332541567696,0.6402797455762218
22,Kemerovo_virus,HLA-A66:01,M4MBL5|M4MBL5_9REOV,31,125,7.7669999999999995,126.745,0.4380463594833906,0.5771998214822438
23,Kemerovo_virus,HLA-A66:01,M4MBL8|M4MBL8_9REOV,14,65,2.8019999999999996,57.098,0.3356492573071394,0.5421742804781936
24,Kemerovo_virus,HLA-A66:01,M4MDF2|M4MDF2_9REOV,23,70,5.898999999999999,72.063,0.515061555924212,0.4617144101949679
25,Kemerovo_virus,HLA-A66:01,M4MDF6|M4MDF6_9REOV,14,54,3.086,54.623000000000005,0.4884457106679329,0.7780610791407897
26,Kemerovo_virus,HLA-A66:01,M4MF09|M4MF09_9REOV,15,54,2.827,57.980000000000004,0.4695233349941871,0.5853372907706909
27,Kemerovo_virus,HLA-A66:01,M4MF13|M4MF13_9REOV,7,24,2.479,27.461,0.7225298746721073,0.5421182509130391
28,Kemerovo_virus,HLA-A66:01,M4MJR0|M4MJR0_9REOV,32,110,5.686,110.98,0.36895723833625327,0.5812936376159523
29,Kemerovo_virus,HLA-A66:01,M4MJR4|M4MJR4_9REOV,8,36,2.1050000000000004,35.867999999999995,0.4328603742545755,0.6255973767746885
30,Kemerovo_virus,HLA-A31:08,M4MBJ1|M4MBJ1_9REOV,16,59,4.281000000000001,58.685,0.4536880033912675,0.5251548126140959
31,Kemerovo_virus,HLA-A31:08,M4MBJ4|M4MBJ4_9REOV,1,6,0.347,4.353000000000001,0.10302850356294536,0.13122117384620027
32,Kemerovo_virus,HLA-A31:08,M4MBL5|M4MBL5_9REOV,25,113,6.235,108.603,0.351644013310022,0.4945807109742879
33,Kemerovo_virus,HLA-A31:08,M4MBL8|M4MBL8_9REOV,3,16,0.9430000000000001,17.493,0.11296118830857693,0.16610484935383096
34,Kemerovo_virus,HLA-A31:08,M4MDF2|M4MDF2_9REOV,14,72,2.9019999999999992,70.535,0.25338339299746787,0.4519243706631983
35,Kemerovo_virus,HLA-A31:08,M4MDF6|M4MDF6_9REOV,9,43,1.871,37.974999999999994,0.2961380183602406,0.5409235940972023
36,Kemerovo_virus,HLA-A31:08,M4MF09|M4MF09_9REOV,13,39,4.046,42.732,0.6719813984387977,0.43140105397056155
37,Kemerovo_virus,HLA-A31:08,M4MF13|M4MF13_9REOV,3,9,1.018,11.739,0.2967064995628097,0.23174415161385847
38,Kemerovo_virus,HLA-A31:08,M4MJR0|M4MJR0_9REOV,25,97,5.662999999999999,102.52799999999999,0.36746479787165004,0.5370235544916954
39,Kemerovo_virus,HLA-A31:08,M4MJR4|M4MJR4_9REOV,1,16,0.008000000000000007,12.257000000000001,0.0016450750565494567,0.21378239787909445
40,Kemerovo_virus,HLA-A02:36,M4MBJ1|M4MBJ1_9REOV,11,51,3.392,51.794,0.3594743535396354,0.4634892794501914
41,Kemerovo_virus,HLA-A02:36,M4MBJ4|M4MBJ4_9REOV,1,12,0.16799999999999998,9.857000000000001,0.0498812351543943,0.2971392397431647
42,Kemerovo_virus,HLA-A02:36,M4MBL5|M4MBL5_9REOV,19,94,5.063,97.082,0.2855450905194292,0.44211379596149114
43,Kemerovo_virus,HLA-A02:36,M4MBL8|M4MBL8_9REOV,8,35,2.323,37.722,0.278270244369909,0.35818939732036886
44,Kemerovo_virus,HLA-A02:36,M4MDF2|M4MDF2_9REOV,9,41,2.196,37.20199999999999,0.1917401554177945,0.23835670854770397
45,Kemerovo_virus,HLA-A02:36,M4MDF6|M4MDF6_9REOV,3,22,0.31299999999999994,20.823999999999998,0.049540993985438424,0.29662127514101755
46,Kemerovo_virus,HLA-A02:36,M4MF09|M4MF09_9REOV,5,25,1.339,22.634,0.22238830759010134,0.22850162537605753
47,Kemerovo_virus,HLA-A02:36,M4MF13|M4MF13_9REOV,2,10,0.709,8.771999999999998,0.20664529291751674,0.17317145395321287
48,Kemerovo_virus,HLA-A02:36,M4MJR0|M4MJR0_9REOV,41,110,9.09,122.762,0.5898384270975277,0.6430056725627098
49,Kemerovo_virus,HLA-A02:36,M4MJR4|M4MJR4_9REOV,5,27,0.7759999999999998,23.456,0.15957228048529712,0.40911152195904693
