,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Dengue_virus,HLA-A02:07,P17763|POLG_DEN1W,51,260,11.379,242.04399999999998,0.3045037330407557,0.5260167990524726
1,Dengue_virus,HLA-A02:03,P17763|POLG_DEN1W,56,268,14.626,247.301,0.391393936150285,0.5374414586706364
2,Dengue_virus,HLA-A66:01,P17763|POLG_DEN1W,79,283,18.275,294.378,0.489041719071958,0.639750513425116
3,Dengue_virus,HLA-A31:08,P17763|POLG_DEN1W,81,312,18.304,312.922,0.4898177633867644,0.6800508535352987
4,Dengue_virus,HLA-A02:36,P17763|POLG_DEN1W,63,271,14.314999999999998,272.305,0.38307152987770604,0.5917808516880549
5,Dengue_virus,HLA-A68:03,P17763|POLG_DEN1W,90,327,20.807,338.164,0.5567984157991918,0.7349074748177205
6,Dengue_virus,HLA-A26:01,P17763|POLG_DEN1W,51,235,11.725,225.691,0.3137627445208595,0.49047800149952736
7,Dengue_virus,HLA-A33:01,P17763|POLG_DEN1W,85,318,22.457,330.461,0.6009526612967968,0.7181670995012442
8,Dengue_virus,HLA-A29:01,P17763|POLG_DEN1W,41,195,9.408000000000001,177.25,0.25175947978270763,0.38520466374729706
9,Dengue_virus,HLA-A24:07,P17763|POLG_DEN1W,56,248,11.892,238.058,0.31823168936819285,0.5173543122276674
10,Dengue_virus,HLA-A02:13,P17763|POLG_DEN1W,64,272,15.928,268.904,0.4262356498702133,0.584389703245716
11,Dengue_virus,HLA-B15:02,P17763|POLG_DEN1W,58,224,13.870000000000001,223.91199999999998,0.37116326366774605,0.4866118288800269
12,Dengue_virus,HLA-B46:01,P17763|POLG_DEN1W,54,238,12.021999999999997,231.72099999999995,0.32171050871042833,0.5035825663649501
13,Dengue_virus,HLA-B38:02,P17763|POLG_DEN1W,77,276,19.418999999999997,285.089,0.5196553292836308,0.619563398493953
14,Dengue_virus,HLA-B54:01,P17763|POLG_DEN1W,61,257,16.965,240.91700000000003,0.45398592416173833,0.5235675710917211
15,Dengue_virus,HLA-B13:02,P17763|POLG_DEN1W,72,267,17.608,269.12800000000004,0.4711926998314111,0.5848765063186605
16,Dengue_virus,HLA-B14:05,P17763|POLG_DEN1W,90,294,21.884,307.219,0.585619096042174,0.6676569342272545
17,Dengue_virus,HLA-B45:01,P17763|POLG_DEN1W,72,280,17.166,283.526,0.4593647140678102,0.6161666431233633
18,Dengue_virus,HLA-B55:02,P17763|POLG_DEN1W,63,252,16.909,241.86699999999996,0.4524873558296984,0.5256321376957263
19,Dengue_virus,HLA-B07:05,P17763|POLG_DEN1W,66,231,17.43,254.90599999999998,0.466429393347427,0.5539688576426995
20,Dengue_virus,HLA-B35:14,P17763|POLG_DEN1W,62,258,16.031,254.41500000000002,0.4289919451952153,0.5529018026926296
21,Dengue_virus,HLA-B39:05,P17763|POLG_DEN1W,77,274,20.808000000000007,296.33500000000004,0.5568251759479784,0.6440035206293669
22,Dengue_virus,HLA-C14:03,P17763|POLG_DEN1W,50,226,11.768,212.25599999999997,0.3149134309186759,0.46128068326288446
23,Dengue_virus,HLA-C05:09,P17763|POLG_DEN1W,39,221,9.888,195.85200000000003,0.26460435120019266,0.42563105108172433
24,Dengue_virus,HLA-C06:03,P17763|POLG_DEN1W,61,274,14.404,253.55399999999997,0.3854531831196982,0.5510306533809994
25,Dengue_virus,HLA-A01:01,P17763|POLG_DEN1W,42,189,9.618999999999998,183.877,0.2574058711766437,0.39960664573123694
26,Dengue_virus,HLA-A02:01,P17763|POLG_DEN1W,61,269,14.267,269.552,0.3817870427359576,0.5857979549924481
27,Dengue_virus,HLA-A02:02,P17763|POLG_DEN1W,56,249,13.175,244.27100000000002,0.35256496026117906,0.5308565778178618
28,Dengue_virus,HLA-A02:06,P17763|POLG_DEN1W,67,295,15.434999999999999,291.81399999999996,0.4130428965185046,0.6341783568223059
29,Dengue_virus,HLA-A02:11,P17763|POLG_DEN1W,64,268,15.222000000000001,263.89000000000004,0.40734298482699566,0.5734931380325768
30,Dengue_virus,HLA-A03:01,P17763|POLG_DEN1W,102,345,26.97,367.161,0.7217212127699429,0.7979245672559737
31,Dengue_virus,HLA-A03:02,P17763|POLG_DEN1W,98,344,26.164,352.107,0.7001525328480827,0.7652087928805051
32,Dengue_virus,HLA-A11:01,P17763|POLG_DEN1W,99,357,27.536,361.81899999999996,0.7368674569830609,0.7863151832574514
33,Dengue_virus,HLA-A23:01,P17763|POLG_DEN1W,58,249,12.506,246.153,0.33466242072305924,0.5349465929217964
34,Dengue_virus,HLA-A24:02,P17763|POLG_DEN1W,57,259,13.077,246.84200000000004,0.34994246568010917,0.5364439470167014
35,Dengue_virus,HLA-A25:01,P17763|POLG_DEN1W,77,285,16.884,282.356,0.45181835211003774,0.6136239663584305
36,Dengue_virus,HLA-A29:02,P17763|POLG_DEN1W,41,195,9.408000000000001,177.25,0.25175947978270763,0.38520466374729706
37,Dengue_virus,HLA-A30:01,P17763|POLG_DEN1W,77,316,18.423000000000002,309.807,0.4930022210923493,0.6732812483021657
38,Dengue_virus,HLA-A30:02,P17763|POLG_DEN1W,47,210,11.711,210.366,0.3133881024378496,0.4571732823349162
39,Dengue_virus,HLA-A31:01,P17763|POLG_DEN1W,70,331,17.904999999999998,321.08299999999997,0.4791404640209799,0.6977865672777059
40,Dengue_virus,HLA-A32:01,P17763|POLG_DEN1W,96,351,25.693,349.534,0.6875485027696755,0.7596170772256572
41,Dengue_virus,HLA-A33:03,P17763|POLG_DEN1W,83,349,21.977,334.34099999999995,0.5881077898793118,0.7265992241576024
42,Dengue_virus,HLA-A68:01,P17763|POLG_DEN1W,91,317,23.087,336.42199999999997,0.6178115550322459,0.7311217116343761
43,Dengue_virus,HLA-A68:02,P17763|POLG_DEN1W,73,275,19.963,271.51,0.5342128502234472,0.5900531354247031
44,Dengue_virus,HLA-A74:01,P17763|POLG_DEN1W,90,347,22.576999999999998,357.481,0.604163879151168,0.7768877201751622
45,Dengue_virus,HLA-B07:02,P17763|POLG_DEN1W,66,228,17.351,250.35000000000002,0.46431534159329924,0.5440676308554913
46,Dengue_virus,HLA-B08:01,P17763|POLG_DEN1W,54,271,13.534999999999998,253.72000000000003,0.3621986138242928,0.5513914092296994
47,Dengue_virus,HLA-B14:02,P17763|POLG_DEN1W,80,289,19.983999999999998,300.88599999999997,0.5347748133479622,0.6538938812765541
