,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_respiratory_syncytial_virus,HLA-A02:07,O36632|SH_HRSVB,2,10,0.562,9.01,0.4442687747035573,0.5753512132822477
1,Human_respiratory_syncytial_virus,HLA-A02:07,O36633-2|GLYC_HRSVB,2,8,0.41300000000000003,7.824999999999999,0.08350181965224425,0.1492409215746109
2,Human_respiratory_syncytial_virus,HLA-A02:07,O36633|GLYC_HRSVB,4,16,0.6579999999999999,15.341999999999999,0.13231449829077013,0.27194412932501416
3,Human_respiratory_syncytial_virus,HLA-A02:07,O36634|FUS_HRSVB,9,64,2.374,57.643,0.3811205650987318,0.6748264437654385
4,Human_respiratory_syncytial_virus,HLA-A02:07,O36635|L_HRSVB,70,244,17.410000000000004,246.96800000000005,0.6609719058466215,0.6838850813430254
5,Human_respiratory_syncytial_virus,HLA-A02:07,O42038|NS2_HRSVB,7,18,2.043,21.346000000000004,0.7566666666666667,0.6294527011087521
6,Human_respiratory_syncytial_virus,HLA-A02:07,O42047|M22_HRSVB,6,17,1.831,22.703,0.43072218301576104,0.7308224690165781
7,Human_respiratory_syncytial_virus,HLA-A02:07,O42049|MATRX_HRSVB,9,28,1.7109999999999999,30.874000000000002,0.43659096708343964,0.6806437389770724
8,Human_respiratory_syncytial_virus,HLA-A02:07,O42050|M21_HRSVB,3,18,0.543,12.149999999999999,0.17855968431437028,0.4024644738149657
9,Human_respiratory_syncytial_virus,HLA-A02:07,O42053|NCAP_HRSVB,5,32,1.017,28.058999999999997,0.1876037631433315,0.48147639720644503
10,Human_respiratory_syncytial_virus,HLA-A02:07,O42062|PHOSP_HRSVB,4,15,0.9850000000000001,13.605,0.24823588709677424,0.3549624295554164
11,Human_respiratory_syncytial_virus,HLA-A02:07,O42083|NS1_HRSVB,3,20,0.492,19.265999999999995,0.26580226904376014,0.7814236463192048
12,Human_respiratory_syncytial_virus,HLA-A02:03,O36632|SH_HRSVB,2,6,0.505,7.052,0.3992094861660079,0.4503192848020434
13,Human_respiratory_syncytial_virus,HLA-A02:03,O36633-2|GLYC_HRSVB,3,4,0.6,6.102,0.1213101496158512,0.1163793103448276
14,Human_respiratory_syncytial_virus,HLA-A02:03,O36633|GLYC_HRSVB,4,11,0.9490000000000001,11.701,0.19083048461693145,0.2074057005104935
15,Human_respiratory_syncytial_virus,HLA-A02:03,O36634|FUS_HRSVB,16,65,2.8070000000000004,58.762,0.4506341306790818,0.6879265737131083
