,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Hantaan,HLA-A02:07,P05133|NCAP_HANTV,14,44,3.2999999999999994,48.647,0.6391632771644391,0.7681873450502945
1,Hantaan,HLA-A02:07,P08668|GP_HANTV,19,86,4.77,86.599,0.5205718651096801,0.6513798731825464
2,Hantaan,HLA-A02:07,P23456|L_HANTV,53,234,13.722999999999999,236.759,0.551345922057051,0.7170582195825924
3,Hantaan,HLA-A02:03,P05133|NCAP_HANTV,13,46,4.07,44.862,0.7883013751694752,0.7084182102420769
4,Hantaan,HLA-A02:03,P08668|GP_HANTV,21,74,5.737,78.925,0.6261049874495253,0.5936576229625339
5,Hantaan,HLA-A02:03,P23456|L_HANTV,79,233,20.177000000000003,258.494,0.810646846122941,0.782885750542884
6,Hantaan,HLA-A66:01,P05133|NCAP_HANTV,8,34,1.883,32.339,0.36471043966686034,0.5106668561593002
7,Hantaan,HLA-A66:01,P08668|GP_HANTV,21,82,4.705,77.312,0.5134781185201354,0.5815249685965084
8,Hantaan,HLA-A66:01,P23456|L_HANTV,61,246,16.124000000000002,256.33299999999997,0.6478103656086782,0.7763408554701813
9,Hantaan,HLA-A31:08,P05133|NCAP_HANTV,3,21,0.7889999999999999,19.075999999999997,0.15281812899477046,0.3012301230123012
10,Hantaan,HLA-A31:08,P08668|GP_HANTV,24,112,5.649,98.739,0.6165011459129106,0.7426944571897072
11,Hantaan,HLA-A31:08,P23456|L_HANTV,85,320,20.186999999999994,330.18100000000004,0.8110486139011649,1.0
12,Hantaan,HLA-A02:36,P05133|NCAP_HANTV,13,46,3.145,46.797000000000004,0.6091419717218671,0.7389738973897391
13,Hantaan,HLA-A02:36,P08668|GP_HANTV,17,79,4.46,80.181,0.4867401506056968,0.6031049967280194
14,Hantaan,HLA-A02:36,P23456|L_HANTV,65,214,16.445999999999998,235.346,0.6607472880674969,0.7127787486257536
15,Hantaan,HLA-A68:03,P05133|NCAP_HANTV,7,44,1.793,40.502,0.34727871392601195,0.6395692200799028
16,Hantaan,HLA-A68:03,P08668|GP_HANTV,17,76,4.267,69.248,0.46567717996289426,0.5208692185607798
17,Hantaan,HLA-A68:03,P23456|L_HANTV,57,209,12.181000000000001,215.041,0.4893933306548815,0.6512821755340252
18,Hantaan,HLA-A26:01,P05133|NCAP_HANTV,5,24,1.259,21.665000000000003,0.2438504745303118,0.34211315868428954
19,Hantaan,HLA-A26:01,P08668|GP_HANTV,25,97,6.683000000000001,99.527,0.7293462839681327,0.7486216311763334
20,Hantaan,HLA-A26:01,P23456|L_HANTV,65,242,18.310000000000002,251.57200000000003,0.7356368019284855,0.7619214915455462
21,Hantaan,HLA-A33:01,P05133|NCAP_HANTV,14,46,2.502,44.647,0.4846019755955839,0.7050231338923366
22,Hantaan,HLA-A33:01,P08668|GP_HANTV,17,77,4.620000000000001,73.62000000000002,0.504201680672269,0.5537545036743967
23,Hantaan,HLA-A33:01,P23456|L_HANTV,65,210,17.648,223.80599999999998,0.7090397750100441,0.6778282214906368
24,Hantaan,HLA-A29:01,P05133|NCAP_HANTV,1,17,0.05099999999999999,13.499000000000002,0.00987797791981406,0.21316342160531848
25,Hantaan,HLA-A29:01,P08668|GP_HANTV,21,104,5.492,99.814,0.5993670195350868,0.7507803861689244
26,Hantaan,HLA-A29:01,P23456|L_HANTV,59,265,15.560000000000002,260.165,0.6251506629168342,0.7879466111011839
27,Hantaan,HLA-A24:07,P05133|NCAP_HANTV,1,28,0.405,21.573999999999998,0.07844276583381755,0.34067617288044594
28,Hantaan,HLA-A24:07,P08668|GP_HANTV,23,101,4.901,100.37500000000001,0.5348684928516861,0.755000112826916
29,Hantaan,HLA-A24:07,P23456|L_HANTV,69,295,19.186999999999998,297.099,0.7708718360787463,0.8998064697847543
30,Hantaan,HLA-A02:13,P05133|NCAP_HANTV,13,51,3.723,49.961999999999996,0.7210923881464264,0.7889525794684731
31,Hantaan,HLA-A02:13,P08668|GP_HANTV,18,77,5.188000000000001,76.26600000000002,0.5661901124085998,0.5736571716548701
32,Hantaan,HLA-A02:13,P23456|L_HANTV,73,227,18.217000000000002,244.087,0.7319003615910005,0.7392521071775783
33,Hantaan,HLA-B15:02,P05133|NCAP_HANTV,4,26,0.8399999999999999,22.336000000000002,0.1626961069145845,0.35270895510603695
34,Hantaan,HLA-B15:02,P08668|GP_HANTV,32,124,8.108,121.924,0.8848630361235403,0.917087260336826
