,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Nipah_virus,DRB1_1402,P0C1C7|W_NIPAV,7,58,1.9399999999999995,116.99000000000004,0.020459818603670108,0.12360274696249343
1,Nipah_virus,DRB1_1402,Q997F0|L_NIPAV,220,973,114.29,2472.2,0.6890751235982153,0.7263122948965411
2,Nipah_virus,DRB1_1402,Q997F1|C_NIPAV,2,21,0.22999999999999998,48.83,0.011972930765226443,0.19080181306658328
3,Nipah_virus,DRB1_1402,Q997F2|V_NIPAV,7,58,1.9399999999999995,116.99000000000004,0.020459818603670108,0.12360274696249343
4,Nipah_virus,DRB1_1402,Q9IH62|GLYCP_NIPAV,31,189,12.870000000000001,434.72999999999996,0.1744848156182213,0.5082183773673135
5,Nipah_virus,DRB1_1402,Q9IH63|FUS_NIPAV,32,211,11.350000000000001,501.18999999999994,0.24519334629509618,0.7999457328459929
6,Nipah_virus,DRB1_1402,Q9IK90|MATRX_NIPAV,7,124,2.1799999999999997,278.83000000000004,0.037853794061469,0.6007195794553603
7,Nipah_virus,DRB1_1402,Q9IK91|PHOSP_NIPAV,16,152,3.9499999999999993,327.59999999999997,0.03270409008113925,0.22167037696143774
8,Nipah_virus,DRB1_1402,Q9IK92|NCAP_NIPAV,8,95,2.2700000000000005,178.62000000000012,0.020150909897913898,0.12318195924278481
9,Nipah_virus,DRB1_1406,P0C1C7|W_NIPAV,14,100,2.3299999999999983,258.08,0.024572874920902748,0.2726677231907026
10,Nipah_virus,DRB1_1406,Q997F0|L_NIPAV,103,717,40.28,1706.65,0.24285542023393222,0.5013999183258564
11,Nipah_virus,DRB1_1406,Q997F1|C_NIPAV,5,39,1.33,80.24,0.06923477355543987,0.31353547983744917
12,Nipah_virus,DRB1_1406,Q997F2|V_NIPAV,14,100,2.3299999999999983,258.08,0.024572874920902748,0.2726677231907026
13,Nipah_virus,DRB1_1406,Q9IH62|GLYCP_NIPAV,21,123,7.59,309.80999999999995,0.10290130151843818,0.3621814355856908
14,Nipah_virus,DRB1_1406,Q9IH63|FUS_NIPAV,27,182,11.03,424.61000000000007,0.23828040613523438,0.6777169489090707
