,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Omsk_hemorrhagic_fever_virus,HLA-A02:07,Q7T6D2|POLG_OHFV,57,255,12.824000000000002,235.812,0.33858745874587465,0.4893624085864413
1,Omsk_hemorrhagic_fever_virus,HLA-A02:03,Q7T6D2|POLG_OHFV,69,267,16.686,270.336,0.44055445544554456,0.5610073960936008
2,Omsk_hemorrhagic_fever_virus,HLA-A66:01,Q7T6D2|POLG_OHFV,68,276,16.778,273.70300000000003,0.44298349834983497,0.5679946708281799
3,Omsk_hemorrhagic_fever_virus,HLA-A31:08,Q7T6D2|POLG_OHFV,49,256,11.237,243.324,0.2966864686468647,0.5049514812939428
4,Omsk_hemorrhagic_fever_virus,HLA-A02:36,Q7T6D2|POLG_OHFV,63,268,16.311,254.899,0.43065346534653465,0.5289721837153126
5,Omsk_hemorrhagic_fever_virus,HLA-A68:03,Q7T6D2|POLG_OHFV,82,334,18.836,341.649,0.4973201320132013,0.7089977504586241
6,Omsk_hemorrhagic_fever_virus,HLA-A26:01,Q7T6D2|POLG_OHFV,60,229,14.139999999999999,234.22000000000003,0.3733333333333333,0.4860586540935843
7,Omsk_hemorrhagic_fever_virus,HLA-A33:01,Q7T6D2|POLG_OHFV,99,374,25.363000000000003,388.57200000000006,0.6696501650165018,0.8063734238683812
8,Omsk_hemorrhagic_fever_virus,HLA-A29:01,Q7T6D2|POLG_OHFV,44,174,9.695999999999998,162.93800000000002,0.25599999999999995,0.3381326316313741
9,Omsk_hemorrhagic_fever_virus,HLA-A24:07,Q7T6D2|POLG_OHFV,34,191,7.265999999999998,163.567,0.1918415841584158,0.33943794669168
10,Omsk_hemorrhagic_fever_virus,HLA-A02:13,Q7T6D2|POLG_OHFV,76,278,16.222,271.851,0.4283036303630363,0.5641513584407607
11,Omsk_hemorrhagic_fever_virus,HLA-B15:02,Q7T6D2|POLG_OHFV,39,227,11.437,208.04799999999997,0.30196699669967,0.431745926337896
12,Omsk_hemorrhagic_fever_virus,HLA-B46:01,Q7T6D2|POLG_OHFV,69,245,14.266000000000002,255.26899999999998,0.3766600660066007,0.5297400161037279
13,Omsk_hemorrhagic_fever_virus,HLA-B38:02,Q7T6D2|POLG_OHFV,78,311,20.424,310.23400000000004,0.5392475247524753,0.6438046302368244
14,Omsk_hemorrhagic_fever_virus,HLA-B54:01,Q7T6D2|POLG_OHFV,47,213,12.137000000000002,198.07999999999998,0.3204488448844885,0.41106010674945415
15,Omsk_hemorrhagic_fever_virus,HLA-B13:02,Q7T6D2|POLG_OHFV,69,293,16.624000000000002,287.34,0.438917491749175,0.5962944823979612
16,Omsk_hemorrhagic_fever_virus,HLA-B14:05,Q7T6D2|POLG_OHFV,87,319,22.307999999999996,315.57,0.5889900990099008,0.6548780184113755
17,Omsk_hemorrhagic_fever_virus,HLA-B45:01,Q7T6D2|POLG_OHFV,88,291,18.273,306.106,0.48245544554455444,0.6352381110493155
18,Omsk_hemorrhagic_fever_virus,HLA-B55:02,Q7T6D2|POLG_OHFV,49,227,12.283999999999999,214.53199999999998,0.3243300330033003,0.44520167013920586
19,Omsk_hemorrhagic_fever_virus,HLA-B07:05,Q7T6D2|POLG_OHFV,76,264,18.578000000000003,277.332,0.4905082508250826,0.5755256539026637
20,Omsk_hemorrhagic_fever_virus,HLA-B35:14,Q7T6D2|POLG_OHFV,51,227,13.766,225.34099999999998,0.3634587458745875,0.4676327519942889
21,Omsk_hemorrhagic_fever_virus,HLA-B39:05,Q7T6D2|POLG_OHFV,80,305,21.171,300.211,0.5589702970297029,0.6230046734014559
22,Omsk_hemorrhagic_fever_virus,HLA-C14:03,Q7T6D2|POLG_OHFV,46,233,11.944000000000003,224.84699999999998,0.31535313531353143,0.46660759199462093
23,Omsk_hemorrhagic_fever_virus,HLA-C05:09,Q7T6D2|POLG_OHFV,51,228,11.114,214.55700000000002,0.29343894389438946,0.44525355070599076
24,Omsk_hemorrhagic_fever_virus,HLA-C06:03,Q7T6D2|POLG_OHFV,61,296,15.697000000000001,283.61899999999997,0.41444224422442244,0.5885725788377092
25,Omsk_hemorrhagic_fever_virus,HLA-A01:01,Q7T6D2|POLG_OHFV,49,192,11.786000000000001,187.08100000000002,0.3111815181518152,0.3882347325868066
26,Omsk_hemorrhagic_fever_virus,HLA-A02:01,Q7T6D2|POLG_OHFV,66,282,16.721999999999998,263.69500000000005,0.44150495049504945,0.5472258423328824
27,Omsk_hemorrhagic_fever_virus,HLA-A02:02,Q7T6D2|POLG_OHFV,69,258,16.235,258.46999999999997,0.4286468646864686,0.5363828038748557
28,Omsk_hemorrhagic_fever_virus,HLA-A02:06,Q7T6D2|POLG_OHFV,71,288,15.020000000000003,282.76099999999997,0.3965676567656766,0.5867920377856543
29,Omsk_hemorrhagic_fever_virus,HLA-A02:11,Q7T6D2|POLG_OHFV,66,271,16.992,269.286,0.44863366336633664,0.5588284122886386
30,Omsk_hemorrhagic_fever_virus,HLA-A03:01,Q7T6D2|POLG_OHFV,79,301,20.963,297.606,0.5534785478547855,0.6175987183424781
31,Omsk_hemorrhagic_fever_virus,HLA-A03:02,Q7T6D2|POLG_OHFV,83,300,22.122000000000003,297.625,0.5840792079207922,0.6176381475732345
32,Omsk_hemorrhagic_fever_virus,HLA-A11:01,Q7T6D2|POLG_OHFV,77,282,22.123,288.561,0.5841056105610561,0.5988283292797316
33,Omsk_hemorrhagic_fever_virus,HLA-A23:01,Q7T6D2|POLG_OHFV,35,196,6.6789999999999985,171.85099999999997,0.1763432343234323,0.35662909130149656
34,Omsk_hemorrhagic_fever_virus,HLA-A24:02,Q7T6D2|POLG_OHFV,33,200,7.135,168.15799999999996,0.18838283828382837,0.34896529397604353
35,Omsk_hemorrhagic_fever_virus,HLA-A25:01,Q7T6D2|POLG_OHFV,70,275,18.889,282.182,0.4987194719471947,0.5855904838589181
36,Omsk_hemorrhagic_fever_virus,HLA-A29:02,Q7T6D2|POLG_OHFV,44,174,9.695999999999998,162.93800000000002,0.25599999999999995,0.3381326316313741
37,Omsk_hemorrhagic_fever_virus,HLA-A30:01,Q7T6D2|POLG_OHFV,97,341,26.141000000000002,357.202,0.6901914191419143,0.7412736886667939
38,Omsk_hemorrhagic_fever_virus,HLA-A30:02,Q7T6D2|POLG_OHFV,49,202,13.498,201.695,0.3563828382838284,0.4185620367065386
39,Omsk_hemorrhagic_fever_virus,HLA-A31:01,Q7T6D2|POLG_OHFV,92,374,22.576999999999998,382.82099999999997,0.596092409240924,0.7944388182852019
40,Omsk_hemorrhagic_fever_virus,HLA-A32:01,Q7T6D2|POLG_OHFV,93,359,23.257,371.40200000000004,0.6140462046204621,0.7707418506005694
41,Omsk_hemorrhagic_fever_virus,HLA-A33:03,Q7T6D2|POLG_OHFV,104,389,24.346,393.66900000000004,0.6427986798679868,0.8169508338244694
42,Omsk_hemorrhagic_fever_virus,HLA-A68:01,Q7T6D2|POLG_OHFV,73,316,17.879,315.678,0.47205280528052806,0.6551021424598859
43,Omsk_hemorrhagic_fever_virus,HLA-A68:02,Q7T6D2|POLG_OHFV,57,282,13.857999999999999,270.04,0.36588778877887784,0.5603931301828686
44,Omsk_hemorrhagic_fever_virus,HLA-A74:01,Q7T6D2|POLG_OHFV,102,369,23.293000000000003,380.811,0.6149966996699671,0.7902676207157027
45,Omsk_hemorrhagic_fever_virus,HLA-B07:02,Q7T6D2|POLG_OHFV,68,270,18.429,281.328,0.4865742574257425,0.5838182436975486
46,Omsk_hemorrhagic_fever_virus,HLA-B08:01,Q7T6D2|POLG_OHFV,62,310,15.795000000000002,301.11799999999994,0.41702970297029707,0.624886900364409
47,Omsk_hemorrhagic_fever_virus,HLA-B14:02,Q7T6D2|POLG_OHFV,81,288,21.357,304.31,0.5638811881188118,0.6315110111314943
48,Omsk_hemorrhagic_fever_virus,HLA-B15:01,Q7T6D2|POLG_OHFV,53,230,12.759999999999998,235.14499999999995,0.3368976897689768,0.4879782350646223
49,Omsk_hemorrhagic_fever_virus,HLA-B15:03,Q7T6D2|POLG_OHFV,56,248,13.811,235.53300000000002,0.3646468646864686,0.4887834214611228
50,Omsk_hemorrhagic_fever_virus,HLA-B18:01,Q7T6D2|POLG_OHFV,63,276,15.008999999999997,272.654,0.3962772277227722,0.565817762245889
51,Omsk_hemorrhagic_fever_virus,HLA-B27:05,Q7T6D2|POLG_OHFV,74,329,14.753,315.602,0.3895181518151815,0.65494442553686
52,Omsk_hemorrhagic_fever_virus,HLA-B35:01,Q7T6D2|POLG_OHFV,49,228,11.174999999999999,214.90499999999997,0.29504950495049503,0.4459757281956353
53,Omsk_hemorrhagic_fever_virus,HLA-B35:03,Q7T6D2|POLG_OHFV,62,251,15.479000000000001,254.654,0.4086864686468647,0.5284637541608214
54,Omsk_hemorrhagic_fever_virus,HLA-B38:01,Q7T6D2|POLG_OHFV,79,296,19.381999999999998,302.014,0.5117359735973597,0.6267462998779769
55,Omsk_hemorrhagic_fever_virus,HLA-B40:01,Q7T6D2|POLG_OHFV,68,295,18.243000000000002,294.683,0.4816633663366337,0.6115328424739974
56,Omsk_hemorrhagic_fever_virus,HLA-B40:02,Q7T6D2|POLG_OHFV,65,315,17.155,286.974,0.45293729372937297,0.5955349509002316
57,Omsk_hemorrhagic_fever_virus,HLA-B40:06,Q7T6D2|POLG_OHFV,94,305,20.319000000000003,313.923,0.5364752475247525,0.6514601266715918
58,Omsk_hemorrhagic_fever_virus,HLA-B42:01,Q7T6D2|POLG_OHFV,72,265,17.494999999999997,267.669,0.46191419141914186,0.5554727772289966
59,Omsk_hemorrhagic_fever_virus,HLA-B44:02,Q7T6D2|POLG_OHFV,82,334,22.605999999999998,340.10699999999997,0.5968580858085808,0.7057977570993367
60,Omsk_hemorrhagic_fever_virus,HLA-B44:03,Q7T6D2|POLG_OHFV,74,342,21.153,331.063,0.5584950495049504,0.6870294432592616
61,Omsk_hemorrhagic_fever_virus,HLA-B50:01,Q7T6D2|POLG_OHFV,81,281,19.106,301.561,0.5044488448844885,0.6258062240078359
62,Omsk_hemorrhagic_fever_virus,HLA-B51:01,Q7T6D2|POLG_OHFV,45,250,10.279,228.346,0.2713927392739274,0.47386879612182387
63,Omsk_hemorrhagic_fever_virus,HLA-B52:01,Q7T6D2|POLG_OHFV,51,252,11.244,249.60000000000002,0.29687128712871286,0.5179755787796031
64,Omsk_hemorrhagic_fever_virus,HLA-B53:01,Q7T6D2|POLG_OHFV,61,297,13.802999999999997,290.637,0.36443564356435637,0.6031364915455428
65,Omsk_hemorrhagic_fever_virus,HLA-B57:01,Q7T6D2|POLG_OHFV,137,426,37.875,481.87600000000003,1.0,1.0
66,Omsk_hemorrhagic_fever_virus,HLA-B58:01,Q7T6D2|POLG_OHFV,138,422,34.98,473.52,0.9235643564356435,0.982659439357843
67,Omsk_hemorrhagic_fever_virus,HLA-B58:02,Q7T6D2|POLG_OHFV,122,399,31.477999999999998,441.79200000000003,0.8311023102310231,0.9168167744398974
68,Omsk_hemorrhagic_fever_virus,HLA-C01:02,Q7T6D2|POLG_OHFV,67,267,16.428000000000004,274.67299999999994,0.43374257425742585,0.5700076368194306
69,Omsk_hemorrhagic_fever_virus,HLA-C02:02,Q7T6D2|POLG_OHFV,60,252,14.165000000000001,248.043,0.37399339933993403,0.5147444570802446
70,Omsk_hemorrhagic_fever_virus,HLA-C02:10,Q7T6D2|POLG_OHFV,60,252,14.165000000000001,248.043,0.37399339933993403,0.5147444570802446
71,Omsk_hemorrhagic_fever_virus,HLA-C03:02,Q7T6D2|POLG_OHFV,66,257,14.096999999999998,249.813,0.37219801980198014,0.5184176012086096
72,Omsk_hemorrhagic_fever_virus,HLA-C03:03,Q7T6D2|POLG_OHFV,74,280,17.31,280.33500000000004,0.457029702970297,0.5817575475848559
73,Omsk_hemorrhagic_fever_virus,HLA-C03:04,Q7T6D2|POLG_OHFV,74,280,17.31,280.33500000000004,0.457029702970297,0.5817575475848559
74,Omsk_hemorrhagic_fever_virus,HLA-C04:01,Q7T6D2|POLG_OHFV,44,208,8.152,191.036,0.21523432343234322,0.39644223825216446
75,Omsk_hemorrhagic_fever_virus,HLA-C05:01,Q7T6D2|POLG_OHFV,51,228,11.114,214.55700000000002,0.29343894389438946,0.44525355070599076
76,Omsk_hemorrhagic_fever_virus,HLA-C06:02,Q7T6D2|POLG_OHFV,78,330,19.349999999999998,307.853,0.5108910891089108,0.6388635250562386
77,Omsk_hemorrhagic_fever_virus,HLA-C07:01,Q7T6D2|POLG_OHFV,78,311,17.456999999999997,303.69899999999996,0.4609108910891088,0.6302430500792734
78,Omsk_hemorrhagic_fever_virus,HLA-C07:02,Q7T6D2|POLG_OHFV,67,283,14.743000000000002,278.52299999999997,0.3892541254125413,0.5779972441042923
79,Omsk_hemorrhagic_fever_virus,HLA-C08:01,Q7T6D2|POLG_OHFV,53,251,12.814,243.59699999999998,0.3383234323432343,0.505518017083233
80,Omsk_hemorrhagic_fever_virus,HLA-C08:02,Q7T6D2|POLG_OHFV,58,232,12.729000000000003,229.389,0.33607920792079216,0.4760332533680864
81,Omsk_hemorrhagic_fever_virus,HLA-C12:02,Q7T6D2|POLG_OHFV,63,254,15.405999999999999,250.93200000000002,0.40675907590759075,0.5207397753778981
82,Omsk_hemorrhagic_fever_virus,HLA-C12:03,Q7T6D2|POLG_OHFV,68,298,17.569,298.19,0.46386798679867985,0.6188106483825714
83,Omsk_hemorrhagic_fever_virus,HLA-C14:02,Q7T6D2|POLG_OHFV,46,233,11.944000000000003,224.84699999999998,0.31535313531353143,0.46660759199462093
84,Omsk_hemorrhagic_fever_virus,HLA-C15:02,Q7T6D2|POLG_OHFV,75,302,18.443000000000005,296.808,0.4869438943894391,0.6159426906507067
85,Omsk_hemorrhagic_fever_virus,HLA-C16:01,Q7T6D2|POLG_OHFV,72,305,18.468,299.81600000000003,0.4876039603960396,0.6221849604462559
86,Omsk_hemorrhagic_fever_virus,HLA-C17:01,Q7T6D2|POLG_OHFV,57,280,14.132000000000001,255.156,0.37312211221122116,0.5295055159418606
87,Omsk_hemorrhagic_fever_virus,HLA-A02:07,Raw_Proteome,57,255,12.824000000000002,235.812,0.33858745874587465,0.4893624085864413
88,Omsk_hemorrhagic_fever_virus,HLA-A02:03,Raw_Proteome,69,267,16.686,270.336,0.44055445544554456,0.5610073960936008
89,Omsk_hemorrhagic_fever_virus,HLA-A66:01,Raw_Proteome,68,276,16.778,273.70300000000003,0.44298349834983497,0.5679946708281799
90,Omsk_hemorrhagic_fever_virus,HLA-A31:08,Raw_Proteome,49,256,11.237,243.324,0.2966864686468647,0.5049514812939428
91,Omsk_hemorrhagic_fever_virus,HLA-A02:36,Raw_Proteome,63,268,16.311,254.899,0.43065346534653465,0.5289721837153126
92,Omsk_hemorrhagic_fever_virus,HLA-A68:03,Raw_Proteome,82,334,18.836,341.649,0.4973201320132013,0.7089977504586241
93,Omsk_hemorrhagic_fever_virus,HLA-A26:01,Raw_Proteome,60,229,14.139999999999999,234.22000000000003,0.3733333333333333,0.4860586540935843
94,Omsk_hemorrhagic_fever_virus,HLA-A33:01,Raw_Proteome,99,374,25.363000000000003,388.57200000000006,0.6696501650165018,0.8063734238683812
95,Omsk_hemorrhagic_fever_virus,HLA-A29:01,Raw_Proteome,44,174,9.695999999999998,162.93800000000002,0.25599999999999995,0.3381326316313741
