,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Marburgvirus,DRB1_1402,P27588|NCAP_MABVM,25,221,9.16,481.76,0.10997718813783168,0.31986402326476954
1,Marburgvirus,DRB1_1402,P31352|L_MABVM,104,625,42.47,1477.9099999999999,0.30941279323910825,0.5816138997658449
2,Marburgvirus,DRB1_1402,P35253|VGP_MABVM,14,128,4.59,264.61,0.041795665634674926,0.2163384104714953
3,Marburgvirus,DRB1_1402,P35256|VP24_MABVM,0,39,0.0,71.30999999999999,0.0,0.1531769557932723
4,Marburgvirus,DRB1_1402,P35258|VP30_MABVM,0,39,0.0,60.23000000000002,0.0,0.20841551610782386
5,Marburgvirus,DRB1_1402,P35259|VP35_MABVM,40,103,21.26,318.31000000000006,0.5146453643185669,0.5510430191292306
6,Marburgvirus,DRB1_1402,P35260|VP40_MABVM,42,104,23.810000000000002,309.46999999999997,0.5658269961977187,0.5664732477897163
7,Marburgvirus,DRB1_1406,P27588|NCAP_MABVM,23,173,9.700000000000001,382.23,0.11646055949093531,0.2537811889996946
8,Marburgvirus,DRB1_1406,P31352|L_MABVM,71,519,26.289999999999992,1164.7199999999998,0.19153431443974933,0.4583617008716869
9,Marburgvirus,DRB1_1406,P35253|VGP_MABVM,26,149,15.069999999999999,331.43999999999994,0.1372245492624294,0.27097691986951505
10,Marburgvirus,DRB1_1406,P35256|VP24_MABVM,3,44,0.77,84.69999999999999,0.034715960324616775,0.18193925334020705
11,Marburgvirus,DRB1_1406,P35258|VP30_MABVM,2,67,0.41000000000000014,123.72,0.01664636622005685,0.4281116993667601
12,Marburgvirus,DRB1_1406,P35259|VP35_MABVM,48,147,22.729999999999997,399.6,0.550229968530622,0.6917683718514672
13,Marburgvirus,DRB1_1406,P35260|VP40_MABVM,1,107,0.18999999999999995,177.10000000000002,0.004515209125475284,0.3241749190020318
14,Marburgvirus,DRB1_1405,P27588|NCAP_MABVM,28,157,11.029999999999998,383.06,0.13242886300876455,0.25433226658876334
15,Marburgvirus,DRB1_1405,P31352|L_MABVM,125,659,58.05000000000001,1666.1,0.42292000582835504,0.6556738356191338
16,Marburgvirus,DRB1_1405,P35253|VGP_MABVM,33,142,10.560000000000002,354.07000000000005,0.09615734838827174,0.28947863268826707
17,Marburgvirus,DRB1_1405,P35256|VP24_MABVM,3,75,0.7000000000000002,150.99000000000004,0.0315599639314698,0.32433303260729485
18,Marburgvirus,DRB1_1405,P35258|VP30_MABVM,21,67,8.4,195.48,0.3410475030450671,0.6764247897851137
