,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_rhinovirus_A,HLA-A02:07,P07210|POLG_HRV8A,47,195,12.645999999999999,197.01300000000003,0.7304759704251386,0.800745416339819
1,Human_rhinovirus_A,HLA-A02:03,P07210|POLG_HRV8A,46,166,9.895,165.795,0.5715688539741219,0.6738620613972696
2,Human_rhinovirus_A,HLA-A66:01,P07210|POLG_HRV8A,48,199,11.696000000000002,198.772,0.6756007393715342,0.807894747537972
3,Human_rhinovirus_A,HLA-A31:08,P07210|POLG_HRV8A,56,226,12.595,227.16200000000003,0.7275300369685767,0.9232838963245368
4,Human_rhinovirus_A,HLA-A02:36,P07210|POLG_HRV8A,44,166,9.875,171.935,0.5704135859519408,0.6988176575067978
5,Human_rhinovirus_A,HLA-A68:03,P07210|POLG_HRV8A,38,156,10.458,158.15800000000002,0.6040896487985212,0.6428220145750437
6,Human_rhinovirus_A,HLA-A26:01,P07210|POLG_HRV8A,58,222,14.079000000000002,222.68899999999996,0.8132509242144178,0.9051037039144518
7,Human_rhinovirus_A,HLA-A33:01,P07210|POLG_HRV8A,38,140,10.216999999999999,138.276,0.5901686691312383,0.5620130305604443
8,Human_rhinovirus_A,HLA-A29:01,P07210|POLG_HRV8A,69,223,17.312,244.129,1.0,0.9922450688311109
9,Human_rhinovirus_A,HLA-A24:07,P07210|POLG_HRV8A,56,225,13.181999999999999,234.28300000000002,0.7614371534195932,0.9522266976105221
10,Human_rhinovirus_A,HLA-A02:13,P07210|POLG_HRV8A,44,164,10.353,170.61800000000002,0.5980244916820702,0.6934648040741841
11,Human_rhinovirus_A,HLA-B15:02,P07210|POLG_HRV8A,56,230,14.507,225.98499999999999,0.8379736598890942,0.9185000629986547
12,Human_rhinovirus_A,HLA-B46:01,P07210|POLG_HRV8A,52,204,12.193000000000001,209.04199999999997,0.7043091497227357,0.8496364367960916
13,Human_rhinovirus_A,HLA-B38:02,P07210|POLG_HRV8A,52,216,14.802000000000001,207.301,0.8550138632162662,0.842560265325947
14,Human_rhinovirus_A,HLA-B54:01,P07210|POLG_HRV8A,48,209,12.593,196.192,0.7274145101663585,0.7974085198567696
15,Human_rhinovirus_A,HLA-B13:02,P07210|POLG_HRV8A,57,204,13.334,218.16900000000004,0.7702171903881699,0.8867324833256789
16,Human_rhinovirus_A,HLA-B14:05,P07210|POLG_HRV8A,39,180,8.952,168.18299999999996,0.5170979667282809,0.6835679186463823
17,Human_rhinovirus_A,HLA-B45:01,P07210|POLG_HRV8A,25,139,5.952,128.048,0.343807763401109,0.5204420473343441
18,Human_rhinovirus_A,HLA-B55:02,P07210|POLG_HRV8A,42,202,11.065,199.885,0.639152033271719,0.8124184573864907
19,Human_rhinovirus_A,HLA-B07:05,P07210|POLG_HRV8A,48,187,10.881,191.49200000000002,0.6285235674676525,0.7783057019879125
20,Human_rhinovirus_A,HLA-B35:14,P07210|POLG_HRV8A,57,248,12.796,240.738,0.7391404805914972,0.9784625889601971
21,Human_rhinovirus_A,HLA-B39:05,P07210|POLG_HRV8A,56,216,13.687,217.088,0.7906076709796672,0.8823388352158416
22,Human_rhinovirus_A,HLA-C14:03,P07210|POLG_HRV8A,64,240,15.368000000000002,246.03699999999998,0.8877079482439927,1.0
23,Human_rhinovirus_A,HLA-C05:09,P07210|POLG_HRV8A,59,213,15.088999999999999,214.982,0.8715919593345655,0.8737791470388601
24,Human_rhinovirus_A,HLA-C06:03,P07210|POLG_HRV8A,58,227,13.636,235.12099999999998,0.7876617375231053,0.9556326893922459
25,Human_rhinovirus_A,HLA-A01:01,P07210|POLG_HRV8A,60,235,12.032999999999998,234.714,0.6950670055452863,0.9539784666533896
26,Human_rhinovirus_A,HLA-A02:01,P07210|POLG_HRV8A,35,167,9.133,166.15800000000002,0.5275531423290203,0.6753374492454388
27,Human_rhinovirus_A,HLA-A02:02,P07210|POLG_HRV8A,38,162,9.121000000000002,166.096,0.5268599815157118,0.6750854546267432
28,Human_rhinovirus_A,HLA-A02:06,P07210|POLG_HRV8A,53,182,13.233,192.039,0.7643830868761552,0.7805289448335007
29,Human_rhinovirus_A,HLA-A02:11,P07210|POLG_HRV8A,39,167,9.155,168.967,0.5288239371534195,0.6867544312440813
30,Human_rhinovirus_A,HLA-A03:01,P07210|POLG_HRV8A,40,176,11.382,168.782,0.6574630314232901,0.6860025118173284
31,Human_rhinovirus_A,HLA-A03:02,P07210|POLG_HRV8A,44,164,10.805000000000001,169.43899999999996,0.6241335489833642,0.6886728418896344
32,Human_rhinovirus_A,HLA-A11:01,P07210|POLG_HRV8A,44,185,11.353999999999997,176.72799999999995,0.6558456561922364,0.7182984673036981
33,Human_rhinovirus_A,HLA-A23:01,P07210|POLG_HRV8A,67,218,12.221000000000004,218.98000000000002,0.7059265249537895,0.8900287355153901
34,Human_rhinovirus_A,HLA-A24:02,P07210|POLG_HRV8A,58,228,13.309,227.20499999999998,0.7687731053604435,0.92345866678589
35,Human_rhinovirus_A,HLA-A25:01,P07210|POLG_HRV8A,56,214,11.855000000000004,210.52199999999996,0.6847851201478745,0.8556517922101147
36,Human_rhinovirus_A,HLA-A29:02,P07210|POLG_HRV8A,69,223,17.312,244.129,1.0,0.9922450688311109
37,Human_rhinovirus_A,HLA-A30:01,P07210|POLG_HRV8A,54,193,13.535,194.699,0.7818276340110906,0.7913403268614071
38,Human_rhinovirus_A,HLA-A30:02,P07210|POLG_HRV8A,66,239,15.975000000000001,244.60299999999998,0.9227703327171904,0.9941716083353317
