,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Hepatitis_A_virus,DRB1_1402,P08617|POLG_HAVHM,141,683,72.32000000000001,1680.6200000000001,0.47729672650475186,0.72089701409949
1,Hepatitis_A_virus,DRB1_1406,P08617|POLG_HAVHM,151,534,80.02,1493.87,0.5281151003167898,0.6407911499641828
2,Hepatitis_A_virus,DRB1_1405,P08617|POLG_HAVHM,114,569,56.07,1396.6200000000001,0.37005015839493133,0.5990760480249133
3,Hepatitis_A_virus,DRB1_1602,P08617|POLG_HAVHM,77,633,36.07000000000001,1394.8,0.23805438225976772,0.5982953643690831
4,Hepatitis_A_virus,DRB1_1201,P08617|POLG_HAVHM,161,745,77.56,1863.5200000000002,0.5118796198521647,0.7993514320397721
5,Hepatitis_A_virus,DRB1_0411,P08617|POLG_HAVHM,194,802,92.77999999999999,2095.97,0.6123284054910242,0.8990601769835583
6,Hepatitis_A_virus,DRB1_0405,P08617|POLG_HAVHM,173,788,76.33000000000001,2014.57,0.5037618796198522,0.8641438860030284
7,Hepatitis_A_virus,DRB1_0406,P08617|POLG_HAVHM,147,736,72.26000000000002,1898.96,0.47690073917634646,0.8145533159752755
8,Hepatitis_A_virus,HLA-DQA10301-DQB10401,P08617|POLG_HAVHM,64,433,32.330000000000005,987.6000000000001,0.2133711721224921,0.42362812005370426
9,Hepatitis_A_virus,HLA-DQA10303-DQB10401,P08617|POLG_HAVHM,64,433,32.330000000000005,987.6000000000001,0.2133711721224921,0.42362812005370426
10,Hepatitis_A_virus,DRB1_0101,P08617|POLG_HAVHM,45,375,15.549999999999997,793.19,0.10262671594508974,0.3402365214108927
11,Hepatitis_A_virus,DRB1_0102,P08617|POLG_HAVHM,38,340,24.15,656.52,0.15938489968321012,0.28161232622282084
12,Hepatitis_A_virus,DRB1_0301,P08617|POLG_HAVHM,121,575,74.31,1425.6699999999998,0.4904303062302006,0.6115369602237387
13,Hepatitis_A_virus,DRB1_0302,P08617|POLG_HAVHM,125,728,48.53,1800.88,0.32028775079197463,0.7724821879731822
14,Hepatitis_A_virus,DRB1_0401,P08617|POLG_HAVHM,168,623,86.75,1662.46,0.5725316789862724,0.7131073354237354
15,Hepatitis_A_virus,DRB1_0402,P08617|POLG_HAVHM,104,703,49.120000000000005,1707.4899999999998,0.324181626187962,0.732422821699574
16,Hepatitis_A_virus,DRB1_0403,P08617|POLG_HAVHM,147,736,72.26000000000002,1898.96,0.47690073917634646,0.8145533159752755
17,Hepatitis_A_virus,DRB1_0404,P08617|POLG_HAVHM,136,724,73.23,1819.0399999999997,0.4833025343189018,0.7802718666489368
18,Hepatitis_A_virus,DRB1_0407,P08617|POLG_HAVHM,197,721,106.94,1884.7300000000002,0.7057814149947201,0.8084493992596374
19,Hepatitis_A_virus,DRB1_0701,P08617|POLG_HAVHM,216,737,99.19999999999999,2098.47,0.6546990496304117,0.9001325446426656
20,Hepatitis_A_virus,DRB1_0802,P08617|POLG_HAVHM,137,743,67.47,1874.1999999999998,0.44528775079197463,0.8039325866794779
21,Hepatitis_A_virus,DRB1_0804,P08617|POLG_HAVHM,118,635,52.83,1641.55,0.3486668426610348,0.7041380523229628
22,Hepatitis_A_virus,DRB1_1001,P08617|POLG_HAVHM,94,534,33.49,1255.1599999999999,0.22102692713833158,0.538397196401992
23,Hepatitis_A_virus,DRB1_1101,P08617|POLG_HAVHM,142,690,71.53000000000002,1750.42,0.47208289334741294,0.7508375191417628
24,Hepatitis_A_virus,DRB1_1102,P08617|POLG_HAVHM,44,597,14.3,1278.7099999999998,0.09437697993664203,0.5484988997507817
25,Hepatitis_A_virus,DRB1_1104,P08617|POLG_HAVHM,143,622,69.92999999999999,1622.8999999999996,0.4615232312565997,0.696138189586023
26,Hepatitis_A_virus,DRB1_1202,P08617|POLG_HAVHM,132,692,55.620000000000005,1735.04,0.36708025343189016,0.7442403133029353
27,Hepatitis_A_virus,DRB1_1301,P08617|POLG_HAVHM,44,597,14.3,1278.7099999999998,0.09437697993664203,0.5484988997507817
28,Hepatitis_A_virus,DRB1_1302,P08617|POLG_HAVHM,67,639,30.589999999999996,1290.6999999999998,0.2018875395987328,0.5536419750438598
29,Hepatitis_A_virus,DRB1_1401,P08617|POLG_HAVHM,80,627,46.7,1431.46,0.3082101372756072,0.614020563722231
30,Hepatitis_A_virus,DRB1_1404,P08617|POLG_HAVHM,83,667,42.739999999999995,1479.8500000000001,0.2820749736008447,0.6347773121319099
31,Hepatitis_A_virus,DRB1_1501,P08617|POLG_HAVHM,76,630,28.470000000000006,1385.7,0.1878959873284055,0.5943919460899331
32,Hepatitis_A_virus,DRB1_1502,P08617|POLG_HAVHM,62,700,22.950000000000003,1483.23,0.15146515311510034,0.6362271532070227
33,Hepatitis_A_virus,DRB1_1503,P08617|POLG_HAVHM,99,567,36.21,1373.46,0.23897835269271384,0.5891416340309442
34,Hepatitis_A_virus,DRB1_1601,P08617|POLG_HAVHM,74,595,36.9,1271.6299999999997,0.24353220696937694,0.5454619545401901
35,Hepatitis_A_virus,HLA-DPA10103-DPB10101,P08617|POLG_HAVHM,94,669,34.059999999999995,1498.7499999999998,0.2247888067581837,0.6428844116347601
36,Hepatitis_A_virus,HLA-DPA10201-DPB10101,P08617|POLG_HAVHM,221,861,102.80000000000001,2331.29,0.6784582893347413,1.0
37,Hepatitis_A_virus,HLA-DPA10202-DPB10101,P08617|POLG_HAVHM,243,795,131.26999999999998,2275.19,0.8663542766631466,0.9759360697296348
38,Hepatitis_A_virus,HLA-DPA10301-DPB10101,P08617|POLG_HAVHM,106,613,40.989999999999995,1484.7400000000002,0.2705253431890179,0.6368748632731236
39,Hepatitis_A_virus,HLA-DPA10401-DPB10101,P08617|POLG_HAVHM,90,653,30.730000000000004,1469.7699999999998,0.202811510031679,0.6304535257303895
40,Hepatitis_A_virus,HLA-DPA10103-DPB10201,P08617|POLG_HAVHM,91,660,41.14,1461.42,0.27151531151003166,0.6268718177489716
41,Hepatitis_A_virus,HLA-DPA10201-DPB10201,P08617|POLG_HAVHM,103,623,43.63,1430.74,0.28794878563885956,0.6137117218364082
42,Hepatitis_A_virus,HLA-DPA10202-DPB10201,P08617|POLG_HAVHM,78,592,37.48,1326.74,0.24736008447729668,0.5691012272175491
43,Hepatitis_A_virus,HLA-DPA10301-DPB10201,P08617|POLG_HAVHM,79,585,37.48,1292.81,0.24736008447729668,0.5545470533481462
44,Hepatitis_A_virus,HLA-DPA10401-DPB10201,P08617|POLG_HAVHM,91,631,41.489999999999995,1391.9499999999998,0.27382523759239696,0.597072865237701
45,Hepatitis_A_virus,HLA-DPA10103-DPB10301,P08617|POLG_HAVHM,28,452,10.350000000000001,864.04,0.0683078141499472,0.3706274208699904
46,Hepatitis_A_virus,HLA-DPA10201-DPB10301,P08617|POLG_HAVHM,89,493,42.220000000000006,1172.9699999999998,0.27864308342133054,0.503142037241184
47,Hepatitis_A_virus,HLA-DPA10202-DPB10301,P08617|POLG_HAVHM,95,536,45.35,1289.6200000000001,0.29930042238648363,0.5531787122151256
48,Hepatitis_A_virus,HLA-DPA10301-DPB10301,P08617|POLG_HAVHM,30,397,13.760000000000002,816.2599999999998,0.09081309398099262,0.35013233016913375
49,Hepatitis_A_virus,HLA-DPA10401-DPB10301,P08617|POLG_HAVHM,22,427,9.939999999999998,789.71,0.06560190073917632,0.3387437856294155
50,Hepatitis_A_virus,HLA-DPA10103-DPB10401,P08617|POLG_HAVHM,87,623,38.3,1384.07,0.2527719112988384,0.5936927623761952
51,Hepatitis_A_virus,HLA-DPA10201-DPB10401,P08617|POLG_HAVHM,134,713,58.18000000000001,1781.5700000000002,0.38397571277719117,0.7641992201742384
52,Hepatitis_A_virus,HLA-DPA10202-DPB10401,P08617|POLG_HAVHM,131,664,63.03,1637.85,0.4159846884899683,0.7025509481874842
53,Hepatitis_A_virus,HLA-DPA10301-DPB10401,P08617|POLG_HAVHM,81,546,37.10999999999999,1233.27,0.24491816261879612,0.5290075451788495
54,Hepatitis_A_virus,HLA-DPA10401-DPB10401,P08617|POLG_HAVHM,89,609,39.209999999999994,1392.62,0.2587777191129883,0.5973602597703417
55,Hepatitis_A_virus,HLA-DPA10103-DPB10402,P08617|POLG_HAVHM,54,656,29.88,1291.4199999999998,0.1972016895459345,0.5539508169296826
56,Hepatitis_A_virus,HLA-DPA10201-DPB10402,P08617|POLG_HAVHM,104,690,42.97,1572.98,0.2835929250263991,0.6747251521689709
57,Hepatitis_A_virus,HLA-DPA10202-DPB10402,P08617|POLG_HAVHM,88,633,41.53,1429.9199999999998,0.2740892291446674,0.613359985244221
58,Hepatitis_A_virus,HLA-DPA10301-DPB10402,P08617|POLG_HAVHM,86,542,37.71999999999999,1221.43,0.24894403379091862,0.5239288119453178
59,Hepatitis_A_virus,HLA-DPA10401-DPB10402,P08617|POLG_HAVHM,63,642,31.17,1340.9699999999998,0.2057154171066526,0.5752051439331871
60,Hepatitis_A_virus,HLA-DPA10103-DPB10501,P08617|POLG_HAVHM,153,721,63.480000000000004,1852.0,0.4189545934530095,0.7944099618666061
61,Hepatitis_A_virus,HLA-DPA10201-DPB10501,P08617|POLG_HAVHM,176,802,93.13999999999999,2063.7999999999997,0.6147043294614571,0.885260949946167
62,Hepatitis_A_virus,HLA-DPA10202-DPB10501,P08617|POLG_HAVHM,78,658,32.71999999999999,1435.6299999999999,0.2159450897571277,0.6158092729776218
63,Hepatitis_A_virus,HLA-DPA10301-DPB10501,P08617|POLG_HAVHM,115,610,54.129999999999995,1477.99,0.3572465681098204,0.6339794705935341
64,Hepatitis_A_virus,HLA-DPA10401-DPB10501,P08617|POLG_HAVHM,134,683,55.640000000000015,1733.25,0.3672122492080254,0.7434724980590145
65,Hepatitis_A_virus,HLA-DPA10103-DPB10601,P08617|POLG_HAVHM,26,370,6.579999999999998,720.21,0.043426610348468835,0.30893196470623563
66,Hepatitis_A_virus,HLA-DPA10201-DPB10601,P08617|POLG_HAVHM,42,388,17.24,795.1300000000001,0.11378035902851107,0.3410686787143599
67,Hepatitis_A_virus,HLA-DPA10202-DPB10601,P08617|POLG_HAVHM,56,498,23.4,1086.02,0.15443505807814148,0.465845090057436
68,Hepatitis_A_virus,HLA-DPA10301-DPB10601,P08617|POLG_HAVHM,20,334,6.51,696.16,0.042964625131995775,0.2986157878256244
69,Hepatitis_A_virus,HLA-DPA10401-DPB10601,P08617|POLG_HAVHM,19,358,4.109999999999999,694.06,0.02712513199577613,0.2977149989919744
70,Hepatitis_A_virus,HLA-DPA10103-DPB10901,P08617|POLG_HAVHM,94,354,46.09,915.6099999999999,0.3041842661034847,0.3927482209420535
71,Hepatitis_A_virus,HLA-DPA10201-DPB10901,P08617|POLG_HAVHM,85,655,41.23,1559.4599999999998,0.2721092925026399,0.6689257878685191
72,Hepatitis_A_virus,HLA-DPA10202-DPB10901,P08617|POLG_HAVHM,92,680,40.91000000000001,1630.69,0.26999736008447733,0.6994796872118012
73,Hepatitis_A_virus,HLA-DPA10301-DPB10901,P08617|POLG_HAVHM,78,344,36.77,853.7,0.24267423442449843,0.3661921082319231
74,Hepatitis_A_virus,HLA-DPA10401-DPB10901,P08617|POLG_HAVHM,82,337,43.09,882.4399999999999,0.2843848996832101,0.3785200468410193
75,Hepatitis_A_virus,HLA-DPA10103-DPB11001,P08617|POLG_HAVHM,94,354,46.09,915.6099999999999,0.3041842661034847,0.3927482209420535
76,Hepatitis_A_virus,HLA-DPA10201-DPB11001,P08617|POLG_HAVHM,85,655,41.23,1559.4599999999998,0.2721092925026399,0.6689257878685191
77,Hepatitis_A_virus,HLA-DPA10202-DPB11001,P08617|POLG_HAVHM,92,680,40.91000000000001,1630.69,0.26999736008447733,0.6994796872118012
78,Hepatitis_A_virus,HLA-DPA10301-DPB11001,P08617|POLG_HAVHM,78,344,36.77,853.7,0.24267423442449843,0.3661921082319231
79,Hepatitis_A_virus,HLA-DPA10401-DPB11001,P08617|POLG_HAVHM,82,337,43.09,882.4399999999999,0.2843848996832101,0.3785200468410193
80,Hepatitis_A_virus,HLA-DPA10103-DPB110501,P08617|POLG_HAVHM,54,656,29.88,1291.4199999999998,0.1972016895459345,0.5539508169296826
81,Hepatitis_A_virus,HLA-DPA10201-DPB110501,P08617|POLG_HAVHM,104,690,42.97,1572.98,0.2835929250263991,0.6747251521689709
82,Hepatitis_A_virus,HLA-DPA10202-DPB110501,P08617|POLG_HAVHM,88,633,41.53,1429.9199999999998,0.2740892291446674,0.613359985244221
83,Hepatitis_A_virus,HLA-DPA10301-DPB110501,P08617|POLG_HAVHM,86,542,37.71999999999999,1221.43,0.24894403379091862,0.5239288119453178
84,Hepatitis_A_virus,HLA-DPA10401-DPB110501,P08617|POLG_HAVHM,63,642,31.17,1340.9699999999998,0.2057154171066526,0.5752051439331871
85,Hepatitis_A_virus,HLA-DPA10103-DPB11101,P08617|POLG_HAVHM,52,464,20.49,997.3900000000001,0.13522967265047517,0.427827511806768
86,Hepatitis_A_virus,HLA-DPA10201-DPB11101,P08617|POLG_HAVHM,127,693,70.15,1702.87,0.4629751847940866,0.7304410862655439
