,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,HHV-1,HLA-A02:07,O09800|GN_HHV11,1,3,0.13,3.208,0.18465909090909094,0.2961595273264402
1,HHV-1,HLA-A02:07,O09802|US8A_HHV11,1,10,0.428,8.314,0.06369047619047619,0.11371905348105595
2,HHV-1,HLA-A02:07,P03170|ICP47_HHV11,3,11,0.879,13.897,0.47539210383991354,0.7537969190713821
3,HHV-1,HLA-A02:07,P04288|GM_HHV11,6,32,0.9159999999999999,27.826999999999998,0.19143155694879832,0.40331323554988685
4,HHV-1,HLA-A02:07,P04289|CEP3_HHV11,2,4,0.737,6.444,0.4700255102040816,0.40317837702558973
5,HHV-1,HLA-A02:07,P04290|UL13_HHV11,13,54,3.7209999999999996,52.6,0.451030303030303,0.48162764506056976
6,HHV-1,HLA-A02:07,P04291|TEG3_HHV11,5,14,1.129,14.802,0.27172081829121536,0.2965441250125213
7,HHV-1,HLA-A02:07,P04293|DPOL_HHV11,22,131,5.484999999999999,116.81799999999998,0.4307027875932469,0.6973168183853155
8,HHV-1,HLA-A02:07,P04294-2|AN_HHV11,14,46,2.689,48.535,0.2960475613783992,0.4192834990540529
9,HHV-1,HLA-A02:07,P04294|AN_HHV11,16,53,3.093,55.099999999999994,0.22301535799264546,0.3178302175204628
10,HHV-1,HLA-A02:07,P04295|TRM3_HHV11,27,85,7.294,89.24199999999999,0.708361658735554,0.8000609624901382
11,HHV-1,HLA-A02:07,P04296|DNBI_HHV11,26,94,7.009999999999999,93.29,0.6494950430834799,0.613406976361903
12,HHV-1,HLA-A02:07,P04413|US03_HHV11,18,33,4.784,45.254,0.6675969857661178,0.5643698946186942
13,HHV-1,HLA-A02:07,P04485-2|ICP22_HHV11,0,8,0.0,4.931000000000001,0.0,0.08644810659186536
14,HHV-1,HLA-A02:07,P04485|ICP22_HHV11,0,10,0.0,7.303000000000001,0.0,0.06767614052320896
15,HHV-1,HLA-A02:07,P04487|RNB_HHV11,0,1,0.0,0.3939999999999999,0.0,0.004170945237817981
16,HHV-1,HLA-A02:07,P04488|GE_HHV11,5,36,1.2429999999999999,31.192,0.13669855933135378,0.22508948158411266
17,HHV-1,HLA-A02:07,P06477|GH_HHV11,22,97,6.096,97.706,0.5226785561176369,0.6714589074515679
18,HHV-1,HLA-A02:07,P06480|GJ_HHV11,0,5,0.0,3.833,0.0,0.1346376760687063
19,HHV-1,HLA-A02:07,P06481|US9_HHV11,0,4,0.0,1.3980000000000006,0.0,0.06541881141787556
20,HHV-1,HLA-A02:07,P06484|GG_HHV11,6,28,1.771,31.685,0.3176111908177905,0.41316225273507284
21,HHV-1,HLA-A02:07,P06485|US02_HHV11,5,18,0.9649999999999999,18.333,0.14394391408114557,0.21397808046500227
22,HHV-1,HLA-A02:07,P06486|US10_HHV11,0,16,0.0,8.100000000000001,0.0,0.12296948534993173
23,HHV-1,HLA-A02:07,P06487|GI_HHV11,6,29,1.45,25.999000000000002,0.12161368783024408,0.16567787159471084
24,HHV-1,HLA-A02:07,P06491|MCP_HHV11,30,128,7.247,130.906,0.42724914514797785,0.6376109923188202
25,HHV-1,HLA-A02:07,P06492|VP16_HHV11,12,45,2.8669999999999995,42.983999999999995,0.2917769183798086,0.4609148812970469
26,HHV-1,HLA-A02:07,P08392|ICP4_HHV11,9,60,2.433,44.17999999999999,0.0919466384490382,0.12015262483716298
27,HHV-1,HLA-A02:07,P08393|ICP0_HHV11,12,31,2.3369999999999997,35.048,0.1293017594334403,0.15281780723364363
28,HHV-1,HLA-A02:07,P08543|RIR1_HHV11,14,83,4.183,78.452,0.3953686200378072,0.512912378885155
29,HHV-1,HLA-A02:07,P0DTH5|KITH_HHV11,10,53,2.871,48.59600000000001,0.4544159544159544,0.6328593009324374
30,HHV-1,HLA-A02:07,P10185|GL_HHV11,1,14,0.05199999999999999,13.394,0.012645914396887156,0.4030937763332129
31,HHV-1,HLA-A02:07,P10186|UNG_HHV11,3,20,0.724,18.497,0.13085125609976503,0.21057125293139953
32,HHV-1,HLA-A02:07,P10187|NP03_HHV11,7,14,1.2649999999999997,17.874000000000002,0.402097902097902,0.3911416504365714
33,HHV-1,HLA-A02:07,P10188|NP04_HHV11,5,21,1.485,24.27,0.46175373134328357,0.5833994375135213
34,HHV-1,HLA-A02:07,P10189|HELI_HHV11,24,78,4.668,79.311,0.4413767019667171,0.5597304068598046
35,HHV-1,HLA-A02:07,P10190|PORTL_HHV11,23,69,5.042999999999999,71.86700000000002,0.6335427135678391,0.725680069471091
36,HHV-1,HLA-A02:07,P10191|CEP1_HHV11,7,30,1.4300000000000002,29.031,0.2737366003062787,0.49899448254524825
37,HHV-1,HLA-A02:07,P10192|HEPA_HHV11,17,54,4.215,53.96500000000002,0.37081024016890995,0.33459404160337297
38,HHV-1,HLA-A02:07,P10193|OBP_HHV11,27,95,6.43,97.683,0.5650263620386643,0.7184950902872276
39,HHV-1,HLA-A02:07,P10200|CEP2_HHV11,10,35,1.7850000000000001,35.891,0.29387553506750086,0.5468688099954289
40,HHV-1,HLA-A02:07,P10201|CVC1_HHV11,10,50,2.4590000000000005,49.745000000000005,0.2326835730507192,0.3263443787680984
41,HHV-1,HLA-A02:07,P10202|TRX2_HHV11,12,50,3.586,46.749,0.550253183980359,0.7117258388648682
42,HHV-1,HLA-A02:07,P10204|UL20_HHV11,5,24,1.282,27.148,0.3817748659916617,0.5101760847913104
43,HHV-1,HLA-A02:07,P10205|TEG4_HHV11,18,63,5.364,66.192,0.6554252199413491,0.6922835568013053
44,HHV-1,HLA-A02:07,P10208|UL24_HHV11,2,13,0.498,13.796000000000001,0.10018105009052504,0.2321191217296206
45,HHV-1,HLA-A02:07,P10209|CVC2_HHV11,9,41,2.29,39.074,0.34644478063540096,0.488492167673055
46,HHV-1,HLA-A02:07,P10210-2|SCAF_HHV11,3,13,0.552,9.445,0.04177387619191767,0.059034939683730234
47,HHV-1,HLA-A02:07,P10210|SCAF_HHV11,14,43,2.606,40.782999999999994,0.15260291620308017,0.18623905161154797
48,HHV-1,HLA-A02:07,P10211|GB_HHV11,14,51,2.83,48.086999999999996,0.24396551724137933,0.35874576625236865
49,HHV-1,HLA-A02:07,P10212|TRM1_HHV11,17,66,4.339,65.37,0.4652584173279006,0.5850397365218014
50,HHV-1,HLA-A02:07,P10215|NEC1_HHV11,4,28,0.41200000000000014,26.005,0.10419828022255946,0.527260193426735
51,HHV-1,HLA-A02:07,P10216|UL32_HHV11,12,50,3.2460000000000004,49.793,0.4349457322792443,0.5786922969643438
52,HHV-1,HLA-A02:07,P10217|TRM2_HHV11,2,11,0.664,9.86,0.22615803814713897,0.33359271915282335
53,HHV-1,HLA-A02:07,P10218|NEC2_HHV11,0,14,0.0,10.354000000000003,0.0,0.1990273532860466
54,HHV-1,HLA-A02:07,P10219|SCP_HHV11,0,2,0.0,1.093,0.0,0.03193105463044113
55,HHV-1,HLA-A02:07,P10220|LTP_HHV11,63,270,16.143,256.98699999999997,0.24885538546917635,0.31704010205013183
56,HHV-1,HLA-A02:07,P10221|ITP_HHV11,38,142,11.019000000000002,140.296,0.6724232623421006,0.6367713004484304
57,HHV-1,HLA-A02:07,P10224|RIR2_HHV11,8,32,1.971,34.52799999999999,0.3285,0.6359684668091061
58,HHV-1,HLA-A02:07,P10225|SHUT_HHV11,10,35,2.27,37.171,0.3122850460861191,0.46737162400040244
59,HHV-1,HLA-A02:07,P10226|PAP_HHV11,7,37,1.2070000000000003,36.492,0.17915986344070065,0.4519412966747167
60,HHV-1,HLA-A02:07,P10227|MB43_HHV11,13,49,2.8810000000000002,46.1,0.6362632508833922,0.6744893778896236
61,HHV-1,HLA-A02:07,P10228-2|GC_HHV11,7,36,1.2650000000000001,34.141000000000005,0.16299445947687155,0.2901098714342768
62,HHV-1,HLA-A02:07,P10228|GC_HHV11,8,40,1.2959999999999998,39.415,0.16698879010436796,0.33204161577018654
63,HHV-1,HLA-A02:07,P10229|EV45_HHV11,1,7,0.007000000000000006,5.24,0.0014625992478061027,0.09772290706999123
64,HHV-1,HLA-A02:07,P10230|TEG1_HHV11,9,49,2.119,47.190999999999995,0.1625623321825854,0.32634643578324246
65,HHV-1,HLA-A02:07,P10231|TEG5_HHV11,14,65,2.458,63.705,0.26498490728762397,0.43100707012617984
66,HHV-1,HLA-A02:07,P10233|VP22_HHV11,3,12,0.737,12.426000000000002,0.12979922507925326,0.16152766222961734
67,HHV-1,HLA-A02:07,P10234|DUT_HHV11,5,31,0.893,26.745999999999995,0.14833887043189367,0.41536215678966326
68,HHV-1,HLA-A02:07,P10235|TEG7_HHV11,8,23,2.2649999999999997,27.137,0.43499135778759357,0.3721373522393791
69,HHV-1,HLA-A02:07,P10236|PRIM_HHV11,11,79,1.613,65.948,0.09863030451265746,0.31975408007912876
70,HHV-1,HLA-A02:07,P10238|ICP27_HHV11,8,23,1.935,28.819000000000003,0.2255507634922485,0.2656520777257476
71,HHV-1,HLA-A02:07,P10239|TEG6_HHV11,4,13,0.948,13.297,0.3079922027290448,0.4279415550978373
72,HHV-1,HLA-A02:07,P10240|UL56_HHV11,5,18,0.8260000000000001,16.072,0.26474358974358975,0.3879782739891369
73,HHV-1,HLA-A02:07,P32888|TRX1_HHV11,6,31,1.4250000000000003,29.546999999999997,0.15630141493912475,0.28029217853246685
74,HHV-1,HLA-A02:07,P36313|ICP34_HHV11,4,9,0.41999999999999993,10.766000000000002,0.04547915538711424,0.09202024000820543
75,HHV-1,HLA-A02:07,P68331|GK_HHV11,7,31,1.5979999999999999,27.603,0.34573777585460835,0.5136110749306887
76,HHV-1,HLA-A02:07,Q69091|GD_HHV11,12,33,2.892,37.765,0.49452804377564974,0.46446844098981654
77,HHV-1,HLA-A02:03,O09800|GN_HHV11,0,5,0.0,3.982,0.0,0.36761447562776955
78,HHV-1,HLA-A02:03,O09802|US8A_HHV11,2,13,0.127,9.655000000000001,0.018898809523809526,0.1320612775270141
79,HHV-1,HLA-A02:03,P03170|ICP47_HHV11,1,4,0.259,4.146,0.14007571660356952,0.22488609242785854
80,HHV-1,HLA-A02:03,P04288|GM_HHV11,13,53,2.2120000000000006,52.529,0.4622779519331245,0.7613339903762536
81,HHV-1,HLA-A02:03,P04289|CEP3_HHV11,1,4,0.22699999999999998,3.2110000000000003,0.14477040816326528,0.20090095726709634
