,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Kemerovo_virus,DRB1_1402,M4MBJ1|M4MBJ1_9REOV,14,110,4.949999999999999,243.70000000000005,0.07569964826426058,0.24296381962653166
1,Kemerovo_virus,DRB1_1402,M4MBJ4|M4MBJ4_9REOV,0,14,0.0,13.21,0.0,0.027481328923006514
2,Kemerovo_virus,DRB1_1402,M4MBL5|M4MBL5_9REOV,51,365,20.9,839.51,0.17426832318852664,0.4768236369935761
3,Kemerovo_virus,DRB1_1402,M4MBL8|M4MBL8_9REOV,23,133,14.540000000000001,280.75999999999993,0.20361293936423472,0.22975074057707726
4,Kemerovo_virus,DRB1_1402,M4MDF2|M4MDF2_9REOV,30,115,16.0,301.66,0.13738622703074016,0.2833233150499662
5,Kemerovo_virus,DRB1_1402,M4MDF6|M4MDF6_9REOV,6,95,0.8800000000000008,200.12999999999994,0.01733990147783253,0.26632510479739163
6,Kemerovo_virus,DRB1_1402,M4MF09|M4MF09_9REOV,8,121,3.4000000000000004,237.59000000000003,0.06386175807663412,0.41304914726795433
7,Kemerovo_virus,DRB1_1402,M4MF13|M4MF13_9REOV,34,131,14.079999999999998,341.84999999999997,0.270042194092827,0.5950184501845018
8,Kemerovo_virus,DRB1_1402,M4MJR0|M4MJR0_9REOV,106,422,49.78999999999999,1038.98,0.39522146372440065,0.6421146311014425
9,Kemerovo_virus,DRB1_1402,M4MJR4|M4MJR4_9REOV,54,132,27.26,421.96999999999997,0.48914408756504574,0.6630369881524779
10,Kemerovo_virus,DRB1_1406,M4MBJ1|M4MBJ1_9REOV,0,59,0.0,85.58000000000001,0.0,0.08532147592793836
11,Kemerovo_virus,DRB1_1406,M4MBJ4|M4MBJ4_9REOV,0,23,0.0,40.019999999999996,0.0,0.08325532047681457
12,Kemerovo_virus,DRB1_1406,M4MBL5|M4MBL5_9REOV,34,276,10.029999999999998,594.69,0.08363211873592928,0.3377711387401101
13,Kemerovo_virus,DRB1_1406,M4MBL8|M4MBL8_9REOV,39,242,13.689999999999998,610.5899999999999,0.19170984455958548,0.49965630677075656
14,Kemerovo_virus,DRB1_1406,M4MDF2|M4MDF2_9REOV,22,102,13.07,229.8,0.11222737420573586,0.21583139229093096
15,Kemerovo_virus,DRB1_1406,M4MDF6|M4MDF6_9REOV,7,44,2.04,98.76999999999998,0.04019704433497537,0.13143921751280854
16,Kemerovo_virus,DRB1_1406,M4MF09|M4MF09_9REOV,1,106,0.18999999999999995,195.53999999999996,0.0035687453042824936,0.3399454112411119
17,Kemerovo_virus,DRB1_1406,M4MF13|M4MF13_9REOV,19,126,5.579999999999998,319.05,0.10701956271576521,0.5553331476710994
18,Kemerovo_virus,DRB1_1406,M4MJR0|M4MJR0_9REOV,53,333,26.500000000000007,792.3200000000002,0.21035084934116532,0.48967281806607926
19,Kemerovo_virus,DRB1_1406,M4MJR4|M4MJR4_9REOV,6,60,1.37,140.99,0.024582809976673246,0.2215360925175199
20,Kemerovo_virus,DRB1_1405,M4MBJ1|M4MBJ1_9REOV,25,78,7.32,226.23000000000002,0.11194372228169445,0.22554659382072323
