,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,SARS-CoV-2,DRB1_1402,A0A663DJA2|ORF10_SARS2,0,0,0.0,0.0,0.0,0.0
1,SARS-CoV-2,DRB1_1402,P0DTC2|SPIKE_SARS2,43,328,16.450000000000003,680.1899999999999,0.13145277289435833,0.33683277457821
2,SARS-CoV-2,DRB1_1402,P0DTC3|AP3A_SARS2,2,40,0.08999999999999986,79.34,0.002654084340902384,0.16055203674848736
3,SARS-CoV-2,DRB1_1402,P0DTC4|VEMP_SARS2,0,16,0.0,31.89,0.0,0.23725913250502195
4,SARS-CoV-2,DRB1_1402,P0DTC5|VME1_SARS2,0,56,0.0,87.78000000000003,0.0,0.21424910302409025
5,SARS-CoV-2,DRB1_1402,P0DTC6|NS6_SARS2,3,31,0.5899999999999999,73.67,0.03949129852744309,0.3634973108994918
6,SARS-CoV-2,DRB1_1402,P0DTC7|NS7A_SARS2,0,6,0.0,4.079999999999998,0.0,0.01738537583091869
7,SARS-CoV-2,DRB1_1402,P0DTC8|NS8_SARS2,0,6,0.0,7.789999999999999,0.0,0.036488828516558144
8,SARS-CoV-2,DRB1_1402,P0DTC9|NCAP_SARS2,19,105,6.549999999999999,281.92999999999995,0.17300581088219755,0.5930000210335906
9,SARS-CoV-2,DRB1_1402,P0DTD1|R1AB_SARS2,432,1912,229.42000000000002,4797.96,0.5819593120592563,0.5753046214205034
10,SARS-CoV-2,DRB1_1402,P0DTD2|ORF9B_SARS2,0,5,0.0,8.77,0.0,0.030360728380530357
11,SARS-CoV-2,DRB1_1402,P0DTD3|ORF9C_SARS2,0,0,0.0,0.0,0.0,0.0
12,SARS-CoV-2,DRB1_1402,P0DTD8|NS7B_SARS2,0,0,0.0,0.0,,
13,SARS-CoV-2,DRB1_1402,P0DTF1|ORF3B_SARS2,0,0,0.0,0.0,,
14,SARS-CoV-2,DRB1_1402,P0DTG0|ORF3D_SARS2,0,0,0.0,0.0,0.0,0.0
15,SARS-CoV-2,DRB1_1402,P0DTG1|ORF3C_SARS2,1,20,0.08999999999999997,39.379999999999995,0.008159564823209427,0.2611405835543766
16,SARS-CoV-2,DRB1_1406,A0A663DJA2|ORF10_SARS2,0,0,0.0,0.0,0.0,0.0
17,SARS-CoV-2,DRB1_1406,P0DTC2|SPIKE_SARS2,18,281,3.6900000000000013,546.04,0.029486974588460932,0.2704011647196898
18,SARS-CoV-2,DRB1_1406,P0DTC3|AP3A_SARS2,0,25,0.0,41.64,0.0,0.08426250075884817
19,SARS-CoV-2,DRB1_1406,P0DTC4|VEMP_SARS2,0,0,0.0,0.0,0.0,0.0
20,SARS-CoV-2,DRB1_1406,P0DTC5|VME1_SARS2,0,47,0.0,77.60000000000002,0.0,0.18940226013521763
21,SARS-CoV-2,DRB1_1406,P0DTC6|NS6_SARS2,18,47,6.539999999999999,148.95999999999998,0.43775100401606415,0.7349879113830363
22,SARS-CoV-2,DRB1_1406,P0DTC7|NS7A_SARS2,0,3,0.0,1.2199999999999989,0.0,0.00519856826316686
23,SARS-CoV-2,DRB1_1406,P0DTC8|NS8_SARS2,0,13,0.0,18.089999999999996,0.0,0.0847346479928802
24,SARS-CoV-2,DRB1_1406,P0DTC9|NCAP_SARS2,16,73,7.529999999999999,193.88,0.19889064976228207,0.40779925541089124
25,SARS-CoV-2,DRB1_1406,P0DTD1|R1AB_SARS2,216,1477,109.47,3354.1899999999996,0.2776875856120948,0.40218780650994135
26,SARS-CoV-2,DRB1_1406,P0DTD2|ORF9B_SARS2,0,24,0.0,36.14,0.0,0.1251125112511251
27,SARS-CoV-2,DRB1_1406,P0DTD3|ORF9C_SARS2,0,0,0.0,0.0,0.0,0.0
28,SARS-CoV-2,DRB1_1406,P0DTD8|NS7B_SARS2,0,0,0.0,0.0,,
29,SARS-CoV-2,DRB1_1406,P0DTF1|ORF3B_SARS2,0,0,0.0,0.0,,
30,SARS-CoV-2,DRB1_1406,P0DTG0|ORF3D_SARS2,0,0,0.0,0.0,0.0,0.0
31,SARS-CoV-2,DRB1_1406,P0DTG1|ORF3C_SARS2,0,0,0.0,0.0,0.0,0.0
32,SARS-CoV-2,DRB1_1405,A0A663DJA2|ORF10_SARS2,0,0,0.0,0.0,0.0,0.0
33,SARS-CoV-2,DRB1_1405,P0DTC2|SPIKE_SARS2,26,401,5.900000000000002,814.97,0.0471471951414416,0.40357636292507065
34,SARS-CoV-2,DRB1_1405,P0DTC3|AP3A_SARS2,9,27,2.2799999999999994,87.06,0.06723680330286048,0.17617419106785115
35,SARS-CoV-2,DRB1_1405,P0DTC4|VEMP_SARS2,0,0,0.0,0.0,0.0,0.0
36,SARS-CoV-2,DRB1_1405,P0DTC5|VME1_SARS2,0,70,0.0,110.41,0.0,0.26948329306094554
37,SARS-CoV-2,DRB1_1405,P0DTC6|NS6_SARS2,7,43,2.25,115.40999999999998,0.1506024096385542,0.5694478709231755
38,SARS-CoV-2,DRB1_1405,P0DTC7|NS7A_SARS2,0,1,0.0,0.21999999999999975,0.0,0.000937446735980909
39,SARS-CoV-2,DRB1_1405,P0DTC8|NS8_SARS2,0,3,0.0,1.1600000000000001,0.0,0.0054335097662654
40,SARS-CoV-2,DRB1_1405,P0DTC9|NCAP_SARS2,5,63,1.0700000000000003,147.67,0.028262017960908617,0.3106030330437709
41,SARS-CoV-2,DRB1_1405,P0DTD1|R1AB_SARS2,267,1480,138.37,3502.0900000000006,0.35099690528131505,0.4199219171544846
42,SARS-CoV-2,DRB1_1405,P0DTD2|ORF9B_SARS2,0,18,0.0,23.72,0.0,0.08211590389808211
43,SARS-CoV-2,DRB1_1405,P0DTD3|ORF9C_SARS2,0,1,0.0,0.15000000000000036,0.0,0.0010665529010238934
44,SARS-CoV-2,DRB1_1405,P0DTD8|NS7B_SARS2,0,0,0.0,0.0,,
45,SARS-CoV-2,DRB1_1405,P0DTF1|ORF3B_SARS2,0,0,0.0,0.0,,
46,SARS-CoV-2,DRB1_1405,P0DTG0|ORF3D_SARS2,0,0,0.0,0.0,0.0,0.0
47,SARS-CoV-2,DRB1_1405,P0DTG1|ORF3C_SARS2,0,0,0.0,0.0,0.0,0.0
48,SARS-CoV-2,DRB1_1602,A0A663DJA2|ORF10_SARS2,0,2,0.0,1.9299999999999997,0.0,0.025989765688122807
49,SARS-CoV-2,DRB1_1602,P0DTC2|SPIKE_SARS2,42,380,15.68,725.25,0.12529966437589898,0.35914666455379646
50,SARS-CoV-2,DRB1_1602,P0DTC3|AP3A_SARS2,26,97,18.47,290.18,0.5446770864051901,0.5872068316571221
51,SARS-CoV-2,DRB1_1602,P0DTC4|VEMP_SARS2,2,44,0.22999999999999998,105.23000000000002,0.02057245080500894,0.7829030578081989
52,SARS-CoV-2,DRB1_1602,P0DTC5|VME1_SARS2,18,87,4.84,233.02000000000004,0.2433383609854198,0.5687437455761393
53,SARS-CoV-2,DRB1_1602,P0DTC6|NS6_SARS2,0,8,0.0,17.29,0.0,0.08531109685695958
54,SARS-CoV-2,DRB1_1602,P0DTC7|NS7A_SARS2,7,45,1.7000000000000002,116.47000000000001,0.09254218835057161,0.4962928242713482
