,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Yellow_fever_virus,DRB1_1402,P03314|POLG_YEFV1,120,686,54.34,1625.82,0.2929380053908356,0.5257690951954389
1,Yellow_fever_virus,DRB1_1406,P03314|POLG_YEFV1,177,801,88.03,2023.3000000000002,0.47455525606469,0.6543089704327243
2,Yellow_fever_virus,DRB1_1405,P03314|POLG_YEFV1,203,836,108.16,2101.7799999999997,0.5830727762803234,0.6796883842614001
3,Yellow_fever_virus,DRB1_1602,P03314|POLG_YEFV1,109,708,50.02,1640.75,0.26964959568733154,0.530597263498983
4,Yellow_fever_virus,DRB1_1201,P03314|POLG_YEFV1,134,881,70.61000000000001,2059.43,0.38064690026954184,0.6659929436950848
5,Yellow_fever_virus,DRB1_0411,P03314|POLG_YEFV1,139,777,55.21000000000001,1876.13,0.2976280323450135,0.6067161017634295
6,Yellow_fever_virus,DRB1_0405,P03314|POLG_YEFV1,164,820,82.56,2004.5299999999997,0.44506738544474395,0.6482389959479605
7,Yellow_fever_virus,DRB1_0406,P03314|POLG_YEFV1,175,783,91.85999999999999,1996.31,0.4952021563342317,0.6455807545912873
8,Yellow_fever_virus,HLA-DQA10301-DQB10401,P03314|POLG_YEFV1,304,1146,176.72,3092.27,0.9526684636118599,1.0
9,Yellow_fever_virus,HLA-DQA10303-DQB10401,P03314|POLG_YEFV1,304,1146,176.72,3092.27,0.9526684636118599,1.0
10,Yellow_fever_virus,DRB1_0101,P03314|POLG_YEFV1,188,880,88.14999999999999,2210.09,0.47520215633423174,0.7147144330863735
11,Yellow_fever_virus,DRB1_0102,P03314|POLG_YEFV1,214,1075,94.35,2764.89,0.5086253369272237,0.8941295553105
12,Yellow_fever_virus,DRB1_0301,P03314|POLG_YEFV1,203,939,122.59000000000002,2384.8500000000004,0.6608625336927225,0.7712295498129207
13,Yellow_fever_virus,DRB1_0302,P03314|POLG_YEFV1,193,812,99.17999999999999,2067.53,0.5346630727762803,0.668612378608595
14,Yellow_fever_virus,DRB1_0401,P03314|POLG_YEFV1,141,736,59.879999999999995,1828.8400000000001,0.3228032345013477,0.5914231292868993
15,Yellow_fever_virus,DRB1_0402,P03314|POLG_YEFV1,254,983,136.72,2746.5099999999998,0.7370350404312669,0.8881857017660165
16,Yellow_fever_virus,DRB1_0403,P03314|POLG_YEFV1,175,783,91.85999999999999,1996.31,0.4952021563342317,0.6455807545912873
17,Yellow_fever_virus,DRB1_0404,P03314|POLG_YEFV1,139,770,66.94,1838.33,0.36086253369272236,0.5944920721670488
18,Yellow_fever_virus,DRB1_0407,P03314|POLG_YEFV1,166,746,79.71,1865.4,0.4297035040431266,0.6032461589705944
19,Yellow_fever_virus,DRB1_0701,P03314|POLG_YEFV1,148,836,59.400000000000006,1947.15,0.3202156334231806,0.6296830483754653
20,Yellow_fever_virus,DRB1_0802,P03314|POLG_YEFV1,146,938,72.96,2202.04,0.3933153638814016,0.7121111675241812
21,Yellow_fever_virus,DRB1_0804,P03314|POLG_YEFV1,176,968,77.09,2474.13,0.4155795148247979,0.8001015435262768
