,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_rhinovirus_C,DRB1_1402,E5D8F2|POLG_HRV15,187,693,101.57000000000001,1834.4799999999998,0.6190273037542663,0.6908384297894135
1,Human_rhinovirus_C,DRB1_1406,E5D8F2|POLG_HRV15,76,565,29.199999999999996,1325.04,0.17796196977084347,0.49899075106197094
2,Human_rhinovirus_C,DRB1_1405,E5D8F2|POLG_HRV15,28,455,7.800000000000001,918.23,0.04753778644563628,0.3457920344650981
3,Human_rhinovirus_C,DRB1_1602,E5D8F2|POLG_HRV15,102,560,50.92000000000001,1307.8,0.31033642125792305,0.4924984183412166
4,Human_rhinovirus_C,DRB1_1201,E5D8F2|POLG_HRV15,125,535,58.760000000000005,1427.0,0.35811799122379334,0.5373874009580334
5,Human_rhinovirus_C,DRB1_0411,E5D8F2|POLG_HRV15,162,773,84.73,1978.21,0.5163944417357388,0.7449650528725937
6,Human_rhinovirus_C,DRB1_0405,E5D8F2|POLG_HRV15,206,789,115.36,2139.04,0.7030716723549488,0.805531286717079
7,Human_rhinovirus_C,DRB1_0406,E5D8F2|POLG_HRV15,240,779,133.02999999999997,2206.0299999999997,0.8107630424183324,0.8307587443135601
8,Human_rhinovirus_C,HLA-DQA10301-DQB10401,E5D8F2|POLG_HRV15,77,453,42.11,1058.3,0.2566431009263774,0.3985403548941042
9,Human_rhinovirus_C,HLA-DQA10303-DQB10401,E5D8F2|POLG_HRV15,77,453,42.11,1058.3,0.2566431009263774,0.3985403548941042
10,Human_rhinovirus_C,DRB1_0101,E5D8F2|POLG_HRV15,41,414,10.760000000000002,896.77,0.06557776694295467,0.33771051125237256
11,Human_rhinovirus_C,DRB1_0102,E5D8F2|POLG_HRV15,54,385,23.37,763.1700000000001,0.14243052169673331,0.28739869852077254
12,Human_rhinovirus_C,DRB1_0301,E5D8F2|POLG_HRV15,168,564,111.75999999999999,1524.9599999999998,0.6811311555338859,0.5742777091555449
13,Human_rhinovirus_C,DRB1_0302,E5D8F2|POLG_HRV15,145,666,73.19999999999999,1690.08,0.44612384202827887,0.636459494471726
14,Human_rhinovirus_C,DRB1_0401,E5D8F2|POLG_HRV15,268,951,164.07999999999998,2655.4399999999996,1.0,1.0
15,Human_rhinovirus_C,DRB1_0402,E5D8F2|POLG_HRV15,180,824,82.8,2254.44,0.5046318868844466,0.8489892447202725
16,Human_rhinovirus_C,DRB1_0403,E5D8F2|POLG_HRV15,240,779,133.02999999999997,2206.0299999999997,0.8107630424183324,0.8307587443135601
17,Human_rhinovirus_C,DRB1_0404,E5D8F2|POLG_HRV15,205,786,127.11000000000001,2050.92,0.7746830814236959,0.7723465790980028
18,Human_rhinovirus_C,DRB1_0407,E5D8F2|POLG_HRV15,273,901,163.31,2590.9,0.995307167235495,0.9756951766938814
19,Human_rhinovirus_C,DRB1_0701,E5D8F2|POLG_HRV15,97,607,36.7,1478.67,0.22367137981472457,0.5568455698490646
20,Human_rhinovirus_C,DRB1_0802,E5D8F2|POLG_HRV15,145,712,79.69,1787.77,0.48567771818625066,0.6732481246045854
21,Human_rhinovirus_C,DRB1_0804,E5D8F2|POLG_HRV15,49,619,14.180000000000007,1309.46,0.08642125792296446,0.49312355014611525
22,Human_rhinovirus_C,DRB1_1001,E5D8F2|POLG_HRV15,127,670,55.920000000000016,1663.2899999999997,0.3408093612871771,0.6263707709456813
23,Human_rhinovirus_C,DRB1_1101,E5D8F2|POLG_HRV15,140,633,61.16000000000001,1635.32,0.3727450024378353,0.6158376766185643
24,Human_rhinovirus_C,DRB1_1102,E5D8F2|POLG_HRV15,134,520,71.16999999999999,1318.51,0.4337518283764017,0.49653164823908663
25,Human_rhinovirus_C,DRB1_1104,E5D8F2|POLG_HRV15,24,585,9.620000000000001,1140.58,0.05862993661628475,0.42952580363329623
26,Human_rhinovirus_C,DRB1_1202,E5D8F2|POLG_HRV15,102,538,44.74999999999999,1373.9299999999998,0.27273281326182347,0.5174020124725093
27,Human_rhinovirus_C,DRB1_1301,E5D8F2|POLG_HRV15,134,520,71.16999999999999,1318.51,0.4337518283764017,0.49653164823908663
28,Human_rhinovirus_C,DRB1_1302,E5D8F2|POLG_HRV15,130,685,50.61999999999999,1734.3899999999999,0.3085080448561677,0.6531459946374236
29,Human_rhinovirus_C,DRB1_1401,E5D8F2|POLG_HRV15,43,387,11.719999999999999,848.1299999999999,0.07142857142857142,0.31939339619799356
30,Human_rhinovirus_C,DRB1_1404,E5D8F2|POLG_HRV15,56,412,29.35,985.71,0.17887615797172113,0.3712040189196518
31,Human_rhinovirus_C,DRB1_1501,E5D8F2|POLG_HRV15,241,838,124.53999999999999,2335.48,0.7590199902486592,0.8795077275329137
