,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,HHV-1,DRB1_1402,O09800|GN_HHV11,0,0,0.0,0.0,0.0,0.0
1,HHV-1,DRB1_1402,O09802|US8A_HHV11,27,58,12.26,196.57,0.28458681522748375,0.4462631674536868
2,HHV-1,DRB1_1402,P03170|ICP47_HHV11,2,21,0.25,54.339999999999996,0.008849557522123894,0.13246873552570632
3,HHV-1,DRB1_1402,P04288|GM_HHV11,6,42,1.4499999999999993,95.0,0.031358131487889254,0.16519440773457605
4,HHV-1,DRB1_1402,P04289|CEP3_HHV11,7,22,2.5500000000000007,70.97,0.056868867082961655,0.1651463675710895
5,HHV-1,DRB1_1402,P04290|UL13_HHV11,36,132,24.67,362.40999999999997,0.38283674736188705,0.45836389851516446
6,HHV-1,DRB1_1402,P04291|TEG3_HHV11,5,95,0.8300000000000001,200.93,0.027731373204143,0.36920730586895006
7,HHV-1,DRB1_1402,P04293|DPOL_HHV11,69,337,32.209999999999994,864.3499999999999,0.31018875192604,0.49309996634129916
8,HHV-1,DRB1_1402,P04294-2|AN_HHV11,64,196,33.35,548.55,0.70136698212408,0.8007795392835245
9,HHV-1,DRB1_1402,P04294|AN_HHV11,64,211,33.35,570.3,0.45189701897018963,0.6256239235604506
10,HHV-1,DRB1_1402,P04295|TRM3_HHV11,61,244,31.849999999999998,628.48,0.3097646372301109,0.5151179850336457
11,HHV-1,DRB1_1402,P04296|DNBI_HHV11,108,375,56.82999999999999,1012.5899999999999,0.326872196019786,0.4214804825054319
12,HHV-1,DRB1_1402,P04413|US03_HHV11,9,91,2.1399999999999997,202.83000000000004,0.03952715182859253,0.25097442369798434
13,HHV-1,DRB1_1402,P04485-2|ICP22_HHV11,1,20,0.17000000000000004,47.1,0.0038821648778259886,0.08656019701174351
14,HHV-1,DRB1_1402,P04485|ICP22_HHV11,5,58,1.0299999999999998,124.22999999999999,0.012326471996170414,0.10204031343945591
15,HHV-1,DRB1_1402,P04487|RNB_HHV11,0,0,0.0,0.0,0.0,0.0
16,HHV-1,DRB1_1402,P04488|GE_HHV11,8,74,3.0,151.63,0.07698229407236336,0.1933020575711991
17,HHV-1,DRB1_1402,P06477|GH_HHV11,23,194,7.529999999999998,424.72,0.081352636127917,0.28816261729165676
18,HHV-1,DRB1_1402,P06480|GJ_HHV11,0,5,0.0,5.050000000000001,0.0,0.03638066421727542
19,HHV-1,DRB1_1402,P06481|US9_HHV11,0,13,0.0,22.180000000000007,0.0,0.08290039245000937
20,HHV-1,DRB1_1402,P06484|GG_HHV11,0,0,0.0,0.0,0.0,0.0
21,HHV-1,DRB1_1402,P06485|US02_HHV11,21,78,11.97,204.02000000000004,0.23740579135263787,0.4314048887761145
22,HHV-1,DRB1_1402,P06486|US10_HHV11,7,78,1.38,168.9,0.05103550295857988,0.4003603005665252
