,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Sindbis_virus,DRB1_1402,P03316|POLS_SINDV,20,213,5.979999999999999,457.29999999999995,0.07355473554735546,0.2977620638238301
1,Sindbis_virus,DRB1_1402,P03317|POLN_SINDV,215,905,92.84,2288.24,0.5666158071406775,0.7438818236196717
2,Sindbis_virus,DRB1_1402,P0DOK0|POLSF_SINDV,12,138,4.41,314.60999999999996,0.07160253287871407,0.40443501735441567
3,Sindbis_virus,DRB1_1406,P03316|POLS_SINDV,20,204,6.610000000000001,422.46000000000004,0.0813038130381304,0.2750766706385639
4,Sindbis_virus,DRB1_1406,P03317|POLN_SINDV,255,941,133.69000000000003,2586.14,0.8159292035398232,0.8407258588853346
5,Sindbis_virus,DRB1_1406,P0DOK0|POLSF_SINDV,11,99,3.7199999999999998,206.61,0.060399415489527514,0.26559969147705365
6,Sindbis_virus,DRB1_1405,P03316|POLS_SINDV,18,206,7.029999999999999,410.92999999999995,0.08646986469864698,0.2675691338008451
7,Sindbis_virus,DRB1_1405,P03317|POLN_SINDV,306,1130,149.52,3076.08,0.9125419591089412,1.0
8,Sindbis_virus,DRB1_1405,P0DOK0|POLSF_SINDV,0,77,0.0,115.88999999999999,0.0,0.1489780177400694
9,Sindbis_virus,DRB1_1602,P03316|POLS_SINDV,59,381,27.03,934.79,0.3324723247232473,0.6086704562472733
10,Sindbis_virus,DRB1_1602,P03317|POLN_SINDV,152,706,82.59,1784.9799999999998,0.5040585901739396,0.5802774960339132
11,Sindbis_virus,DRB1_1602,P0DOK0|POLSF_SINDV,31,171,18.380000000000003,400.92999999999995,0.29842506900470855,0.515400437074174
12,Sindbis_virus,DRB1_1201,P03316|POLS_SINDV,75,250,38.03999999999999,735.6699999999998,0.4678966789667896,0.47901731356500554
13,Sindbis_virus,DRB1_1201,P03317|POLN_SINDV,109,734,37.61,1753.57,0.2295392126945377,0.5700664482068086
14,Sindbis_virus,DRB1_1201,P0DOK0|POLSF_SINDV,45,142,26.650000000000002,422.82,0.4327001136548141,0.5435403008098727
15,Sindbis_virus,DRB1_0411,P03316|POLS_SINDV,59,415,29.279999999999998,901.9100000000001,0.36014760147601477,0.5872612792113506
16,Sindbis_virus,DRB1_0411,P03317|POLN_SINDV,200,855,109.38,2207.0899999999997,0.6675617943240769,0.7175008452315934
17,Sindbis_virus,DRB1_0411,P0DOK0|POLSF_SINDV,35,275,14.420000000000002,618.4599999999999,0.23412891703198574,0.7950379226121609
18,Sindbis_virus,DRB1_0405,P03316|POLS_SINDV,86,511,24.24000000000001,1339.4399999999998,0.2981549815498156,0.8721504893247123
19,Sindbis_virus,DRB1_0405,P03317|POLN_SINDV,125,702,57.27000000000001,1690.2599999999998,0.34952700640830037,0.5494850589061402
20,Sindbis_virus,DRB1_0405,P0DOK0|POLSF_SINDV,58,288,18.199999999999996,767.24,0.295502516642312,0.9862964391309937
21,Sindbis_virus,DRB1_0406,P03316|POLS_SINDV,33,382,9.75,822.79,0.11992619926199262,0.5357438191419399
22,Sindbis_virus,DRB1_0406,P03317|POLN_SINDV,243,959,127.16,2577.47,0.776075678974672,0.8379073366102312
23,Sindbis_virus,DRB1_0406,P0DOK0|POLSF_SINDV,31,228,9.629999999999999,506.1700000000001,0.15635655138821233,0.6506877490680038
24,Sindbis_virus,HLA-DQA10301-DQB10401,P03316|POLS_SINDV,149,572,72.93,1535.79,0.8970479704797049,1.0
25,Sindbis_virus,HLA-DQA10301-DQB10401,P03317|POLN_SINDV,88,536,40.620000000000005,1197.6,0.24790967348184317,0.38932667550908945
26,Sindbis_virus,HLA-DQA10301-DQB10401,P0DOK0|POLSF_SINDV,50,316,22.080000000000002,735.9300000000001,0.3584997564539698,0.9460470497493252
27,Sindbis_virus,HLA-DQA10303-DQB10401,P03316|POLS_SINDV,149,572,72.93,1535.79,0.8970479704797049,1.0
28,Sindbis_virus,HLA-DQA10303-DQB10401,P03317|POLN_SINDV,88,536,40.620000000000005,1197.6,0.24790967348184317,0.38932667550908945
29,Sindbis_virus,HLA-DQA10303-DQB10401,P0DOK0|POLSF_SINDV,50,316,22.080000000000002,735.9300000000001,0.3584997564539698,0.9460470497493252
30,Sindbis_virus,DRB1_0101,P03316|POLS_SINDV,10,375,1.2799999999999994,732.1100000000001,0.015744157441574407,0.47669928831415764
31,Sindbis_virus,DRB1_0101,P03317|POLN_SINDV,126,727,50.599999999999994,1783.17,0.30881904180653036,0.5796890848092378
32,Sindbis_virus,DRB1_0101,P0DOK0|POLSF_SINDV,6,164,1.0099999999999998,323.88000000000005,0.016398766033446983,0.4163517161588894
33,Sindbis_virus,DRB1_0102,P03316|POLS_SINDV,37,279,11.990000000000006,647.95,0.14747847478474793,0.42190012957500705
34,Sindbis_virus,DRB1_0102,P03317|POLN_SINDV,151,794,55.88000000000001,1942.3899999999999,0.3410436374732988,0.6314497672362227
35,Sindbis_virus,DRB1_0102,P0DOK0|POLSF_SINDV,12,117,3.619999999999999,254.0,0.05877577528819612,0.32652011826712946
36,Sindbis_virus,DRB1_0301,P03316|POLS_SINDV,35,192,17.799999999999997,459.43000000000006,0.2189421894218942,0.29914897219020836
37,Sindbis_virus,DRB1_0301,P03317|POLN_SINDV,179,839,81.0,2098.78,0.4943545926151968,0.6822904475826377
38,Sindbis_virus,DRB1_0301,P0DOK0|POLSF_SINDV,25,154,15.54,347.11,0.2523136872868972,0.44621416634528865
39,Sindbis_virus,DRB1_0302,P03316|POLS_SINDV,25,213,11.18,428.7499999999999,0.13751537515375153,0.2791722826688544
40,Sindbis_virus,DRB1_0302,P03317|POLN_SINDV,167,841,76.44,2111.6800000000003,0.46652425999389685,0.6864840966424801
41,Sindbis_virus,DRB1_0302,P0DOK0|POLSF_SINDV,25,156,11.18,349.65999999999997,0.18152297450884883,0.4494922226507263
42,Sindbis_virus,DRB1_0401,P03316|POLS_SINDV,75,447,32.529999999999994,1012.54,0.40012300123001227,0.6592958672735204
43,Sindbis_virus,DRB1_0401,P03317|POLN_SINDV,238,905,124.52,2414.54,0.7599633811412878,0.7849405737171985
44,Sindbis_virus,DRB1_0401,P0DOK0|POLSF_SINDV,43,263,18.769999999999996,579.4,0.30475726578990087,0.744825813086515
45,Sindbis_virus,DRB1_0402,P03316|POLS_SINDV,113,385,76.81,1035.54,0.9447724477244773,0.6742718731076515
46,Sindbis_virus,DRB1_0402,P03317|POLN_SINDV,186,787,84.94,2036.1,0.518400976502899,0.6619138643988453
47,Sindbis_virus,DRB1_0402,P0DOK0|POLSF_SINDV,70,268,50.91,696.3800000000001,0.826595226497808,0.8952050392081246
48,Sindbis_virus,DRB1_0403,P03316|POLS_SINDV,33,382,9.75,822.79,0.11992619926199262,0.5357438191419399
49,Sindbis_virus,DRB1_0403,P03317|POLN_SINDV,243,960,127.16,2577.47,0.776075678974672,0.8379073366102312
50,Sindbis_virus,DRB1_0403,P0DOK0|POLSF_SINDV,31,228,9.629999999999999,506.1700000000001,0.15635655138821233,0.6506877490680038
51,Sindbis_virus,DRB1_0404,P03316|POLS_SINDV,49,377,20.950000000000003,772.8899999999999,0.2576875768757688,0.5032523977887601
52,Sindbis_virus,DRB1_0404,P03317|POLN_SINDV,248,974,132.94,2610.89,0.8113518462007934,0.8487718134768927
53,Sindbis_virus,DRB1_0404,P0DOK0|POLSF_SINDV,49,247,20.950000000000003,570.75,0.34015262217892517,0.7337061318935596
54,Sindbis_virus,DRB1_0407,P03316|POLS_SINDV,40,420,22.27,949.46,0.2739237392373924,0.6182225434466952
55,Sindbis_virus,DRB1_0407,P03317|POLN_SINDV,222,919,117.03000000000002,2486.3799999999997,0.7142508391821789,0.8082949728225532
56,Sindbis_virus,DRB1_0407,P0DOK0|POLSF_SINDV,6,214,0.6699999999999999,447.99,0.010878389348920277,0.575896644812958
57,Sindbis_virus,DRB1_0701,P03316|POLS_SINDV,83,456,28.78000000000001,1125.85,0.35399753997539984,0.7330754855807109
58,Sindbis_virus,DRB1_0701,P03317|POLN_SINDV,162,824,83.94999999999999,1986.77,0.5123588648153798,0.6458772203583782
59,Sindbis_virus,DRB1_0701,P0DOK0|POLSF_SINDV,57,270,20.79,680.1899999999999,0.3375547978567949,0.8743925954492865
60,Sindbis_virus,DRB1_0802,P03316|POLS_SINDV,48,252,17.51,643.1100000000001,0.21537515375153754,0.41874865704295516
61,Sindbis_virus,DRB1_0802,P03317|POLN_SINDV,159,806,65.39000000000001,1988.51,0.39908452853219417,0.6464428753478453
62,Sindbis_virus,DRB1_0802,P0DOK0|POLSF_SINDV,23,131,9.510000000000002,309.25,0.15440818314661472,0.3975446715516133
63,Sindbis_virus,DRB1_0804,P03316|POLS_SINDV,26,188,13.000000000000002,380.73,0.1599015990159902,0.2479049870099428
64,Sindbis_virus,DRB1_0804,P03317|POLN_SINDV,104,810,51.96,1782.8899999999999,0.3171193164479707,0.579598059868404
65,Sindbis_virus,DRB1_0804,P0DOK0|POLSF_SINDV,23,141,12.48,287.69000000000005,0.20263029712615685,0.36982902686720664
66,Sindbis_virus,DRB1_1001,P03316|POLS_SINDV,84,377,41.86000000000001,968.48,0.5148831488314884,0.6306070491408331
67,Sindbis_virus,DRB1_1001,P03317|POLN_SINDV,116,745,69.21,1674.79,0.42239853524565146,0.5444559309250735
68,Sindbis_virus,DRB1_1001,P0DOK0|POLSF_SINDV,33,198,11.640000000000004,463.28,0.18899171943497325,0.5955521275228178
69,Sindbis_virus,DRB1_1101,P03316|POLS_SINDV,43,217,17.240000000000002,503.31999999999994,0.21205412054120545,0.3277270981058608
70,Sindbis_virus,DRB1_1101,P03317|POLN_SINDV,149,834,65.94000000000001,2008.8899999999999,0.40244125724748253,0.6530681906842475
71,Sindbis_virus,DRB1_1101,P0DOK0|POLSF_SINDV,33,136,14.440000000000001,337.62,0.234453645072252,0.4340146548399537
72,Sindbis_virus,DRB1_1102,P03316|POLS_SINDV,26,277,9.59,555.14,0.11795817958179582,0.36146869038084634
73,Sindbis_virus,DRB1_1102,P03317|POLN_SINDV,152,795,85.31,1861.0,0.5206591394568203,0.6049907674702869
74,Sindbis_virus,DRB1_1102,P0DOK0|POLSF_SINDV,10,207,2.7800000000000002,366.3599999999999,0.045137197597012506,0.47096027767065163
75,Sindbis_virus,DRB1_1104,P03316|POLS_SINDV,12,132,2.200000000000001,253.52000000000004,0.027060270602706042,0.16507465213342973
76,Sindbis_virus,DRB1_1104,P03317|POLN_SINDV,155,853,78.17,2007.9199999999996,0.4770826975892585,0.6527528542820732
77,Sindbis_virus,DRB1_1104,P0DOK0|POLSF_SINDV,4,107,0.6299999999999999,184.58999999999997,0.010228933268387723,0.2372927111453914
78,Sindbis_virus,DRB1_1202,P03316|POLS_SINDV,84,261,43.62,743.6800000000001,0.5365313653136531,0.4842328703794139
79,Sindbis_virus,DRB1_1202,P03317|POLN_SINDV,135,740,52.870000000000005,1844.28,0.3226731766859933,0.5995552781462121
80,Sindbis_virus,DRB1_1202,P0DOK0|POLSF_SINDV,48,145,29.42,423.3,0.47767494723169346,0.544157346702661
81,Sindbis_virus,DRB1_1301,P03316|POLS_SINDV,26,277,9.59,555.14,0.11795817958179582,0.36146869038084634
82,Sindbis_virus,DRB1_1301,P03317|POLN_SINDV,152,795,85.31,1861.0,0.5206591394568203,0.6049907674702869
83,Sindbis_virus,DRB1_1301,P0DOK0|POLSF_SINDV,10,207,2.7800000000000002,366.3599999999999,0.045137197597012506,0.47096027767065163
84,Sindbis_virus,DRB1_1302,P03316|POLS_SINDV,69,320,33.24,805.7799999999999,0.4088560885608856,0.5246680861315673
85,Sindbis_virus,DRB1_1302,P03317|POLN_SINDV,197,876,95.82999999999998,2184.55,0.5848642050656088,0.7101733374944735
86,Sindbis_virus,DRB1_1302,P0DOK0|POLSF_SINDV,43,199,24.720000000000002,474.3899999999999,0.40136385776911837,0.609834168916313
87,Sindbis_virus,DRB1_1401,P03316|POLS_SINDV,27,236,13.919999999999998,471.55999999999995,0.17121771217712176,0.30704718744099124
88,Sindbis_virus,DRB1_1401,P03317|POLN_SINDV,259,947,135.09,2544.56,0.8244736039060117,0.827208655171517
89,Sindbis_virus,DRB1_1401,P0DOK0|POLSF_SINDV,0,66,0.0,109.06,0.0,0.1401979688906029
90,Sindbis_virus,DRB1_1404,P03316|POLS_SINDV,41,263,18.32,585.3399999999999,0.22533825338253383,0.3811328371717487
91,Sindbis_virus,DRB1_1404,P03317|POLN_SINDV,237,900,126.23000000000002,2453.69,0.7703997558742753,0.7976678109802087
92,Sindbis_virus,DRB1_1404,P0DOK0|POLSF_SINDV,12,96,2.1400000000000006,212.39,0.034745900308491645,0.2730299524360458
93,Sindbis_virus,DRB1_1501,P03316|POLS_SINDV,41,306,16.18,784.9899999999999,0.1990159901599016,0.5111310791188899
94,Sindbis_virus,DRB1_1501,P03317|POLN_SINDV,71,614,33.44,1321.49,0.2040891058895331,0.42960196093729686
95,Sindbis_virus,DRB1_1501,P0DOK0|POLSF_SINDV,28,153,14.150000000000002,412.56999999999994,0.229745088488391,0.5303637999742897
96,Sindbis_virus,DRB1_1502,P03316|POLS_SINDV,50,351,28.85,759.6399999999999,0.3548585485854859,0.4946249161669238
97,Sindbis_virus,DRB1_1502,P03317|POLN_SINDV,116,589,50.5,1428.1800000000003,0.3082087274946598,0.4642857142857144
98,Sindbis_virus,DRB1_1502,P0DOK0|POLSF_SINDV,16,182,3.08,383.0799999999999,0.05000811820100665,0.49245404293610995
99,Sindbis_virus,DRB1_1503,P03316|POLS_SINDV,37,250,22.810000000000002,618.21,0.2805658056580566,0.40253550290078727
100,Sindbis_virus,DRB1_1503,P03317|POLN_SINDV,135,666,55.28,1551.35,0.33738175160207506,0.504326935580349
101,Sindbis_virus,DRB1_1503,P0DOK0|POLSF_SINDV,37,147,22.810000000000002,437.9,0.37035232992368894,0.5629258259416378
102,Sindbis_virus,DRB1_1601,P03316|POLS_SINDV,65,419,28.1,1016.46,0.3456334563345634,0.6618482995722071
103,Sindbis_virus,DRB1_1601,P03317|POLN_SINDV,144,731,79.91,1773.67,0.4877021666158071,0.576600738602377
104,Sindbis_virus,DRB1_1601,P0DOK0|POLSF_SINDV,34,188,18.75,435.7000000000001,0.3044325377496347,0.560097698933025
105,Sindbis_virus,HLA-DPA10103-DPB10101,P03316|POLS_SINDV,53,244,34.57000000000001,613.6800000000001,0.42521525215252165,0.3995858808821519
106,Sindbis_virus,HLA-DPA10103-DPB10101,P03317|POLN_SINDV,95,735,34.72,1609.98,0.21190112908147696,0.5233869080127955
107,Sindbis_virus,HLA-DPA10103-DPB10101,P0DOK0|POLSF_SINDV,53,184,34.57000000000001,512.67,0.5612924176002598,0.6590435788661781
108,Sindbis_virus,HLA-DPA10201-DPB10101,P03316|POLS_SINDV,71,312,30.740000000000002,800.8,0.3781057810578106,0.5214254553031339
109,Sindbis_virus,HLA-DPA10201-DPB10101,P03317|POLN_SINDV,107,703,45.43,1586.9099999999999,0.27726579188281963,0.5158871030662401
110,Sindbis_virus,HLA-DPA10201-DPB10101,P0DOK0|POLSF_SINDV,38,191,13.380000000000003,465.17,0.21724305893813933,0.5979817457256718
111,Sindbis_virus,HLA-DPA10202-DPB10101,P03316|POLS_SINDV,63,267,41.41,694.49,0.5093480934809348,0.4522037518150268
112,Sindbis_virus,HLA-DPA10202-DPB10101,P03317|POLN_SINDV,112,681,49.89000000000001,1564.7600000000002,0.3044858101922491,0.5086863800681387
113,Sindbis_virus,HLA-DPA10202-DPB10101,P0DOK0|POLSF_SINDV,3,114,0.43999999999999995,226.64999999999998,0.007144016885858092,0.2913613575009641
114,Sindbis_virus,HLA-DPA10301-DPB10101,P03316|POLS_SINDV,48,229,24.9,561.63,0.3062730627306273,0.36569452854882506
115,Sindbis_virus,HLA-DPA10301-DPB10101,P03317|POLN_SINDV,97,667,44.96,1511.5699999999997,0.27439731461702777,0.49139489220046284
116,Sindbis_virus,HLA-DPA10301-DPB10101,P0DOK0|POLSF_SINDV,42,144,23.69,393.22,0.3846403636954051,0.5054891374212624
117,Sindbis_virus,HLA-DPA10401-DPB10101,P03316|POLS_SINDV,47,240,32.65,582.5799999999999,0.4015990159901599,0.379335716471653
118,Sindbis_virus,HLA-DPA10401-DPB10101,P03317|POLN_SINDV,103,749,38.209999999999994,1640.0699999999997,0.23320109856576135,0.5331688382616836
119,Sindbis_virus,HLA-DPA10401-DPB10101,P0DOK0|POLSF_SINDV,47,173,32.65,470.80000000000007,0.5301185257346971,0.6052191798431676
120,Sindbis_virus,HLA-DPA10103-DPB10201,P03316|POLS_SINDV,18,253,4.3100000000000005,559.23,0.053013530135301364,0.36413181489656793
121,Sindbis_virus,HLA-DPA10103-DPB10201,P03317|POLN_SINDV,212,800,133.73,2090.74,0.8161733292645712,0.6796767314244102
122,Sindbis_virus,HLA-DPA10103-DPB10201,P0DOK0|POLSF_SINDV,4,126,0.41999999999999993,251.55,0.006819288845591815,0.323370613189356
123,Sindbis_virus,HLA-DPA10201-DPB10201,P03316|POLS_SINDV,10,306,1.9900000000000002,591.11,0.02447724477244773,0.38488986124405034
124,Sindbis_virus,HLA-DPA10201-DPB10201,P03317|POLN_SINDV,200,721,126.12,1971.63,0.7697284101312176,0.6409553717718656
