,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1402,D0EZM8-2|NS1_HBOC1,36,174,14.750000000000004,427.2,0.3101997896950579,0.4738032917794241
1,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1402,D0EZM8-3|NS1_HBOC1,38,180,15.030000000000008,468.4099999999999,0.2682491522398716,0.7458164158904544
2,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1402,D0EZM8-4|NS1_HBOC1,10,114,1.459999999999999,246.13,0.03522316043425812,0.460271154745208
3,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1402,D0EZM8-5|NS1_HBOC1,6,60,0.8699999999999992,143.67,0.021090909090909073,0.36227242927026065
4,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1402,D0EZM8|NS1_HBOC1,42,234,15.620000000000005,570.8699999999999,0.2695427092320967,0.6331462668027149
5,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1402,Q3YPH4-2|CAPSD_HBOC1,137,264,82.57,911.47,0.8272718164512571,0.8590264360774703
6,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1402,Q3YPH4-3|CAPSD_HBOC1,116,234,68.47999999999999,794.29,0.9742495376298191,0.9083517262673969
7,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1402,Q3YPH4|CAPSD_HBOC1,158,321,97.4,1082.83,0.9758541228333834,1.0
8,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1402,Q3YPH5|NP1_HBOC1,7,67,1.25,143.48,0.04134965266291763,0.3463107335087254
9,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1406,D0EZM8-2|NS1_HBOC1,2,64,0.14000000000000012,118.5,0.002944269190325975,0.13142717714387114
10,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1406,D0EZM8-3|NS1_HBOC1,1,46,0.08999999999999997,65.41999999999996,0.001606282348741745,0.10416368123557036
11,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1406,D0EZM8-4|NS1_HBOC1,1,34,0.050000000000000044,65.58,0.0012062726176115812,0.1226367461430575
12,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1406,D0EZM8-5|NS1_HBOC1,0,8,0.0,6.25,0.0,0.015759745826819303
13,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1406,D0EZM8|NS1_HBOC1,2,72,0.14000000000000012,124.75,0.0024158757549611757,0.13835899028437068
14,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1406,Q3YPH4-2|CAPSD_HBOC1,20,108,8.459999999999999,246.0,0.084761045987376,0.2318458131096555
15,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1406,Q3YPH4-3|CAPSD_HBOC1,20,108,8.459999999999999,246.0,0.12035851472471189,0.2813261210159761
16,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1406,Q3YPH4|CAPSD_HBOC1,21,146,8.489999999999998,309.4,0.0850616170724376,0.2857327558342491
17,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1406,Q3YPH5|NP1_HBOC1,3,52,1.0100000000000002,106.62000000000003,0.033410519351637455,0.2573435350341533
18,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1405,D0EZM8-2|NS1_HBOC1,6,63,1.4399999999999995,124.62000000000003,0.030283911671924277,0.13821480857104834
19,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1405,D0EZM8-3|NS1_HBOC1,0,32,0.0,33.06,0.0,0.05263912108908527
20,Primate_bocaparvovirus_1_[strain_Human_bocavirus_1],DRB1_1405,D0EZM8-4|NS1_HBOC1,6,31,1.4399999999999995,91.56,0.034740651387213495,0.1712201963534362
