,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Merkel_cell_polyomavirus,DRB1_1402,B0G0V7|B0G0V7_9POLY,0,5,0.0,5.34,0.0,0.0311897669528649
1,Merkel_cell_polyomavirus,DRB1_1402,B0G0W4|B0G0W4_9POLY,13,30,5.8100000000000005,92.44,0.21534469977761306,0.2246415552855407
2,Merkel_cell_polyomavirus,DRB1_1402,B0G0W5|B0G0W5_9POLY,13,30,5.8100000000000005,92.44,0.23399113975030209,0.2998669997080481
3,Merkel_cell_polyomavirus,DRB1_1402,E2GHQ3|E2GHQ3_9POLY,7,125,2.5700000000000003,218.45999999999998,0.06727748691099476,0.3263227078540913
4,Merkel_cell_polyomavirus,DRB1_1402,E2GHQ5|E2GHQ5_9POLY,25,131,7.52,334.49,0.1718071738633767,0.5510089778436702
5,Merkel_cell_polyomavirus,DRB1_1402,T1WUL6|T1WUL6_9POLY,0,2,0.0,1.4399999999999995,0.0,0.004887485999389062
6,Merkel_cell_polyomavirus,DRB1_1406,B0G0V7|B0G0V7_9POLY,0,0,0.0,0.0,0.0,0.0
7,Merkel_cell_polyomavirus,DRB1_1406,B0G0W4|B0G0W4_9POLY,0,24,0.0,39.120000000000005,0.0,0.09506682867557717
8,Merkel_cell_polyomavirus,DRB1_1406,B0G0W5|B0G0W5_9POLY,0,24,0.0,39.120000000000005,0.0,0.1269017419794336
9,Merkel_cell_polyomavirus,DRB1_1406,E2GHQ3|E2GHQ3_9POLY,1,80,0.0,124.21000000000004,0.0,0.18553759746661494
10,Merkel_cell_polyomavirus,DRB1_1406,E2GHQ5|E2GHQ5_9POLY,55,118,29.500000000000004,388.49,0.673977610235321,0.6399637591631661
11,Merkel_cell_polyomavirus,DRB1_1406,T1WUL6|T1WUL6_9POLY,0,16,0.0,26.630000000000003,0.0,0.09038455011370194
12,Merkel_cell_polyomavirus,DRB1_1405,B0G0V7|B0G0V7_9POLY,0,0,0.0,0.0,0.0,0.0
13,Merkel_cell_polyomavirus,DRB1_1405,B0G0W4|B0G0W4_9POLY,22,61,7.57,185.55,0.28057820607857675,0.4509113001215067
14,Merkel_cell_polyomavirus,DRB1_1405,B0G0W5|B0G0W5_9POLY,22,61,7.57,185.55,0.30487313733387034,0.6019074188211633
15,Merkel_cell_polyomavirus,DRB1_1405,E2GHQ3|E2GHQ3_9POLY,22,57,10.120000000000001,154.01,0.2649214659685864,0.23005108594987003
16,Merkel_cell_polyomavirus,DRB1_1405,E2GHQ5|E2GHQ5_9POLY,34,118,17.229999999999997,348.51,0.3936486177747314,0.5741042747714356
17,Merkel_cell_polyomavirus,DRB1_1405,T1WUL6|T1WUL6_9POLY,0,3,0.0,2.74,0.0,0.009299799748837526
18,Merkel_cell_polyomavirus,DRB1_1602,B0G0V7|B0G0V7_9POLY,0,0,0.0,0.0,0.0,0.0
19,Merkel_cell_polyomavirus,DRB1_1602,B0G0W4|B0G0W4_9POLY,0,32,0.0,54.47,0.0,0.13236938031591738
20,Merkel_cell_polyomavirus,DRB1_1602,B0G0W5|B0G0W5_9POLY,0,32,0.0,54.47,0.0,0.1766957537223862
21,Merkel_cell_polyomavirus,DRB1_1602,E2GHQ3|E2GHQ3_9POLY,12,134,3.950000000000001,266.64,0.10340314136125657,0.3982911600394347
22,Merkel_cell_polyomavirus,DRB1_1602,E2GHQ5|E2GHQ5_9POLY,0,8,0.0,3.989999999999995,0.0,0.006572769953051634
23,Merkel_cell_polyomavirus,DRB1_1602,T1WUL6|T1WUL6_9POLY,0,33,0.0,49.11,0.0,0.16668363710416453
24,Merkel_cell_polyomavirus,DRB1_1201,B0G0V7|B0G0V7_9POLY,0,4,0.0,2.8200000000000003,0.0,0.01647100052567023
25,Merkel_cell_polyomavirus,DRB1_1201,B0G0W4|B0G0W4_9POLY,29,51,20.270000000000003,186.71,0.7512972572275761,0.45373025516403404
26,Merkel_cell_polyomavirus,DRB1_1201,B0G0W5|B0G0W5_9POLY,29,40,20.270000000000003,167.66,0.8163511880789369,0.5438738767963148
27,Merkel_cell_polyomavirus,DRB1_1201,E2GHQ3|E2GHQ3_9POLY,12,100,2.5,227.43000000000006,0.06544502617801047,0.3397215666357961
28,Merkel_cell_polyomavirus,DRB1_1201,E2GHQ5|E2GHQ5_9POLY,32,151,16.65,396.37,0.3803975325565455,0.6529445679927518
29,Merkel_cell_polyomavirus,DRB1_1201,T1WUL6|T1WUL6_9POLY,0,34,0.0,63.3,0.0,0.21484573872314428
30,Merkel_cell_polyomavirus,DRB1_0411,B0G0V7|B0G0V7_9POLY,0,3,0.0,0.9100000000000001,0.0,0.005315110098709188
31,Merkel_cell_polyomavirus,DRB1_0411,B0G0W4|B0G0W4_9POLY,5,43,0.8499999999999996,81.38999999999999,0.03150481838398812,0.1977885783718104
32,Merkel_cell_polyomavirus,DRB1_0411,B0G0W5|B0G0W5_9POLY,0,27,0.0,34.34,0.0,0.11139585428358258
33,Merkel_cell_polyomavirus,DRB1_0411,E2GHQ3|E2GHQ3_9POLY,37,93,29.79,274.03,0.7798429319371727,0.4093299076867923
34,Merkel_cell_polyomavirus,DRB1_0411,E2GHQ5|E2GHQ5_9POLY,37,94,16.94,277.94,0.38702307516563855,0.4578535540729758
35,Merkel_cell_polyomavirus,DRB1_0411,T1WUL6|T1WUL6_9POLY,0,4,0.0,2.5500000000000007,0.0,0.008654923123918136
36,Merkel_cell_polyomavirus,DRB1_0405,B0G0V7|B0G0V7_9POLY,0,30,0.0,42.56999999999999,0.0,0.2486420185736814
37,Merkel_cell_polyomavirus,DRB1_0405,B0G0W4|B0G0W4_9POLY,19,52,5.270000000000003,170.60000000000002,0.19532987398072657,0.41458080194410696
38,Merkel_cell_polyomavirus,DRB1_0405,B0G0W5|B0G0W5_9POLY,17,35,5.039999999999999,125.12,0.20298026580749093,0.4058779641223602
39,Merkel_cell_polyomavirus,DRB1_0405,E2GHQ3|E2GHQ3_9POLY,33,142,24.16,305.23999999999995,0.6324607329842932,0.45594957129626856
40,Merkel_cell_polyomavirus,DRB1_0405,E2GHQ5|E2GHQ5_9POLY,20,107,9.17,253.58999999999997,0.2095042266392506,0.41774153694094385
41,Merkel_cell_polyomavirus,DRB1_0405,T1WUL6|T1WUL6_9POLY,0,4,0.0,1.4500000000000028,0.0,0.0049214268743848315
42,Merkel_cell_polyomavirus,DRB1_0406,B0G0V7|B0G0V7_9POLY,0,12,0.0,10.079999999999998,0.0,0.05887506570877868
43,Merkel_cell_polyomavirus,DRB1_0406,B0G0W4|B0G0W4_9POLY,2,119,0.16999999999999993,229.06,0.0063009636767976255,0.5566464155528554
44,Merkel_cell_polyomavirus,DRB1_0406,B0G0W5|B0G0W5_9POLY,2,74,0.16999999999999993,150.45999999999998,0.006846556584776477,0.48807863236772947
45,Merkel_cell_polyomavirus,DRB1_0406,E2GHQ3|E2GHQ3_9POLY,30,111,17.479999999999997,302.29999999999995,0.4575916230366491,0.45155797209691384
46,Merkel_cell_polyomavirus,DRB1_0406,E2GHQ5|E2GHQ5_9POLY,14,95,3.789999999999999,235.62999999999997,0.08658898789124969,0.3881558355983855
47,Merkel_cell_polyomavirus,DRB1_0406,T1WUL6|T1WUL6_9POLY,0,9,0.0,9.43,0.0,0.03200624512099922
48,Merkel_cell_polyomavirus,HLA-DQA10301-DQB10401,B0G0V7|B0G0V7_9POLY,1,21,0.43000000000000005,47.78000000000001,0.02259590120861797,0.27907248408387364
49,Merkel_cell_polyomavirus,HLA-DQA10301-DQB10401,B0G0W4|B0G0W4_9POLY,0,16,0.0,20.310000000000002,0.0,0.04935601458080195
50,Merkel_cell_polyomavirus,HLA-DQA10301-DQB10401,B0G0W5|B0G0W5_9POLY,0,16,0.0,20.310000000000002,0.0,0.0658838031595679
51,Merkel_cell_polyomavirus,HLA-DQA10301-DQB10401,E2GHQ3|E2GHQ3_9POLY,44,148,23.619999999999997,402.21000000000004,0.6183246073298428,0.6007976578137604
52,Merkel_cell_polyomavirus,HLA-DQA10301-DQB10401,E2GHQ5|E2GHQ5_9POLY,25,133,13.229999999999999,337.96000000000004,0.30226182316655237,0.5567251461988304
53,Merkel_cell_polyomavirus,HLA-DQA10301-DQB10401,T1WUL6|T1WUL6_9POLY,0,3,0.0,3.01,0.0,0.010216203373722975
54,Merkel_cell_polyomavirus,HLA-DQA10303-DQB10401,B0G0V7|B0G0V7_9POLY,1,21,0.43000000000000005,47.78000000000001,0.02259590120861797,0.27907248408387364
55,Merkel_cell_polyomavirus,HLA-DQA10303-DQB10401,B0G0W4|B0G0W4_9POLY,0,16,0.0,20.310000000000002,0.0,0.04935601458080195
56,Merkel_cell_polyomavirus,HLA-DQA10303-DQB10401,B0G0W5|B0G0W5_9POLY,0,16,0.0,20.310000000000002,0.0,0.0658838031595679
57,Merkel_cell_polyomavirus,HLA-DQA10303-DQB10401,E2GHQ3|E2GHQ3_9POLY,44,148,23.619999999999997,402.21000000000004,0.6183246073298428,0.6007976578137604
58,Merkel_cell_polyomavirus,HLA-DQA10303-DQB10401,E2GHQ5|E2GHQ5_9POLY,25,133,13.229999999999999,337.96000000000004,0.30226182316655237,0.5567251461988304
59,Merkel_cell_polyomavirus,HLA-DQA10303-DQB10401,T1WUL6|T1WUL6_9POLY,0,3,0.0,3.01,0.0,0.010216203373722975
60,Merkel_cell_polyomavirus,DRB1_0101,B0G0V7|B0G0V7_9POLY,0,0,0.0,0.0,0.0,0.0
61,Merkel_cell_polyomavirus,DRB1_0101,B0G0W4|B0G0W4_9POLY,0,52,0.0,82.05000000000001,0.0,0.19939246658566223
62,Merkel_cell_polyomavirus,DRB1_0101,B0G0W5|B0G0W5_9POLY,0,25,0.0,39.08,0.0,0.12677198559704153
63,Merkel_cell_polyomavirus,DRB1_0101,E2GHQ3|E2GHQ3_9POLY,10,89,2.3999999999999995,185.81,0.06282722513089004,0.2775520568816658
64,Merkel_cell_polyomavirus,DRB1_0101,E2GHQ5|E2GHQ5_9POLY,0,27,0.0,30.75999999999999,0.0,0.05067127913680914
65,Merkel_cell_polyomavirus,DRB1_0101,T1WUL6|T1WUL6_9POLY,1,33,0.06999999999999995,74.21000000000001,0.002560351133869786,0.25187523334351564
66,Merkel_cell_polyomavirus,DRB1_0102,B0G0V7|B0G0V7_9POLY,0,4,0.0,4.23,0.0,0.024706500788505347
67,Merkel_cell_polyomavirus,DRB1_0102,B0G0W4|B0G0W4_9POLY,5,116,0.6500000000000004,206.87999999999994,0.024091919940696826,0.5027460510328067
68,Merkel_cell_polyomavirus,DRB1_0102,B0G0W5|B0G0W5_9POLY,0,48,0.0,73.94,0.0,0.23985467285172085
69,Merkel_cell_polyomavirus,DRB1_0102,E2GHQ3|E2GHQ3_9POLY,26,96,12.35,231.5,0.3232984293193717,0.3458010934185761
70,Merkel_cell_polyomavirus,DRB1_0102,E2GHQ5|E2GHQ5_9POLY,0,54,0.0,89.75,0.0,0.14784614117453257
71,Merkel_cell_polyomavirus,DRB1_0102,T1WUL6|T1WUL6_9POLY,1,48,0.12,92.64000000000001,0.0043891733723482075,0.3144282659606965
72,Merkel_cell_polyomavirus,DRB1_0301,B0G0V7|B0G0V7_9POLY,0,2,0.0,2.5199999999999996,0.0,0.01471876642719467
73,Merkel_cell_polyomavirus,DRB1_0301,B0G0W4|B0G0W4_9POLY,0,40,0.0,81.72,0.0,0.19859052247873632
74,Merkel_cell_polyomavirus,DRB1_0301,B0G0W5|B0G0W5_9POLY,0,40,0.0,81.72,0.0,0.2650922892269763
75,Merkel_cell_polyomavirus,DRB1_0301,E2GHQ3|E2GHQ3_9POLY,9,112,1.540000000000001,203.39,0.04031413612565447,0.3038120276043378
76,Merkel_cell_polyomavirus,DRB1_0301,E2GHQ5|E2GHQ5_9POLY,43,107,17.29,315.33,0.3950194196938542,0.5194465035829008
77,Merkel_cell_polyomavirus,DRB1_0301,T1WUL6|T1WUL6_9POLY,0,0,0.0,0.0,0.0,0.0
78,Merkel_cell_polyomavirus,DRB1_0302,B0G0V7|B0G0V7_9POLY,22,39,9.569999999999999,142.43,0.5028901734104045,0.8319023421529116
79,Merkel_cell_polyomavirus,DRB1_0302,B0G0W4|B0G0W4_9POLY,0,40,0.0,80.99000000000001,0.0,0.19681652490887
80,Merkel_cell_polyomavirus,DRB1_0302,B0G0W5|B0G0W5_9POLY,0,40,0.0,80.99000000000001,0.0,0.2627242352483213
81,Merkel_cell_polyomavirus,DRB1_0302,E2GHQ3|E2GHQ3_9POLY,46,128,23.319999999999997,323.73,0.6104712041884816,0.4835688465330266
82,Merkel_cell_polyomavirus,DRB1_0302,E2GHQ5|E2GHQ5_9POLY,25,145,8.579999999999998,354.59000000000003,0.19602467443454416,0.5841199242237047
83,Merkel_cell_polyomavirus,DRB1_0302,T1WUL6|T1WUL6_9POLY,0,0,0.0,0.0,0.0,0.0
84,Merkel_cell_polyomavirus,DRB1_0401,B0G0V7|B0G0V7_9POLY,0,1,0.0,0.6600000000000001,0.0,0.0038549150166462248
85,Merkel_cell_polyomavirus,DRB1_0401,B0G0W4|B0G0W4_9POLY,30,60,21.3,199.34999999999997,0.7894736842105263,0.4844471445929525
86,Merkel_cell_polyomavirus,DRB1_0401,B0G0W5|B0G0W5_9POLY,30,58,21.3,198.98999999999998,0.8578332662102296,0.645505563304895
87,Merkel_cell_polyomavirus,DRB1_0401,E2GHQ3|E2GHQ3_9POLY,16,153,3.969999999999999,322.94000000000005,0.1039267015706806,0.48238879096585313
88,Merkel_cell_polyomavirus,DRB1_0401,E2GHQ5|E2GHQ5_9POLY,0,101,0.0,158.5,0.0,0.26109875628037227
89,Merkel_cell_polyomavirus,DRB1_0401,T1WUL6|T1WUL6_9POLY,0,1,0.0,0.0,0.0,0.0
90,Merkel_cell_polyomavirus,DRB1_0402,B0G0V7|B0G0V7_9POLY,1,31,0.14,68.74,0.007356805044666317,0.40149523976403245
91,Merkel_cell_polyomavirus,DRB1_0402,B0G0W4|B0G0W4_9POLY,0,37,0.0,69.27000000000001,0.0,0.16833535844471448
92,Merkel_cell_polyomavirus,DRB1_0402,B0G0W5|B0G0W5_9POLY,0,35,0.0,66.76,0.0,0.2165634022123463
93,Merkel_cell_polyomavirus,DRB1_0402,E2GHQ3|E2GHQ3_9POLY,36,156,20.19,429.7,0.5285340314136125,0.6418606040689511
94,Merkel_cell_polyomavirus,DRB1_0402,E2GHQ5|E2GHQ5_9POLY,32,120,20.0,310.52000000000004,0.45693397304089556,0.5115229388024051
95,Merkel_cell_polyomavirus,DRB1_0402,T1WUL6|T1WUL6_9POLY,0,25,0.0,36.46000000000001,0.0,0.12374843023453147
96,Merkel_cell_polyomavirus,DRB1_0403,B0G0V7|B0G0V7_9POLY,0,12,0.0,10.079999999999998,0.0,0.05887506570877868
97,Merkel_cell_polyomavirus,DRB1_0403,B0G0W4|B0G0W4_9POLY,2,119,0.16999999999999993,229.06,0.0063009636767976255,0.5566464155528554
