,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Omsk_hemorrhagic_fever_virus,DRB1_1402,Q7T6D2|POLG_OHFV,60,566,19.110000000000007,1260.27,0.09454779339006532,0.38012378522178186
1,Omsk_hemorrhagic_fever_virus,DRB1_1406,Q7T6D2|POLG_OHFV,88,659,38.4,1441.2099999999998,0.1899861468434593,0.43469907281732023
2,Omsk_hemorrhagic_fever_virus,DRB1_1405,Q7T6D2|POLG_OHFV,87,648,36.84,1457.6100000000001,0.1822679596279438,0.43964565575402215
3,Omsk_hemorrhagic_fever_virus,DRB1_1602,Q7T6D2|POLG_OHFV,118,682,60.67,1648.6799999999998,0.30016821690085094,0.49727636317570617
4,Omsk_hemorrhagic_fever_virus,DRB1_1201,Q7T6D2|POLG_OHFV,133,699,53.53999999999999,1770.6299999999999,0.264892143281219,0.5340590332446568
5,Omsk_hemorrhagic_fever_virus,DRB1_0411,Q7T6D2|POLG_OHFV,99,585,41.09,1345.2000000000003,0.20329507223431623,0.4057404491738604
6,Omsk_hemorrhagic_fever_virus,DRB1_0405,Q7T6D2|POLG_OHFV,84,600,35.97999999999999,1373.4299999999998,0.1780130615475954,0.4142552074850245
7,Omsk_hemorrhagic_fever_virus,DRB1_0406,Q7T6D2|POLG_OHFV,110,736,52.18,1685.8,0.25816346724717987,0.5084725313836558
8,Omsk_hemorrhagic_fever_virus,HLA-DQA10301-DQB10401,Q7T6D2|POLG_OHFV,284,1229,152.48,3210.5699999999997,0.7544033247575695,0.9683750475052934
9,Omsk_hemorrhagic_fever_virus,HLA-DQA10303-DQB10401,Q7T6D2|POLG_OHFV,284,1229,152.48,3210.5699999999997,0.7544033247575695,0.9683750475052934
10,Omsk_hemorrhagic_fever_virus,DRB1_0101,Q7T6D2|POLG_OHFV,165,798,92.16000000000001,1980.1399999999999,0.45596675242430235,0.5972516302610227
11,Omsk_hemorrhagic_fever_virus,DRB1_0102,Q7T6D2|POLG_OHFV,215,919,112.2,2400.04,0.5551157728082327,0.7239022506952362
12,Omsk_hemorrhagic_fever_virus,DRB1_0301,Q7T6D2|POLG_OHFV,103,814,32.390000000000015,1783.8199999999997,0.16025133584009504,0.5380374130577724
13,Omsk_hemorrhagic_fever_virus,DRB1_0302,Q7T6D2|POLG_OHFV,111,663,49.150000000000006,1601.8399999999997,0.24317237284781318,0.48314843971502847
