,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Chikunguya,HLA-A02:07,P0DOK1|POLSF_CHIKS,13,50,2.799,55.467,0.26568580920740387,0.423596526733006
1,Chikunguya,HLA-A02:07,Q8JUX5|POLS_CHIKS,23,88,4.413999999999999,90.273,0.30276424994855605,0.4681092685355154
2,Chikunguya,HLA-A02:07,Q8JUX6|POLN_CHIKS,62,200,13.915999999999997,207.97,0.644438269889784,0.6703238969486194
3,Chikunguya,HLA-A02:03,P0DOK1|POLSF_CHIKS,16,43,3.7059999999999995,47.829,0.35177978168011387,0.365265802677501
4,Chikunguya,HLA-A02:03,Q8JUX5|POLS_CHIKS,28,78,6.561,86.13800000000002,0.450030866314562,0.4466672889248417
5,Chikunguya,HLA-A02:03,Q8JUX6|POLN_CHIKS,72,229,19.842000000000002,244.68200000000002,0.918866351764379,0.7886531314765692
6,Chikunguya,HLA-A66:01,P0DOK1|POLSF_CHIKS,20,67,5.293000000000001,70.971,0.502420503084955,0.5419991904874641
7,Chikunguya,HLA-A66:01,Q8JUX5|POLS_CHIKS,28,121,7.428000000000001,117.791,0.509499965704095,0.6108034390135133
8,Chikunguya,HLA-A66:01,Q8JUX6|POLN_CHIKS,71,257,18.0,272.726,0.8335648791330925,0.8790438770938557
9,Chikunguya,HLA-A31:08,P0DOK1|POLSF_CHIKS,19,71,4.556,68.47700000000002,0.43246321784527764,0.5229527351595734
10,Chikunguya,HLA-A31:08,Q8JUX5|POLS_CHIKS,31,112,7.793999999999999,112.042,0.534604568214555,0.580992086950209
11,Chikunguya,HLA-A31:08,Q8JUX6|POLN_CHIKS,33,187,7.323,180.041,0.33912197832731317,0.5803038165626119
12,Chikunguya,HLA-A02:36,P0DOK1|POLSF_CHIKS,13,48,3.394,47.229,0.3221642145230185,0.36068365624737486
13,Chikunguya,HLA-A02:36,Q8JUX5|POLS_CHIKS,22,87,5.513,84.81,0.37814664929007474,0.4397809651224293
14,Chikunguya,HLA-A02:36,Q8JUX6|POLN_CHIKS,58,216,15.111999999999998,231.608,0.6998240251921829,0.7465133294440345
15,Chikunguya,HLA-A68:03,P0DOK1|POLSF_CHIKS,15,80,3.8560000000000008,67.575,0.3660180351210252,0.5160642416929505
16,Chikunguya,HLA-A68:03,Q8JUX5|POLS_CHIKS,24,121,5.853000000000001,106.53099999999998,0.40146786473695045,0.552414880267156
17,Chikunguya,HLA-A68:03,Q8JUX6|POLN_CHIKS,82,270,21.594,280.516,1.0,0.904152417543102
18,Chikunguya,HLA-A26:01,P0DOK1|POLSF_CHIKS,19,58,5.631,64.25,0.5345040341718083,0.490671513559335
19,Chikunguya,HLA-A26:01,Q8JUX5|POLS_CHIKS,32,108,7.898,113.55899999999998,0.5417381164688936,0.5888584673781151
20,Chikunguya,HLA-A26:01,Q8JUX6|POLN_CHIKS,61,220,14.203,229.00900000000001,0.6577289987959618,0.7381362952171293
21,Chikunguya,HLA-A33:01,P0DOK1|POLSF_CHIKS,22,78,5.685999999999999,78.64999999999999,0.5397247271001423,0.600643027882361
22,Chikunguya,HLA-A33:01,Q8JUX5|POLS_CHIKS,27,105,7.1899999999999995,105.14500000000001,0.4931751148912819,0.5452277983468675
23,Chikunguya,HLA-A33:01,Q8JUX6|POLN_CHIKS,56,234,15.169,237.459,0.7024636473094378,0.7653721317763246
24,Chikunguya,HLA-A29:01,P0DOK1|POLSF_CHIKS,26,71,6.4,78.781,0.6074988134788799,0.601643463186272
