,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Human_coxsackievirus_24A,HLA-A02:07,P36290|POLG_CXA24,48,204,11.989,204.82099999999997,0.5647729413981534,0.6854441711426802
1,Human_coxsackievirus_24A,HLA-A02:03,P36290|POLG_CXA24,36,159,9.578,149.08999999999997,0.4511965328811004,0.49893746967187047
2,Human_coxsackievirus_24A,HLA-A66:01,P36290|POLG_CXA24,69,247,16.732,253.12599999999998,0.7882042585264744,0.8470993758680119
3,Human_coxsackievirus_24A,HLA-A31:08,P36290|POLG_CXA24,51,226,11.348000000000004,221.80199999999996,0.534576973808178,0.7422719742984789
4,Human_coxsackievirus_24A,HLA-A02:36,P36290|POLG_CXA24,41,152,9.662,152.462,0.4551535707556058,0.5102220437394374
5,Human_coxsackievirus_24A,HLA-A68:03,P36290|POLG_CXA24,56,215,14.03,214.75399999999996,0.660919540229885,0.7186854742901125
6,Human_coxsackievirus_24A,HLA-A26:01,P36290|POLG_CXA24,84,258,19.105,280.65,0.8999905784812511,0.9392098790221374
7,Human_coxsackievirus_24A,HLA-A33:01,P36290|POLG_CXA24,72,198,21.228,226.305,1.0,0.757341498920737
8,Human_coxsackievirus_24A,HLA-A29:01,P36290|POLG_CXA24,85,272,20.640000000000004,287.065,0.9723007348784626,0.960678011478674
9,Human_coxsackievirus_24A,HLA-A24:07,P36290|POLG_CXA24,54,209,11.655999999999999,207.28999999999996,0.5490861126813641,0.6937068085604805
10,Human_coxsackievirus_24A,HLA-A02:13,P36290|POLG_CXA24,41,162,9.815999999999999,162.50799999999998,0.4624081401921989,0.5438415072871174
11,Human_coxsackievirus_24A,HLA-B15:02,P36290|POLG_CXA24,75,271,20.517,285.567,0.9665065008479365,0.9556648762612319
12,Human_coxsackievirus_24A,HLA-B46:01,P36290|POLG_CXA24,76,250,18.756,263.865,0.8835500282645562,0.8830380001003966
13,Human_coxsackievirus_24A,HLA-B38:02,P36290|POLG_CXA24,57,193,15.533,209.50800000000004,0.7317222536272846,0.7011294613724212
14,Human_coxsackievirus_24A,HLA-B54:01,P36290|POLG_CXA24,52,214,14.062,210.611,0.6624269832296965,0.7048207084651038
15,Human_coxsackievirus_24A,HLA-B13:02,P36290|POLG_CXA24,41,194,12.029,188.40300000000002,0.5666572451479178,0.6305004768836906
16,Human_coxsackievirus_24A,HLA-B14:05,P36290|POLG_CXA24,45,182,12.748,185.16099999999997,0.600527605049934,0.6196509546040191
17,Human_coxsackievirus_24A,HLA-B45:01,P36290|POLG_CXA24,44,183,9.677999999999999,184.65400000000002,0.4559072922555115,0.6179542526312267
18,Human_coxsackievirus_24A,HLA-B55:02,P36290|POLG_CXA24,55,207,13.097999999999999,202.79100000000003,0.617015262860373,0.678650670147081
19,Human_coxsackievirus_24A,HLA-B07:05,P36290|POLG_CXA24,54,186,11.322999999999999,198.953,0.533399283964575,0.6658066027475193
20,Human_coxsackievirus_24A,HLA-B35:14,P36290|POLG_CXA24,82,275,21.158,284.565,0.9967024684379122,0.9523116309422218
21,Human_coxsackievirus_24A,HLA-B39:05,P36290|POLG_CXA24,64,208,15.085,215.913,0.7106180516299228,0.7225641283068119
22,Human_coxsackievirus_24A,HLA-C14:03,P36290|POLG_CXA24,60,278,12.588999999999999,272.574,0.5930374976446202,0.9121831233371819
23,Human_coxsackievirus_24A,HLA-C05:09,P36290|POLG_CXA24,54,211,13.357,213.247,0.6292161296400979,0.7136422201027393
24,Human_coxsackievirus_24A,HLA-C06:03,P36290|POLG_CXA24,59,249,14.322000000000001,254.654,0.6746749576031656,0.8522129076518916
25,Human_coxsackievirus_24A,HLA-A01:01,P36290|POLG_CXA24,69,254,18.504,269.499,0.8716789146410401,0.9018924752773456
26,Human_coxsackievirus_24A,HLA-A02:01,P36290|POLG_CXA24,36,149,9.659,149.643,0.45501224797437345,0.5007881130465338
27,Human_coxsackievirus_24A,HLA-A02:02,P36290|POLG_CXA24,39,158,8.707000000000003,156.06199999999998,0.41016581872997937,0.5222696317119288
28,Human_coxsackievirus_24A,HLA-A02:06,P36290|POLG_CXA24,44,183,10.325,178.29599999999996,0.4863859054079517,0.596676873650921
29,Human_coxsackievirus_24A,HLA-A02:11,P36290|POLG_CXA24,41,155,9.981000000000002,152.16,0.4701808931599774,0.509211384970634
30,Human_coxsackievirus_24A,HLA-A03:01,P36290|POLG_CXA24,63,208,16.067999999999998,223.7,0.7569248162803842,0.7486237304017536
31,Human_coxsackievirus_24A,HLA-A03:02,P36290|POLG_CXA24,61,216,14.851000000000003,221.402,0.6995948746938007,0.7409333534126465
32,Human_coxsackievirus_24A,HLA-A11:01,P36290|POLG_CXA24,64,222,15.902000000000001,236.708,0.7491049557188618,0.7921556816090223
33,Human_coxsackievirus_24A,HLA-A23:01,P36290|POLG_CXA24,44,196,9.831999999999999,193.16199999999998,0.46316186169210466,0.6464267188728812
34,Human_coxsackievirus_24A,HLA-A24:02,P36290|POLG_CXA24,53,199,11.504000000000001,203.82299999999995,0.5419257584322593,0.6821043120325283
35,Human_coxsackievirus_24A,HLA-A25:01,P36290|POLG_CXA24,65,252,17.777,257.20000000000005,0.837431693989071,0.8607332295902148
36,Human_coxsackievirus_24A,HLA-A29:02,P36290|POLG_CXA24,85,272,20.640000000000004,287.065,0.9723007348784626,0.960678011478674
37,Human_coxsackievirus_24A,HLA-A30:01,P36290|POLG_CXA24,51,206,12.857000000000001,204.01300000000003,0.6056623327680423,0.6827401569532989
38,Human_coxsackievirus_24A,HLA-A30:02,P36290|POLG_CXA24,74,276,18.761,298.815,0.8837855662332768,1.0
39,Human_coxsackievirus_24A,HLA-A31:01,P36290|POLG_CXA24,46,180,11.961,178.06299999999996,0.5634539287733182,0.5958971269849237
40,Human_coxsackievirus_24A,HLA-A32:01,P36290|POLG_CXA24,49,205,9.822,207.043,0.4626907857546636,0.6928802101634791
41,Human_coxsackievirus_24A,HLA-A33:03,P36290|POLG_CXA24,71,200,19.404,221.267,0.9140757490107405,0.7404815688636782
42,Human_coxsackievirus_24A,HLA-A68:01,P36290|POLG_CXA24,53,222,13.794999999999998,220.23699999999997,0.6498492557000187,0.7370346200826597
43,Human_coxsackievirus_24A,HLA-A68:02,P36290|POLG_CXA24,71,239,19.505,255.03199999999998,0.9188336159788957,0.8534779043890032
44,Human_coxsackievirus_24A,HLA-A74:01,P36290|POLG_CXA24,50,204,12.496,213.15699999999998,0.588656491426418,0.7133410304034268
45,Human_coxsackievirus_24A,HLA-B07:02,P36290|POLG_CXA24,49,184,10.543,193.95499999999998,0.496655360844168,0.6490805347790438
46,Human_coxsackievirus_24A,HLA-B08:01,P36290|POLG_CXA24,55,205,13.812,211.98499999999999,0.6506500847936687,0.709418871207938
47,Human_coxsackievirus_24A,HLA-B14:02,P36290|POLG_CXA24,56,200,13.113999999999999,203.877,0.6177689843602788,0.6822850258521159
48,Human_coxsackievirus_24A,HLA-B15:01,P36290|POLG_CXA24,61,236,16.332,239.618,0.7693612210288299,0.8018941485534528
49,Human_coxsackievirus_24A,HLA-B15:03,P36290|POLG_CXA24,55,234,13.014999999999999,242.23199999999997,0.6131053325796118,0.8106420360423673
50,Human_coxsackievirus_24A,HLA-B18:01,P36290|POLG_CXA24,56,221,15.347000000000001,229.01799999999997,0.72296024119088,0.7664206950788949
51,Human_coxsackievirus_24A,HLA-B27:05,P36290|POLG_CXA24,49,164,12.71,175.703,0.5987375164876578,0.5879992637585129
52,Human_coxsackievirus_24A,HLA-B35:01,P36290|POLG_CXA24,84,271,20.043999999999997,277.871,0.9442246090069717,0.929909810417817
53,Human_coxsackievirus_24A,HLA-B35:03,P36290|POLG_CXA24,67,221,16.72,231.248,0.787638967401545,0.7738835065174104
54,Human_coxsackievirus_24A,HLA-B38:01,P36290|POLG_CXA24,63,209,15.947999999999999,211.35999999999999,0.7512719050310909,0.707327276073825
55,Human_coxsackievirus_24A,HLA-B40:01,P36290|POLG_CXA24,36,170,9.809,152.613,0.46207838703599013,0.5107273731238392
56,Human_coxsackievirus_24A,HLA-B40:02,P36290|POLG_CXA24,39,170,9.159,151.95,0.4314584511023177,0.5085086090055719
57,Human_coxsackievirus_24A,HLA-B40:06,P36290|POLG_CXA24,40,187,9.153,179.61599999999999,0.431175805539853,0.601094322574168
58,Human_coxsackievirus_24A,HLA-B42:01,P36290|POLG_CXA24,51,207,12.376000000000001,205.03500000000003,0.5830035801771246,0.6861603333166006
59,Human_coxsackievirus_24A,HLA-B44:02,P36290|POLG_CXA24,53,188,14.704999999999998,202.96699999999996,0.6927171660071603,0.679239663336847
60,Human_coxsackievirus_24A,HLA-B44:03,P36290|POLG_CXA24,53,183,14.728,202.426,0.6938006406632748,0.6774291785887588
61,Human_coxsackievirus_24A,HLA-B50:01,P36290|POLG_CXA24,41,211,10.461000000000002,199.279,0.492792538157151,0.6668975787694728
62,Human_coxsackievirus_24A,HLA-B51:01,P36290|POLG_CXA24,60,221,15.73,221.56699999999998,0.7410024495948747,0.7414855345280524
63,Human_coxsackievirus_24A,HLA-B52:01,P36290|POLG_CXA24,46,210,10.715999999999998,210.069,0.5048049745618992,0.7030068771648009
64,Human_coxsackievirus_24A,HLA-B53:01,P36290|POLG_CXA24,70,213,17.043000000000003,236.19600000000003,0.8028547201808932,0.790442246875157
65,Human_coxsackievirus_24A,HLA-B57:01,P36290|POLG_CXA24,43,217,9.248999999999999,201.303,0.43569813453928763,0.6736710004517845
66,Human_coxsackievirus_24A,HLA-B58:01,P36290|POLG_CXA24,48,205,11.315999999999999,212.51800000000003,0.5330695308083662,0.7112025835383098
67,Human_coxsackievirus_24A,HLA-B58:02,P36290|POLG_CXA24,48,230,11.227,219.02899999999997,0.5288769549651403,0.732991985007446
68,Human_coxsackievirus_24A,HLA-C01:02,P36290|POLG_CXA24,63,229,15.730999999999996,239.43499999999997,0.7410495571886185,0.8012817294981844
69,Human_coxsackievirus_24A,HLA-C02:02,P36290|POLG_CXA24,70,254,16.243,261.664,0.7651686451856038,0.8756722386761039
70,Human_coxsackievirus_24A,HLA-C02:10,P36290|POLG_CXA24,70,254,16.243,261.664,0.7651686451856038,0.8756722386761039
71,Human_coxsackievirus_24A,HLA-C03:02,P36290|POLG_CXA24,69,272,15.812000000000001,275.16,0.7448652722818918,0.9208373073640882
72,Human_coxsackievirus_24A,HLA-C03:03,P36290|POLG_CXA24,48,216,10.837,218.46,0.5105049934049368,0.7310877967973496
73,Human_coxsackievirus_24A,HLA-C03:04,P36290|POLG_CXA24,48,216,10.837,218.46,0.5105049934049368,0.7310877967973496
74,Human_coxsackievirus_24A,HLA-C04:01,P36290|POLG_CXA24,59,215,13.927999999999999,215.38299999999998,0.6561145656679855,0.720790455633084
75,Human_coxsackievirus_24A,HLA-C05:01,P36290|POLG_CXA24,54,211,13.357,213.247,0.6292161296400979,0.7136422201027393
76,Human_coxsackievirus_24A,HLA-C06:02,P36290|POLG_CXA24,57,220,14.139999999999999,230.30599999999998,0.6661013755417372,0.7707310543312752
77,Human_coxsackievirus_24A,HLA-C07:01,P36290|POLG_CXA24,63,226,15.675,231.134,0.7384115319389485,0.7735019995649481
78,Human_coxsackievirus_24A,HLA-C07:02,P36290|POLG_CXA24,70,240,14.857,242.88799999999998,0.6998775202562653,0.8128373742951324
79,Human_coxsackievirus_24A,HLA-C08:01,P36290|POLG_CXA24,54,219,11.652000000000001,219.24499999999998,0.5488976823063878,0.7337148402857955
80,Human_coxsackievirus_24A,HLA-C08:02,P36290|POLG_CXA24,55,219,12.588999999999999,209.04999999999998,0.5930374976446202,0.6995967404581429
81,Human_coxsackievirus_24A,HLA-C12:02,P36290|POLG_CXA24,62,253,15.714,267.005,0.7402487280949689,0.8935461740541807
82,Human_coxsackievirus_24A,HLA-C12:03,P36290|POLG_CXA24,65,260,14.983,268.156,0.7058130770680233,0.8973980556531633
83,Human_coxsackievirus_24A,HLA-C14:02,P36290|POLG_CXA24,60,278,12.588999999999999,272.574,0.5930374976446202,0.9121831233371819
84,Human_coxsackievirus_24A,HLA-C15:02,P36290|POLG_CXA24,62,231,14.340999999999998,221.96800000000005,0.6755700018843036,0.7428275019660996
85,Human_coxsackievirus_24A,HLA-C16:01,P36290|POLG_CXA24,71,283,16.313000000000002,278.99399999999997,0.7684661767476918,0.9336679885547914
86,Human_coxsackievirus_24A,HLA-C17:01,P36290|POLG_CXA24,49,209,11.530000000000001,203.824,0.5431505558696061,0.6821076585847431
87,Human_coxsackievirus_24A,HLA-A02:07,Raw_Proteome,48,204,11.989,204.82099999999997,0.5647729413981534,0.6854441711426802
88,Human_coxsackievirus_24A,HLA-A02:03,Raw_Proteome,36,159,9.578,149.08999999999997,0.4511965328811004,0.49893746967187047
89,Human_coxsackievirus_24A,HLA-A66:01,Raw_Proteome,69,247,16.732,253.12599999999998,0.7882042585264744,0.8470993758680119
90,Human_coxsackievirus_24A,HLA-A31:08,Raw_Proteome,51,226,11.348000000000004,221.80199999999996,0.534576973808178,0.7422719742984789
