,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Lymphocytic_choriomeningitis_virus,DRB1_1402,P09991|GLYC_LYCVA,1,69,0.06000000000000005,126.59999999999997,0.0014457831325301218,0.2054427729906041
1,Lymphocytic_choriomeningitis_virus,DRB1_1402,P09992|NCAP_LYCVA,66,200,34.599999999999994,597.6,0.5111537893337272,0.8280678417026937
2,Lymphocytic_choriomeningitis_virus,DRB1_1402,P14240|L_LYCVA,101,483,51.28,1177.3799999999999,0.2651088248978959,0.4037266654779376
3,Lymphocytic_choriomeningitis_virus,DRB1_1402,P18541|Z_LYCVA,0,21,0.0,37.97000000000001,0.0,0.2079864154250658
4,Lymphocytic_choriomeningitis_virus,DRB1_1406,P09991|GLYC_LYCVA,0,42,0.0,60.75000000000003,0.0,0.09858332116255299
5,Lymphocytic_choriomeningitis_virus,DRB1_1406,P09992|NCAP_LYCVA,56,177,37.36,493.62999999999994,0.5519279066331807,0.6840012193770091
6,Lymphocytic_choriomeningitis_virus,DRB1_1406,P14240|L_LYCVA,51,333,23.849999999999998,754.84,0.12330041875613916,0.2588366000521212
7,Lymphocytic_choriomeningitis_virus,DRB1_1406,P18541|Z_LYCVA,0,27,0.0,51.81000000000002,0.0,0.28379710780017536
8,Lymphocytic_choriomeningitis_virus,DRB1_1405,P09991|GLYC_LYCVA,0,19,0.0,20.44999999999999,0.0,0.033185661197929324
9,Lymphocytic_choriomeningitis_virus,DRB1_1405,P09992|NCAP_LYCVA,59,189,27.770000000000003,481.37,0.4102526222484858,0.667013080589735
10,Lymphocytic_choriomeningitis_virus,DRB1_1405,P14240|L_LYCVA,76,434,32.489999999999995,1031.02,0.1679677402677971,0.3535394406572757
11,Lymphocytic_choriomeningitis_virus,DRB1_1405,P18541|Z_LYCVA,0,13,0.0,12.889999999999993,0.0,0.0706069237510955
12,Lymphocytic_choriomeningitis_virus,DRB1_1602,P09991|GLYC_LYCVA,3,99,0.3200000000000003,165.97000000000003,0.0077108433734939825,0.2693312561868134
13,Lymphocytic_choriomeningitis_virus,DRB1_1602,P09992|NCAP_LYCVA,2,84,0.14000000000000012,162.74,0.0020682523267838695,0.22550160736060304
14,Lymphocytic_choriomeningitis_virus,DRB1_1602,P14240|L_LYCVA,85,536,41.949999999999996,1223.1099999999997,0.21687432145995963,0.4194076014648798
15,Lymphocytic_choriomeningitis_virus,DRB1_1602,P18541|Z_LYCVA,0,0,0.0,0.0,0.0,0.0
16,Lymphocytic_choriomeningitis_virus,DRB1_1201,P09991|GLYC_LYCVA,38,133,10.3,394.16,0.24819277108433738,0.6396313064927057
17,Lymphocytic_choriomeningitis_virus,DRB1_1201,P09992|NCAP_LYCVA,32,128,14.600000000000001,302.5,0.21568917122174622,0.41916084691275907
18,Lymphocytic_choriomeningitis_virus,DRB1_1201,P14240|L_LYCVA,126,576,55.17,1451.08,0.2852194592358993,0.4975791076302687
19,Lymphocytic_choriomeningitis_virus,DRB1_1201,P18541|Z_LYCVA,0,0,0.0,0.0,0.0,0.0
20,Lymphocytic_choriomeningitis_virus,DRB1_0411,P09991|GLYC_LYCVA,14,52,5.23,145.67999999999998,0.12602409638554218,0.23640523830388
