,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Crimean_Congo,DRB1_1402,P0DTL3|NSS_CCHFI,0,19,0.0,23.849999999999994,0.0,0.07686110215920075
1,Crimean_Congo,DRB1_1402,P89522|NCAP_CCHFI,37,166,19.380000000000003,423.03,0.39104116222760293,0.5131430512257548
2,Crimean_Congo,DRB1_1402,Q8JSZ3|GP_CCHFI,56,202,42.64,541.4300000000001,0.48427030096536056,0.3549755451529576
3,Crimean_Congo,DRB1_1406,P0DTL3|NSS_CCHFI,4,37,1.31,71.71,0.037482117310443486,0.23109893651305186
4,Crimean_Congo,DRB1_1406,P89522|NCAP_CCHFI,40,181,19.4,439.6099999999999,0.39144471347861176,0.53325489149553
5,Crimean_Congo,DRB1_1406,Q8JSZ3|GP_CCHFI,81,267,62.26,739.57,0.70709823963657,0.4848812661447885
6,Crimean_Congo,DRB1_1405,P0DTL3|NSS_CCHFI,4,63,0.5599999999999996,115.68000000000004,0.01602288984263232,0.3728005156300355
7,Crimean_Congo,DRB1_1405,P89522|NCAP_CCHFI,47,197,33.46,468.32000000000005,0.675141242937853,0.5680806414439769
8,Crimean_Congo,DRB1_1405,Q8JSZ3|GP_CCHFI,95,330,65.27,909.1999999999998,0.7412833617262917,0.5960950919843173
9,Crimean_Congo,DRB1_1602,P0DTL3|NSS_CCHFI,0,49,0.0,92.79999999999998,0.0,0.2990654205607476
10,Crimean_Congo,DRB1_1602,P89522|NCAP_CCHFI,16,143,3.75,317.55999999999995,0.07566585956416465,0.3852060311260447
11,Crimean_Congo,DRB1_1602,Q8JSZ3|GP_CCHFI,9,272,0.7900000000000009,521.9599999999999,0.008972174900624654,0.342210508372343
12,Crimean_Congo,DRB1_1201,P0DTL3|NSS_CCHFI,2,64,0.31000000000000005,141.57999999999998,0.008869814020028613,0.4562681276184337
13,Crimean_Congo,DRB1_1201,P89522|NCAP_CCHFI,10,82,2.7299999999999995,202.8,0.05508474576271185,0.24600007278108663
14,Crimean_Congo,DRB1_1201,Q8JSZ3|GP_CCHFI,13,197,2.669999999999998,396.29999999999995,0.030323679727427572,0.2598245545021832
15,Crimean_Congo,DRB1_0411,P0DTL3|NSS_CCHFI,0,12,0.0,11.780000000000001,0.0,0.03796326135997422
16,Crimean_Congo,DRB1_0411,P89522|NCAP_CCHFI,39,120,23.0,333.13,0.4640839386602098,0.40409272310435596
17,Crimean_Congo,DRB1_0411,Q8JSZ3|GP_CCHFI,0,191,0.0,281.74,0.0,0.1847160484114184
18,Crimean_Congo,DRB1_0405,P0DTL3|NSS_CCHFI,0,23,0.0,54.29,0.0,0.1749597164034805
19,Crimean_Congo,DRB1_0405,P89522|NCAP_CCHFI,42,171,23.149999999999995,432.65999999999997,0.4671105730427763,0.5248244156285253
20,Crimean_Congo,DRB1_0405,Q8JSZ3|GP_CCHFI,26,161,11.85,331.03999999999996,0.13458262350936964,0.21703840656674925
21,Crimean_Congo,DRB1_0406,P0DTL3|NSS_CCHFI,2,38,0.33000000000000007,70.32,0.009442060085836911,0.22661940058008376
22,Crimean_Congo,DRB1_0406,P89522|NCAP_CCHFI,31,138,13.270000000000003,362.14,0.2677562550443907,0.4392823784859108
