,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,HPV4,DRB1_1402,P0DOD0|VE8E2_HPV04,0,0,0.0,0.0,0.0,0.0
1,HPV4,DRB1_1402,Q07846|VE1_HPV04,6,86,1.17,163.51000000000005,0.027202976052080913,0.23450026532046417
2,HPV4,DRB1_1402,Q07849|VE2_HPV04,0,31,0.0,41.84,0.0,0.08146100229741832
3,HPV4,DRB1_1402,Q07852|VE4_HPV04,0,0,0.0,0.0,0.0,0.0
4,HPV4,DRB1_1402,Q07854|VE6_HPV04,0,0,0.0,0.0,0.0,0.0
5,HPV4,DRB1_1402,Q07857|VE7_HPV04,0,0,0.0,0.0,0.0,0.0
6,HPV4,DRB1_1402,Q07860|VL1_HPV04,27,138,10.780000000000001,335.17999999999995,0.1649326805385557,0.4427916562083041
7,HPV4,DRB1_1402,Q07862|VL2_HPV04,37,151,10.490000000000002,409.33000000000004,0.15976241242765768,0.3568545399067173
8,HPV4,DRB1_1406,P0DOD0|VE8E2_HPV04,0,7,0.0,6.1200000000000045,0.0,0.01941070125915825
9,HPV4,DRB1_1406,Q07846|VE1_HPV04,1,68,0.08999999999999997,126.9,0.002092536619390839,0.18199549672293375
10,HPV4,DRB1_1406,Q07849|VE2_HPV04,0,42,0.0,68.15,0.0,0.13268564308243447
11,HPV4,DRB1_1406,Q07852|VE4_HPV04,0,0,0.0,0.0,0.0,0.0
12,HPV4,DRB1_1406,Q07854|VE6_HPV04,0,2,0.0,1.3599999999999994,0.0,0.005275202668631936
13,HPV4,DRB1_1406,Q07857|VE7_HPV04,0,2,0.0,1.290000000000001,0.0,0.004749282085266184
14,HPV4,DRB1_1406,Q07860|VL1_HPV04,6,58,1.0,133.81000000000003,0.015299877600979192,0.17677054572836443
15,HPV4,DRB1_1406,Q07862|VL2_HPV04,49,118,30.560000000000002,376.72,0.46542796222966804,0.32842509044941376
16,HPV4,DRB1_1405,P0DOD0|VE8E2_HPV04,0,0,0.0,0.0,0.0,0.0
17,HPV4,DRB1_1405,Q07846|VE1_HPV04,8,69,2.4299999999999997,129.12000000000003,0.056498488723552655,0.18517934229208202
18,HPV4,DRB1_1405,Q07849|VE2_HPV04,0,43,0.0,72.42999999999998,0.0,0.14101865192165405
19,HPV4,DRB1_1405,Q07852|VE4_HPV04,0,0,0.0,0.0,0.0,0.0
20,HPV4,DRB1_1405,Q07854|VE6_HPV04,0,7,0.0,4.899999999999999,0.0,0.019006244909041535
21,HPV4,DRB1_1405,Q07857|VE7_HPV04,0,0,0.0,0.0,0.0,0.0
22,HPV4,DRB1_1405,Q07860|VL1_HPV04,12,70,3.630000000000001,150.49,0.05553855569155448,0.19880576508976577
23,HPV4,DRB1_1405,Q07862|VL2_HPV04,52,112,32.2,368.71999999999997,0.490405117270789,0.32145067782572684
24,HPV4,DRB1_1602,P0DOD0|VE8E2_HPV04,0,1,0.0,0.34999999999999964,0.0,0.0011100891242982638
25,HPV4,DRB1_1602,Q07846|VE1_HPV04,17,148,6.82,323.03999999999996,0.1585677749360614,0.4632925552511939
26,HPV4,DRB1_1602,Q07849|VE2_HPV04,0,56,0.0,96.70999999999998,0.0,0.18829095440208707
27,HPV4,DRB1_1602,Q07852|VE4_HPV04,0,0,0.0,0.0,0.0,0.0
28,HPV4,DRB1_1602,Q07854|VE6_HPV04,0,0,0.0,0.0,0.0,0.0
29,HPV4,DRB1_1602,Q07857|VE7_HPV04,0,19,0.0,30.10000000000001,0.0,0.11081658198954425
30,HPV4,DRB1_1602,Q07860|VL1_HPV04,61,210,32.519999999999996,591.1099999999999,0.49755201958384326,0.780889599323619
31,HPV4,DRB1_1602,Q07862|VL2_HPV04,25,111,10.48,264.3499999999999,0.15961011270179715,0.23046074713395223
32,HPV4,DRB1_1201,P0DOD0|VE8E2_HPV04,0,0,0.0,0.0,0.0,0.0
33,HPV4,DRB1_1201,Q07846|VE1_HPV04,81,170,36.44,600.86,0.8472448267844687,0.8617321840893771
34,HPV4,DRB1_1201,Q07849|VE2_HPV04,21,75,11.94,212.07999999999998,0.3747645951035781,0.4129122697714262
35,HPV4,DRB1_1201,Q07852|VE4_HPV04,0,16,0.0,22.36,0.0,0.08376100393332082
36,HPV4,DRB1_1201,Q07854|VE6_HPV04,0,22,0.0,34.86,0.0,0.13521585663860983
37,HPV4,DRB1_1201,Q07857|VE7_HPV04,13,31,4.049999999999999,99.63,0.16959798994974867,0.36679920477137173
38,HPV4,DRB1_1201,Q07860|VL1_HPV04,13,81,4.0,181.78,0.06119951040391677,0.2401416172371428
