,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Hepatitis_B_human,HLA-A02:07,P0C767|HBEAG_HBVCJ,1,19,0.459,17.712999999999997,0.1713325867861142,0.5358482575024199
1,Hepatitis_B_human,HLA-A02:07,Q69027|X_HBVCJ,3,8,0.5549999999999999,8.527000000000001,0.13955242645209956,0.19433429053284107
2,Hepatitis_B_human,HLA-A02:07,Q69028|DPOL_HBVCJ,18,75,3.6999999999999993,77.17,0.3083333333333333,0.5457721576282214
3,Hepatitis_B_human,HLA-A02:07,Q76R61|CAPSD_HBVCJ,1,17,0.459,17.034,0.1713325867861142,0.5392724855161933
4,Hepatitis_B_human,HLA-A02:07,Q76R62-2|HBSAG_HBVCJ,9,47,3.008,49.99700000000001,0.5015005001667223,0.7273772113594043
5,Hepatitis_B_human,HLA-A02:07,Q76R62-3|HBSAG_HBVCJ,8,42,2.559,43.732000000000006,0.46083198271204756,0.7128164170103178
6,Hepatitis_B_human,HLA-A02:07,Q76R62|HBSAG_HBVCJ,10,53,3.142,56.077000000000005,0.3636574074074074,0.5966336486184555
7,Hepatitis_B_human,HLA-A02:03,P0C767|HBEAG_HBVCJ,2,13,0.2869999999999999,8.815999999999999,0.10712952594251582,0.2666989351403678
8,Hepatitis_B_human,HLA-A02:03,Q69027|X_HBVCJ,1,9,0.274,5.1240000000000006,0.06889615287905457,0.11677833994256805
9,Hepatitis_B_human,HLA-A02:03,Q69028|DPOL_HBVCJ,20,83,4.946000000000001,85.69,0.41216666666666674,0.6060284590794647
10,Hepatitis_B_human,HLA-A02:03,Q76R61|CAPSD_HBVCJ,2,12,0.2869999999999999,8.743,0.10712952594251582,0.276791084940007
11,Hepatitis_B_human,HLA-A02:03,Q76R62-2|HBSAG_HBVCJ,5,27,1.5710000000000002,27.307999999999996,0.2619206402134045,0.39728817504655495
12,Hepatitis_B_human,HLA-A02:03,Q76R62-3|HBSAG_HBVCJ,2,22,0.922,20.784999999999997,0.16603637673329733,0.3387882838095548
13,Hepatitis_B_human,HLA-A02:03,Q76R62|HBSAG_HBVCJ,6,30,1.794,30.119999999999994,0.20763888888888887,0.32046303290810624
14,Hepatitis_B_human,HLA-A66:01,P0C767|HBEAG_HBVCJ,4,20,0.544,17.423000000000002,0.20306084359835758,0.527075266214908
15,Hepatitis_B_human,HLA-A66:01,Q69027|X_HBVCJ,2,15,0.665,15.668,0.1672114659290923,0.3570809973107252
16,Hepatitis_B_human,HLA-A66:01,Q69028|DPOL_HBVCJ,15,75,2.5060000000000002,71.21300000000001,0.20883333333333334,0.5036422529633088
17,Hepatitis_B_human,HLA-A66:01,Q76R61|CAPSD_HBVCJ,4,20,0.544,17.423000000000002,0.20306084359835758,0.5515876784753222
