,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,SARS-CoV-2_2,HLA-A02:07,A0A663DJA2|ORF10_SARS2,2,6,0.54,6.955,0.38516405135520687,0.4794898310927266
1,SARS-CoV-2_2,HLA-A02:07,P0DTC1|R1A_SARS2,98,466,25.381,466.768,0.5672745965759243,0.7632939668170029
2,SARS-CoV-2_2,HLA-A02:07,P0DTC2|SPIKE_SARS2,29,116,7.4190000000000005,115.41599999999998,0.6791468326620286,0.7046110829604213
3,SARS-CoV-2_2,HLA-A02:07,P0DTC3|AP3A_SARS2,13,40,3.2879999999999994,37.725,0.8836334318731522,0.72908412732157
4,SARS-CoV-2_2,HLA-A02:07,P0DTC4|VEMP_SARS2,4,11,0.8620000000000001,14.489,0.5483460559796438,0.7948760149220978
5,SARS-CoV-2_2,HLA-A02:07,P0DTC5|VME1_SARS2,3,18,0.4099999999999999,13.110999999999997,0.10291164658634536,0.29259093952242793
6,SARS-CoV-2_2,HLA-A02:07,P0DTC6|NS6_SARS2,4,13,0.8780000000000001,13.185,0.8361904761904763,0.9008608909538124
7,SARS-CoV-2_2,HLA-A02:07,P0DTC7|NS7A_SARS2,3,11,0.2869999999999999,9.025000000000002,0.17521367521367517,0.4516564908417577
8,SARS-CoV-2_2,HLA-A02:07,P0DTC8|NS8_SARS2,3,14,0.978,14.046,0.612781954887218,0.6554974799327983
9,SARS-CoV-2_2,HLA-A02:07,P0DTC9|NCAP_SARS2,5,18,1.418,16.268,0.2401761517615176,0.2336852689793866
10,SARS-CoV-2_2,HLA-A02:07,P0DTD2|ORF9B_SARS2,10,21,2.907,27.8,1.0,0.9790111283279335
11,SARS-CoV-2_2,HLA-A02:07,P0DTD3|ORF9C_SARS2,1,9,0.029000000000000026,5.311999999999999,0.019294743845642066,0.25733940509640535
12,SARS-CoV-2_2,HLA-A02:07,P0DTD8|NS7B_SARS2,1,8,0.06,8.947,0.17094017094017094,1.0
13,SARS-CoV-2_2,HLA-A02:07,P0DTF1|ORF3B_SARS2,0,2,0.0,2.073,0.0,0.41368988225903014
14,SARS-CoV-2_2,HLA-A02:07,P0DTG0|ORF3D_SARS2,0,1,0.0,0.913,0.0,0.15548365122615804
15,SARS-CoV-2_2,HLA-A02:07,P0DTG1|ORF3C_SARS2,4,7,0.4159999999999999,9.643,0.33360064153969526,0.8363399826539462
16,SARS-CoV-2_2,HLA-A02:03,A0A663DJA2|ORF10_SARS2,0,3,0.0,2.2039999999999997,0.0,0.1519476042743881
17,SARS-CoV-2_2,HLA-A02:03,P0DTC1|R1A_SARS2,132,442,32.599000000000004,458.817,0.7285995261722767,0.7502918965590547
18,SARS-CoV-2_2,HLA-A02:03,P0DTC2|SPIKE_SARS2,31,99,7.485999999999999,97.99000000000001,0.6852801171731965,0.5982258960568007
19,SARS-CoV-2_2,HLA-A02:03,P0DTC3|AP3A_SARS2,7,34,2.2009999999999996,30.765,0.5915076592313893,0.5945731789807317
20,SARS-CoV-2_2,HLA-A02:03,P0DTC4|VEMP_SARS2,3,8,0.857,8.321000000000002,0.5451653944020356,0.45649550142637707
21,SARS-CoV-2_2,HLA-A02:03,P0DTC5|VME1_SARS2,2,12,0.42799999999999994,9.64,0.107429718875502,0.21513055121624639
22,SARS-CoV-2_2,HLA-A02:03,P0DTC6|NS6_SARS2,1,10,0.441,9.262,0.42,0.6328231757310739
23,SARS-CoV-2_2,HLA-A02:03,P0DTC7|NS7A_SARS2,1,10,0.447,8.479000000000001,0.2728937728937729,0.42433189870883803
