,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Measles_virus,DRB1_1402,P0C774|V_MEASC,13,51,4.76,142.65999999999997,0.0937007874015748,0.20207657549187638
1,Measles_virus,DRB1_1402,Q786F2|HEMA_MEASC,29,216,9.86,456.35,0.21383647798742136,0.6230204237658367
2,Measles_virus,DRB1_1402,Q786F3|FUS_MEASC,45,140,22.0,386.67,0.35188739603326935,0.38461614976028013
3,Measles_virus,DRB1_1402,Q9W850|MATRX_MEASC,8,102,1.8499999999999996,195.07,0.03247323152536422,0.3567092125955454
4,Measles_virus,DRB1_1402,Q9WMB3|L_MEASC,152,643,67.05000000000001,1655.06,0.6020472299542068,0.6744335778321108
5,Measles_virus,DRB1_1402,Q9WMB4|PHOSP_MEASC,40,152,18.41,398.59999999999997,0.2934799936234656,0.5350694677495134
6,Measles_virus,DRB1_1402,Q9WMB5|NCAP_MEASC,6,147,1.3399999999999999,291.81999999999994,0.02214876033057851,0.3480220867968181
7,Measles_virus,DRB1_1402,Q9YZN9|C_MEASC,0,6,0.0,4.960000000000001,0.0,0.011262232919325177
8,Measles_virus,DRB1_1406,P0C774|V_MEASC,13,39,5.27,102.22999999999999,0.10374015748031494,0.14480785302491606
9,Measles_virus,DRB1_1406,Q786F2|HEMA_MEASC,28,165,11.11,387.3299999999999,0.24094556495337235,0.5287925950196591
10,Measles_virus,DRB1_1406,Q786F3|FUS_MEASC,18,125,8.39,283.29,0.13419705694177864,0.28178526667595044
11,Measles_virus,DRB1_1406,Q9W850|MATRX_MEASC,15,118,3.919999999999998,261.42999999999995,0.06880814463752849,0.4780565409794095
12,Measles_virus,DRB1_1406,Q9WMB3|L_MEASC,53,412,31.430000000000003,908.0900000000001,0.2822124450031427,0.3700448247758762
13,Measles_virus,DRB1_1406,Q9WMB4|PHOSP_MEASC,42,163,17.030000000000005,429.98,0.2714809501036187,0.5771931002080677
14,Measles_virus,DRB1_1406,Q9WMB5|NCAP_MEASC,31,170,11.52,431.85,0.19041322314049586,0.5150206914646218
15,Measles_virus,DRB1_1406,Q9YZN9|C_MEASC,2,39,0.43000000000000016,71.25999999999999,0.008833196384552182,0.16180377375627256
16,Measles_virus,DRB1_1405,P0C774|V_MEASC,2,38,0.29000000000000004,83.31,0.005708661417322835,0.11800784735895292
17,Measles_virus,DRB1_1405,Q786F2|HEMA_MEASC,32,143,14.98,335.95000000000005,0.32487529819995664,0.4586473350808214
18,Measles_virus,DRB1_1405,Q786F3|FUS_MEASC,9,78,2.1500000000000004,190.06999999999996,0.03438899552143315,0.18906041737123755
19,Measles_virus,DRB1_1405,Q9W850|MATRX_MEASC,3,77,0.6499999999999999,147.08999999999997,0.011409513779182024,0.26897194894488524
20,Measles_virus,DRB1_1405,Q9WMB3|L_MEASC,87,617,49.05,1383.83,0.4404238125168357,0.5639079054604726
