,Virus,MHC,Protein,# of high binding,# of low binding,sum_score high,sum_score low,high normed on protein,low normed on protein
0,Foot_and_mouth_disease_virus_type_O,DRB1_1402,Q9DLK1|Q9DLK1_FMDVP,92,519,50.34,1169.0900000000001,0.33735424205870523,0.477216600471057
1,Foot_and_mouth_disease_virus_type_O,DRB1_1406,Q9DLK1|Q9DLK1_FMDVP,90,522,53.15,1180.55,0.3561854979225304,0.4818945142684535
2,Foot_and_mouth_disease_virus_type_O,DRB1_1405,Q9DLK1|Q9DLK1_FMDVP,76,637,43.510000000000005,1376.02,0.29158289773488805,0.5616843755229998
3,Foot_and_mouth_disease_virus_type_O,DRB1_1602,Q9DLK1|Q9DLK1_FMDVP,59,590,20.03,1222.1299999999999,0.1342313362819997,0.49886725909356233
4,Foot_and_mouth_disease_virus_type_O,DRB1_1201,Q9DLK1|Q9DLK1_FMDVP,97,568,54.46,1306.96,0.3649644819729258,0.533494434262249
5,Foot_and_mouth_disease_virus_type_O,DRB1_0411,Q9DLK1|Q9DLK1_FMDVP,205,716,118.39,1880.15,0.7933923066613053,0.767467681167111
6,Foot_and_mouth_disease_virus_type_O,DRB1_0405,Q9DLK1|Q9DLK1_FMDVP,243,867,149.22000000000003,2449.81,1.0,1.0
7,Foot_and_mouth_disease_virus_type_O,DRB1_0406,Q9DLK1|Q9DLK1_FMDVP,144,720,78.98,1816.69,0.5292856185497922,0.7415636314652974
8,Foot_and_mouth_disease_virus_type_O,HLA-DQA10301-DQB10401,Q9DLK1|Q9DLK1_FMDVP,222,760,130.68,2065.33,0.8757539203860071,0.84305721668211
9,Foot_and_mouth_disease_virus_type_O,HLA-DQA10303-DQB10401,Q9DLK1|Q9DLK1_FMDVP,222,760,130.68,2065.33,0.8757539203860071,0.84305721668211
10,Foot_and_mouth_disease_virus_type_O,DRB1_0101,Q9DLK1|Q9DLK1_FMDVP,65,574,27.85,1273.98,0.1866371800026806,0.5200321657597936
11,Foot_and_mouth_disease_virus_type_O,DRB1_0102,Q9DLK1|Q9DLK1_FMDVP,61,499,17.560000000000002,1144.56,0.11767859536255193,0.4672035790530694
12,Foot_and_mouth_disease_virus_type_O,DRB1_0301,Q9DLK1|Q9DLK1_FMDVP,164,584,99.23,1523.7399999999998,0.664991288031095,0.6219829292883937
13,Foot_and_mouth_disease_virus_type_O,DRB1_0302,Q9DLK1|Q9DLK1_FMDVP,43,546,25.71,1154.1599999999999,0.17229593888218736,0.47112225029696175
14,Foot_and_mouth_disease_virus_type_O,DRB1_0401,Q9DLK1|Q9DLK1_FMDVP,150,639,66.46000000000001,1621.3300000000002,0.4453826564803645,0.6618186716520874
15,Foot_and_mouth_disease_virus_type_O,DRB1_0402,Q9DLK1|Q9DLK1_FMDVP,49,507,16.46,1093.9,0.11030692936603671,0.44652442434311235
16,Foot_and_mouth_disease_virus_type_O,DRB1_0403,Q9DLK1|Q9DLK1_FMDVP,144,720,78.98,1816.69,0.5292856185497922,0.7415636314652974
17,Foot_and_mouth_disease_virus_type_O,DRB1_0404,Q9DLK1|Q9DLK1_FMDVP,110,587,58.31,1351.23,0.3907653129607291,0.5515652234254902
18,Foot_and_mouth_disease_virus_type_O,DRB1_0407,Q9DLK1|Q9DLK1_FMDVP,180,816,87.48999999999998,2075.7,0.5863155073046507,0.8472901980153562
19,Foot_and_mouth_disease_virus_type_O,DRB1_0701,Q9DLK1|Q9DLK1_FMDVP,142,743,70.92,1770.33,0.47527141133896256,0.722639714916667
20,Foot_and_mouth_disease_virus_type_O,DRB1_0802,Q9DLK1|Q9DLK1_FMDVP,120,750,57.769999999999996,1849.3200000000002,0.3871464951078943,0.7548830317453191
21,Foot_and_mouth_disease_virus_type_O,DRB1_0804,Q9DLK1|Q9DLK1_FMDVP,101,590,61.79000000000001,1347.35,0.41408658356788636,0.5499814271310836
22,Foot_and_mouth_disease_virus_type_O,DRB1_1001,Q9DLK1|Q9DLK1_FMDVP,86,654,29.03,1425.07,0.1945449671625787,0.5817063364097623
23,Foot_and_mouth_disease_virus_type_O,DRB1_1101,Q9DLK1|Q9DLK1_FMDVP,148,774,66.56,1843.1299999999999,0.4460528079345932,0.7523563051828509
24,Foot_and_mouth_disease_virus_type_O,DRB1_1102,Q9DLK1|Q9DLK1_FMDVP,202,761,91.94,2036.63,0.6161372470178259,0.8313420224425568
25,Foot_and_mouth_disease_virus_type_O,DRB1_1104,Q9DLK1|Q9DLK1_FMDVP,97,789,55.959999999999994,1785.3000000000002,0.3750167537863556,0.7287503928876118
26,Foot_and_mouth_disease_virus_type_O,DRB1_1202,Q9DLK1|Q9DLK1_FMDVP,96,546,62.45,1233.03,0.4185095831657954,0.5033165837350652
27,Foot_and_mouth_disease_virus_type_O,DRB1_1301,Q9DLK1|Q9DLK1_FMDVP,202,761,91.94,2036.63,0.6161372470178259,0.8313420224425568
28,Foot_and_mouth_disease_virus_type_O,DRB1_1302,Q9DLK1|Q9DLK1_FMDVP,90,690,45.14,1632.8899999999999,0.3025063664388151,0.6665374049416076
29,Foot_and_mouth_disease_virus_type_O,DRB1_1401,Q9DLK1|Q9DLK1_FMDVP,94,599,47.53,1454.23,0.31852298619488,0.5936093003130856
30,Foot_and_mouth_disease_virus_type_O,DRB1_1404,Q9DLK1|Q9DLK1_FMDVP,88,610,45.93,1381.09,0.3078005629272215,0.5637539237736804
